date,open,high,low,close,volume,code,name
2024-11-25,47.950,47.420,48.460,46.870,348252.000,sh603259,药明康德
2024-11-26,47.610,47.320,48.170,47.260,252699.000,sh603259,药明康德
2024-11-27,47.330,48.240,48.400,47.300,354915.000,sh603259,药明康德
2024-11-28,48.390,47.720,48.670,47.560,264742.000,sh603259,药明康德
2024-11-29,47.720,48.460,49.000,47.610,353790.000,sh603259,药明康德
2024-12-02,48.330,49.540,49.690,48.020,383675.000,sh603259,药明康德
2024-12-03,49.420,50.640,51.090,49.250,520359.000,sh603259,药明康德
2024-12-04,50.520,49.800,50.620,49.520,323949.000,sh603259,药明康德
2024-12-05,49.720,49.730,50.260,49.320,256192.000,sh603259,药明康德
2024-12-06,49.520,53.540,54.700,49.420,1055039.000,sh603259,药明康德
2024-12-09,57.920,57.300,58.520,56.140,1562911.000,sh603259,药明康德
2024-12-10,58.830,56.290,59.060,56.070,909352.000,sh603259,药明康德
2024-12-11,55.810,56.010,56.900,55.470,462224.000,sh603259,药明康德
2024-12-12,55.620,55.410,55.870,54.670,482256.000,sh603259,药明康德
2024-12-13,54.920,54.820,55.420,54.510,582368.000,sh603259,药明康德
2024-12-16,54.530,54.530,55.420,54.190,361684.000,sh603259,药明康德
2024-12-17,54.320,53.820,55.120,53.740,309573.000,sh603259,药明康德
2024-12-18,54.120,54.420,54.720,53.780,255413.000,sh603259,药明康德
2024-12-19,53.840,54.230,55.150,53.670,309137.000,sh603259,药明康德
2024-12-20,54.200,54.110,54.850,53.930,234714.000,sh603259,药明康德
2024-12-23,54.000,54.580,55.370,53.920,340255.000,sh603259,药明康德
2024-12-24,54.390,54.770,54.920,54.390,236492.000,sh603259,药明康德
2024-12-25,55.820,53.960,56.320,53.820,382330.000,sh603259,药明康德
2024-12-26,53.590,53.830,54.390,53.320,204623.000,sh603259,药明康德
2024-12-27,53.720,53.110,53.800,52.640,320379.000,sh603259,药明康德
2024-12-30,52.870,54.420,54.720,52.840,335452.000,sh603259,药明康德
2024-12-31,54.400,53.360,54.400,53.340,272688.000,sh603259,药明康德
2025-01-02,53.350,51.380,53.610,51.020,350818.000,sh603259,药明康德
2025-01-03,51.370,50.690,51.900,50.530,257327.000,sh603259,药明康德
2025-01-06,51.010,51.220,51.820,50.130,306606.000,sh603259,药明康德
2025-01-07,50.920,50.700,50.970,49.770,283194.000,sh603259,药明康德
2025-01-08,50.480,50.230,50.860,49.450,226504.000,sh603259,药明康德
2025-01-09,50.310,50.930,51.970,50.310,216653.000,sh603259,药明康德
2025-01-10,51.790,51.680,52.620,51.260,334537.000,sh603259,药明康德
2025-01-13,50.950,51.490,51.950,50.760,200885.000,sh603259,药明康德
2025-01-14,52.130,53.320,53.670,51.840,326687.000,sh603259,药明康德
2025-01-15,53.220,51.600,53.220,50.850,387271.000,sh603259,药明康德
2025-01-16,52.140,51.850,53.080,51.530,220881.000,sh603259,药明康德
2025-01-17,51.540,51.320,51.890,51.200,209879.000,sh603259,药明康德
