,open,high,low,close,volume,code,name
2024-11-26,42.35,42.35,40.05,40.05,59899967.0,sz002460,赣锋锂业
2024-11-27,39.54,41.19,39.04,41.14,47529404.0,sz002460,赣锋锂业
2024-11-28,40.7,41.84,40.51,40.99,40352843.0,sz002460,赣锋锂业
2024-11-29,40.82,42.99,40.65,42.05,52286393.0,sz002460,赣锋锂业
2024-12-02,41.9,42.7,41.64,42.07,36759317.0,sz002460,赣锋锂业
2024-12-03,42.31,42.6,41.07,41.41,30518399.0,sz002460,赣锋锂业
2024-12-04,41.21,41.69,39.88,40.09,35520745.0,sz002460,赣锋锂业
2024-12-05,39.7,40.09,39.39,39.87,28009861.0,sz002460,赣锋锂业
2024-12-06,39.8,40.96,38.91,40.29,36586533.0,sz002460,赣锋锂业
2024-12-09,40.0,40.19,39.15,39.53,23430416.0,sz002460,赣锋锂业
2024-12-10,40.98,41.21,38.78,38.95,40389951.0,sz002460,赣锋锂业
2024-12-11,38.68,39.17,38.6,38.84,19889233.0,sz002460,赣锋锂业
2024-12-12,38.62,40.0,38.45,39.62,30497197.0,sz002460,赣锋锂业
2024-12-13,39.2,39.26,38.18,38.22,27573745.0,sz002460,赣锋锂业
2024-12-16,38.22,38.41,37.03,37.28,26846511.0,sz002460,赣锋锂业
2024-12-17,37.28,37.66,36.88,36.98,23057164.0,sz002460,赣锋锂业
2024-12-18,37.15,37.29,36.54,36.68,20361884.0,sz002460,赣锋锂业
2024-12-19,36.18,36.6,35.91,36.43,22363247.0,sz002460,赣锋锂业
2024-12-20,36.6,37.63,36.35,37.1,27102720.0,sz002460,赣锋锂业
2024-12-23,37.12,37.45,36.41,36.5,18383169.0,sz002460,赣锋锂业
2024-12-24,36.69,37.55,36.6,37.23,24664705.0,sz002460,赣锋锂业
2024-12-25,37.06,37.21,35.95,36.17,18983198.0,sz002460,赣锋锂业
2024-12-26,36.03,36.45,35.98,36.02,15093848.0,sz002460,赣锋锂业
2024-12-27,36.02,36.64,35.78,35.96,18927080.0,sz002460,赣锋锂业
2024-12-30,35.74,36.5,35.6,36.38,19788651.0,sz002460,赣锋锂业
2024-12-31,36.3,36.43,34.9,35.01,22705431.0,sz002460,赣锋锂业
2025-01-02,35.02,35.25,33.75,34.07,23461498.0,sz002460,赣锋锂业
2025-01-03,34.05,34.5,32.97,33.05,23231696.0,sz002460,赣锋锂业
2025-01-06,33.66,34.59,33.48,33.85,29023360.0,sz002460,赣锋锂业
2025-01-07,33.61,34.99,33.47,34.75,24475965.0,sz002460,赣锋锂业
