date,open,high,low,close,volume,code,name
2024-11-25,25.680,25.990,26.550,25.670,435806.000,sh600438,通威股份
2024-11-26,26.500,26.310,27.500,26.270,494218.000,sh600438,通威股份
2024-11-27,26.150,27.010,27.160,25.960,406928.000,sh600438,通威股份
2024-11-28,27.000,27.020,27.760,26.800,382682.000,sh600438,通威股份
2024-11-29,27.000,27.450,27.940,26.920,415866.000,sh600438,通威股份
2024-12-02,27.000,27.540,27.550,26.400,382792.000,sh600438,通威股份
2024-12-03,27.800,28.000,28.100,27.550,449231.000,sh600438,通威股份
2024-12-04,27.950,26.860,28.230,26.660,577846.000,sh600438,通威股份
2024-12-05,26.710,27.170,27.210,26.690,306358.000,sh600438,通威股份
2024-12-06,26.960,26.010,27.150,25.280,849562.000,sh600438,通威股份
2024-12-09,25.700,25.740,25.990,25.500,363610.000,sh600438,通威股份
2024-12-10,26.460,25.260,26.490,25.200,546811.000,sh600438,通威股份
2024-12-11,25.210,25.260,25.500,24.810,336018.000,sh600438,通威股份
2024-12-12,25.260,25.250,25.600,25.060,347895.000,sh600438,通威股份
2024-12-13,25.100,24.070,25.110,24.000,616255.000,sh600438,通威股份
2024-12-16,24.090,23.590,24.250,23.310,406948.000,sh600438,通威股份
2024-12-17,23.590,23.500,23.810,23.460,255481.000,sh600438,通威股份
2024-12-18,23.520,23.470,23.730,23.370,203311.000,sh600438,通威股份
2024-12-19,23.210,23.130,23.300,22.900,342937.000,sh600438,通威股份
2024-12-20,23.200,22.660,23.290,22.430,498213.000,sh600438,通威股份
2024-12-23,22.600,22.910,23.590,22.440,595350.000,sh600438,通威股份
2024-12-24,23.650,23.860,24.260,23.470,739264.000,sh600438,通威股份
2024-12-25,24.300,23.740,24.420,23.430,550306.000,sh600438,通威股份
2024-12-26,23.710,22.390,23.710,22.350,842879.000,sh600438,通威股份
2024-12-27,22.250,22.050,22.530,21.920,537339.000,sh600438,通威股份
2024-12-30,22.060,22.600,22.800,21.700,673461.000,sh600438,通威股份
2024-12-31,22.500,22.110,23.090,22.090,498174.000,sh600438,通威股份
2025-01-02,22.160,22.090,22.700,21.820,479841.000,sh600438,通威股份
2025-01-03,22.300,21.290,22.600,21.210,456906.000,sh600438,通威股份
2025-01-06,21.300,21.140,21.850,20.950,612623.000,sh600438,通威股份
2025-01-07,21.080,21.120,21.400,20.910,305497.000,sh600438,通威股份
2025-01-08,21.050,21.150,21.380,20.710,370061.000,sh600438,通威股份
2025-01-09,21.150,20.900,21.590,20.760,361234.000,sh600438,通威股份
2025-01-10,20.900,20.050,21.020,20.050,352996.000,sh600438,通威股份
2025-01-13,19.980,20.180,20.420,19.820,308106.000,sh600438,通威股份
2025-01-14,20.300,20.710,20.820,20.050,341848.000,sh600438,通威股份
2025-01-15,20.660,21.540,22.370,20.260,1032340.000,sh600438,通威股份
2025-01-16,21.540,21.720,22.060,21.350,582488.000,sh600438,通威股份
2025-01-17,21.660,21.720,22.100,21.200,379743.000,sh600438,通威股份
2025-01-20,21.450,21.170,21.870,21.070,488948.000,sh600438,通威股份
2025-01-21,21.250,20.190,21.310,20.050,628535.000,sh600438,通威股份
2025-01-22,20.080,19.980,20.180,19.500,455400.000,sh600438,通威股份
2025-01-23,20.050,19.800,20.530,19.800,469369.000,sh600438,通威股份
2025-01-24,19.790,20.710,20.880,19.710,669392.000,sh600438,通威股份
2025-01-27,20.680,20.460,20.980,20.450,344477.000,sh600438,通威股份
2025-02-05,20.800,20.580,21.140,20.320,405078.000,sh600438,通威股份
2025-02-06,20.500,21.080,21.080,20.120,436887.000,sh600438,通威股份
2025-02-07,21.100,22.740,23.070,21.090,1096978.000,sh600438,通威股份
2025-02-10,22.550,22.120,22.550,21.680,755238.000,sh600438,通威股份
2025-02-11,22.040,21.390,22.240,21.180,561205.000,sh600438,通威股份
2025-02-12,21.390,21.770,21.770,21.250,412302.000,sh600438,通威股份
2025-02-13,21.680,21.430,21.880,21.400,345027.000,sh600438,通威股份
2025-02-14,21.430,21.470,21.800,21.280,356714.000,sh600438,通威股份
2025-02-17,21.320,21.780,21.880,21.030,519902.000,sh600438,通威股份
2025-02-18,21.700,20.900,21.750,20.800,526760.000,sh600438,通威股份
2025-02-19,20.880,21.190,21.530,20.700,532642.000,sh600438,通威股份
2025-02-20,21.030,20.490,21.100,20.460,506116.000,sh600438,通威股份
2025-02-21,20.490,20.580,20.700,20.380,504963.000,sh600438,通威股份
2025-02-24,20.580,20.800,21.220,20.400,507392.000,sh600438,通威股份
2025-02-25,20.580,21.420,21.750,20.530,922152.000,sh600438,通威股份
2025-02-26,21.580,22.070,22.130,21.250,847410.000,sh600438,通威股份
2025-02-27,21.970,21.560,21.980,21.270,507877.000,sh600438,通威股份
2025-02-28,21.500,21.090,21.750,21.070,463771.000,sh600438,通威股份
2025-03-03,21.090,21.310,21.850,21.090,567478.000,sh600438,通威股份
2025-03-04,21.220,21.280,21.360,20.800,382259.000,sh600438,通威股份
2025-03-05,21.190,20.640,21.260,20.330,554986.000,sh600438,通威股份
2025-03-06,20.880,21.330,21.680,20.680,626192.000,sh600438,通威股份
2025-03-07,21.180,21.420,21.920,20.850,553552.000,sh600438,通威股份
2025-03-10,21.500,21.770,21.970,21.480,507760.000,sh600438,通威股份
2025-03-11,21.420,22.070,22.070,21.210,468352.000,sh600438,通威股份
2025-03-12,22.040,21.450,22.090,21.450,481397.000,sh600438,通威股份
2025-03-13,21.450,21.020,21.520,20.880,327527.000,sh600438,通威股份
2025-03-14,21.090,21.630,21.980,21.040,725660.000,sh600438,通威股份
2025-03-17,21.850,21.660,22.180,21.600,388033.000,sh600438,通威股份
2025-03-18,21.630,21.490,21.780,21.400,384910.000,sh600438,通威股份
2025-03-19,21.460,21.120,21.500,21.070,428326.000,sh600438,通威股份
2025-03-20,21.150,21.000,21.230,20.910,312767.000,sh600438,通威股份
2025-03-21,20.950,20.790,21.250,20.750,375558.000,sh600438,通威股份
2025-03-24,20.810,20.510,20.880,20.200,340989.000,sh600438,通威股份
2025-03-25,20.500,20.500,20.770,20.360,305871.000,sh600438,通威股份
2025-03-26,20.500,20.810,21.030,20.420,449184.000,sh600438,通威股份
2025-03-27,20.590,20.320,20.680,20.270,375354.000,sh600438,通威股份
2025-03-28,20.280,19.980,20.520,19.970,324471.000,sh600438,通威股份
2025-03-31,19.910,19.130,19.920,19.080,511178.000,sh600438,通威股份
2025-04-01,19.130,19.180,19.320,18.940,291660.000,sh600438,通威股份
2025-04-02,19.080,18.890,19.200,18.870,254133.000,sh600438,通威股份
2025-04-03,18.560,18.620,19.090,18.520,295910.000,sh600438,通威股份
2025-04-07,17.630,16.760,17.720,16.760,606507.000,sh600438,通威股份
2025-04-08,16.860,17.010,17.160,16.690,571093.000,sh600438,通威股份
2025-04-09,16.790,17.200,17.200,16.480,558460.000,sh600438,通威股份
2025-04-10,17.800,17.470,17.850,17.290,465716.000,sh600438,通威股份
2025-04-11,17.470,17.310,17.480,17.250,335032.000,sh600438,通威股份
2025-04-14,17.460,17.400,17.870,17.360,476632.000,sh600438,通威股份
2025-04-15,17.480,17.250,17.480,17.140,260622.000,sh600438,通威股份
