date,open,high,low,close,volume,code,name
2024-11-26,32.989,33.079,33.589,32.819,52596.000,sz300999,金龙鱼
2024-11-27,33.189,33.609,33.629,32.739,59630.000,sz300999,金龙鱼
2024-11-28,33.449,33.429,33.819,33.319,52536.000,sz300999,金龙鱼
2024-11-29,33.509,34.089,34.519,33.489,99661.000,sz300999,金龙鱼
2024-12-02,33.989,34.889,35.189,33.879,113284.000,sz300999,金龙鱼
2024-12-03,34.809,34.669,34.929,34.399,79108.000,sz300999,金龙鱼
2024-12-04,34.749,34.559,35.549,34.339,114586.000,sz300999,金龙鱼
2024-12-05,34.599,34.489,34.679,34.179,69742.000,sz300999,金龙鱼
2024-12-06,34.489,34.749,34.939,34.139,80300.000,sz300999,金龙鱼
2024-12-09,34.769,34.339,34.929,34.099,67665.000,sz300999,金龙鱼
2024-12-10,36.269,34.889,36.639,34.819,199578.000,sz300999,金龙鱼
2024-12-11,34.689,35.539,35.939,34.639,116616.000,sz300999,金龙鱼
2024-12-12,35.619,36.269,36.399,35.269,134087.000,sz300999,金龙鱼
2024-12-13,35.919,34.799,36.069,34.689,148503.000,sz300999,金龙鱼
2024-12-16,34.799,34.409,34.889,34.309,71037.000,sz300999,金龙鱼
2024-12-17,34.299,34.439,34.689,34.019,66883.000,sz300999,金龙鱼
2024-12-18,34.469,34.389,34.999,34.319,52905.000,sz300999,金龙鱼
2024-12-19,34.149,34.129,34.239,33.799,55115.000,sz300999,金龙鱼
2024-12-20,34.219,34.319,34.619,34.099,42964.000,sz300999,金龙鱼
2024-12-23,34.329,33.699,34.529,33.629,57573.000,sz300999,金龙鱼
2024-12-24,33.699,34.089,34.289,33.689,51209.000,sz300999,金龙鱼
2024-12-25,34.089,33.739,34.239,33.649,40378.000,sz300999,金龙鱼
2024-12-26,33.629,33.389,33.929,33.289,47447.000,sz300999,金龙鱼
2024-12-27,33.399,33.489,33.769,33.209,55518.000,sz300999,金龙鱼
2024-12-30,33.479,33.169,33.569,33.109,35867.000,sz300999,金龙鱼
2024-12-31,33.239,32.499,33.439,32.489,66945.000,sz300999,金龙鱼
2025-01-02,32.489,31.589,32.799,31.299,81966.000,sz300999,金龙鱼
2025-01-03,31.519,31.119,31.749,30.959,65788.000,sz300999,金龙鱼
2025-01-06,30.999,30.639,31.139,30.369,55171.000,sz300999,金龙鱼
2025-01-07,30.639,30.959,30.999,30.539,40940.000,sz300999,金龙鱼
2025-01-08,30.969,30.649,31.059,29.949,57127.000,sz300999,金龙鱼
2025-01-09,30.549,30.299,30.879,30.279,44030.000,sz300999,金龙鱼
2025-01-10,30.379,29.889,30.509,29.879,45717.000,sz300999,金龙鱼
2025-01-13,29.769,30.379,30.439,29.509,51172.000,sz300999,金龙鱼
2025-01-14,30.369,30.989,31.059,30.249,66426.000,sz300999,金龙鱼
2025-01-15,30.979,30.909,31.209,30.799,52224.000,sz300999,金龙鱼
2025-01-16,31.029,30.819,31.549,30.599,52122.000,sz300999,金龙鱼
2025-01-17,30.629,30.869,31.049,30.589,36243.000,sz300999,金龙鱼
2025-01-20,31.089,30.759,31.189,30.719,39098.000,sz300999,金龙鱼
2025-01-21,30.889,30.739,30.939,30.369,40871.000,sz300999,金龙鱼
2025-01-22,30.529,30.399,30.739,30.149,34378.000,sz300999,金龙鱼
2025-01-23,30.689,30.519,31.129,30.489,48609.000,sz300999,金龙鱼
2025-01-24,30.469,30.579,30.669,30.349,38460.000,sz300999,金龙鱼
2025-01-27,30.589,30.469,30.939,30.449,44287.000,sz300999,金龙鱼
2025-02-05,30.469,30.549,30.789,30.319,44169.000,sz300999,金龙鱼
2025-02-06,30.489,30.919,30.919,30.259,53697.000,sz300999,金龙鱼
2025-02-07,30.879,31.199,31.479,30.749,71805.000,sz300999,金龙鱼
2025-02-10,31.289,31.269,31.329,30.899,56633.000,sz300999,金龙鱼
2025-02-11,31.269,30.969,31.359,30.709,60727.000,sz300999,金龙鱼
2025-02-12,30.939,31.189,31.189,30.739,56791.000,sz300999,金龙鱼
2025-02-13,31.139,31.299,31.569,31.089,74912.000,sz300999,金龙鱼
2025-02-14,31.129,31.339,31.489,31.039,57477.000,sz300999,金龙鱼
2025-02-17,31.389,31.339,31.669,31.149,59916.000,sz300999,金龙鱼
2025-02-18,31.369,30.659,31.449,30.569,63403.000,sz300999,金龙鱼
2025-02-19,30.779,30.969,30.969,30.499,56718.000,sz300999,金龙鱼
2025-02-20,30.919,31.149,31.319,30.779,56917.000,sz300999,金龙鱼
2025-02-21,31.619,32.049,33.029,31.489,150341.000,sz300999,金龙鱼
2025-02-24,32.149,33.029,33.489,32.109,165888.000,sz300999,金龙鱼
2025-02-25,32.759,32.349,32.899,32.269,91220.000,sz300999,金龙鱼
2025-02-26,32.339,32.509,32.629,31.789,96159.000,sz300999,金龙鱼
2025-02-27,32.399,32.609,32.769,32.259,72055.000,sz300999,金龙鱼
2025-02-28,32.609,31.869,32.809,31.759,74350.000,sz300999,金龙鱼
2025-03-03,31.699,31.799,32.279,31.669,57387.000,sz300999,金龙鱼
2025-03-04,32.139,31.969,32.259,31.779,58175.000,sz300999,金龙鱼
2025-03-05,32.139,31.839,32.179,31.609,54325.000,sz300999,金龙鱼
2025-03-06,31.909,32.299,32.429,31.819,74434.000,sz300999,金龙鱼
2025-03-07,32.289,31.709,32.289,31.649,73480.000,sz300999,金龙鱼
2025-03-10,32.319,31.819,32.429,31.709,71107.000,sz300999,金龙鱼
2025-03-11,31.569,32.139,32.139,31.469,65009.000,sz300999,金龙鱼
2025-03-12,32.159,31.759,32.339,31.739,62200.000,sz300999,金龙鱼
2025-03-13,31.769,31.589,31.769,31.419,52293.000,sz300999,金龙鱼
2025-03-14,31.649,32.559,32.589,31.589,123600.000,sz300999,金龙鱼
2025-03-17,32.809,32.619,33.069,32.479,74053.000,sz300999,金龙鱼
2025-03-18,32.619,32.499,32.819,32.439,64053.000,sz300999,金龙鱼
2025-03-19,32.399,32.139,32.509,32.009,56045.000,sz300999,金龙鱼
2025-03-20,32.149,31.839,32.189,31.789,57452.000,sz300999,金龙鱼
2025-03-21,31.719,31.449,32.079,31.419,73894.000,sz300999,金龙鱼
2025-03-24,31.529,31.809,32.289,31.489,88288.000,sz300999,金龙鱼
2025-03-25,31.799,31.979,31.979,31.639,53113.000,sz300999,金龙鱼
2025-03-26,31.939,31.809,31.969,31.649,40796.000,sz300999,金龙鱼
2025-03-27,31.739,31.939,32.029,31.679,43959.000,sz300999,金龙鱼
2025-03-28,32.049,31.729,32.149,31.729,48084.000,sz300999,金龙鱼
2025-03-31,31.589,31.349,31.929,31.229,61090.000,sz300999,金龙鱼
2025-04-01,31.469,32.179,32.339,31.249,94748.000,sz300999,金龙鱼
2025-04-02,32.089,31.719,32.389,31.659,51760.000,sz300999,金龙鱼
2025-04-03,31.709,32.039,32.139,31.619,56759.000,sz300999,金龙鱼
2025-04-07,30.939,29.889,31.439,29.139,205445.000,sz300999,金龙鱼
2025-04-08,30.439,32.219,32.359,30.189,247565.000,sz300999,金龙鱼
2025-04-09,32.159,32.469,32.729,31.539,223554.000,sz300999,金龙鱼
2025-04-10,32.079,32.769,32.939,31.889,184429.000,sz300999,金龙鱼
2025-04-11,32.489,32.059,32.569,31.829,111272.000,sz300999,金龙鱼
2025-04-14,32.139,32.289,32.829,31.999,117374.000,sz300999,金龙鱼
2025-04-15,32.089,31.989,32.379,31.839,91372.000,sz300999,金龙鱼
