,open,high,low,close,volume,code,name
2024-11-26,80.5,82.42,80.08,80.09,21833098.0,sz300274,阳光电源
2024-11-27,79.5,81.85,78.23,81.7,33233640.0,sz300274,阳光电源
2024-11-28,81.19,81.97,80.31,80.32,19083836.0,sz300274,阳光电源
2024-11-29,80.2,82.12,79.56,81.28,28135621.0,sz300274,阳光电源
2024-12-02,79.84,82.08,79.0,81.83,30675871.0,sz300274,阳光电源
2024-12-03,82.33,84.23,81.92,83.11,33339891.0,sz300274,阳光电源
2024-12-04,82.28,82.79,79.86,79.91,34994479.0,sz300274,阳光电源
2024-12-05,79.51,79.7,78.5,78.9,27785719.0,sz300274,阳光电源
2024-12-06,78.01,81.2,78.01,80.69,32642344.0,sz300274,阳光电源
2024-12-09,80.38,80.4,78.1,78.77,30511471.0,sz300274,阳光电源
2024-12-10,81.93,82.0,78.31,78.51,38047725.0,sz300274,阳光电源
2024-12-11,78.45,79.26,77.17,78.87,23709618.0,sz300274,阳光电源
2024-12-12,78.62,79.8,78.23,79.1,23819187.0,sz300274,阳光电源
2024-12-13,78.69,78.7,76.38,76.47,33837237.0,sz300274,阳光电源
2024-12-16,76.41,76.66,75.3,75.66,20943354.0,sz300274,阳光电源
2024-12-17,75.45,77.2,75.05,75.23,25366628.0,sz300274,阳光电源
2024-12-18,75.45,76.49,75.0,75.44,18483303.0,sz300274,阳光电源
2024-12-19,75.0,75.58,74.28,75.27,20151528.0,sz300274,阳光电源
2024-12-20,75.4,75.45,74.02,74.09,26302284.0,sz300274,阳光电源
2024-12-23,73.66,76.75,73.64,74.99,47339097.0,sz300274,阳光电源
2024-12-24,74.74,79.07,74.6,78.53,62169956.0,sz300274,阳光电源
2024-12-25,78.5,78.82,77.0,77.9,30002247.0,sz300274,阳光电源
2024-12-26,78.1,78.5,77.0,78.0,25048776.0,sz300274,阳光电源
2024-12-27,77.8,77.89,75.39,75.68,35273552.0,sz300274,阳光电源
2024-12-30,75.58,76.63,74.86,75.09,22609583.0,sz300274,阳光电源
2024-12-31,75.0,77.22,73.52,73.83,30255304.0,sz300274,阳光电源
2025-01-02,73.84,74.2,71.4,71.91,31041100.0,sz300274,阳光电源
2025-01-03,71.93,72.39,69.78,69.83,27948019.0,sz300274,阳光电源
2025-01-06,70.65,73.17,69.9,71.66,39273949.0,sz300274,阳光电源
2025-01-07,71.1,72.0,70.25,71.66,21301938.0,sz300274,阳光电源
2025-01-08,71.3,73.78,70.76,72.79,35431471.0,sz300274,阳光电源
2025-01-09,72.0,75.24,71.95,72.62,27930259.0,sz300274,阳光电源
2025-01-10,72.5,73.05,71.13,71.15,17061304.0,sz300274,阳光电源
2025-01-13,70.5,73.18,70.4,71.67,19032489.0,sz300274,阳光电源
2025-01-14,71.77,74.08,71.01,73.88,29411947.0,sz300274,阳光电源
2025-01-15,73.11,74.17,72.01,73.25,30408560.0,sz300274,阳光电源
2025-01-16,73.0,75.16,73.0,74.18,24704239.0,sz300274,阳光电源
2025-01-17,73.4,75.88,73.2,75.05,28832999.0,sz300274,阳光电源
2025-01-20,76.9,79.03,76.58,77.37,56291786.0,sz300274,阳光电源
2025-01-21,77.24,77.24,75.4,75.93,29542942.0,sz300274,阳光电源
2025-01-22,75.65,75.9,73.45,73.65,31188314.0,sz300274,阳光电源
2025-01-23,74.22,75.35,73.6,74.09,29210600.0,sz300274,阳光电源
2025-01-24,73.63,75.49,73.4,74.14,27794776.0,sz300274,阳光电源
2025-01-27,74.14,74.5,72.08,72.1,20866960.0,sz300274,阳光电源
2025-02-05,71.95,72.49,70.41,70.8,27055849.0,sz300274,阳光电源
2025-02-06,71.0,71.5,68.68,71.5,42559502.0,sz300274,阳光电源
2025-02-07,71.2,75.0,70.81,74.4,52818384.0,sz300274,阳光电源
2025-02-10,74.18,74.18,70.6,72.13,71524972.0,sz300274,阳光电源
2025-02-11,71.61,71.78,70.71,70.81,28068888.0,sz300274,阳光电源
2025-02-12,70.5,71.05,69.9,70.83,37104179.0,sz300274,阳光电源
2025-02-13,70.5,70.93,69.97,69.97,28254440.0,sz300274,阳光电源
2025-02-14,69.57,70.7,69.48,69.64,27073146.0,sz300274,阳光电源
2025-02-17,69.64,69.65,68.08,68.24,44947056.0,sz300274,阳光电源
2025-02-18,69.26,70.39,68.52,68.71,49129216.0,sz300274,阳光电源
2025-02-19,68.03,68.4,67.2,68.25,44421724.0,sz300274,阳光电源
2025-02-20,67.87,67.91,66.69,67.12,39498637.0,sz300274,阳光电源
2025-02-21,67.17,68.25,67.11,67.47,47845201.0,sz300274,阳光电源
2025-02-24,67.21,68.75,66.47,68.07,43083930.0,sz300274,阳光电源
2025-02-25,67.23,68.36,67.02,67.13,35211128.0,sz300274,阳光电源
2025-02-26,67.11,70.2,67.1,70.16,72371253.0,sz300274,阳光电源
2025-02-27,70.5,73.03,70.4,71.83,84553441.0,sz300274,阳光电源
2025-02-28,71.7,73.68,70.71,70.9,57544211.0,sz300274,阳光电源
2025-03-03,70.7,73.88,70.7,72.57,59788580.0,sz300274,阳光电源
2025-03-04,71.5,71.71,70.05,70.65,36149709.0,sz300274,阳光电源
2025-03-05,70.5,70.64,67.99,68.23,48502661.0,sz300274,阳光电源
2025-03-06,68.25,69.26,67.5,68.7,40358184.0,sz300274,阳光电源
2025-03-07,68.26,68.74,67.39,67.74,33799946.0,sz300274,阳光电源
2025-03-10,68.01,68.88,67.41,68.27,29067503.0,sz300274,阳光电源
2025-03-11,67.52,67.75,67.1,67.73,27828271.0,sz300274,阳光电源
2025-03-12,67.9,68.12,67.28,67.53,26077958.0,sz300274,阳光电源
2025-03-13,67.53,69.0,67.32,67.6,30200754.0,sz300274,阳光电源
2025-03-14,67.66,69.12,66.92,68.75,44762574.0,sz300274,阳光电源
2025-03-17,68.85,69.88,68.71,68.78,29643851.0,sz300274,阳光电源
2025-03-18,68.99,70.3,68.85,70.09,38422954.0,sz300274,阳光电源
2025-03-19,69.51,70.7,68.56,69.58,38137834.0,sz300274,阳光电源
2025-03-20,69.5,70.05,68.57,68.57,23870054.0,sz300274,阳光电源
2025-03-21,68.26,69.08,67.53,67.6,25284680.0,sz300274,阳光电源
2025-03-24,67.8,67.83,66.5,66.84,25155256.0,sz300274,阳光电源
2025-03-25,67.41,72.5,67.26,72.0,95210671.0,sz300274,阳光电源
2025-03-26,71.01,73.5,70.89,71.92,64017192.0,sz300274,阳光电源
2025-03-27,71.93,72.5,70.58,71.8,30829822.0,sz300274,阳光电源
2025-03-28,71.98,74.11,71.82,72.29,42005574.0,sz300274,阳光电源
2025-03-31,72.32,73.6,69.24,69.41,45283622.0,sz300274,阳光电源
2025-04-01,69.43,73.3,69.43,72.38,46416850.0,sz300274,阳光电源
2025-04-02,72.5,72.95,71.8,72.47,25461837.0,sz300274,阳光电源
2025-04-03,70.44,70.46,67.03,67.2,81835826.0,sz300274,阳光电源
2025-04-07,60.0,62.0,53.76,55.7,96744935.0,sz300274,阳光电源
2025-04-08,55.69,57.5,55.24,55.71,53365311.0,sz300274,阳光电源
2025-04-09,54.0,56.97,52.98,56.16,46152052.0,sz300274,阳光电源
2025-04-10,59.75,59.89,57.6,57.7,45202905.0,sz300274,阳光电源
2025-04-11,56.98,58.39,56.43,57.71,33518253.0,sz300274,阳光电源
2025-04-14,58.5,58.65,57.7,57.91,26378830.0,sz300274,阳光电源
2025-04-15,57.92,57.96,56.8,57.29,21842299.0,sz300274,阳光电源
2025-04-16,56.92,56.99,55.5,56.24,22227089.0,sz300274,阳光电源
2025-04-17,55.73,56.29,55.61,55.77,17660792.0,sz300274,阳光电源
2025-04-18,55.79,56.45,55.6,56.07,17682603.0,sz300274,阳光电源
2025-04-21,56.3,56.95,55.8,56.69,18105120.0,sz300274,阳光电源
2025-04-22,56.36,57.42,56.2,56.24,19902426.0,sz300274,阳光电源
2025-04-23,57.12,59.0,57.12,58.22,45406028.0,sz300274,阳光电源
2025-04-24,58.16,58.21,56.74,56.8,23971676.0,sz300274,阳光电源
2025-04-25,57.1,59.8,57.1,58.82,40302137.0,sz300274,阳光电源
2025-04-28,62.5,63.56,62.2,62.6,63889281.0,sz300274,阳光电源
2025-04-29,63.35,63.5,61.19,61.3,32158569.0,sz300274,阳光电源
2025-04-30,61.3,61.73,60.51,60.6,23186830.0,sz300274,阳光电源
2025-05-06,60.98,62.6,60.86,62.19,30417289.0,sz300274,阳光电源
2025-05-07,63.55,64.64,61.62,62.1,40233547.0,sz300274,阳光电源
2025-05-08,61.6,64.3,61.41,63.95,41818202.0,sz300274,阳光电源
2025-05-09,63.58,63.6,62.0,62.52,26577893.0,sz300274,阳光电源
2025-05-12,65.74,67.64,65.1,67.15,75218749.0,sz300274,阳光电源
2025-05-13,68.44,69.75,67.64,67.8,64120086.0,sz300274,阳光电源
2025-05-14,66.79,67.29,65.58,66.07,49138614.0,sz300274,阳光电源
2025-05-15,65.7,65.71,63.92,64.4,36389312.0,sz300274,阳光电源
2025-05-16,64.15,67.8,64.0,65.31,44101466.0,sz300274,阳光电源
2025-05-19,65.0,65.15,64.22,64.45,18947018.0,sz300274,阳光电源
2025-05-20,64.5,64.59,62.9,63.66,30130842.0,sz300274,阳光电源
2025-05-21,63.76,64.77,63.37,64.23,23449263.0,sz300274,阳光电源
2025-05-22,63.6,63.9,62.5,62.51,26743266.0,sz300274,阳光电源
2025-05-23,61.88,62.03,60.53,60.6,52225373.0,sz300274,阳光电源
2025-05-26,60.2,61.55,60.2,60.88,20402633.0,sz300274,阳光电源
2025-05-27,60.9,61.0,60.36,60.56,13933633.0,sz300274,阳光电源
2025-05-28,60.86,61.08,60.12,60.28,13717005.0,sz300274,阳光电源
2025-05-29,60.92,61.25,60.59,61.04,19767226.0,sz300274,阳光电源
2025-05-30,60.7,60.75,60.13,60.39,17166576.0,sz300274,阳光电源
2025-06-03,59.98,60.48,59.87,60.2,12181757.0,sz300274,阳光电源
2025-06-04,60.46,61.3,60.45,60.97,17609011.0,sz300274,阳光电源
2025-06-05,61.13,61.5,60.53,61.34,20313664.0,sz300274,阳光电源
