date,open,high,low,close,volume,code,name
2024-11-25,22.412,21.902,22.442,21.882,262445.000,sh601225,陕西煤业
2024-11-26,21.832,22.102,22.382,21.722,223470.000,sh601225,陕西煤业
2024-11-27,22.112,22.342,22.422,21.872,222872.000,sh601225,陕西煤业
2024-11-28,22.342,22.082,22.582,22.042,224052.000,sh601225,陕西煤业
2024-11-29,22.192,22.072,22.342,21.892,228668.000,sh601225,陕西煤业
2024-12-02,22.112,22.242,22.312,21.782,298848.000,sh601225,陕西煤业
2024-12-03,22.252,22.792,22.892,22.172,477697.000,sh601225,陕西煤业
2024-12-04,22.722,23.642,23.822,22.692,618471.000,sh601225,陕西煤业
2024-12-05,23.642,23.672,23.762,23.452,312542.000,sh601225,陕西煤业
2024-12-06,23.762,23.512,23.892,23.502,305187.000,sh601225,陕西煤业
2024-12-09,23.702,23.302,23.702,22.662,444790.000,sh601225,陕西煤业
2024-12-10,23.812,23.332,23.812,23.242,383553.000,sh601225,陕西煤业
2024-12-11,23.392,23.972,24.072,23.272,382019.000,sh601225,陕西煤业
2024-12-12,24.152,23.902,24.152,23.722,261750.000,sh601225,陕西煤业
2024-12-13,23.662,23.332,23.892,23.322,386227.000,sh601225,陕西煤业
2024-12-16,23.572,23.652,23.802,23.352,295779.000,sh601225,陕西煤业
2024-12-17,23.812,24.022,24.372,23.752,348591.000,sh601225,陕西煤业
2024-12-18,24.172,23.902,24.242,23.842,324054.000,sh601225,陕西煤业
2024-12-19,23.702,23.262,24.012,23.152,286852.000,sh601225,陕西煤业
2024-12-20,23.152,22.362,23.152,22.232,557535.000,sh601225,陕西煤业
2024-12-23,22.312,22.312,22.662,22.202,317283.000,sh601225,陕西煤业
2024-12-24,22.292,21.992,22.372,21.872,475389.000,sh601225,陕西煤业
2024-12-25,22.032,22.172,22.392,21.952,385307.000,sh601225,陕西煤业
2024-12-26,22.172,21.692,22.212,21.672,396678.000,sh601225,陕西煤业
2024-12-27,21.732,21.512,21.822,21.102,549453.000,sh601225,陕西煤业
2024-12-30,21.602,22.062,22.172,21.552,483413.000,sh601225,陕西煤业
2024-12-31,21.972,21.982,22.352,21.972,379943.000,sh601225,陕西煤业
2025-01-02,22.102,21.842,22.502,21.832,361110.000,sh601225,陕西煤业
2025-01-03,21.982,22.252,22.452,21.852,407307.000,sh601225,陕西煤业
2025-01-06,22.242,21.882,22.242,21.542,326326.000,sh601225,陕西煤业
2025-01-07,21.902,21.352,21.902,21.242,255722.000,sh601225,陕西煤业
2025-01-08,21.402,21.262,21.482,21.082,248148.000,sh601225,陕西煤业
2025-01-09,21.262,20.822,21.262,20.522,282038.000,sh601225,陕西煤业
2025-01-10,20.962,20.872,21.132,20.532,277029.000,sh601225,陕西煤业
2025-01-13,20.872,20.832,21.202,20.722,226947.000,sh601225,陕西煤业
2025-01-14,20.962,20.892,21.002,20.582,298999.000,sh601225,陕西煤业
2025-01-15,20.802,20.622,21.152,20.502,429792.000,sh601225,陕西煤业
2025-01-16,20.732,21.052,21.142,20.662,387165.000,sh601225,陕西煤业
2025-01-17,21.225,20.765,21.455,20.725,334343.000,sh601225,陕西煤业
2025-01-20,20.775,20.665,21.025,20.425,318287.000,sh601225,陕西煤业
2025-01-21,20.715,20.335,20.725,20.155,344939.000,sh601225,陕西煤业
2025-01-22,20.335,19.895,20.425,19.845,357223.000,sh601225,陕西煤业
2025-01-23,20.025,20.175,20.255,19.885,266733.000,sh601225,陕西煤业
2025-01-24,20.105,20.405,20.775,20.045,357708.000,sh601225,陕西煤业
2025-01-27,20.515,20.575,20.775,20.405,215875.000,sh601225,陕西煤业
2025-02-05,20.625,19.695,20.725,19.625,439520.000,sh601225,陕西煤业
2025-02-06,19.695,19.685,19.815,19.475,366617.000,sh601225,陕西煤业
2025-02-07,19.605,20.095,20.185,19.475,332349.000,sh601225,陕西煤业
2025-02-10,20.045,20.025,20.215,19.745,265366.000,sh601225,陕西煤业
2025-02-11,20.035,20.025,20.235,19.765,335421.000,sh601225,陕西煤业
2025-02-12,20.025,19.955,20.135,19.825,271015.000,sh601225,陕西煤业
2025-02-13,19.995,19.935,20.165,19.855,291618.000,sh601225,陕西煤业
2025-02-14,19.975,20.015,20.165,19.855,291250.000,sh601225,陕西煤业
2025-02-17,20.015,19.405,20.055,19.245,552103.000,sh601225,陕西煤业
2025-02-18,19.305,18.985,19.365,18.935,421616.000,sh601225,陕西煤业
2025-02-19,18.985,18.655,18.985,18.565,469143.000,sh601225,陕西煤业
2025-02-20,18.635,18.355,18.685,18.275,443145.000,sh601225,陕西煤业
2025-02-21,18.335,18.355,18.515,18.205,455002.000,sh601225,陕西煤业
2025-02-24,18.215,18.375,18.495,18.075,498505.000,sh601225,陕西煤业
2025-02-25,18.375,18.425,18.735,18.135,519047.000,sh601225,陕西煤业
2025-02-26,18.425,18.295,18.665,18.245,350949.000,sh601225,陕西煤业
2025-02-27,18.255,18.155,18.325,17.975,334086.000,sh601225,陕西煤业
2025-02-28,18.185,17.775,18.265,17.775,477420.000,sh601225,陕西煤业
2025-03-03,17.845,17.865,18.105,17.805,368974.000,sh601225,陕西煤业
2025-03-04,17.855,17.575,17.895,17.525,321669.000,sh601225,陕西煤业
2025-03-05,17.585,17.545,17.665,17.415,249562.000,sh601225,陕西煤业
2025-03-06,17.575,17.685,17.715,17.425,262195.000,sh601225,陕西煤业
2025-03-07,17.775,17.735,17.975,17.645,347284.000,sh601225,陕西煤业
2025-03-10,17.705,18.165,18.225,17.705,433229.000,sh601225,陕西煤业
2025-03-11,18.005,18.075,18.385,17.935,419854.000,sh601225,陕西煤业
2025-03-12,18.025,17.845,18.165,17.835,290118.000,sh601225,陕西煤业
2025-03-13,17.885,18.985,19.285,17.855,1208383.000,sh601225,陕西煤业
2025-03-14,18.995,19.025,19.145,18.855,623174.000,sh601225,陕西煤业
2025-03-17,19.035,18.935,19.355,18.915,517762.000,sh601225,陕西煤业
2025-03-18,18.975,18.855,19.045,18.715,384362.000,sh601225,陕西煤业
2025-03-19,18.755,18.605,18.885,18.515,434806.000,sh601225,陕西煤业
2025-03-20,18.665,18.555,18.945,18.515,468440.000,sh601225,陕西煤业
2025-03-21,18.435,18.725,18.905,18.435,536995.000,sh601225,陕西煤业
2025-03-24,18.635,18.795,19.175,18.635,392919.000,sh601225,陕西煤业
2025-03-25,18.825,19.075,19.175,18.705,418944.000,sh601225,陕西煤业
2025-03-26,19.065,19.135,19.255,18.895,336056.000,sh601225,陕西煤业
2025-03-27,19.045,18.965,19.225,18.885,267096.000,sh601225,陕西煤业
2025-03-28,18.925,18.695,19.025,18.605,243726.000,sh601225,陕西煤业
2025-03-31,18.645,18.635,18.905,18.505,265718.000,sh601225,陕西煤业
2025-04-01,18.585,18.895,18.915,18.525,266561.000,sh601225,陕西煤业
2025-04-02,18.895,19.035,19.205,18.825,294143.000,sh601225,陕西煤业
2025-04-03,18.705,18.885,19.025,18.625,315021.000,sh601225,陕西煤业
2025-04-07,18.035,17.855,18.405,17.425,822946.000,sh601225,陕西煤业
2025-04-08,18.215,18.485,18.485,17.895,567980.000,sh601225,陕西煤业
2025-04-09,18.295,18.475,18.475,17.815,593827.000,sh601225,陕西煤业
2025-04-10,18.465,18.225,18.465,18.085,372815.000,sh601225,陕西煤业
2025-04-11,18.305,17.875,18.305,17.835,333251.000,sh601225,陕西煤业
2025-04-14,17.925,18.725,18.805,17.855,488364.000,sh601225,陕西煤业
2025-04-15,18.725,19.125,19.275,18.555,445886.000,sh601225,陕西煤业
2025-04-16,19.125,19.325,19.325,18.785,400108.000,sh601225,陕西煤业
2025-04-17,19.245,19.375,19.425,19.025,323054.000,sh601225,陕西煤业
2025-04-18,19.305,19.115,19.305,19.065,193121.000,sh601225,陕西煤业
2025-04-21,19.115,18.975,19.195,18.805,308490.000,sh601225,陕西煤业
2025-04-22,18.975,19.105,19.295,18.935,219490.000,sh601225,陕西煤业
2025-04-23,19.185,19.055,19.205,18.975,171568.000,sh601225,陕西煤业
2025-04-24,19.105,19.325,19.525,19.035,274982.000,sh601225,陕西煤业
2025-04-25,19.275,18.825,19.275,18.815,299678.000,sh601225,陕西煤业
2025-04-28,18.825,18.595,18.865,18.375,385714.000,sh601225,陕西煤业
2025-04-29,18.575,18.405,18.805,18.405,259025.000,sh601225,陕西煤业
2025-04-30,18.385,17.995,18.475,17.975,456269.000,sh601225,陕西煤业
2025-05-06,18.075,18.035,18.105,17.895,345403.000,sh601225,陕西煤业
2025-05-07,18.265,18.125,18.315,18.055,454628.000,sh601225,陕西煤业
2025-05-08,18.055,18.285,18.345,18.005,307198.000,sh601225,陕西煤业
2025-05-09,18.235,18.395,18.475,18.065,376892.000,sh601225,陕西煤业
2025-05-12,18.395,18.305,18.445,18.125,394315.000,sh601225,陕西煤业
2025-05-13,18.355,18.335,18.555,18.245,414126.000,sh601225,陕西煤业
2025-05-14,18.335,18.585,18.825,18.335,568386.000,sh601225,陕西煤业
2025-05-15,18.585,18.775,19.205,18.575,564398.000,sh601225,陕西煤业
2025-05-16,18.765,18.905,18.945,18.655,366578.000,sh601225,陕西煤业
2025-05-19,18.945,19.025,19.095,18.825,317336.000,sh601225,陕西煤业
2025-05-20,19.035,18.805,19.165,18.775,334936.000,sh601225,陕西煤业
2025-05-21,18.825,19.735,19.985,18.825,760732.000,sh601225,陕西煤业
