date,open,high,low,close,volume,code,name
2024-11-25,17.700,17.810,17.920,17.550,711744.000,sh601012,隆基绿能
2024-11-26,17.990,18.000,18.550,17.900,937228.000,sh601012,隆基绿能
2024-11-27,18.050,18.350,18.390,17.870,754879.000,sh601012,隆基绿能
2024-11-28,18.200,18.270,18.760,18.140,688243.000,sh601012,隆基绿能
2024-11-29,18.300,18.500,18.640,18.180,810694.000,sh601012,隆基绿能
2024-12-02,18.180,18.430,18.450,17.770,1022824.000,sh601012,隆基绿能
2024-12-03,18.550,18.480,18.690,18.250,774523.000,sh601012,隆基绿能
2024-12-04,18.360,17.930,18.500,17.900,841096.000,sh601012,隆基绿能
2024-12-05,17.780,17.940,18.000,17.780,521150.000,sh601012,隆基绿能
2024-12-06,17.950,17.850,17.960,17.380,1070963.000,sh601012,隆基绿能
2024-12-09,17.860,17.630,17.900,17.550,712009.000,sh601012,隆基绿能
2024-12-10,18.160,17.620,18.240,17.560,935928.000,sh601012,隆基绿能
2024-12-11,17.550,17.690,17.780,17.530,555535.000,sh601012,隆基绿能
2024-12-12,17.570,17.780,17.870,17.520,617914.000,sh601012,隆基绿能
2024-12-13,17.690,17.020,17.690,17.010,1262503.000,sh601012,隆基绿能
2024-12-16,17.090,16.860,17.160,16.740,743620.000,sh601012,隆基绿能
2024-12-17,16.750,16.680,16.850,16.600,665760.000,sh601012,隆基绿能
2024-12-18,16.790,16.630,16.830,16.580,485289.000,sh601012,隆基绿能
2024-12-19,16.400,16.620,16.740,16.250,649769.000,sh601012,隆基绿能
2024-12-20,16.630,16.340,16.690,16.310,752484.000,sh601012,隆基绿能
2024-12-23,16.310,16.240,16.600,16.200,829532.000,sh601012,隆基绿能
2024-12-24,16.220,16.390,16.590,16.200,802712.000,sh601012,隆基绿能
2024-12-25,16.650,16.360,16.690,16.310,555859.000,sh601012,隆基绿能
2024-12-26,16.420,16.190,16.420,16.130,582441.000,sh601012,隆基绿能
2024-12-27,16.230,16.150,16.320,16.050,610831.000,sh601012,隆基绿能
2024-12-30,16.170,16.240,16.270,16.020,572914.000,sh601012,隆基绿能
2024-12-31,16.200,15.710,16.400,15.700,871134.000,sh601012,隆基绿能
2025-01-02,15.700,15.430,15.800,15.300,828253.000,sh601012,隆基绿能
2025-01-03,15.430,15.000,15.560,14.970,722007.000,sh601012,隆基绿能
2025-01-06,15.000,15.170,15.280,14.910,648292.000,sh601012,隆基绿能
2025-01-07,15.050,15.240,15.270,15.020,466371.000,sh601012,隆基绿能
2025-01-08,15.240,15.090,15.280,14.810,600621.000,sh601012,隆基绿能
2025-01-09,15.000,14.980,15.170,14.930,507011.000,sh601012,隆基绿能
2025-01-10,14.950,14.460,15.000,14.460,639163.000,sh601012,隆基绿能
2025-01-13,14.350,14.630,14.720,14.290,532879.000,sh601012,隆基绿能
2025-01-14,14.700,15.110,15.150,14.600,673008.000,sh601012,隆基绿能
2025-01-15,15.060,15.260,15.750,14.880,1109179.000,sh601012,隆基绿能
2025-01-16,15.200,15.400,15.600,15.170,723885.000,sh601012,隆基绿能
2025-01-17,15.190,15.160,15.630,15.090,747099.000,sh601012,隆基绿能
2025-01-20,15.220,15.140,15.350,15.130,502214.000,sh601012,隆基绿能
2025-01-21,15.200,14.800,15.240,14.720,663244.000,sh601012,隆基绿能
2025-01-22,14.750,14.610,14.760,14.440,541160.000,sh601012,隆基绿能
2025-01-23,14.680,14.530,14.940,14.520,685033.000,sh601012,隆基绿能
2025-01-24,14.500,14.960,15.040,14.460,872513.000,sh601012,隆基绿能
2025-01-27,14.960,14.900,15.290,14.800,636604.000,sh601012,隆基绿能
2025-02-05,15.010,15.080,15.280,14.860,644033.000,sh601012,隆基绿能
2025-02-06,15.010,15.430,15.440,14.810,820770.000,sh601012,隆基绿能
2025-02-07,15.440,16.230,16.550,15.400,1985331.000,sh601012,隆基绿能
2025-02-10,16.300,16.030,16.300,15.780,1211385.000,sh601012,隆基绿能
2025-02-11,16.080,15.680,16.140,15.580,981806.000,sh601012,隆基绿能
2025-02-12,15.700,15.850,15.850,15.560,802595.000,sh601012,隆基绿能
2025-02-13,15.800,15.720,15.910,15.700,702440.000,sh601012,隆基绿能
2025-02-14,15.710,15.810,16.020,15.680,631708.000,sh601012,隆基绿能
2025-02-17,15.710,16.040,16.160,15.710,1019101.000,sh601012,隆基绿能
2025-02-18,16.060,15.830,16.360,15.790,1140964.000,sh601012,隆基绿能
2025-02-19,15.700,16.350,16.660,15.680,1477535.000,sh601012,隆基绿能
2025-02-20,16.340,16.040,16.340,15.970,875437.000,sh601012,隆基绿能
2025-02-21,16.090,16.150,16.250,15.960,748501.000,sh601012,隆基绿能
2025-02-24,16.150,16.360,16.470,16.050,975912.000,sh601012,隆基绿能
2025-02-25,16.230,16.450,16.700,16.160,1283760.000,sh601012,隆基绿能
2025-02-26,16.630,17.430,17.490,16.560,2507746.000,sh601012,隆基绿能
2025-02-27,17.490,17.100,17.500,16.840,1502630.000,sh601012,隆基绿能
2025-02-28,17.100,16.710,17.300,16.640,1129931.000,sh601012,隆基绿能
2025-03-03,16.700,17.010,17.300,16.700,1284771.000,sh601012,隆基绿能
2025-03-04,16.950,17.430,17.490,16.800,1419206.000,sh601012,隆基绿能
2025-03-05,17.370,17.060,17.370,16.880,1033170.000,sh601012,隆基绿能
2025-03-06,17.170,17.130,17.260,16.910,922565.000,sh601012,隆基绿能
2025-03-07,17.130,17.350,17.550,16.850,1487507.000,sh601012,隆基绿能
2025-03-10,17.410,17.220,17.550,17.070,899868.000,sh601012,隆基绿能
