date,open,high,low,close,volume,code,name
2024-11-29,6.210,6.170,6.220,6.110,19627702.000,hk00288,万洲国际
2024-12-02,6.210,6.260,6.290,6.200,16049086.000,hk00288,万洲国际
2024-12-03,6.160,6.210,6.210,6.050,30424945.000,hk00288,万洲国际
2024-12-04,6.210,6.350,6.380,6.150,23671985.000,hk00288,万洲国际
2024-12-05,6.250,6.370,6.400,6.250,16423358.000,hk00288,万洲国际
2024-12-06,6.400,6.250,6.430,6.210,32383508.000,hk00288,万洲国际
2024-12-09,6.250,6.250,6.340,6.140,38980591.000,hk00288,万洲国际
2024-12-10,6.370,6.370,6.470,6.330,31991112.000,hk00288,万洲国际
2024-12-11,6.460,6.470,6.530,6.390,31140865.000,hk00288,万洲国际
2024-12-12,6.460,6.600,6.630,6.450,29629438.000,hk00288,万洲国际
2024-12-13,6.590,6.510,6.610,6.440,37696039.000,hk00288,万洲国际
2024-12-16,6.510,6.410,6.540,6.350,19271633.000,hk00288,万洲国际
2024-12-17,6.330,6.260,6.410,6.220,31527215.000,hk00288,万洲国际
2024-12-18,6.310,6.330,6.360,6.180,22098391.000,hk00288,万洲国际
2024-12-19,6.160,6.100,6.240,6.070,35019424.000,hk00288,万洲国际
2024-12-20,6.110,6.000,6.160,5.840,50687373.000,hk00288,万洲国际
2024-12-23,6.000,5.920,6.030,5.890,17273283.000,hk00288,万洲国际
2024-12-24,5.920,5.940,5.960,5.850,8349629.000,hk00288,万洲国际
2024-12-27,5.920,5.970,6.000,5.880,17224986.000,hk00288,万洲国际
2024-12-30,5.980,5.970,6.040,5.950,17102741.000,hk00288,万洲国际
2024-12-31,5.930,6.010,6.100,5.930,13524281.000,hk00288,万洲国际
2025-01-02,5.980,5.940,6.000,5.900,21984434.000,hk00288,万洲国际
2025-01-03,5.940,5.980,6.000,5.910,22104191.000,hk00288,万洲国际
2025-01-06,6.030,5.880,6.050,5.850,22827522.000,hk00288,万洲国际
2025-01-07,5.880,5.790,5.990,5.760,23260109.000,hk00288,万洲国际
2025-01-08,5.750,5.960,5.960,5.730,27554692.000,hk00288,万洲国际
2025-01-09,5.960,5.850,5.960,5.820,11472838.000,hk00288,万洲国际
2025-01-10,5.890,5.910,5.960,5.870,15672419.000,hk00288,万洲国际
2025-01-13,5.850,5.800,5.890,5.760,15345101.000,hk00288,万洲国际
2025-01-14,5.830,5.950,6.050,5.780,33723668.000,hk00288,万洲国际
2025-01-15,5.940,5.990,6.040,5.930,24080801.000,hk00288,万洲国际
2025-01-16,6.000,5.960,6.010,5.870,17161459.000,hk00288,万洲国际
2025-01-17,5.960,6.040,6.040,5.910,20981608.000,hk00288,万洲国际
2025-01-20,6.060,6.200,6.280,6.050,45869471.000,hk00288,万洲国际
2025-01-21,6.260,6.480,6.480,6.260,50110061.000,hk00288,万洲国际
2025-01-22,6.560,6.470,6.620,6.430,39287910.000,hk00288,万洲国际
2025-01-23,6.490,6.220,6.490,6.170,24560143.000,hk00288,万洲国际
2025-01-24,6.210,6.240,6.600,6.210,26963148.000,hk00288,万洲国际
2025-01-27,6.240,6.240,6.340,6.190,17127752.000,hk00288,万洲国际
2025-01-28,6.250,6.070,6.260,6.040,23105794.000,hk00288,万洲国际
2025-02-03,6.030,6.230,6.410,6.030,32826344.000,hk00288,万洲国际
2025-02-04,6.330,6.200,6.340,6.130,26626497.000,hk00288,万洲国际
2025-02-05,6.260,6.250,6.310,6.150,24706880.000,hk00288,万洲国际
2025-02-06,6.240,6.150,6.250,6.120,26189943.000,hk00288,万洲国际
2025-02-07,6.130,6.110,6.160,6.000,21891084.000,hk00288,万洲国际
2025-02-10,6.090,6.080,6.160,6.040,21448416.000,hk00288,万洲国际
2025-02-11,6.050,5.970,6.120,5.910,30267731.000,hk00288,万洲国际
2025-02-12,6.150,6.180,6.200,6.040,34137421.000,hk00288,万洲国际
2025-02-13,6.180,6.100,6.180,5.960,30427715.000,hk00288,万洲国际
2025-02-14,5.960,5.960,6.060,5.920,39443673.000,hk00288,万洲国际
2025-02-17,5.890,5.880,5.960,5.880,45005540.000,hk00288,万洲国际
2025-02-18,5.920,5.950,5.970,5.840,40463354.000,hk00288,万洲国际
2025-02-19,5.890,6.020,6.050,5.890,50388333.000,hk00288,万洲国际
2025-02-20,6.000,6.060,6.110,5.970,30593031.000,hk00288,万洲国际
2025-02-21,6.230,6.180,6.280,6.130,45836690.000,hk00288,万洲国际
2025-02-24,6.280,6.170,6.310,6.130,17455598.000,hk00288,万洲国际
2025-02-25,6.030,6.280,6.320,6.030,32185752.000,hk00288,万洲国际
2025-02-26,6.280,6.250,6.360,6.160,30400392.000,hk00288,万洲国际
2025-02-27,6.220,6.390,6.420,6.200,42141345.000,hk00288,万洲国际
2025-02-28,6.350,6.340,6.380,6.260,58528549.000,hk00288,万洲国际
2025-03-03,6.310,6.380,6.430,6.260,44458939.000,hk00288,万洲国际
2025-03-04,6.320,6.500,6.520,6.300,46795706.000,hk00288,万洲国际
2025-03-05,6.500,6.740,6.780,6.500,53270503.000,hk00288,万洲国际
2025-03-06,6.820,6.850,6.890,6.670,30833575.000,hk00288,万洲国际
2025-03-07,6.900,6.910,6.950,6.770,42365366.000,hk00288,万洲国际
2025-03-10,6.940,6.910,7.000,6.850,33518762.000,hk00288,万洲国际
2025-03-11,6.850,6.910,6.940,6.840,62470048.000,hk00288,万洲国际
2025-03-12,6.870,6.860,6.940,6.800,41677962.000,hk00288,万洲国际
2025-03-13,6.740,6.720,6.800,6.630,50164852.000,hk00288,万洲国际
2025-03-14,6.700,6.550,6.720,6.460,58324029.000,hk00288,万洲国际
2025-03-17,6.570,6.700,6.770,6.560,43640864.000,hk00288,万洲国际
2025-03-18,6.670,6.710,6.780,6.620,30587190.000,hk00288,万洲国际
2025-03-19,6.680,6.820,6.840,6.660,18987099.000,hk00288,万洲国际
2025-03-20,6.770,6.780,6.810,6.710,11178717.000,hk00288,万洲国际
2025-03-21,6.740,6.760,6.870,6.720,62023075.000,hk00288,万洲国际
2025-03-24,6.780,6.740,6.840,6.730,26882754.000,hk00288,万洲国际
2025-03-25,6.650,6.660,6.780,6.620,32637287.000,hk00288,万洲国际
2025-03-26,6.800,6.920,7.120,6.790,47762860.000,hk00288,万洲国际
2025-03-27,6.930,6.960,6.980,6.740,33698132.000,hk00288,万洲国际
2025-03-28,6.870,7.000,7.020,6.870,35920503.000,hk00288,万洲国际
2025-03-31,6.950,7.140,7.140,6.950,42451237.000,hk00288,万洲国际
2025-04-01,7.140,7.050,7.180,6.980,62890749.000,hk00288,万洲国际
2025-04-02,7.050,7.270,7.270,6.990,48328533.000,hk00288,万洲国际
2025-04-03,7.200,7.290,7.370,7.130,49391562.000,hk00288,万洲国际
2025-04-07,6.920,6.660,7.060,6.620,90804678.000,hk00288,万洲国际
2025-04-08,6.720,6.730,6.780,6.620,71417772.000,hk00288,万洲国际
2025-04-09,6.060,6.520,6.540,6.060,93086937.000,hk00288,万洲国际
2025-04-10,6.590,6.760,6.840,6.400,48246216.000,hk00288,万洲国际
2025-04-11,6.760,6.720,6.760,6.590,45792174.000,hk00288,万洲国际
2025-04-14,6.880,6.850,6.980,6.800,35982977.000,hk00288,万洲国际
2025-04-15,6.900,7.020,7.100,6.870,39794072.000,hk00288,万洲国际
2025-04-16,7.020,6.970,7.040,6.880,41069891.000,hk00288,万洲国际
2025-04-17,6.860,6.760,6.870,6.680,43387462.000,hk00288,万洲国际
2025-04-22,6.800,6.770,6.840,6.660,18435614.000,hk00288,万洲国际
2025-04-23,6.800,6.940,6.970,6.800,36418969.000,hk00288,万洲国际
2025-04-24,6.770,6.960,6.990,6.770,25186969.000,hk00288,万洲国际
2025-04-25,7.000,6.860,7.020,6.830,44613659.000,hk00288,万洲国际
2025-04-28,6.860,6.920,6.970,6.860,27828938.000,hk00288,万洲国际
2025-04-29,6.940,6.930,6.990,6.910,28301609.000,hk00288,万洲国际
2025-04-30,7.000,6.940,7.100,6.880,38742309.000,hk00288,万洲国际
2025-05-02,7.010,6.910,7.030,6.830,27496509.000,hk00288,万洲国际
2025-05-06,7.120,6.990,7.120,6.910,23070280.000,hk00288,万洲国际
2025-05-07,7.180,7.070,7.300,7.040,43131906.000,hk00288,万洲国际
2025-05-08,7.230,7.190,7.230,7.090,32024764.000,hk00288,万洲国际
2025-05-09,7.140,6.850,7.150,6.830,31506913.000,hk00288,万洲国际
2025-05-12,7.030,6.840,7.030,6.750,31165370.000,hk00288,万洲国际
2025-05-13,6.880,6.810,6.880,6.750,21918204.000,hk00288,万洲国际
2025-05-14,6.500,6.690,6.740,6.470,53706156.000,hk00288,万洲国际
2025-05-15,6.690,6.700,6.710,6.610,22814448.000,hk00288,万洲国际
2025-05-16,6.740,6.680,6.770,6.560,29759127.000,hk00288,万洲国际
2025-05-19,6.660,6.650,6.680,6.560,21854026.000,hk00288,万洲国际
2025-05-20,6.690,6.810,6.850,6.640,44691186.000,hk00288,万洲国际
2025-05-21,6.860,6.820,6.860,6.740,28216864.000,hk00288,万洲国际
2025-05-22,6.820,6.960,7.010,6.790,51972797.000,hk00288,万洲国际
2025-05-23,6.930,7.110,7.120,6.890,61423680.000,hk00288,万洲国际
2025-05-26,7.110,7.030,7.110,6.970,25296140.000,hk00288,万洲国际
2025-05-27,7.000,7.120,7.130,7.000,17498896.000,hk00288,万洲国际
2025-05-28,7.150,7.130,7.310,7.070,38387932.000,hk00288,万洲国际
2025-05-29,7.100,7.120,7.170,7.010,30373449.000,hk00288,万洲国际
2025-05-30,7.120,7.240,7.240,7.040,77000264.000,hk00288,万洲国际
2025-06-02,7.240,7.250,7.250,7.080,20426307.000,hk00288,万洲国际
2025-06-03,7.300,7.280,7.350,7.250,33634185.000,hk00288,万洲国际
2025-06-04,7.280,7.290,7.340,7.220,33286770.000,hk00288,万洲国际
2025-06-05,7.370,7.270,7.450,7.240,30030280.000,hk00288,万洲国际
2025-06-06,7.370,7.350,7.390,7.310,31379234.000,hk00288,万洲国际
2025-06-09,7.390,7.390,7.390,7.260,21418895.000,hk00288,万洲国际
2025-06-10,7.450,7.470,7.500,7.350,23541626.000,hk00288,万洲国际
