date,open,high,low,close,volume,code,name
2024-11-29,8.650,8.630,8.790,8.590,12334979.000,hk00267,中信股份
2024-12-02,8.630,8.770,8.880,8.630,7325000.000,hk00267,中信股份
2024-12-03,8.710,8.930,8.950,8.710,9428777.000,hk00267,中信股份
2024-12-04,8.890,8.970,9.020,8.850,11707899.000,hk00267,中信股份
2024-12-05,8.810,8.880,8.910,8.780,7442893.000,hk00267,中信股份
2024-12-06,8.940,8.960,9.070,8.870,22777037.000,hk00267,中信股份
2024-12-09,9.010,9.220,9.260,8.790,24231562.000,hk00267,中信股份
2024-12-10,9.510,9.090,9.510,9.050,28432065.000,hk00267,中信股份
2024-12-11,9.110,8.960,9.240,8.920,17854654.000,hk00267,中信股份
2024-12-12,9.000,9.090,9.200,8.930,17488054.000,hk00267,中信股份
2024-12-13,9.020,8.890,9.030,8.810,21436420.000,hk00267,中信股份
2024-12-16,8.890,8.830,8.970,8.770,14011000.000,hk00267,中信股份
2024-12-17,8.800,8.730,8.870,8.670,18180597.000,hk00267,中信股份
2024-12-18,8.730,8.810,8.880,8.730,14970000.000,hk00267,中信股份
2024-12-19,8.800,8.760,8.810,8.680,12506000.000,hk00267,中信股份
2024-12-20,8.760,8.790,8.810,8.700,43124909.000,hk00267,中信股份
2024-12-23,8.790,8.930,9.010,8.790,20207462.000,hk00267,中信股份
2024-12-24,8.950,9.120,9.160,8.950,12702068.000,hk00267,中信股份
2024-12-27,9.010,9.150,9.220,9.010,16420160.000,hk00267,中信股份
2024-12-30,9.150,9.150,9.220,9.040,16182600.000,hk00267,中信股份
2024-12-31,9.130,9.210,9.220,9.130,8857846.000,hk00267,中信股份
2025-01-02,9.010,8.710,9.120,8.700,22532100.000,hk00267,中信股份
2025-01-03,8.710,8.640,8.780,8.580,17328656.000,hk00267,中信股份
2025-01-06,8.680,8.550,8.730,8.500,13939641.000,hk00267,中信股份
2025-01-07,8.550,8.490,8.610,8.380,16890932.000,hk00267,中信股份
2025-01-08,8.490,8.440,8.500,8.230,24314333.000,hk00267,中信股份
2025-01-09,8.470,8.370,8.530,8.360,13003386.000,hk00267,中信股份
2025-01-10,8.410,8.300,8.410,8.270,17975438.000,hk00267,中信股份
2025-01-13,8.280,8.320,8.350,8.060,17954645.000,hk00267,中信股份
2025-01-14,8.320,8.410,8.480,8.260,13205893.000,hk00267,中信股份
2025-01-15,8.410,8.370,8.430,8.320,13177760.000,hk00267,中信股份
2025-01-16,8.430,8.490,8.560,8.400,13485000.000,hk00267,中信股份
2025-01-17,8.480,8.530,8.580,8.430,12577478.000,hk00267,中信股份
2025-01-20,8.650,8.670,8.820,8.600,15570453.000,hk00267,中信股份
2025-01-21,8.760,8.780,8.830,8.630,19243047.000,hk00267,中信股份
2025-01-22,8.800,8.640,8.810,8.620,12278119.000,hk00267,中信股份
2025-01-23,8.710,8.730,8.930,8.670,18615635.000,hk00267,中信股份
2025-01-24,8.730,8.840,8.880,8.680,14172188.000,hk00267,中信股份
