date,open,high,low,close,volume,code,name
2024-11-29,5.090,5.110,5.150,5.060,6276489.000,hk01800,中国交通建设
2024-12-02,5.110,5.170,5.180,5.110,8601900.000,hk01800,中国交通建设
2024-12-03,5.070,5.100,5.120,4.970,12990774.000,hk01800,中国交通建设
2024-12-04,5.040,5.130,5.160,5.040,7299807.000,hk01800,中国交通建设
2024-12-05,5.130,5.100,5.160,5.060,8965000.000,hk01800,中国交通建设
2024-12-06,5.120,5.160,5.190,5.110,21999885.000,hk01800,中国交通建设
2024-12-09,5.180,5.250,5.250,5.120,10468500.000,hk01800,中国交通建设
2024-12-10,5.370,5.200,5.380,5.190,12841654.000,hk01800,中国交通建设
2024-12-11,5.200,5.150,5.240,5.150,9856782.000,hk01800,中国交通建设
2024-12-12,5.170,5.170,5.250,5.140,9446256.000,hk01800,中国交通建设
2024-12-13,5.170,5.060,5.200,5.060,13877046.000,hk01800,中国交通建设
2024-12-16,5.080,5.080,5.130,5.010,13298000.000,hk01800,中国交通建设
2024-12-17,5.080,5.140,5.160,5.050,16174596.000,hk01800,中国交通建设
2024-12-18,5.160,5.360,5.380,5.160,47528498.000,hk01800,中国交通建设
2024-12-19,5.310,5.460,5.490,5.290,34534498.000,hk01800,中国交通建设
2024-12-20,5.450,5.430,5.470,5.350,16872600.000,hk01800,中国交通建设
2024-12-23,5.470,5.480,5.550,5.400,16196000.000,hk01800,中国交通建设
2024-12-24,5.480,5.570,5.600,5.480,13578433.000,hk01800,中国交通建设
2024-12-27,5.570,5.560,5.610,5.500,14158867.000,hk01800,中国交通建设
2024-12-30,5.560,5.500,5.590,5.420,13099000.000,hk01800,中国交通建设
2024-12-31,5.500,5.490,5.520,5.430,11704000.000,hk01800,中国交通建设
2025-01-02,5.480,5.380,5.490,5.300,12320000.000,hk01800,中国交通建设
2025-01-03,5.380,5.340,5.380,5.280,10715744.000,hk01800,中国交通建设
2025-01-06,5.300,5.300,5.320,5.230,13831182.000,hk01800,中国交通建设
2025-01-07,5.310,5.200,5.310,5.140,20813000.000,hk01800,中国交通建设
2025-01-08,5.200,5.210,5.230,5.060,15921350.000,hk01800,中国交通建设
2025-01-09,5.180,5.230,5.230,5.130,7379487.000,hk01800,中国交通建设
2025-01-10,5.170,5.110,5.230,5.030,14871198.000,hk01800,中国交通建设
2025-01-13,5.100,4.990,5.140,4.980,13653467.000,hk01800,中国交通建设
2025-01-14,5.000,5.100,5.130,5.000,8036710.000,hk01800,中国交通建设
2025-01-15,5.100,5.090,5.120,5.060,5360950.000,hk01800,中国交通建设
2025-01-16,5.090,5.130,5.170,5.090,6884394.000,hk01800,中国交通建设
2025-01-17,5.110,5.160,5.170,5.090,6488763.000,hk01800,中国交通建设
2025-01-20,5.180,5.200,5.250,5.160,10088580.000,hk01800,中国交通建设
2025-01-21,5.190,5.060,5.220,5.010,19654400.000,hk01800,中国交通建设
2025-01-22,5.060,5.040,5.060,5.000,7834964.000,hk01800,中国交通建设
2025-01-23,5.060,5.080,5.140,5.040,13225500.000,hk01800,中国交通建设
2025-01-24,5.040,5.110,5.120,5.040,10454120.000,hk01800,中国交通建设
2025-01-27,5.120,5.060,5.150,4.840,28668179.000,hk01800,中国交通建设
2025-01-28,5.030,5.050,5.080,5.010,2236000.000,hk01800,中国交通建设
2025-02-03,5.020,5.020,5.050,4.910,3925000.000,hk01800,中国交通建设
2025-02-04,5.010,5.030,5.070,5.000,5357512.000,hk01800,中国交通建设
2025-02-05,5.040,5.000,5.040,4.890,17697193.000,hk01800,中国交通建设
2025-02-06,5.000,4.990,5.030,4.950,12592823.000,hk01800,中国交通建设
2025-02-07,4.990,5.040,5.070,4.960,17826875.000,hk01800,中国交通建设
2025-02-10,5.050,5.050,5.100,5.000,12079397.000,hk01800,中国交通建设
2025-02-11,5.060,5.030,5.070,5.000,9941459.000,hk01800,中国交通建设
2025-02-12,5.030,5.110,5.110,5.000,19190585.000,hk01800,中国交通建设
2025-02-13,5.110,5.050,5.120,5.050,22400198.000,hk01800,中国交通建设
2025-02-14,5.050,5.100,5.130,5.020,21375000.000,hk01800,中国交通建设
2025-02-17,5.120,5.120,5.130,5.050,18543700.000,hk01800,中国交通建设
2025-02-18,5.120,5.120,5.160,5.060,25163581.000,hk01800,中国交通建设
2025-02-19,5.120,5.090,5.140,5.060,15238000.000,hk01800,中国交通建设
2025-02-20,5.080,5.030,5.100,5.010,15857875.000,hk01800,中国交通建设
2025-02-21,5.060,5.050,5.060,4.990,19818593.000,hk01800,中国交通建设
2025-02-24,5.060,5.210,5.240,5.020,46191118.000,hk01800,中国交通建设
2025-02-25,5.170,5.080,5.170,5.040,17589410.000,hk01800,中国交通建设
2025-02-26,5.060,5.150,5.170,5.060,19386000.000,hk01800,中国交通建设
2025-02-27,5.150,5.210,5.250,5.150,23023950.000,hk01800,中国交通建设
2025-02-28,5.210,5.150,5.290,5.100,23687770.000,hk01800,中国交通建设
2025-03-03,5.150,5.160,5.230,5.130,12693000.000,hk01800,中国交通建设
2025-03-04,5.150,5.140,5.150,5.080,8118500.000,hk01800,中国交通建设
2025-03-05,5.140,5.120,5.180,5.110,16652261.000,hk01800,中国交通建设
2025-03-06,5.140,5.120,5.170,5.090,43735093.000,hk01800,中国交通建设
2025-03-07,5.120,5.060,5.120,5.050,31502324.000,hk01800,中国交通建设
2025-03-10,5.070,4.980,5.080,4.960,31121501.000,hk01800,中国交通建设
2025-03-11,4.980,5.030,5.030,4.930,17002318.000,hk01800,中国交通建设
2025-03-12,5.010,5.030,5.070,5.000,8560507.000,hk01800,中国交通建设
2025-03-13,5.050,5.070,5.090,5.010,15276260.000,hk01800,中国交通建设
2025-03-14,5.070,5.150,5.150,5.060,27591691.000,hk01800,中国交通建设
2025-03-17,5.190,5.190,5.220,5.150,22653349.000,hk01800,中国交通建设
2025-03-18,5.220,5.190,5.220,5.140,21859172.000,hk01800,中国交通建设
2025-03-19,5.170,5.170,5.200,5.150,12610805.000,hk01800,中国交通建设
2025-03-20,5.150,5.090,5.180,5.070,22959136.000,hk01800,中国交通建设
2025-03-21,5.080,5.060,5.140,5.010,16898584.000,hk01800,中国交通建设
2025-03-24,5.060,5.030,5.090,4.990,14385072.000,hk01800,中国交通建设
2025-03-25,5.030,5.020,5.050,4.990,10294429.000,hk01800,中国交通建设
2025-03-26,5.040,5.030,5.050,5.000,4889385.000,hk01800,中国交通建设
2025-03-27,5.030,5.040,5.050,5.000,7217000.000,hk01800,中国交通建设
2025-03-28,5.040,4.970,5.050,4.910,23293990.000,hk01800,中国交通建设
2025-03-31,4.940,4.800,4.950,4.710,55460000.000,hk01800,中国交通建设
2025-04-01,4.800,4.820,4.860,4.780,27739000.000,hk01800,中国交通建设
2025-04-02,4.820,4.880,4.880,4.820,11099820.000,hk01800,中国交通建设
2025-04-03,4.860,4.890,4.940,4.830,13696190.000,hk01800,中国交通建设
2025-04-07,4.660,4.470,4.700,4.380,52103098.000,hk01800,中国交通建设
2025-04-08,4.520,4.640,4.730,4.500,28894317.000,hk01800,中国交通建设
2025-04-09,4.550,4.850,4.940,4.540,36924418.000,hk01800,中国交通建设
2025-04-10,4.870,4.900,4.930,4.800,20556379.000,hk01800,中国交通建设
2025-04-11,4.910,4.880,4.910,4.850,6423743.000,hk01800,中国交通建设
2025-04-14,4.890,4.890,4.920,4.870,7538000.000,hk01800,中国交通建设
2025-04-15,4.860,4.890,4.900,4.850,2753180.000,hk01800,中国交通建设
2025-04-16,4.870,4.880,4.880,4.820,3606580.000,hk01800,中国交通建设
2025-04-17,4.860,4.870,4.890,4.840,4544900.000,hk01800,中国交通建设
2025-04-22,4.870,4.950,4.960,4.860,12659201.000,hk01800,中国交通建设
2025-04-23,4.980,4.940,4.990,4.940,6086270.000,hk01800,中国交通建设
2025-04-24,4.940,4.940,4.960,4.910,5737417.000,hk01800,中国交通建设
2025-04-25,4.920,4.970,5.000,4.910,8344410.000,hk01800,中国交通建设
2025-04-28,4.920,4.950,4.970,4.880,9881000.000,hk01800,中国交通建设
2025-04-29,4.970,4.880,4.970,4.880,4978960.000,hk01800,中国交通建设
2025-04-30,4.940,4.880,4.940,4.840,8410695.000,hk01800,中国交通建设
2025-05-02,4.850,4.880,4.910,4.850,1712497.000,hk01800,中国交通建设
2025-05-06,4.880,4.950,4.960,4.880,5700250.000,hk01800,中国交通建设
2025-05-07,4.970,4.980,5.030,4.970,10365632.000,hk01800,中国交通建设
2025-05-08,4.980,5.010,5.030,4.980,5860432.000,hk01800,中国交通建设
2025-05-09,5.030,5.000,5.040,4.990,5382176.000,hk01800,中国交通建设
2025-05-12,5.010,5.090,5.120,5.010,12735526.000,hk01800,中国交通建设
2025-05-13,5.130,5.050,5.130,5.040,5337163.000,hk01800,中国交通建设
2025-05-14,5.050,5.100,5.120,5.040,7822708.000,hk01800,中国交通建设
2025-05-15,5.110,5.090,5.140,5.060,6513963.000,hk01800,中国交通建设
2025-05-16,5.110,5.080,5.110,5.030,5589750.000,hk01800,中国交通建设
