date,open,high,low,close,volume,code,name
2024-11-29,14.580,14.720,15.040,14.420,52300635.000,hk02628,中国人寿
2024-12-02,14.780,14.920,15.120,14.660,40474989.000,hk02628,中国人寿
2024-12-03,14.920,15.240,15.440,14.800,44991279.000,hk02628,中国人寿
2024-12-04,15.220,15.180,15.300,15.040,22012160.000,hk02628,中国人寿
2024-12-05,15.100,14.980,15.140,14.780,25099787.000,hk02628,中国人寿
2024-12-06,15.060,15.380,15.700,14.960,58578637.000,hk02628,中国人寿
2024-12-09,15.300,16.220,16.280,15.240,75807701.000,hk02628,中国人寿
2024-12-10,16.580,15.700,16.780,15.640,145745999.000,hk02628,中国人寿
2024-12-11,15.760,15.400,15.880,15.340,39012750.000,hk02628,中国人寿
2024-12-12,15.560,15.600,16.100,15.440,66279125.000,hk02628,中国人寿
2024-12-13,15.440,14.880,15.460,14.820,85678978.000,hk02628,中国人寿
2024-12-16,14.920,14.620,15.020,14.540,45968901.000,hk02628,中国人寿
2024-12-17,14.580,14.560,14.800,14.440,35130115.000,hk02628,中国人寿
2024-12-18,14.700,14.760,14.920,14.680,24869340.000,hk02628,中国人寿
2024-12-19,14.500,14.540,14.720,14.400,42432820.000,hk02628,中国人寿
2024-12-20,14.540,14.520,14.720,14.480,33047963.000,hk02628,中国人寿
2024-12-23,14.600,14.660,14.760,14.560,24558225.000,hk02628,中国人寿
2024-12-24,14.660,14.860,14.940,14.640,26960593.000,hk02628,中国人寿
2024-12-27,14.840,14.700,14.920,14.480,28936813.000,hk02628,中国人寿
2024-12-30,14.760,14.780,14.940,14.580,34260216.000,hk02628,中国人寿
2024-12-31,14.700,14.680,14.860,14.580,14654150.000,hk02628,中国人寿
2025-01-02,14.520,13.980,14.640,13.840,68862069.000,hk02628,中国人寿
2025-01-03,13.980,14.040,14.160,13.840,29921380.000,hk02628,中国人寿
2025-01-06,14.140,13.980,14.180,13.920,21968930.000,hk02628,中国人寿
2025-01-07,13.900,13.980,14.080,13.700,42245125.000,hk02628,中国人寿
2025-01-08,13.960,13.840,14.080,13.600,36866976.000,hk02628,中国人寿
2025-01-09,13.800,13.700,13.900,13.660,18429565.000,hk02628,中国人寿
2025-01-10,13.700,13.100,13.780,13.020,92445048.000,hk02628,中国人寿
2025-01-13,12.940,13.000,13.000,12.660,56563694.000,hk02628,中国人寿
2025-01-14,12.920,13.280,13.360,12.900,71803934.000,hk02628,中国人寿
2025-01-15,13.280,13.220,13.300,13.000,35301020.000,hk02628,中国人寿
2025-01-16,13.340,13.460,13.560,13.200,44810761.000,hk02628,中国人寿
2025-01-17,13.440,13.680,13.780,13.260,48168179.000,hk02628,中国人寿
2025-01-20,13.840,13.780,14.080,13.700,38031667.000,hk02628,中国人寿
2025-01-21,14.000,14.000,14.120,13.820,38609517.000,hk02628,中国人寿
2025-01-22,13.940,13.700,14.020,13.580,30722579.000,hk02628,中国人寿
2025-01-23,13.960,14.040,14.580,13.960,75096015.000,hk02628,中国人寿
2025-01-24,14.200,14.480,14.680,14.120,62102018.000,hk02628,中国人寿
2025-01-27,14.580,14.540,14.820,14.520,45354994.000,hk02628,中国人寿
2025-01-28,14.560,14.380,14.600,14.320,13750066.000,hk02628,中国人寿
2025-02-03,14.060,14.220,14.320,13.640,38361353.000,hk02628,中国人寿
2025-02-04,14.400,14.740,14.820,14.240,38852577.000,hk02628,中国人寿
2025-02-05,14.640,14.440,14.660,14.360,35256621.000,hk02628,中国人寿
2025-02-06,14.440,14.820,14.840,14.380,44630322.000,hk02628,中国人寿
2025-02-07,14.800,15.040,15.080,14.680,52978034.000,hk02628,中国人寿
2025-02-10,15.040,15.140,15.360,15.000,58595710.000,hk02628,中国人寿
2025-02-11,15.240,14.800,15.240,14.800,44967765.000,hk02628,中国人寿
2025-02-12,14.940,15.300,15.300,14.820,54292461.000,hk02628,中国人寿
2025-02-13,15.380,14.760,15.380,14.740,81444633.000,hk02628,中国人寿
2025-02-14,14.900,15.580,15.580,14.880,87636879.000,hk02628,中国人寿
2025-02-17,15.420,15.400,16.040,15.220,97950385.000,hk02628,中国人寿
2025-02-18,15.460,15.140,15.540,14.900,95957811.000,hk02628,中国人寿
2025-02-19,15.000,14.980,15.200,14.840,45689750.000,hk02628,中国人寿
2025-02-20,14.900,14.640,14.940,14.600,54428653.000,hk02628,中国人寿
2025-02-21,14.880,15.200,15.200,14.540,76383992.000,hk02628,中国人寿
2025-02-24,15.100,15.780,16.220,14.960,171552188.000,hk02628,中国人寿
2025-02-25,15.500,15.280,15.780,15.120,91261789.000,hk02628,中国人寿
2025-02-26,15.420,15.900,16.060,15.420,116840429.000,hk02628,中国人寿
2025-02-27,15.940,15.780,16.060,15.500,82089596.000,hk02628,中国人寿
2025-02-28,15.660,14.940,15.660,14.840,122366396.000,hk02628,中国人寿
2025-03-03,15.020,14.960,15.320,14.860,54461983.000,hk02628,中国人寿
2025-03-04,14.840,14.880,15.020,14.680,54182978.000,hk02628,中国人寿
2025-03-05,15.060,15.360,15.380,15.020,55861345.000,hk02628,中国人寿
2025-03-06,15.620,16.040,16.100,15.480,124786000.000,hk02628,中国人寿
2025-03-07,15.940,15.940,16.220,15.780,72173981.000,hk02628,中国人寿
2025-03-10,15.880,15.840,16.120,15.520,54309618.000,hk02628,中国人寿
2025-03-11,15.560,15.680,15.740,15.400,49424443.000,hk02628,中国人寿
2025-03-12,15.700,15.580,15.860,15.360,48182074.000,hk02628,中国人寿
2025-03-13,15.520,15.540,15.760,15.280,37940531.000,hk02628,中国人寿
2025-03-14,15.640,16.520,16.880,15.600,191574292.000,hk02628,中国人寿
2025-03-17,16.840,16.580,16.880,16.560,82628023.000,hk02628,中国人寿
2025-03-18,16.900,17.000,17.000,16.700,79002268.000,hk02628,中国人寿
2025-03-19,16.980,16.980,17.100,16.820,42970021.000,hk02628,中国人寿
2025-03-20,16.960,15.980,16.980,15.960,122139274.000,hk02628,中国人寿
2025-03-21,15.940,15.900,16.200,15.660,88609491.000,hk02628,中国人寿
2025-03-24,15.820,16.140,16.200,15.740,47198206.000,hk02628,中国人寿
2025-03-25,16.020,15.660,16.060,15.600,64158814.000,hk02628,中国人寿
2025-03-26,15.700,15.600,15.820,15.520,44016049.000,hk02628,中国人寿
2025-03-27,15.540,15.500,15.680,15.120,104764865.000,hk02628,中国人寿
2025-03-28,15.680,15.240,15.680,15.160,59817414.000,hk02628,中国人寿
2025-03-31,15.180,15.000,15.300,14.920,62309035.000,hk02628,中国人寿
2025-04-01,15.140,15.200,15.400,15.040,42234399.000,hk02628,中国人寿
