date,open,high,low,close,volume,code,name
2024-11-29,24.250,24.450,25.050,24.000,10271493.000,hk02601,中国太保
2024-12-02,24.450,24.850,25.100,24.350,7586802.000,hk02601,中国太保
2024-12-03,25.000,25.850,26.050,24.600,11390421.000,hk02601,中国太保
2024-12-04,26.000,25.350,26.000,25.250,6900769.000,hk02601,中国太保
2024-12-05,25.350,24.800,25.400,24.700,5507474.000,hk02601,中国太保
2024-12-06,24.900,25.700,26.350,24.850,11815738.000,hk02601,中国太保
2024-12-09,25.600,26.750,26.950,25.000,13632639.000,hk02601,中国太保
2024-12-10,27.900,26.400,28.100,26.250,23699168.000,hk02601,中国太保
2024-12-11,26.300,25.200,26.500,25.100,9922960.000,hk02601,中国太保
2024-12-12,25.200,25.700,26.150,24.600,12753610.000,hk02601,中国太保
2024-12-13,25.300,24.400,25.450,24.300,13304972.000,hk02601,中国太保
2024-12-16,24.200,23.900,24.500,23.700,12921602.000,hk02601,中国太保
2024-12-17,23.700,23.650,23.950,23.450,12346858.000,hk02601,中国太保
2024-12-18,23.850,24.350,24.700,23.700,10884841.000,hk02601,中国太保
2024-12-19,24.000,24.350,24.550,23.950,8088656.000,hk02601,中国太保
2024-12-20,24.600,23.900,24.600,23.850,10959415.000,hk02601,中国太保
2024-12-23,24.350,24.200,24.500,24.050,5464585.000,hk02601,中国太保
2024-12-24,24.050,24.750,24.950,24.050,5230721.000,hk02601,中国太保
2024-12-27,24.800,24.700,25.000,24.400,5186877.000,hk02601,中国太保
2024-12-30,24.700,25.400,25.550,24.700,8437233.000,hk02601,中国太保
2024-12-31,25.400,25.200,25.700,25.200,6973456.000,hk02601,中国太保
2025-01-02,24.800,23.250,25.000,23.100,15438030.000,hk02601,中国太保
2025-01-03,23.300,23.000,23.550,22.800,12836240.000,hk02601,中国太保
2025-01-06,23.000,23.100,23.250,22.600,10947221.000,hk02601,中国太保
2025-01-07,23.200,23.100,23.450,22.600,8325823.000,hk02601,中国太保
2025-01-08,23.000,22.850,23.200,22.600,7433331.000,hk02601,中国太保
