date,open,high,low,close,volume,code,name
2024-11-29,44.550,44.800,45.750,44.200,41188309.000,hk02318,中国平安
2024-12-02,45.200,45.300,45.900,44.900,23409671.000,hk02318,中国平安
2024-12-03,45.300,46.150,46.300,44.900,25769049.000,hk02318,中国平安
2024-12-04,46.150,46.150,46.400,45.550,23265737.000,hk02318,中国平安
2024-12-05,45.850,45.700,46.100,45.050,28160015.000,hk02318,中国平安
2024-12-06,45.550,46.750,47.150,45.500,38247440.000,hk02318,中国平安
2024-12-09,46.400,48.550,48.600,46.000,49559849.000,hk02318,中国平安
2024-12-10,50.950,48.050,51.000,48.000,81561553.000,hk02318,中国平安
2024-12-11,47.900,47.000,48.500,46.900,30009855.000,hk02318,中国平安
2024-12-12,47.250,47.750,48.700,46.850,35207456.000,hk02318,中国平安
2024-12-13,47.400,46.350,47.400,46.200,47171065.000,hk02318,中国平安
2024-12-16,46.400,45.800,46.800,45.650,34790102.000,hk02318,中国平安
2024-12-17,45.550,45.500,46.150,45.200,37019848.000,hk02318,中国平安
2024-12-18,46.100,45.950,46.550,45.600,30870182.000,hk02318,中国平安
2024-12-19,45.300,45.700,46.100,45.250,23647109.000,hk02318,中国平安
2024-12-20,45.750,45.450,46.150,45.450,29149636.000,hk02318,中国平安
2024-12-23,45.600,46.350,46.800,45.600,32321807.000,hk02318,中国平安
2024-12-24,46.250,46.600,47.100,46.150,18540520.000,hk02318,中国平安
2024-12-27,46.650,46.350,46.850,45.600,26444947.000,hk02318,中国平安
2024-12-30,46.200,46.350,46.900,45.950,36983039.000,hk02318,中国平安
2024-12-31,46.300,46.050,46.700,46.050,19625182.000,hk02318,中国平安
2025-01-02,45.650,44.200,45.850,43.950,70177244.000,hk02318,中国平安
2025-01-03,44.250,44.050,44.500,43.700,43444767.000,hk02318,中国平安
2025-01-06,44.200,43.900,44.550,43.650,25992295.000,hk02318,中国平安
2025-01-07,44.000,43.250,44.150,42.550,55717378.000,hk02318,中国平安
2025-01-08,43.000,43.050,43.550,42.600,34385670.000,hk02318,中国平安
