date,open,high,low,close,volume,code,name
2024-11-29,17.120,17.100,17.200,16.980,56177066.000,hk00883,中国海洋石油
2024-12-02,17.180,17.060,17.180,16.860,78103206.000,hk00883,中国海洋石油
2024-12-03,17.000,17.400,17.420,16.920,88110302.000,hk00883,中国海洋石油
2024-12-04,17.500,17.800,18.100,17.380,165570973.000,hk00883,中国海洋石油
2024-12-05,17.660,17.640,17.880,17.480,81129877.000,hk00883,中国海洋石油
2024-12-06,17.740,17.720,18.040,17.660,86608489.000,hk00883,中国海洋石油
2024-12-09,17.720,18.040,18.060,17.540,78976149.000,hk00883,中国海洋石油
2024-12-10,18.340,17.740,18.360,17.740,94248184.000,hk00883,中国海洋石油
2024-12-11,17.880,17.860,18.040,17.740,60752763.000,hk00883,中国海洋石油
2024-12-12,18.080,17.980,18.120,17.840,60805902.000,hk00883,中国海洋石油
2024-12-13,17.820,17.680,17.900,17.640,63894578.000,hk00883,中国海洋石油
2024-12-16,17.880,17.820,18.100,17.800,81182965.000,hk00883,中国海洋石油
2024-12-17,17.820,18.120,18.280,17.820,95530203.000,hk00883,中国海洋石油
2024-12-18,18.140,18.160,18.440,18.120,89119969.000,hk00883,中国海洋石油
2024-12-19,17.980,18.120,18.260,17.940,66339572.000,hk00883,中国海洋石油
2024-12-20,18.080,17.900,18.140,17.880,49233035.000,hk00883,中国海洋石油
2024-12-23,17.980,18.300,18.420,17.980,77125372.000,hk00883,中国海洋石油
2024-12-24,18.400,18.600,18.800,18.340,70386808.000,hk00883,中国海洋石油
2024-12-27,18.600,18.680,18.820,18.500,81635511.000,hk00883,中国海洋石油
2024-12-30,18.840,18.860,18.980,18.780,78600546.000,hk00883,中国海洋石油
2024-12-31,18.920,19.120,19.300,18.880,72315191.000,hk00883,中国海洋石油
2025-01-02,19.180,18.880,19.320,18.680,86629562.000,hk00883,中国海洋石油
2025-01-03,19.020,19.020,19.340,19.000,84576051.000,hk00883,中国海洋石油
2025-01-06,19.240,19.140,19.360,19.040,63846663.000,hk00883,中国海洋石油
2025-01-07,19.060,18.980,19.120,18.840,89143767.000,hk00883,中国海洋石油
2025-01-08,19.120,19.020,19.200,18.960,74007839.000,hk00883,中国海洋石油
2025-01-09,19.000,18.880,19.020,18.760,54550884.000,hk00883,中国海洋石油
