date,open,high,low,close,volume,code,name
2024-11-29,3.260,3.250,3.290,3.220,41821058.000,hk01177,中国生物制药
2024-12-02,3.250,3.290,3.320,3.230,37282415.000,hk01177,中国生物制药
2024-12-03,3.290,3.350,3.360,3.250,44529692.000,hk01177,中国生物制药
2024-12-04,3.350,3.320,3.380,3.300,30341226.000,hk01177,中国生物制药
2024-12-05,3.280,3.240,3.310,3.220,47312810.000,hk01177,中国生物制药
2024-12-06,3.240,3.280,3.310,3.210,56007243.000,hk01177,中国生物制药
2024-12-09,3.290,3.330,3.330,3.190,79080521.000,hk01177,中国生物制药
2024-12-10,3.480,3.330,3.490,3.320,73785712.000,hk01177,中国生物制药
2024-12-11,3.340,3.360,3.390,3.310,45956746.000,hk01177,中国生物制药
2024-12-12,3.340,3.390,3.450,3.300,51927072.000,hk01177,中国生物制药
2024-12-13,3.340,3.300,3.370,3.280,55633140.000,hk01177,中国生物制药
2024-12-16,3.300,3.200,3.330,3.170,69202142.000,hk01177,中国生物制药
2024-12-17,3.200,3.170,3.210,3.140,47143051.000,hk01177,中国生物制药
2024-12-18,3.170,3.210,3.220,3.160,41838762.000,hk01177,中国生物制药
2024-12-19,3.190,3.230,3.250,3.170,36006159.000,hk01177,中国生物制药
2024-12-20,3.220,3.210,3.240,3.190,30378757.000,hk01177,中国生物制药
2024-12-23,3.200,3.220,3.250,3.180,35514092.000,hk01177,中国生物制药
2024-12-24,3.240,3.240,3.270,3.210,16205255.000,hk01177,中国生物制药
2024-12-27,3.240,3.230,3.290,3.200,43316690.000,hk01177,中国生物制药
2024-12-30,3.200,3.230,3.310,3.200,52103080.000,hk01177,中国生物制药
2024-12-31,3.230,3.200,3.230,3.180,27234463.000,hk01177,中国生物制药
2025-01-02,3.200,3.090,3.200,3.080,42810375.000,hk01177,中国生物制药
2025-01-03,3.090,3.060,3.140,3.030,56782744.000,hk01177,中国生物制药
2025-01-06,3.080,3.060,3.100,3.030,51213072.000,hk01177,中国生物制药
2025-01-07,3.050,3.030,3.060,2.970,58197597.000,hk01177,中国生物制药
2025-01-08,3.040,3.000,3.040,2.930,89232789.000,hk01177,中国生物制药
2025-01-09,3.000,2.980,3.030,2.960,63902976.000,hk01177,中国生物制药
2025-01-10,2.980,2.860,2.990,2.850,98982025.000,hk01177,中国生物制药
2025-01-13,2.810,2.850,2.850,2.760,81397064.000,hk01177,中国生物制药
2025-01-14,2.850,2.880,2.900,2.830,77209836.000,hk01177,中国生物制药
2025-01-15,2.880,2.870,2.900,2.840,38312342.000,hk01177,中国生物制药
2025-01-16,2.890,2.810,2.930,2.720,136832945.000,hk01177,中国生物制药
2025-01-17,2.800,2.910,2.950,2.790,66922882.000,hk01177,中国生物制药
2025-01-20,2.940,2.880,2.970,2.870,61715039.000,hk01177,中国生物制药
2025-01-21,2.930,2.910,2.930,2.870,43078000.000,hk01177,中国生物制药
2025-01-22,2.900,2.900,2.930,2.880,27540005.000,hk01177,中国生物制药
2025-01-23,2.900,2.870,2.920,2.850,56230144.000,hk01177,中国生物制药
2025-01-24,2.850,2.870,2.960,2.820,76569725.000,hk01177,中国生物制药
2025-01-27,2.880,2.930,2.960,2.850,59865159.000,hk01177,中国生物制药
2025-01-28,2.930,2.820,2.930,2.820,16988396.000,hk01177,中国生物制药
2025-02-03,2.690,2.860,2.860,2.670,29840906.000,hk01177,中国生物制药
2025-02-04,2.900,2.960,2.980,2.870,37349813.000,hk01177,中国生物制药
2025-02-05,2.940,2.870,2.940,2.860,44967637.000,hk01177,中国生物制药
2025-02-06,2.880,2.970,2.970,2.860,42647195.000,hk01177,中国生物制药
2025-02-07,2.970,2.970,3.000,2.930,57249144.000,hk01177,中国生物制药
2025-02-10,2.970,3.020,3.030,2.950,67375546.000,hk01177,中国生物制药
2025-02-11,3.020,2.940,3.030,2.940,45338424.000,hk01177,中国生物制药
2025-02-12,2.990,3.040,3.060,2.940,71317536.000,hk01177,中国生物制药
2025-02-13,3.040,3.070,3.180,3.000,144708281.000,hk01177,中国生物制药
2025-02-14,3.100,3.230,3.240,3.090,106754246.000,hk01177,中国生物制药
2025-02-17,3.210,3.310,3.370,3.170,170957675.000,hk01177,中国生物制药
2025-02-18,3.330,3.350,3.350,3.250,92535183.000,hk01177,中国生物制药
2025-02-19,3.310,3.320,3.390,3.300,71838926.000,hk01177,中国生物制药
2025-02-20,3.330,3.290,3.420,3.290,101999898.000,hk01177,中国生物制药
2025-02-21,3.360,3.340,3.360,3.220,130256603.000,hk01177,中国生物制药
2025-02-24,3.280,3.430,3.490,3.220,198054455.000,hk01177,中国生物制药
2025-02-25,3.360,3.340,3.380,3.280,106312447.000,hk01177,中国生物制药
2025-02-26,3.340,3.440,3.460,3.330,87358437.000,hk01177,中国生物制药
2025-02-27,3.420,3.440,3.480,3.380,96272840.000,hk01177,中国生物制药
2025-02-28,3.430,3.220,3.430,3.210,115710716.000,hk01177,中国生物制药
2025-03-03,3.220,3.200,3.310,3.180,66333519.000,hk01177,中国生物制药
2025-03-04,3.190,3.240,3.260,3.150,60980846.000,hk01177,中国生物制药
2025-03-05,3.270,3.310,3.360,3.260,53629386.000,hk01177,中国生物制药
2025-03-06,3.340,3.320,3.370,3.280,82317893.000,hk01177,中国生物制药
2025-03-07,3.300,3.340,3.430,3.280,140838768.000,hk01177,中国生物制药
2025-03-10,3.340,3.350,3.400,3.290,96616617.000,hk01177,中国生物制药
2025-03-11,3.300,3.560,3.580,3.290,161764523.000,hk01177,中国生物制药
2025-03-12,3.520,3.530,3.590,3.500,77336427.000,hk01177,中国生物制药
2025-03-13,3.520,3.470,3.600,3.420,82806484.000,hk01177,中国生物制药
2025-03-14,3.520,3.530,3.590,3.460,95952471.000,hk01177,中国生物制药
2025-03-17,3.540,3.500,3.600,3.480,79543127.000,hk01177,中国生物制药
2025-03-18,3.560,3.610,3.620,3.520,92681570.000,hk01177,中国生物制药
2025-03-19,3.610,3.640,3.670,3.590,79123246.000,hk01177,中国生物制药
2025-03-20,3.650,3.700,3.780,3.630,108735520.000,hk01177,中国生物制药
2025-03-21,3.750,3.600,3.760,3.550,178287089.000,hk01177,中国生物制药
2025-03-24,3.590,3.540,3.690,3.510,83739649.000,hk01177,中国生物制药
2025-03-25,3.520,3.550,3.570,3.490,54366609.000,hk01177,中国生物制药
2025-03-26,3.570,3.600,3.650,3.540,79036615.000,hk01177,中国生物制药
2025-03-27,3.610,3.650,3.720,3.550,127550181.000,hk01177,中国生物制药
2025-03-28,3.710,3.730,3.800,3.640,148904971.000,hk01177,中国生物制药
2025-03-31,3.730,3.750,3.800,3.620,144062326.000,hk01177,中国生物制药
2025-04-01,3.760,3.860,3.930,3.720,143103794.000,hk01177,中国生物制药
2025-04-02,3.860,3.950,4.000,3.820,162009457.000,hk01177,中国生物制药
2025-04-03,3.910,3.890,3.980,3.810,137699524.000,hk01177,中国生物制药
2025-04-07,3.400,3.340,3.570,3.280,204920361.000,hk01177,中国生物制药
2025-04-08,3.360,3.420,3.450,3.290,126657455.000,hk01177,中国生物制药
2025-04-09,3.300,3.400,3.440,3.180,134134585.000,hk01177,中国生物制药
2025-04-10,3.450,3.440,3.540,3.390,163196079.000,hk01177,中国生物制药
2025-04-11,3.430,3.580,3.600,3.410,109152748.000,hk01177,中国生物制药
2025-04-14,3.610,3.740,3.760,3.610,108188156.000,hk01177,中国生物制药
2025-04-15,3.790,3.720,3.790,3.690,77498018.000,hk01177,中国生物制药
2025-04-16,3.710,3.610,3.710,3.530,78905132.000,hk01177,中国生物制药
2025-04-17,3.610,3.670,3.690,3.590,53563043.000,hk01177,中国生物制药
2025-04-22,3.670,3.830,3.870,3.670,110786981.000,hk01177,中国生物制药
2025-04-23,3.900,3.840,3.930,3.810,91284504.000,hk01177,中国生物制药
2025-04-24,3.840,3.890,3.930,3.810,84169777.000,hk01177,中国生物制药
2025-04-25,3.980,3.950,4.090,3.910,146221632.000,hk01177,中国生物制药
2025-04-28,3.900,3.840,3.940,3.780,95956787.000,hk01177,中国生物制药
2025-04-29,3.860,3.890,3.990,3.850,71860606.000,hk01177,中国生物制药
2025-04-30,3.920,3.910,3.940,3.860,75236557.000,hk01177,中国生物制药
2025-05-02,3.900,3.970,3.980,3.840,35404772.000,hk01177,中国生物制药
2025-05-06,3.970,3.950,4.020,3.890,76092514.000,hk01177,中国生物制药
2025-05-07,4.000,3.830,4.010,3.800,106548415.000,hk01177,中国生物制药
2025-05-08,3.860,3.880,3.890,3.810,62480596.000,hk01177,中国生物制药
2025-05-09,3.880,3.910,3.920,3.820,64840386.000,hk01177,中国生物制药
2025-05-12,3.910,3.840,3.910,3.740,127485453.000,hk01177,中国生物制药
2025-05-13,3.830,3.840,3.900,3.830,59118382.000,hk01177,中国生物制药
2025-05-14,3.850,4.000,4.070,3.850,115677459.000,hk01177,中国生物制药
2025-05-15,3.980,3.900,4.020,3.870,60381896.000,hk01177,中国生物制药
2025-05-16,3.900,4.050,4.140,3.880,105168352.000,hk01177,中国生物制药
2025-05-19,4.020,4.060,4.130,4.000,86500447.000,hk01177,中国生物制药
2025-05-20,4.110,4.180,4.280,4.110,145862485.000,hk01177,中国生物制药
2025-05-21,4.200,4.190,4.260,4.160,94016992.000,hk01177,中国生物制药
2025-05-22,4.190,4.210,4.260,4.140,73352518.000,hk01177,中国生物制药
2025-05-23,4.250,4.180,4.320,4.140,159928126.000,hk01177,中国生物制药
2025-05-26,4.200,4.060,4.210,4.030,156665436.000,hk01177,中国生物制药
2025-05-27,4.110,4.250,4.280,4.080,83202095.000,hk01177,中国生物制药
2025-05-28,4.270,4.190,4.290,4.160,93514461.000,hk01177,中国生物制药
2025-05-29,4.190,4.420,4.460,4.150,150874414.000,hk01177,中国生物制药
2025-05-30,4.480,4.450,4.520,4.370,165935973.000,hk01177,中国生物制药
2025-06-02,4.410,4.400,4.440,4.290,37668569.000,hk01177,中国生物制药
2025-06-03,4.480,4.480,4.530,4.370,158188924.000,hk01177,中国生物制药
2025-06-04,4.530,4.620,4.840,4.510,217221590.000,hk01177,中国生物制药
2025-06-05,4.680,4.530,4.700,4.470,144212321.000,hk01177,中国生物制药
2025-06-06,4.540,4.550,4.620,4.420,170431626.000,hk01177,中国生物制药
2025-06-09,4.600,4.740,4.760,4.460,214332093.000,hk01177,中国生物制药
2025-06-10,4.750,4.770,4.920,4.700,198398246.000,hk01177,中国生物制药
2025-06-11,4.780,4.770,4.910,4.740,108016608.000,hk01177,中国生物制药
2025-06-12,5.000,5.690,5.730,4.950,514830848.000,hk01177,中国生物制药
2025-06-13,5.780,5.530,5.780,5.320,393835686.000,hk01177,中国生物制药
2025-06-16,5.400,5.280,5.540,5.240,207793713.000,hk01177,中国生物制药
2025-06-17,5.340,5.000,5.360,4.940,225748633.000,hk01177,中国生物制药
2025-06-18,4.970,4.960,5.040,4.880,155674509.000,hk01177,中国生物制药
2025-06-19,4.990,4.850,5.050,4.790,151102976.000,hk01177,中国生物制药
2025-06-20,4.870,4.990,5.000,4.810,108327890.000,hk01177,中国生物制药
2025-06-23,5.000,5.160,5.200,4.880,163217814.000,hk01177,中国生物制药
2025-06-24,5.250,5.230,5.320,5.170,175299853.000,hk01177,中国生物制药
2025-06-25,5.300,5.240,5.310,5.130,137575808.000,hk01177,中国生物制药
2025-06-26,5.190,5.170,5.190,5.070,136960789.000,hk01177,中国生物制药
2025-06-27,5.180,5.300,5.350,5.110,153337909.000,hk01177,中国生物制药
2025-06-30,5.380,5.260,5.380,5.190,134874508.000,hk01177,中国生物制药
2025-07-02,5.360,5.330,5.520,5.270,179014344.000,hk01177,中国生物制药
2025-07-03,5.380,5.450,5.500,5.330,181920730.000,hk01177,中国生物制药
2025-07-04,5.470,5.600,5.600,5.440,118510167.000,hk01177,中国生物制药
2025-07-07,5.600,5.500,5.630,5.470,94061647.000,hk01177,中国生物制药
2025-07-08,5.500,5.370,5.550,5.310,154076522.000,hk01177,中国生物制药
2025-07-09,5.360,5.910,5.950,5.240,298413723.000,hk01177,中国生物制药
2025-07-10,5.850,5.920,6.070,5.830,177288112.000,hk01177,中国生物制药
2025-07-11,5.980,5.930,6.060,5.820,129786364.000,hk01177,中国生物制药
2025-07-14,5.930,6.070,6.170,5.810,121574742.000,hk01177,中国生物制药
2025-07-15,6.140,6.370,6.420,6.090,254445076.000,hk01177,中国生物制药
2025-07-16,6.720,6.440,6.720,6.370,313068441.000,hk01177,中国生物制药
2025-07-17,6.450,6.820,6.920,6.450,322299259.000,hk01177,中国生物制药
2025-07-18,6.900,6.900,7.000,6.790,169063836.000,hk01177,中国生物制药
2025-07-21,6.900,6.880,6.960,6.640,164454111.000,hk01177,中国生物制药
2025-07-22,6.880,6.900,7.170,6.810,213691753.000,hk01177,中国生物制药
2025-07-23,6.930,6.690,6.960,6.620,247363271.000,hk01177,中国生物制药
2025-07-24,6.680,6.710,6.790,6.520,171471907.000,hk01177,中国生物制药
2025-07-25,6.760,6.770,7.030,6.720,161081016.000,hk01177,中国生物制药
2025-07-28,6.930,7.250,7.290,6.910,230522973.000,hk01177,中国生物制药
2025-07-29,7.250,7.550,7.570,7.190,264678481.000,hk01177,中国生物制药
2025-07-30,7.450,7.520,7.850,7.300,278833635.000,hk01177,中国生物制药
2025-07-31,7.670,7.520,7.850,7.460,224134239.000,hk01177,中国生物制药
2025-08-01,7.470,7.320,7.720,7.230,163874851.000,hk01177,中国生物制药
2025-08-04,7.080,7.250,7.330,7.030,121274301.000,hk01177,中国生物制药
2025-08-05,7.260,7.480,7.520,7.230,176515840.000,hk01177,中国生物制药
2025-08-06,7.500,7.500,7.600,7.350,119879433.000,hk01177,中国生物制药
2025-08-07,7.500,7.290,7.560,7.180,172047484.000,hk01177,中国生物制药
2025-08-08,7.280,7.360,7.400,7.160,156217670.000,hk01177,中国生物制药
2025-08-11,7.360,7.430,7.470,6.990,167959410.000,hk01177,中国生物制药
2025-08-12,7.420,7.490,7.590,7.390,109723600.000,hk01177,中国生物制药
2025-08-13,7.470,7.710,7.730,7.410,148219612.000,hk01177,中国生物制药
2025-08-14,7.700,7.620,7.760,7.530,159822954.000,hk01177,中国生物制药
2025-08-15,7.600,7.820,8.000,7.510,170293625.000,hk01177,中国生物制药
2025-08-18,7.920,7.910,8.050,7.740,145795001.000,hk01177,中国生物制药
2025-08-19,7.880,7.390,7.910,7.280,366513303.000,hk01177,中国生物制药
2025-08-20,7.300,7.460,7.520,7.160,214195410.000,hk01177,中国生物制药
2025-08-21,7.500,7.720,7.790,7.500,143055811.000,hk01177,中国生物制药
2025-08-22,8.000,8.170,8.200,7.880,214831335.000,hk01177,中国生物制药
2025-08-25,8.280,8.360,8.400,8.170,145673375.000,hk01177,中国生物制药
2025-08-26,8.390,8.300,8.460,8.170,132601065.000,hk01177,中国生物制药
2025-08-27,8.330,7.910,8.380,7.800,184902570.000,hk01177,中国生物制药
2025-08-28,7.980,7.740,8.000,7.540,144347802.000,hk01177,中国生物制药
2025-08-29,7.710,8.110,8.280,7.700,151952003.000,hk01177,中国生物制药
2025-09-01,8.200,8.610,8.630,8.050,175723712.000,hk01177,中国生物制药
2025-09-02,8.550,8.490,8.670,8.340,92135059.000,hk01177,中国生物制药
2025-09-03,8.680,8.630,8.850,8.520,114324453.000,hk01177,中国生物制药
2025-09-04,8.760,8.390,8.790,8.310,101327365.000,hk01177,中国生物制药
2025-09-05,8.500,8.910,8.990,8.410,162294009.000,hk01177,中国生物制药
2025-09-08,8.960,9.010,9.120,8.830,120872145.000,hk01177,中国生物制药
2025-09-09,9.000,8.900,9.050,8.790,87889616.000,hk01177,中国生物制药
2025-09-10,9.010,8.790,9.120,8.720,102512213.000,hk01177,中国生物制药
2025-09-11,8.200,8.440,8.700,7.510,439871843.000,hk01177,中国生物制药
2025-09-12,8.640,8.630,8.760,8.510,147229730.000,hk01177,中国生物制药
2025-09-15,8.580,8.720,8.860,8.470,125437494.000,hk01177,中国生物制药
2025-09-16,8.750,8.510,8.810,8.420,112760170.000,hk01177,中国生物制药
2025-09-17,8.510,8.270,8.520,7.970,267740312.000,hk01177,中国生物制药
2025-09-18,8.250,8.390,8.450,8.100,147326739.000,hk01177,中国生物制药
2025-09-19,8.390,8.460,8.490,8.280,126140983.000,hk01177,中国生物制药
2025-09-22,8.500,8.520,8.650,8.360,103120199.000,hk01177,中国生物制药
2025-09-23,8.520,8.140,8.560,8.050,119915770.000,hk01177,中国生物制药
2025-09-24,8.130,8.000,8.220,7.960,129336299.000,hk01177,中国生物制药
2025-09-25,8.070,8.010,8.090,7.910,84886005.000,hk01177,中国生物制药
2025-09-26,7.900,7.950,8.050,7.760,102720292.000,hk01177,中国生物制药
2025-09-29,8.030,8.060,8.080,7.840,83802303.000,hk01177,中国生物制药
2025-09-30,8.100,8.140,8.190,8.020,72645010.000,hk01177,中国生物制药
2025-10-02,8.180,8.350,8.440,8.160,65018342.000,hk01177,中国生物制药
2025-10-03,8.350,8.390,8.400,8.250,28520404.000,hk01177,中国生物制药
2025-10-06,8.390,8.300,8.390,8.230,15946586.000,hk01177,中国生物制药
2025-10-08,8.300,8.540,8.540,8.220,45156950.000,hk01177,中国生物制药
2025-10-09,8.440,7.900,8.480,7.810,169306890.000,hk01177,中国生物制药
2025-10-10,7.870,7.800,8.080,7.770,117476078.000,hk01177,中国生物制药
2025-10-13,7.500,7.800,7.900,7.500,164507728.000,hk01177,中国生物制药
2025-10-14,7.910,7.380,7.980,7.280,137357635.000,hk01177,中国生物制药
2025-10-15,7.460,7.510,7.570,7.230,117594991.000,hk01177,中国生物制药
2025-10-16,7.510,7.660,7.790,7.500,83661164.000,hk01177,中国生物制药
2025-10-17,7.710,7.280,7.770,7.210,129051624.000,hk01177,中国生物制药
2025-10-20,7.460,7.430,7.480,7.300,66908015.000,hk01177,中国生物制药
2025-10-21,7.430,7.400,7.560,7.370,69711494.000,hk01177,中国生物制药
2025-10-22,7.490,7.200,7.490,7.050,163481617.000,hk01177,中国生物制药
2025-10-23,7.110,7.000,7.130,6.840,172943979.000,hk01177,中国生物制药
2025-10-24,7.000,6.960,7.080,6.920,85804022.000,hk01177,中国生物制药
2025-10-27,7.040,7.090,7.180,7.010,77196796.000,hk01177,中国生物制药
2025-10-28,7.070,7.040,7.140,6.960,63604277.000,hk01177,中国生物制药
2025-10-30,7.050,6.870,7.050,6.740,141544537.000,hk01177,中国生物制药
2025-10-31,6.870,7.070,7.160,6.830,133768041.000,hk01177,中国生物制药
2025-11-03,7.100,7.120,7.250,6.960,126099605.000,hk01177,中国生物制药
2025-11-04,7.070,6.970,7.150,6.930,88553268.000,hk01177,中国生物制药
2025-11-05,6.930,6.990,7.130,6.880,89415576.000,hk01177,中国生物制药
2025-11-06,7.040,7.010,7.070,6.880,54618150.000,hk01177,中国生物制药
2025-11-07,6.960,6.840,7.010,6.810,61667496.000,hk01177,中国生物制药
2025-11-10,6.830,6.960,6.970,6.770,78207828.000,hk01177,中国生物制药
2025-11-11,6.990,6.870,6.990,6.780,55498469.000,hk01177,中国生物制药
2025-11-12,6.870,6.920,7.020,6.830,64926235.000,hk01177,中国生物制药
2025-11-13,7.000,7.370,7.430,6.970,160301237.000,hk01177,中国生物制药
2025-11-14,7.270,7.340,7.480,7.240,91862339.000,hk01177,中国生物制药
