date,open,high,low,close,volume,code,name
2024-11-29,4.490,4.520,4.530,4.460,43913426.000,hk00728,中国电信
2024-12-02,4.510,4.540,4.570,4.490,35194704.000,hk00728,中国电信
2024-12-03,4.520,4.550,4.570,4.500,31563880.000,hk00728,中国电信
2024-12-04,4.550,4.610,4.630,4.540,46174000.000,hk00728,中国电信
2024-12-05,4.610,4.580,4.620,4.560,38452002.000,hk00728,中国电信
2024-12-06,4.580,4.640,4.660,4.580,54558037.000,hk00728,中国电信
2024-12-09,4.640,4.670,4.690,4.620,44503678.000,hk00728,中国电信
2024-12-10,4.690,4.640,4.700,4.580,66881643.000,hk00728,中国电信
2024-12-11,4.610,4.730,4.780,4.610,75096737.000,hk00728,中国电信
2024-12-12,4.730,4.770,4.790,4.720,37887140.000,hk00728,中国电信
2024-12-13,4.770,4.710,4.800,4.690,53830501.000,hk00728,中国电信
2024-12-16,4.710,4.830,4.860,4.710,65412908.000,hk00728,中国电信
2024-12-17,4.820,4.800,4.880,4.780,77097851.000,hk00728,中国电信
2024-12-18,4.800,4.850,4.880,4.770,83384241.000,hk00728,中国电信
2024-12-19,4.830,4.890,4.910,4.800,93290505.000,hk00728,中国电信
2024-12-20,4.890,4.850,4.900,4.830,70912109.000,hk00728,中国电信
2024-12-23,4.880,4.850,4.880,4.820,62803444.000,hk00728,中国电信
2024-12-24,4.840,4.890,4.890,4.840,17849318.000,hk00728,中国电信
2024-12-27,4.880,4.900,4.920,4.850,68191000.000,hk00728,中国电信
2024-12-30,4.900,4.880,4.910,4.850,34656702.000,hk00728,中国电信
2024-12-31,4.870,4.870,4.900,4.840,32451980.000,hk00728,中国电信
2025-01-02,4.860,4.710,4.860,4.680,109759189.000,hk00728,中国电信
2025-01-03,4.720,4.730,4.830,4.690,111226091.000,hk00728,中国电信
2025-01-06,4.720,4.760,4.820,4.710,44711165.000,hk00728,中国电信
2025-01-07,4.780,4.710,4.780,4.680,35914328.000,hk00728,中国电信
2025-01-08,4.720,4.770,4.800,4.690,50262788.000,hk00728,中国电信
2025-01-09,4.770,4.820,4.830,4.770,41825684.000,hk00728,中国电信
2025-01-10,4.800,4.770,4.830,4.750,29196681.000,hk00728,中国电信
2025-01-13,4.740,4.710,4.760,4.670,26165678.000,hk00728,中国电信
2025-01-14,4.690,4.660,4.790,4.660,44600106.000,hk00728,中国电信
