date,open,high,low,close,volume,code,name
2024-11-29,5.530,5.510,5.570,5.480,60524371.000,hk00857,中国石油
2024-12-02,5.500,5.470,5.560,5.420,109561099.000,hk00857,中国石油
2024-12-03,5.470,5.630,5.630,5.450,120110005.000,hk00857,中国石油
2024-12-04,5.630,5.810,5.880,5.580,222264931.000,hk00857,中国石油
2024-12-05,5.780,5.770,5.870,5.720,74080558.000,hk00857,中国石油
2024-12-06,5.760,5.790,5.840,5.760,134583179.000,hk00857,中国石油
2024-12-09,5.760,5.880,5.880,5.700,130454723.000,hk00857,中国石油
2024-12-10,5.980,5.770,5.990,5.760,155784766.000,hk00857,中国石油
2024-12-11,5.790,5.780,5.890,5.760,125026628.000,hk00857,中国石油
2024-12-12,5.800,5.770,5.840,5.740,131212410.000,hk00857,中国石油
2024-12-13,5.730,5.650,5.760,5.610,136471645.000,hk00857,中国石油
2024-12-16,5.650,5.760,5.760,5.610,142626876.000,hk00857,中国石油
2024-12-17,5.700,5.770,5.870,5.700,145276921.000,hk00857,中国石油
2024-12-18,5.770,5.830,5.900,5.770,141213295.000,hk00857,中国石油
2024-12-19,5.800,5.800,5.880,5.770,118337616.000,hk00857,中国石油
2024-12-20,5.800,5.780,5.860,5.730,162810867.000,hk00857,中国石油
2024-12-23,5.880,5.880,5.900,5.800,113671888.000,hk00857,中国石油
2024-12-24,5.900,6.030,6.090,5.890,160318380.000,hk00857,中国石油
2024-12-27,6.030,6.030,6.130,5.970,105864080.000,hk00857,中国石油
2024-12-30,6.080,6.040,6.200,6.030,114679598.000,hk00857,中国石油
2024-12-31,6.050,6.110,6.170,6.050,110760100.000,hk00857,中国石油
2025-01-02,6.120,6.030,6.170,5.980,151757334.000,hk00857,中国石油
2025-01-03,6.050,6.120,6.180,6.050,140671856.000,hk00857,中国石油
2025-01-06,6.170,6.160,6.250,6.080,178737470.000,hk00857,中国石油
2025-01-07,6.140,6.120,6.170,6.040,141722421.000,hk00857,中国石油
2025-01-08,6.140,6.210,6.290,6.120,186512546.000,hk00857,中国石油
2025-01-09,6.230,6.140,6.250,6.130,131783664.000,hk00857,中国石油
2025-01-10,6.200,6.100,6.260,6.080,96746292.000,hk00857,中国石油
2025-01-13,6.190,6.250,6.300,6.110,177340454.000,hk00857,中国石油
2025-01-14,6.260,6.290,6.320,6.220,135843600.000,hk00857,中国石油
2025-01-15,6.320,6.240,6.330,6.210,98662375.000,hk00857,中国石油
2025-01-16,6.330,6.310,6.380,6.290,115137162.000,hk00857,中国石油
2025-01-17,6.290,6.230,6.320,6.210,89576074.000,hk00857,中国石油
2025-01-20,6.240,6.120,6.280,6.110,145056365.000,hk00857,中国石油
2025-01-21,6.100,6.060,6.150,6.010,111700058.000,hk00857,中国石油
2025-01-22,6.050,5.980,6.070,5.960,87597055.000,hk00857,中国石油
2025-01-23,5.980,5.960,6.050,5.920,80667841.000,hk00857,中国石油
2025-01-24,5.940,5.950,5.970,5.880,115197413.000,hk00857,中国石油
2025-01-27,5.940,6.060,6.070,5.910,109608205.000,hk00857,中国石油
2025-01-28,6.060,5.990,6.080,5.940,36711903.000,hk00857,中国石油
2025-02-03,5.900,5.940,6.040,5.880,64185827.000,hk00857,中国石油
2025-02-04,6.050,6.050,6.110,5.930,92515792.000,hk00857,中国石油
2025-02-05,6.060,6.010,6.060,5.960,74257893.000,hk00857,中国石油
2025-02-06,6.020,6.080,6.090,6.010,71029534.000,hk00857,中国石油
2025-02-07,6.060,6.030,6.080,5.960,94378714.000,hk00857,中国石油
2025-02-10,6.050,6.040,6.090,6.010,75703852.000,hk00857,中国石油
2025-02-11,6.070,6.120,6.140,6.010,89689328.000,hk00857,中国石油
2025-02-12,6.150,6.200,6.220,6.140,96053310.000,hk00857,中国石油
2025-02-13,6.180,6.060,6.190,6.060,145155921.000,hk00857,中国石油
2025-02-14,6.100,6.060,6.140,6.010,158112783.000,hk00857,中国石油
2025-02-17,5.970,6.010,6.020,5.900,208454225.000,hk00857,中国石油
2025-02-18,6.010,6.010,6.040,5.950,133975619.000,hk00857,中国石油
2025-02-19,6.020,6.010,6.020,5.950,80813408.000,hk00857,中国石油
2025-02-20,6.000,6.060,6.100,5.970,100550665.000,hk00857,中国石油
2025-02-21,6.090,6.030,6.130,5.990,151154806.000,hk00857,中国石油
2025-02-24,5.980,5.980,6.030,5.930,134023002.000,hk00857,中国石油
2025-02-25,6.000,5.920,6.030,5.880,133911049.000,hk00857,中国石油
2025-02-26,5.910,5.890,5.950,5.830,140680221.000,hk00857,中国石油
2025-02-27,5.800,5.840,5.880,5.760,124290530.000,hk00857,中国石油
2025-02-28,5.820,5.790,5.910,5.770,169291353.000,hk00857,中国石油
2025-03-03,5.800,5.820,5.880,5.800,84042413.000,hk00857,中国石油
2025-03-04,5.780,5.690,5.780,5.660,155072696.000,hk00857,中国石油
2025-03-05,5.700,5.760,5.780,5.690,94556369.000,hk00857,中国石油
2025-03-06,5.760,5.750,5.770,5.680,125783075.000,hk00857,中国石油
2025-03-07,5.710,5.800,5.850,5.710,150553221.000,hk00857,中国石油
2025-03-10,5.810,5.850,5.910,5.780,134208646.000,hk00857,中国石油
2025-03-11,5.820,5.860,5.870,5.770,88342995.000,hk00857,中国石油
2025-03-12,5.830,5.860,5.920,5.810,99153995.000,hk00857,中国石油
2025-03-13,5.860,5.910,5.950,5.830,106160971.000,hk00857,中国石油
2025-03-14,5.950,5.920,5.960,5.880,93145374.000,hk00857,中国石油
2025-03-17,5.920,6.020,6.060,5.920,123957206.000,hk00857,中国石油
