date,open,high,low,close,volume,code,name
2024-11-29,4.180,4.160,4.210,4.150,80590199.000,hk00386,中国石油化工
2024-12-02,4.190,4.160,4.220,4.140,68291995.000,hk00386,中国石油化工
2024-12-03,4.160,4.220,4.230,4.130,95688473.000,hk00386,中国石油化工
2024-12-04,4.220,4.310,4.360,4.200,177690509.000,hk00386,中国石油化工
2024-12-05,4.270,4.260,4.330,4.240,110090395.000,hk00386,中国石油化工
2024-12-06,4.280,4.310,4.340,4.280,119308538.000,hk00386,中国石油化工
2024-12-09,4.300,4.390,4.400,4.280,146415909.000,hk00386,中国石油化工
2024-12-10,4.500,4.330,4.500,4.320,159287974.000,hk00386,中国石油化工
2024-12-11,4.330,4.300,4.400,4.260,150874778.000,hk00386,中国石油化工
2024-12-12,4.260,4.320,4.370,4.260,121293559.000,hk00386,中国石油化工
2024-12-13,4.280,4.260,4.300,4.220,150537367.000,hk00386,中国石油化工
2024-12-16,4.250,4.280,4.300,4.250,106002516.000,hk00386,中国石油化工
2024-12-17,4.280,4.280,4.310,4.250,79809904.000,hk00386,中国石油化工
2024-12-18,4.280,4.300,4.340,4.280,106162852.000,hk00386,中国石油化工
2024-12-19,4.280,4.290,4.310,4.240,116318530.000,hk00386,中国石油化工
2024-12-20,4.280,4.250,4.310,4.230,99864134.000,hk00386,中国石油化工
2024-12-23,4.290,4.310,4.350,4.250,130822320.000,hk00386,中国石油化工
2024-12-24,4.310,4.370,4.420,4.310,97724188.000,hk00386,中国石油化工
2024-12-27,4.380,4.390,4.430,4.370,98009229.000,hk00386,中国石油化工
2024-12-30,4.410,4.380,4.470,4.380,103231283.000,hk00386,中国石油化工
2024-12-31,4.400,4.450,4.500,4.400,114653162.000,hk00386,中国石油化工
2025-01-02,4.440,4.430,4.470,4.370,142500965.000,hk00386,中国石油化工
2025-01-03,4.420,4.440,4.490,4.410,80931792.000,hk00386,中国石油化工
2025-01-06,4.440,4.450,4.480,4.390,72989799.000,hk00386,中国石油化工
2025-01-07,4.430,4.410,4.450,4.370,101040707.000,hk00386,中国石油化工
2025-01-08,4.400,4.430,4.460,4.360,132285275.000,hk00386,中国石油化工
2025-01-09,4.440,4.400,4.450,4.380,102926728.000,hk00386,中国石油化工
2025-01-10,4.420,4.340,4.430,4.320,119899343.000,hk00386,中国石油化工
2025-01-13,4.370,4.290,4.380,4.240,125278817.000,hk00386,中国石油化工
2025-01-14,4.290,4.320,4.330,4.270,126822876.000,hk00386,中国石油化工
2025-01-15,4.320,4.340,4.360,4.280,84417255.000,hk00386,中国石油化工
2025-01-16,4.370,4.350,4.390,4.320,60505293.000,hk00386,中国石油化工
2025-01-17,4.340,4.290,4.350,4.270,116447011.000,hk00386,中国石油化工
2025-01-20,4.310,4.310,4.320,4.270,84261266.000,hk00386,中国石油化工
2025-01-21,4.330,4.300,4.330,4.270,67396020.000,hk00386,中国石油化工
2025-01-22,4.270,4.250,4.300,4.230,112529497.000,hk00386,中国石油化工
2025-01-23,4.250,4.240,4.280,4.230,98057455.000,hk00386,中国石油化工
2025-01-24,4.240,4.260,4.290,4.220,82633532.000,hk00386,中国石油化工
2025-01-27,4.270,4.290,4.320,4.260,105897359.000,hk00386,中国石油化工
2025-01-28,4.300,4.280,4.310,4.250,47968150.000,hk00386,中国石油化工
2025-02-03,4.210,4.250,4.290,4.210,90883387.000,hk00386,中国石油化工
2025-02-04,4.310,4.300,4.350,4.230,103627766.000,hk00386,中国石油化工
