date,open,high,low,close,volume,code,name
2024-11-29,31.800,32.200,32.350,31.800,12253166.000,hk01088,中国神华
2024-12-02,32.250,32.050,32.250,31.450,20989050.000,hk01088,中国神华
2024-12-03,32.050,32.700,33.100,31.650,18663290.000,hk01088,中国神华
2024-12-04,32.600,34.050,34.250,32.450,37237736.000,hk01088,中国神华
2024-12-05,34.000,33.700,34.200,33.500,13094944.000,hk01088,中国神华
2024-12-06,33.900,33.900,34.250,33.750,23640951.000,hk01088,中国神华
2024-12-09,33.800,34.600,34.600,33.550,28246091.000,hk01088,中国神华
2024-12-10,35.150,34.750,35.150,34.100,22297635.000,hk01088,中国神华
2024-12-11,34.950,35.100,35.800,34.900,14643688.000,hk01088,中国神华
2024-12-12,35.150,34.700,35.250,34.500,25276286.000,hk01088,中国神华
2024-12-13,34.700,34.500,34.850,34.200,14581812.000,hk01088,中国神华
2024-12-16,34.250,34.000,35.150,33.850,24806205.000,hk01088,中国神华
2024-12-17,34.000,33.850,34.200,33.550,24278289.000,hk01088,中国神华
2024-12-18,33.850,33.350,34.100,33.300,26508582.000,hk01088,中国神华
2024-12-19,33.100,33.200,33.550,32.900,22912497.000,hk01088,中国神华
2024-12-20,33.200,32.050,33.200,31.850,33125472.000,hk01088,中国神华
2024-12-23,32.050,32.250,32.550,31.850,17568581.000,hk01088,中国神华
2024-12-24,32.300,32.500,32.900,32.100,16072479.000,hk01088,中国神华
2024-12-27,32.300,33.000,33.100,32.300,21191855.000,hk01088,中国神华
2024-12-30,33.000,32.600,33.750,32.600,23725195.000,hk01088,中国神华
2024-12-31,32.650,33.600,33.750,32.650,19253705.000,hk01088,中国神华
2025-01-02,33.300,32.550,33.500,32.250,27871106.000,hk01088,中国神华
2025-01-03,32.550,32.950,32.950,32.400,17019703.000,hk01088,中国神华
2025-01-06,32.950,32.900,33.250,32.450,12782422.000,hk01088,中国神华
2025-01-07,33.000,32.350,33.000,32.200,12602343.000,hk01088,中国神华
2025-01-08,32.200,31.450,32.350,30.500,51010704.000,hk01088,中国神华
2025-01-09,31.450,30.450,31.450,30.400,41025562.000,hk01088,中国神华
2025-01-10,30.700,30.550,31.350,30.350,25055465.000,hk01088,中国神华
2025-01-13,30.550,30.450,30.800,30.150,15467209.000,hk01088,中国神华
2025-01-14,30.350,30.850,31.000,30.250,14690220.000,hk01088,中国神华
2025-01-15,30.850,30.750,31.150,30.650,12902386.000,hk01088,中国神华
2025-01-16,30.850,31.150,31.400,30.750,12840861.000,hk01088,中国神华
2025-01-17,31.150,31.150,31.300,30.900,15679100.000,hk01088,中国神华
2025-01-20,31.400,30.550,31.500,30.500,22000978.000,hk01088,中国神华
2025-01-21,30.800,30.650,30.800,30.200,18292490.000,hk01088,中国神华
2025-01-22,30.750,30.650,31.000,30.500,15399143.000,hk01088,中国神华
2025-01-23,30.850,30.650,31.350,30.650,13028343.000,hk01088,中国神华
2025-01-24,30.750,31.750,31.950,30.650,15444916.000,hk01088,中国神华
2025-01-27,31.500,31.850,32.350,31.500,15135432.000,hk01088,中国神华
2025-01-28,31.950,31.350,32.250,31.000,4334800.000,hk01088,中国神华
2025-02-03,30.450,31.050,31.350,30.100,6841893.000,hk01088,中国神华
2025-02-04,31.500,31.700,31.850,30.950,8027478.000,hk01088,中国神华
2025-02-05,31.650,31.400,31.750,31.100,13310634.000,hk01088,中国神华
2025-02-06,31.400,31.800,31.800,31.400,8867237.000,hk01088,中国神华
2025-02-07,31.550,31.100,31.850,30.800,24706780.000,hk01088,中国神华
2025-02-10,30.950,30.900,31.350,30.750,16112706.000,hk01088,中国神华
2025-02-11,30.950,30.800,31.100,30.500,15229827.000,hk01088,中国神华
2025-02-12,31.100,31.000,31.250,30.850,15430246.000,hk01088,中国神华
2025-02-13,31.000,30.900,31.250,30.600,20021756.000,hk01088,中国神华
2025-02-14,31.050,31.300,31.450,30.700,19698108.000,hk01088,中国神华
2025-02-17,31.300,31.000,31.300,30.300,38196540.000,hk01088,中国神华
2025-02-18,30.600,30.900,31.150,30.500,25527795.000,hk01088,中国神华
2025-02-19,30.700,29.750,30.900,29.350,47782151.000,hk01088,中国神华
2025-02-20,29.600,29.300,29.600,29.100,41267135.000,hk01088,中国神华
2025-02-21,29.300,28.500,29.650,28.450,54069580.000,hk01088,中国神华
2025-02-24,28.500,29.250,29.600,28.300,39500146.000,hk01088,中国神华
2025-02-25,29.250,29.550,29.950,29.100,30998520.000,hk01088,中国神华
2025-02-26,29.550,29.550,29.850,29.400,22757933.000,hk01088,中国神华
2025-02-27,29.200,29.300,29.600,28.800,23199707.000,hk01088,中国神华
2025-02-28,29.300,29.650,29.900,29.200,41091683.000,hk01088,中国神华
2025-03-03,29.650,30.000,30.400,29.600,21949275.000,hk01088,中国神华
2025-03-04,29.700,29.950,30.200,29.400,23639408.000,hk01088,中国神华
2025-03-05,30.000,30.450,30.650,29.850,21974073.000,hk01088,中国神华
2025-03-06,30.450,30.450,30.600,30.000,19874161.000,hk01088,中国神华
2025-03-07,30.450,30.700,31.400,30.450,24316779.000,hk01088,中国神华
2025-03-10,30.800,30.900,31.300,30.650,12818490.000,hk01088,中国神华
2025-03-11,30.800,31.200,31.400,30.500,14702271.000,hk01088,中国神华
2025-03-12,30.800,31.150,31.350,30.800,19233315.000,hk01088,中国神华
2025-03-13,31.100,31.750,32.100,30.950,21942732.000,hk01088,中国神华
2025-03-14,31.600,31.650,32.000,31.500,17449390.000,hk01088,中国神华
2025-03-17,31.650,31.350,31.850,31.250,17569587.000,hk01088,中国神华
2025-03-18,31.350,31.650,31.650,31.100,16370908.000,hk01088,中国神华
2025-03-19,31.650,31.700,32.200,31.350,19714493.000,hk01088,中国神华
2025-03-20,31.700,31.650,32.350,31.500,19244074.000,hk01088,中国神华
2025-03-21,31.600,31.350,31.900,31.350,25809165.000,hk01088,中国神华
2025-03-24,31.550,32.300,32.500,31.150,43022670.000,hk01088,中国神华
2025-03-25,32.200,32.100,32.800,31.850,25284798.000,hk01088,中国神华
2025-03-26,32.100,32.000,32.300,31.700,21879689.000,hk01088,中国神华
2025-03-27,32.000,31.900,32.350,31.750,15159686.000,hk01088,中国神华
2025-03-28,32.200,31.450,32.200,31.250,14375233.000,hk01088,中国神华
2025-03-31,31.350,31.550,31.950,31.300,16646787.000,hk01088,中国神华
2025-04-01,31.750,32.350,32.550,31.750,14635200.000,hk01088,中国神华
2025-04-02,32.050,32.200,32.600,31.800,14510133.000,hk01088,中国神华
2025-04-03,31.700,32.600,32.800,31.700,20269510.000,hk01088,中国神华
2025-04-07,31.200,29.900,31.750,29.800,71450090.000,hk01088,中国神华
2025-04-08,29.950,30.900,30.900,29.900,36300276.000,hk01088,中国神华
2025-04-09,30.300,30.900,31.500,29.700,50022588.000,hk01088,中国神华
2025-04-10,30.900,30.350,31.600,30.250,44488415.000,hk01088,中国神华
2025-04-11,30.350,30.750,30.900,29.900,31243814.000,hk01088,中国神华
2025-04-14,30.750,31.000,31.400,30.600,27608671.000,hk01088,中国神华
2025-04-15,31.000,31.100,31.200,30.850,21911110.000,hk01088,中国神华
2025-04-16,31.100,30.850,31.200,30.450,24870813.000,hk01088,中国神华
2025-04-17,30.950,31.050,31.100,30.800,23039052.000,hk01088,中国神华
2025-04-22,31.050,31.000,31.350,30.400,28578913.000,hk01088,中国神华
2025-04-23,31.250,31.200,31.250,30.700,26939485.000,hk01088,中国神华
2025-04-24,30.900,31.000,31.250,30.650,18448000.000,hk01088,中国神华
2025-04-25,31.150,30.800,31.200,30.650,26565902.000,hk01088,中国神华
2025-04-28,29.800,29.500,30.000,29.250,66740339.000,hk01088,中国神华
2025-04-29,29.500,29.400,29.800,29.200,24765906.000,hk01088,中国神华
2025-04-30,29.450,29.200,29.550,29.100,29354750.000,hk01088,中国神华
2025-05-02,29.200,29.300,29.400,29.100,11079282.000,hk01088,中国神华
2025-05-06,29.100,29.450,29.500,29.050,49262839.000,hk01088,中国神华
2025-05-07,29.750,29.900,30.200,29.550,21035343.000,hk01088,中国神华
2025-05-08,29.800,30.200,30.500,29.700,18917191.000,hk01088,中国神华
2025-05-09,30.050,30.500,30.600,30.050,16082350.000,hk01088,中国神华
2025-05-12,30.950,31.550,31.700,30.600,28746783.000,hk01088,中国神华
2025-05-13,31.200,31.450,31.750,31.150,19513547.000,hk01088,中国神华
2025-05-14,31.800,32.300,32.350,31.500,19255764.000,hk01088,中国神华
2025-05-15,32.250,32.150,32.600,31.900,22869517.000,hk01088,中国神华
2025-05-16,32.100,32.050,32.450,31.650,22324018.000,hk01088,中国神华
2025-05-19,31.850,32.200,32.400,31.700,20046922.000,hk01088,中国神华
2025-05-20,32.200,32.750,32.750,32.100,19655423.000,hk01088,中国神华
2025-05-21,32.700,33.250,33.400,32.450,33829427.000,hk01088,中国神华
2025-05-22,33.200,32.600,33.400,32.550,26979914.000,hk01088,中国神华
2025-05-23,32.600,33.000,33.150,32.500,20437894.000,hk01088,中国神华
2025-05-26,32.800,33.400,33.600,32.800,25006881.000,hk01088,中国神华
2025-05-27,33.400,33.250,33.950,33.100,28954437.000,hk01088,中国神华
2025-05-28,33.200,33.650,33.850,32.950,18471695.000,hk01088,中国神华
2025-05-29,33.650,33.250,33.650,33.100,13152200.000,hk01088,中国神华
2025-05-30,33.000,33.150,33.350,32.950,20741054.000,hk01088,中国神华
2025-06-02,33.150,32.350,33.150,31.850,9161638.000,hk01088,中国神华
2025-06-03,32.600,32.750,33.000,32.500,12273718.000,hk01088,中国神华
2025-06-04,32.700,33.350,33.400,32.450,10168417.000,hk01088,中国神华
2025-06-05,33.350,33.250,33.700,33.050,12264006.000,hk01088,中国神华
2025-06-06,33.250,33.800,34.100,33.150,26149644.000,hk01088,中国神华
2025-06-09,34.100,33.600,34.200,33.400,19766564.000,hk01088,中国神华
2025-06-10,33.700,34.050,34.200,33.500,14377927.000,hk01088,中国神华
2025-06-11,34.050,34.600,34.650,34.050,20350266.000,hk01088,中国神华
2025-06-12,34.700,34.150,34.700,34.050,20376208.000,hk01088,中国神华
2025-06-13,34.100,34.600,34.850,34.100,19596453.000,hk01088,中国神华
2025-06-16,34.700,35.200,35.300,34.400,21956121.000,hk01088,中国神华
2025-06-17,35.000,35.100,35.350,34.750,20522955.000,hk01088,中国神华
2025-06-18,35.000,34.900,35.450,34.600,18990587.000,hk01088,中国神华
2025-06-19,34.950,33.800,35.000,33.500,22107100.000,hk01088,中国神华
2025-06-20,33.900,34.350,34.550,33.800,23402444.000,hk01088,中国神华
