date,open,high,low,close,volume,code,name
2024-11-29,6.430,6.480,6.510,6.430,30162848.000,hk00762,中国联通
2024-12-02,6.480,6.450,6.530,6.420,32630016.000,hk00762,中国联通
2024-12-03,6.420,6.500,6.540,6.370,31560840.000,hk00762,中国联通
2024-12-04,6.500,6.600,6.700,6.460,46379290.000,hk00762,中国联通
2024-12-05,6.600,6.610,6.660,6.550,29362000.000,hk00762,中国联通
2024-12-06,6.620,6.660,6.750,6.610,50976111.000,hk00762,中国联通
2024-12-09,6.700,6.820,6.840,6.670,63900526.000,hk00762,中国联通
2024-12-10,6.910,6.710,6.910,6.660,70347841.000,hk00762,中国联通
2024-12-11,6.750,6.770,6.900,6.720,49427247.000,hk00762,中国联通
2024-12-12,6.820,6.890,6.950,6.790,42217371.000,hk00762,中国联通
2024-12-13,6.870,6.750,6.950,6.740,45906256.000,hk00762,中国联通
2024-12-16,6.810,6.930,6.980,6.770,40975612.000,hk00762,中国联通
2024-12-17,6.930,7.020,7.110,6.930,59540790.000,hk00762,中国联通
2024-12-18,7.090,7.130,7.270,7.080,56280073.000,hk00762,中国联通
2024-12-19,7.100,7.210,7.360,7.030,72680006.000,hk00762,中国联通
2024-12-20,7.250,7.150,7.290,7.100,50285784.000,hk00762,中国联通
2024-12-23,7.160,7.280,7.340,7.120,42827324.000,hk00762,中国联通
2024-12-24,7.300,7.350,7.420,7.270,28153002.000,hk00762,中国联通
2024-12-27,7.300,7.370,7.460,7.290,29579496.000,hk00762,中国联通
2024-12-30,7.400,7.310,7.460,7.310,17618015.000,hk00762,中国联通
2024-12-31,7.330,7.390,7.430,7.270,19190257.000,hk00762,中国联通
2025-01-02,7.390,7.220,7.390,7.140,43898861.000,hk00762,中国联通
2025-01-03,7.220,7.180,7.300,7.170,25324864.000,hk00762,中国联通
2025-01-06,7.200,7.220,7.280,7.130,20960701.000,hk00762,中国联通
2025-01-07,7.210,7.220,7.230,7.060,25574345.000,hk00762,中国联通
2025-01-08,7.240,7.280,7.360,7.140,30770768.000,hk00762,中国联通
2025-01-09,7.360,7.240,7.370,7.240,19691401.000,hk00762,中国联通
2025-01-10,7.240,7.150,7.300,7.130,15556770.000,hk00762,中国联通
2025-01-13,7.100,7.120,7.220,7.060,24865558.000,hk00762,中国联通
2025-01-14,7.130,7.150,7.350,7.080,34011313.000,hk00762,中国联通
2025-01-15,7.150,7.230,7.250,7.100,16672448.000,hk00762,中国联通
2025-01-16,7.190,7.250,7.290,7.150,22744029.000,hk00762,中国联通
2025-01-17,7.260,7.240,7.310,7.210,16537651.000,hk00762,中国联通
2025-01-20,7.260,7.240,7.330,7.230,22618265.000,hk00762,中国联通
2025-01-21,7.250,7.010,7.270,6.890,74762318.000,hk00762,中国联通
