date,open,high,low,close,volume,code,name
2024-11-29,5.310,5.370,5.400,5.300,3603000.000,hk01186,中国铁建
2024-12-02,5.370,5.440,5.470,5.350,6756500.000,hk01186,中国铁建
2024-12-03,5.450,5.550,5.550,5.420,10015357.000,hk01186,中国铁建
2024-12-04,5.550,5.510,5.570,5.460,8699000.000,hk01186,中国铁建
2024-12-05,5.540,5.520,5.550,5.460,5521450.000,hk01186,中国铁建
2024-12-06,5.530,5.580,5.590,5.510,6067146.000,hk01186,中国铁建
2024-12-09,5.540,5.670,5.670,5.470,10499857.000,hk01186,中国铁建
2024-12-10,5.780,5.580,5.810,5.580,13154500.000,hk01186,中国铁建
2024-12-11,5.600,5.570,5.630,5.530,5966067.000,hk01186,中国铁建
2024-12-12,5.570,5.620,5.650,5.520,9377500.000,hk01186,中国铁建
2024-12-13,5.610,5.490,5.610,5.450,7934000.000,hk01186,中国铁建
2024-12-16,5.510,5.500,5.530,5.430,7001500.000,hk01186,中国铁建
2024-12-17,5.490,5.500,5.500,5.430,6552000.000,hk01186,中国铁建
2024-12-18,5.590,5.670,5.700,5.580,18110000.000,hk01186,中国铁建
2024-12-19,5.650,5.680,5.690,5.590,10810121.000,hk01186,中国铁建
2024-12-20,5.650,5.650,5.690,5.610,6728299.000,hk01186,中国铁建
2024-12-23,5.680,5.720,5.730,5.650,8383503.000,hk01186,中国铁建
2024-12-24,5.720,5.770,5.790,5.690,7933659.000,hk01186,中国铁建
2024-12-27,5.740,5.780,5.800,5.710,13503000.000,hk01186,中国铁建
2024-12-30,5.760,5.760,5.810,5.710,10697700.000,hk01186,中国铁建
2024-12-31,5.760,5.730,5.780,5.680,6689015.000,hk01186,中国铁建
2025-01-02,5.710,5.600,5.780,5.520,8851500.000,hk01186,中国铁建
2025-01-03,5.550,5.580,5.620,5.520,4877848.000,hk01186,中国铁建
2025-01-06,5.560,5.500,5.560,5.430,7865573.000,hk01186,中国铁建
2025-01-07,5.530,5.490,5.530,5.390,7323000.000,hk01186,中国铁建
2025-01-08,5.490,5.460,5.510,5.340,8340065.000,hk01186,中国铁建
2025-01-09,5.490,5.430,5.490,5.410,3911000.000,hk01186,中国铁建
2025-01-10,5.380,5.320,5.440,5.300,5731000.000,hk01186,中国铁建
2025-01-13,5.320,5.300,5.360,5.240,5430551.000,hk01186,中国铁建
2025-01-14,5.310,5.400,5.450,5.300,8925000.000,hk01186,中国铁建
2025-01-15,5.400,5.410,5.450,5.370,2144000.000,hk01186,中国铁建
2025-01-16,5.420,5.450,5.540,5.400,6211500.000,hk01186,中国铁建
2025-01-17,5.480,5.430,5.490,5.390,6315961.000,hk01186,中国铁建
2025-01-20,5.440,5.500,5.550,5.440,9437400.000,hk01186,中国铁建
2025-01-21,5.540,5.350,5.540,5.330,13727157.000,hk01186,中国铁建
2025-01-22,5.360,5.270,5.370,5.240,14463892.000,hk01186,中国铁建
2025-01-23,5.300,5.400,5.420,5.300,16767220.000,hk01186,中国铁建
2025-01-24,5.340,5.410,5.430,5.340,10941691.000,hk01186,中国铁建
2025-01-27,5.380,5.390,5.460,5.360,10636500.000,hk01186,中国铁建
2025-01-28,5.350,5.360,5.360,5.320,1294500.000,hk01186,中国铁建
2025-02-03,5.360,5.280,5.360,5.230,4255500.000,hk01186,中国铁建
2025-02-04,5.290,5.280,5.340,5.240,3285137.000,hk01186,中国铁建
2025-02-05,5.330,5.250,5.330,5.210,12207500.000,hk01186,中国铁建
2025-02-06,5.250,5.270,5.290,5.190,12102000.000,hk01186,中国铁建
2025-02-07,5.300,5.300,5.340,5.240,14639763.000,hk01186,中国铁建
2025-02-10,5.330,5.330,5.350,5.280,11274678.000,hk01186,中国铁建
2025-02-11,5.350,5.270,5.350,5.240,9506056.000,hk01186,中国铁建
2025-02-12,5.300,5.330,5.360,5.250,11744000.000,hk01186,中国铁建
2025-02-13,5.360,5.290,5.370,5.260,11811936.000,hk01186,中国铁建
2025-02-14,5.300,5.330,5.340,5.250,11186000.000,hk01186,中国铁建
2025-02-17,5.340,5.300,5.360,5.270,13301000.000,hk01186,中国铁建
2025-02-18,5.300,5.330,5.340,5.260,13519000.000,hk01186,中国铁建
2025-02-19,5.330,5.300,5.330,5.250,11530000.000,hk01186,中国铁建
2025-02-20,5.290,5.240,5.290,5.220,10880500.000,hk01186,中国铁建
2025-02-21,5.250,5.240,5.260,5.190,13836398.000,hk01186,中国铁建
2025-02-24,5.250,5.390,5.460,5.220,32751500.000,hk01186,中国铁建
2025-02-25,5.380,5.320,5.390,5.290,9146500.000,hk01186,中国铁建
