date,open,high,low,close,volume,code,name
2024-11-29,3.610,3.610,3.620,3.560,291946407.000,hk03988,中国银行
2024-12-02,3.620,3.640,3.670,3.600,243568390.000,hk03988,中国银行
2024-12-03,3.630,3.710,3.720,3.630,227129550.000,hk03988,中国银行
2024-12-04,3.700,3.710,3.740,3.680,176095326.000,hk03988,中国银行
2024-12-05,3.680,3.680,3.710,3.670,132111919.000,hk03988,中国银行
2024-12-06,3.720,3.720,3.740,3.700,284502677.000,hk03988,中国银行
2024-12-09,3.720,3.830,3.830,3.700,387239441.000,hk03988,中国银行
2024-12-10,3.900,3.850,3.900,3.830,459684392.000,hk03988,中国银行
2024-12-11,3.870,3.820,3.880,3.810,177563427.000,hk03988,中国银行
2024-12-12,3.840,3.890,3.900,3.830,291713720.000,hk03988,中国银行
2024-12-13,3.870,3.800,3.870,3.800,164202506.000,hk03988,中国银行
2024-12-16,3.790,3.830,3.840,3.790,137299574.000,hk03988,中国银行
2024-12-17,3.810,3.810,3.850,3.790,184987456.000,hk03988,中国银行
2024-12-18,3.810,3.820,3.860,3.800,195079749.000,hk03988,中国银行
2024-12-19,3.800,3.800,3.820,3.760,186084863.000,hk03988,中国银行
2024-12-20,3.790,3.790,3.830,3.790,280576779.000,hk03988,中国银行
2024-12-23,3.820,3.890,3.900,3.810,310014946.000,hk03988,中国银行
2024-12-24,3.900,3.960,3.990,3.880,308867464.000,hk03988,中国银行
2024-12-27,3.980,3.940,3.990,3.900,234343299.000,hk03988,中国银行
2024-12-30,3.960,3.950,4.000,3.940,261704651.000,hk03988,中国银行
2024-12-31,3.950,3.970,4.000,3.940,144049213.000,hk03988,中国银行
2025-01-02,3.950,3.900,3.960,3.860,412228370.000,hk03988,中国银行
2025-01-03,3.890,3.930,3.940,3.860,277613880.000,hk03988,中国银行
2025-01-06,3.920,3.930,3.960,3.890,195756154.000,hk03988,中国银行
2025-01-07,3.920,3.920,3.950,3.870,353063015.000,hk03988,中国银行
2025-01-08,3.930,3.930,3.980,3.910,286671554.000,hk03988,中国银行
2025-01-09,3.940,3.900,3.950,3.890,202823349.000,hk03988,中国银行
2025-01-10,3.920,3.880,3.940,3.870,283870318.000,hk03988,中国银行
2025-01-13,3.780,3.760,3.780,3.680,274560706.000,hk03988,中国银行
