date,open,high,low,close,volume,code,name
2024-11-29,9.290,9.230,9.340,9.150,11711748.000,hk01898,中煤能源
2024-12-02,9.230,9.190,9.250,9.030,22406278.000,hk01898,中煤能源
2024-12-03,9.190,9.310,9.370,9.120,14461908.000,hk01898,中煤能源
2024-12-04,9.310,9.680,9.780,9.280,16599895.000,hk01898,中煤能源
2024-12-05,9.690,9.660,9.720,9.580,8461400.000,hk01898,中煤能源
2024-12-06,9.660,9.750,9.800,9.630,10838693.000,hk01898,中煤能源
2024-12-09,9.750,9.890,9.890,9.620,13636771.000,hk01898,中煤能源
2024-12-10,9.890,9.750,9.990,9.660,11808460.000,hk01898,中煤能源
2024-12-11,9.750,9.880,9.980,9.700,13486264.000,hk01898,中煤能源
2024-12-12,9.880,9.950,10.060,9.850,17151311.000,hk01898,中煤能源
2024-12-13,9.880,9.660,9.940,9.660,16518904.000,hk01898,中煤能源
2024-12-16,9.660,9.690,9.770,9.550,23309000.000,hk01898,中煤能源
2024-12-17,9.610,9.590,9.800,9.470,14817654.000,hk01898,中煤能源
2024-12-18,9.600,9.770,9.820,9.590,22334000.000,hk01898,中煤能源
2024-12-19,9.690,9.580,9.770,9.550,20058405.000,hk01898,中煤能源
2024-12-20,9.610,8.970,9.640,8.970,49290032.000,hk01898,中煤能源
2024-12-23,8.960,9.010,9.070,8.890,20434734.000,hk01898,中煤能源
2024-12-24,9.000,9.000,9.130,8.990,17210084.000,hk01898,中煤能源
2024-12-27,9.000,8.920,9.090,8.810,27463000.000,hk01898,中煤能源
2024-12-30,8.920,9.040,9.120,8.910,20076119.000,hk01898,中煤能源
2024-12-31,9.060,9.290,9.320,9.060,14918000.000,hk01898,中煤能源
2025-01-02,9.290,9.150,9.330,9.010,13349000.000,hk01898,中煤能源
2025-01-03,9.160,9.120,9.220,9.060,11457849.000,hk01898,中煤能源
2025-01-06,9.120,9.180,9.220,8.980,17212937.000,hk01898,中煤能源
2025-01-07,9.090,8.940,9.230,8.890,20783336.000,hk01898,中煤能源
2025-01-08,8.980,8.900,8.980,8.790,20027537.000,hk01898,中煤能源
2025-01-09,8.900,8.750,8.900,8.620,18624524.000,hk01898,中煤能源
2025-01-10,8.750,8.750,8.840,8.620,20559317.000,hk01898,中煤能源
2025-01-13,8.770,8.820,8.950,8.740,14356578.000,hk01898,中煤能源
2025-01-14,8.820,8.830,8.880,8.750,13423126.000,hk01898,中煤能源
2025-01-15,8.780,8.810,8.940,8.760,13077103.000,hk01898,中煤能源
2025-01-16,8.850,8.900,9.010,8.810,9826716.000,hk01898,中煤能源
2025-01-17,8.880,9.030,9.080,8.850,13891374.000,hk01898,中煤能源
2025-01-20,9.040,8.850,9.080,8.760,16542020.000,hk01898,中煤能源
2025-01-21,8.900,8.750,8.910,8.700,12297515.000,hk01898,中煤能源
