date,open,high,low,close,volume,code,name
2024-11-29,65.450,65.300,65.600,65.100,2884494.000,hk00002,中电控股
2024-12-02,64.550,64.100,64.550,63.550,4588792.000,hk00002,中电控股
2024-12-03,64.300,65.250,65.300,64.100,3604871.000,hk00002,中电控股
2024-12-04,65.300,65.250,65.400,64.650,2178570.000,hk00002,中电控股
2024-12-05,65.000,65.200,65.400,64.750,1872729.000,hk00002,中电控股
2024-12-06,65.200,65.250,65.550,64.900,3970912.000,hk00002,中电控股
2024-12-09,65.000,65.350,65.400,64.600,4045378.000,hk00002,中电控股
2024-12-10,66.000,65.700,66.300,65.500,4068992.000,hk00002,中电控股
2024-12-11,66.150,65.000,66.300,65.000,3034761.000,hk00002,中电控股
2024-12-12,65.150,65.100,65.600,65.000,1595691.000,hk00002,中电控股
2024-12-13,65.000,64.300,65.150,64.200,2567718.000,hk00002,中电控股
2024-12-16,64.300,64.650,64.700,64.200,1731202.000,hk00002,中电控股
2024-12-17,64.200,64.150,64.350,63.700,2390815.000,hk00002,中电控股
2024-12-18,64.300,64.500,65.150,64.050,2404685.000,hk00002,中电控股
2024-12-19,64.500,63.800,64.500,63.800,2342665.000,hk00002,中电控股
2024-12-20,63.650,63.800,63.950,63.300,4222075.000,hk00002,中电控股
2024-12-23,63.800,64.550,64.750,63.800,2627614.000,hk00002,中电控股
2024-12-24,64.350,64.800,65.150,64.200,1631241.000,hk00002,中电控股
2024-12-27,64.450,64.500,65.000,64.350,2647226.000,hk00002,中电控股
2024-12-30,64.700,64.950,65.050,64.400,1930622.000,hk00002,中电控股
2024-12-31,64.500,65.300,65.600,64.500,2139086.000,hk00002,中电控股
2025-01-02,65.250,64.150,65.250,63.850,3065640.000,hk00002,中电控股
2025-01-03,64.150,64.200,64.500,63.900,1611908.000,hk00002,中电控股
2025-01-06,64.100,64.250,64.650,64.000,1486707.000,hk00002,中电控股
2025-01-07,63.750,63.700,64.250,63.100,3170138.000,hk00002,中电控股
2025-01-08,63.350,63.500,63.900,63.250,2591274.000,hk00002,中电控股
2025-01-09,63.500,63.300,63.800,63.200,1641759.000,hk00002,中电控股
2025-01-10,63.300,63.700,64.000,63.300,2474095.000,hk00002,中电控股
2025-01-13,63.700,63.450,63.700,62.300,2883894.000,hk00002,中电控股
2025-01-14,63.800,64.050,64.200,63.500,2765878.000,hk00002,中电控股
2025-01-15,64.050,64.150,64.400,63.900,2705273.000,hk00002,中电控股
2025-01-16,64.150,64.800,64.800,64.100,2470931.000,hk00002,中电控股
2025-01-17,64.700,65.550,65.800,64.600,4330048.000,hk00002,中电控股
2025-01-20,65.550,65.950,66.100,65.450,2479151.000,hk00002,中电控股
2025-01-21,66.000,65.600,66.050,65.250,1986859.000,hk00002,中电控股
2025-01-22,65.500,64.650,65.650,64.500,2447901.000,hk00002,中电控股
2025-01-23,64.650,64.650,64.950,64.300,1922995.000,hk00002,中电控股
2025-01-24,64.650,64.750,65.400,64.400,1970998.000,hk00002,中电控股
2025-01-27,64.550,64.500,65.150,64.500,1349429.000,hk00002,中电控股
2025-01-28,64.500,64.750,64.900,64.200,641767.000,hk00002,中电控股
2025-02-03,63.200,64.600,64.750,63.200,2467711.000,hk00002,中电控股
2025-02-04,65.000,64.600,65.800,63.750,3647561.000,hk00002,中电控股
2025-02-05,64.900,63.950,64.900,63.850,2958010.000,hk00002,中电控股
2025-02-06,64.300,64.250,64.400,64.000,2200944.000,hk00002,中电控股
2025-02-07,64.250,63.750,64.400,63.600,3691217.000,hk00002,中电控股
2025-02-10,63.800,63.800,64.350,63.750,2401221.000,hk00002,中电控股
2025-02-11,63.650,63.700,64.050,63.550,2743912.000,hk00002,中电控股
2025-02-12,63.600,64.100,64.550,63.600,3242525.000,hk00002,中电控股
2025-02-13,64.100,64.050,64.500,63.850,3654529.000,hk00002,中电控股
2025-02-14,63.900,64.100,64.350,63.750,2938496.000,hk00002,中电控股
2025-02-17,63.750,64.550,64.600,63.600,3387362.000,hk00002,中电控股
2025-02-18,64.100,64.500,64.600,64.000,2794039.000,hk00002,中电控股
2025-02-19,64.050,64.300,64.400,63.900,2470388.000,hk00002,中电控股
2025-02-20,64.150,64.300,64.550,64.150,2473505.000,hk00002,中电控股
2025-02-21,64.300,64.450,65.000,64.250,3392663.000,hk00002,中电控股
2025-02-24,64.250,66.400,66.850,64.250,6749633.000,hk00002,中电控股
2025-02-25,65.950,65.250,66.150,64.850,7124889.000,hk00002,中电控股
2025-02-26,65.500,65.450,66.400,65.250,8650662.000,hk00002,中电控股
2025-02-27,65.000,64.550,65.550,64.400,11835627.000,hk00002,中电控股
2025-02-28,64.500,64.450,64.950,64.100,9137968.000,hk00002,中电控股
2025-03-03,64.300,64.400,64.850,64.200,5536258.000,hk00002,中电控股
2025-03-04,64.300,64.800,64.850,64.100,5088063.000,hk00002,中电控股
2025-03-05,64.950,65.750,65.750,64.950,5770896.000,hk00002,中电控股
2025-03-06,65.650,66.250,66.250,65.500,3986449.000,hk00002,中电控股
2025-03-07,65.000,64.250,65.150,64.150,5413930.000,hk00002,中电控股
2025-03-10,64.450,64.000,64.500,63.800,4331404.000,hk00002,中电控股
2025-03-11,63.750,64.250,64.400,63.350,3772624.000,hk00002,中电控股
2025-03-12,63.750,63.750,64.000,63.550,4579286.000,hk00002,中电控股
2025-03-13,63.750,63.800,64.150,63.500,2861833.000,hk00002,中电控股
2025-03-14,64.150,63.300,64.150,63.300,4806432.000,hk00002,中电控股
2025-03-17,63.300,63.600,64.050,63.200,2625187.000,hk00002,中电控股
2025-03-18,63.600,63.900,64.050,63.600,3348505.000,hk00002,中电控股
2025-03-19,63.900,64.050,64.200,63.800,3531820.000,hk00002,中电控股
2025-03-20,64.000,63.700,64.000,63.500,3189286.000,hk00002,中电控股
2025-03-21,63.500,63.850,63.900,63.300,6766149.000,hk00002,中电控股
2025-03-24,63.850,63.850,64.050,63.450,3562248.000,hk00002,中电控股
2025-03-25,63.800,63.300,63.850,63.300,3516690.000,hk00002,中电控股
2025-03-26,63.700,63.100,63.700,63.100,2973346.000,hk00002,中电控股
2025-03-27,63.200,63.250,63.700,63.100,1860934.000,hk00002,中电控股
2025-03-28,63.700,63.450,63.700,63.250,2371940.000,hk00002,中电控股
2025-03-31,63.450,63.400,63.750,63.300,2466046.000,hk00002,中电控股
2025-04-01,63.250,64.250,64.300,63.250,3002082.000,hk00002,中电控股
2025-04-02,63.800,63.650,64.250,63.400,3388095.000,hk00002,中电控股
2025-04-03,63.250,63.950,64.100,63.250,4082619.000,hk00002,中电控股
2025-04-07,63.100,63.800,65.350,62.050,16469128.000,hk00002,中电控股
2025-04-08,63.000,62.150,63.950,62.000,10805524.000,hk00002,中电控股
2025-04-09,61.500,61.300,61.800,60.450,6337392.000,hk00002,中电控股
2025-04-10,61.450,62.700,62.750,61.350,7581676.000,hk00002,中电控股
2025-04-11,62.700,62.500,62.700,61.750,4797552.000,hk00002,中电控股
2025-04-14,63.000,63.300,63.400,62.400,4727600.000,hk00002,中电控股
2025-04-15,63.300,63.450,63.650,62.950,3013820.000,hk00002,中电控股
2025-04-16,63.450,64.450,64.500,63.450,5453283.000,hk00002,中电控股
2025-04-17,64.750,64.750,65.200,64.450,3683141.000,hk00002,中电控股
2025-04-22,64.500,64.950,65.000,64.150,4430962.000,hk00002,中电控股
2025-04-23,65.000,65.300,65.450,64.850,5474506.000,hk00002,中电控股
2025-04-24,65.050,65.800,65.800,64.800,3234297.000,hk00002,中电控股
2025-04-25,65.950,65.900,66.150,65.800,3748432.000,hk00002,中电控股
2025-04-28,65.900,66.300,66.400,65.700,3081908.000,hk00002,中电控股
2025-04-29,66.750,66.550,67.000,66.000,3943925.000,hk00002,中电控股
2025-04-30,66.500,66.300,66.800,66.000,5039039.000,hk00002,中电控股
2025-05-02,66.350,66.750,67.150,66.250,4268749.000,hk00002,中电控股
2025-05-06,67.000,67.400,67.400,66.800,4235726.000,hk00002,中电控股
2025-05-07,67.600,67.250,67.800,67.100,5127234.000,hk00002,中电控股
2025-05-08,67.250,67.650,67.700,66.850,3333695.000,hk00002,中电控股
2025-05-09,67.700,67.700,67.900,66.850,2866534.000,hk00002,中电控股
2025-05-12,67.900,67.000,68.000,66.650,5116576.000,hk00002,中电控股
2025-05-13,66.700,66.650,67.100,66.450,3343940.000,hk00002,中电控股
2025-05-14,66.500,66.400,66.650,66.200,3039687.000,hk00002,中电控股
2025-05-15,66.650,65.950,66.800,65.800,2712315.000,hk00002,中电控股
2025-05-16,66.050,66.050,66.300,65.500,2750169.000,hk00002,中电控股
2025-05-19,66.000,65.900,66.300,65.700,2420142.000,hk00002,中电控股
2025-05-20,66.350,66.250,66.700,66.000,3899372.000,hk00002,中电控股
2025-05-21,66.400,66.700,66.800,66.250,3557016.000,hk00002,中电控股
2025-05-22,66.800,66.750,66.950,66.550,2051088.000,hk00002,中电控股
2025-05-23,66.650,66.750,66.850,66.550,2404110.000,hk00002,中电控股
2025-05-26,66.700,66.750,67.250,66.650,2511991.000,hk00002,中电控股
2025-05-27,67.000,66.700,67.000,66.450,2732259.000,hk00002,中电控股
2025-05-28,66.700,66.400,66.950,66.250,3687611.000,hk00002,中电控股
2025-05-29,66.250,66.550,66.550,66.050,3431204.000,hk00002,中电控股
2025-05-30,66.600,66.550,66.900,66.450,6698075.000,hk00002,中电控股
2025-06-02,65.950,65.950,66.050,65.350,3162453.000,hk00002,中电控股
2025-06-03,66.200,66.900,66.900,66.150,4141010.000,hk00002,中电控股
2025-06-04,66.200,66.000,66.700,65.950,4228658.000,hk00002,中电控股
2025-06-05,66.250,66.400,66.400,65.800,2587936.000,hk00002,中电控股
2025-06-06,66.500,66.150,66.600,66.150,3445828.000,hk00002,中电控股
2025-06-09,66.600,66.100,66.600,66.000,2756296.000,hk00002,中电控股
2025-06-10,66.150,66.250,66.300,66.050,1757635.000,hk00002,中电控股
2025-06-11,66.250,66.200,66.550,66.150,2818804.000,hk00002,中电控股
2025-06-12,66.100,66.100,66.250,66.000,2326661.000,hk00002,中电控股
2025-06-13,66.100,66.100,66.400,66.050,2508224.000,hk00002,中电控股
2025-06-16,66.400,66.100,66.400,65.800,3693521.000,hk00002,中电控股
2025-06-17,66.000,66.100,66.250,65.900,1631388.000,hk00002,中电控股
2025-06-18,65.800,66.050,66.200,65.800,1286976.000,hk00002,中电控股
2025-06-19,66.050,65.800,66.100,65.750,3032948.000,hk00002,中电控股
2025-06-20,66.000,65.850,66.150,65.650,4393958.000,hk00002,中电控股
2025-06-23,66.000,65.800,66.050,65.600,2610805.000,hk00002,中电控股
2025-06-24,66.150,66.250,66.600,65.950,3384611.000,hk00002,中电控股
2025-06-25,66.400,66.750,67.150,66.150,4800371.000,hk00002,中电控股
2025-06-26,66.800,66.750,66.900,66.600,1384208.000,hk00002,中电控股
2025-06-27,66.900,66.350,66.900,66.250,2736227.000,hk00002,中电控股
2025-06-30,66.500,66.100,66.500,65.900,3226670.000,hk00002,中电控股
2025-07-02,66.100,66.200,66.550,66.100,2220524.000,hk00002,中电控股
2025-07-03,66.200,66.450,66.500,66.200,1723695.000,hk00002,中电控股
2025-07-04,66.450,66.200,66.450,65.950,2101504.000,hk00002,中电控股
2025-07-07,66.200,66.000,66.300,66.000,2454586.000,hk00002,中电控股
2025-07-08,66.000,65.900,66.200,65.900,3170785.000,hk00002,中电控股
2025-07-09,65.950,65.600,65.950,65.350,4000729.000,hk00002,中电控股
2025-07-10,65.600,65.450,65.800,65.450,3971183.000,hk00002,中电控股
2025-07-11,65.450,65.550,65.950,65.400,2673363.000,hk00002,中电控股
2025-07-14,65.550,65.550,65.800,65.500,2483977.000,hk00002,中电控股
2025-07-15,65.550,65.800,65.850,65.500,3944786.000,hk00002,中电控股
2025-07-16,65.750,65.700,66.000,65.600,2691680.000,hk00002,中电控股
2025-07-17,65.600,65.900,66.150,65.600,1714008.000,hk00002,中电控股
2025-07-18,65.850,66.250,66.400,65.850,2714929.000,hk00002,中电控股
2025-07-21,66.250,66.600,66.650,66.250,2328963.000,hk00002,中电控股
2025-07-22,66.700,67.500,67.500,66.650,4219084.000,hk00002,中电控股
2025-07-23,67.500,67.550,67.650,67.000,3967436.000,hk00002,中电控股
2025-07-24,67.350,67.350,67.600,67.200,2884099.000,hk00002,中电控股
2025-07-25,67.400,67.150,67.650,67.150,2894615.000,hk00002,中电控股
2025-07-28,67.150,67.750,67.900,67.150,2960496.000,hk00002,中电控股
2025-07-29,67.650,67.900,67.900,67.450,3871069.000,hk00002,中电控股
2025-07-30,67.900,68.550,68.650,67.600,5874068.000,hk00002,中电控股
2025-07-31,68.400,68.150,68.500,67.950,4527389.000,hk00002,中电控股
2025-08-01,68.150,67.600,68.300,67.600,5315165.000,hk00002,中电控股
2025-08-04,67.500,67.500,68.200,67.300,3723503.000,hk00002,中电控股
2025-08-05,67.800,67.000,68.300,66.450,6945115.000,hk00002,中电控股
2025-08-06,66.900,66.400,66.900,65.900,7019028.000,hk00002,中电控股
2025-08-07,66.750,66.650,67.100,66.400,4463500.000,hk00002,中电控股
2025-08-08,66.600,66.850,67.000,66.350,3094404.000,hk00002,中电控股
2025-08-11,67.150,67.250,67.350,66.900,1944856.000,hk00002,中电控股
2025-08-12,67.100,66.950,67.300,66.850,4032326.000,hk00002,中电控股
2025-08-13,67.050,67.050,67.250,66.950,3896485.000,hk00002,中电控股
2025-08-14,67.050,66.600,67.250,66.550,5843285.000,hk00002,中电控股
2025-08-15,66.550,66.100,66.750,65.800,5381009.000,hk00002,中电控股
2025-08-18,66.100,66.100,66.250,66.000,4155134.000,hk00002,中电控股
2025-08-19,66.250,66.000,66.250,65.950,5097988.000,hk00002,中电控股
2025-08-20,66.050,66.000,66.300,65.850,4257880.000,hk00002,中电控股
2025-08-21,66.400,65.900,66.400,65.900,5511836.000,hk00002,中电控股
2025-08-22,65.900,65.900,66.000,65.900,4719221.000,hk00002,中电控股
2025-08-25,66.050,66.100,66.350,65.900,4194366.000,hk00002,中电控股
2025-08-26,66.100,65.800,66.100,65.800,6790359.000,hk00002,中电控股
2025-08-27,66.150,66.000,66.200,65.800,2581327.000,hk00002,中电控股
2025-08-28,66.000,65.950,66.100,65.850,3116359.000,hk00002,中电控股
2025-08-29,66.000,65.850,66.100,65.850,4240181.000,hk00002,中电控股
