date,open,high,low,close,volume,code,name
2024-11-29,25.500,26.000,27.000,25.200,80739041.000,hk00981,中芯国际
2024-12-02,26.250,26.400,26.700,25.850,47417111.000,hk00981,中芯国际
2024-12-03,26.600,26.000,26.600,25.600,47908245.000,hk00981,中芯国际
2024-12-04,27.000,26.300,27.100,26.250,69412796.000,hk00981,中芯国际
2024-12-05,26.250,26.100,26.650,26.050,23776703.000,hk00981,中芯国际
2024-12-06,26.150,26.450,26.950,25.850,65922641.000,hk00981,中芯国际
2024-12-09,26.600,27.550,27.600,25.900,68835940.000,hk00981,中芯国际
2024-12-10,28.400,27.000,28.650,26.900,114096700.000,hk00981,中芯国际
2024-12-11,27.200,26.800,27.400,26.750,34424994.000,hk00981,中芯国际
2024-12-12,26.750,27.100,27.550,26.600,43149783.000,hk00981,中芯国际
2024-12-13,26.800,25.900,26.950,25.800,64690781.000,hk00981,中芯国际
2024-12-16,25.650,25.350,26.000,25.200,34964387.000,hk00981,中芯国际
2024-12-17,25.200,25.250,26.100,24.850,40197825.000,hk00981,中芯国际
2024-12-18,25.300,25.950,26.100,25.300,33513360.000,hk00981,中芯国际
2024-12-19,25.400,26.150,26.600,25.300,43485271.000,hk00981,中芯国际
2024-12-20,26.850,28.300,29.800,26.350,336228865.000,hk00981,中芯国际
2024-12-23,28.800,29.100,29.800,28.550,193685027.000,hk00981,中芯国际
2024-12-24,29.300,29.150,29.750,28.900,50674495.000,hk00981,中芯国际
2024-12-27,29.800,30.650,31.900,29.600,263974915.000,hk00981,中芯国际
2024-12-30,31.000,32.600,33.000,30.850,219254165.000,hk00981,中芯国际
2024-12-31,32.850,31.800,32.900,31.200,83905681.000,hk00981,中芯国际
2025-01-02,31.550,29.000,31.950,28.900,173107145.000,hk00981,中芯国际
2025-01-03,29.100,29.550,30.400,28.350,106546230.000,hk00981,中芯国际
2025-01-06,30.000,29.650,30.600,29.450,66043419.000,hk00981,中芯国际
2025-01-07,29.650,31.150,31.200,29.300,125853307.000,hk00981,中芯国际
2025-01-08,30.700,30.550,31.150,29.550,85030643.000,hk00981,中芯国际
2025-01-09,30.850,31.450,32.500,30.350,108891427.000,hk00981,中芯国际
2025-01-10,31.800,32.350,33.750,31.650,175952424.000,hk00981,中芯国际
2025-01-13,32.300,34.350,34.350,32.150,156711423.000,hk00981,中芯国际
2025-01-14,34.850,35.100,35.800,33.550,204728482.000,hk00981,中芯国际
2025-01-15,34.850,37.200,37.550,34.500,190514193.000,hk00981,中芯国际
2025-01-16,38.000,36.000,39.800,35.550,296551647.000,hk00981,中芯国际
2025-01-17,36.500,39.450,39.950,36.200,241241672.000,hk00981,中芯国际
2025-01-20,39.550,39.400,40.000,37.950,154122364.000,hk00981,中芯国际
2025-01-21,39.750,41.900,42.500,39.550,185903215.000,hk00981,中芯国际
2025-01-22,42.650,42.100,43.800,41.300,179830343.000,hk00981,中芯国际
2025-01-23,43.000,39.050,44.000,38.850,251837810.000,hk00981,中芯国际
2025-01-24,40.000,41.300,41.300,39.300,137937824.000,hk00981,中芯国际
2025-01-27,41.950,38.150,42.000,37.150,211536889.000,hk00981,中芯国际
2025-01-28,37.200,38.000,38.200,36.000,37487384.000,hk00981,中芯国际
2025-02-03,38.600,41.900,42.150,38.300,93209981.000,hk00981,中芯国际
2025-02-04,42.200,45.450,45.700,41.900,100317165.000,hk00981,中芯国际
2025-02-05,44.000,44.700,45.400,43.300,125099595.000,hk00981,中芯国际
2025-02-06,44.750,47.900,47.900,44.700,134417800.000,hk00981,中芯国际
2025-02-07,48.000,46.650,49.150,45.200,193800732.000,hk00981,中芯国际
2025-02-10,47.350,47.800,48.800,45.900,145636762.000,hk00981,中芯国际
2025-02-11,48.300,45.300,48.600,45.300,122718610.000,hk00981,中芯国际
2025-02-12,46.750,47.950,48.200,45.700,195460642.000,hk00981,中芯国际
2025-02-13,49.000,46.000,49.600,46.000,179286764.000,hk00981,中芯国际
2025-02-14,46.450,45.550,46.850,44.000,235883295.000,hk00981,中芯国际
2025-02-17,46.000,47.500,48.150,44.500,226180855.000,hk00981,中芯国际
2025-02-18,48.350,47.800,48.600,46.750,129729810.000,hk00981,中芯国际
2025-02-19,47.500,51.800,51.900,47.350,206635787.000,hk00981,中芯国际
2025-02-20,51.800,50.250,51.850,49.250,106368879.000,hk00981,中芯国际
2025-02-21,51.750,54.200,54.200,50.650,181253661.000,hk00981,中芯国际
2025-02-24,55.300,55.000,57.600,53.500,188484872.000,hk00981,中芯国际
2025-02-25,52.400,54.200,57.500,51.300,186664778.000,hk00981,中芯国际
2025-02-26,56.000,57.400,59.300,54.900,185009751.000,hk00981,中芯国际
2025-02-27,57.200,57.800,59.700,55.300,198368222.000,hk00981,中芯国际
2025-02-28,57.500,53.600,58.350,52.100,229515063.000,hk00981,中芯国际
2025-03-03,53.800,51.400,54.100,49.800,197164614.000,hk00981,中芯国际
2025-03-04,49.700,51.550,53.300,47.700,206078949.000,hk00981,中芯国际
2025-03-05,52.650,54.950,55.000,52.350,135438040.000,hk00981,中芯国际
2025-03-06,56.000,56.300,58.150,55.200,151344726.000,hk00981,中芯国际
2025-03-07,55.100,54.600,57.350,52.800,163710567.000,hk00981,中芯国际
2025-03-10,54.000,52.050,54.600,50.900,147532883.000,hk00981,中芯国际
2025-03-11,50.700,53.300,53.700,50.300,120963248.000,hk00981,中芯国际
2025-03-12,53.700,52.450,54.350,51.400,87569142.000,hk00981,中芯国际
2025-03-13,52.800,49.850,53.300,48.400,158845451.000,hk00981,中芯国际
