date,open,high,low,close,volume,code,name
2024-11-29,24.350,23.900,24.500,23.800,25161999.000,hk02388,中银香港
2024-12-02,24.000,24.000,24.100,23.750,16703974.000,hk02388,中银香港
2024-12-03,24.200,24.450,24.500,24.050,14279228.000,hk02388,中银香港
2024-12-04,24.450,24.550,24.550,24.300,11563235.000,hk02388,中银香港
2024-12-05,24.400,24.350,24.600,24.150,9348057.000,hk02388,中银香港
2024-12-06,24.350,24.650,24.650,24.200,13402873.000,hk02388,中银香港
2024-12-09,24.600,25.000,25.000,24.300,10489512.000,hk02388,中银香港
2024-12-10,25.700,25.150,25.700,25.100,13887462.000,hk02388,中银香港
2024-12-11,25.250,25.250,25.600,25.150,8569161.000,hk02388,中银香港
2024-12-12,25.200,25.300,25.400,25.100,4760297.000,hk02388,中银香港
2024-12-13,25.300,25.100,25.350,24.950,5240163.000,hk02388,中银香港
2024-12-16,25.150,25.100,25.200,24.900,10818261.000,hk02388,中银香港
2024-12-17,24.900,24.900,25.250,24.700,15780500.000,hk02388,中银香港
2024-12-18,24.950,25.200,25.300,24.900,9872540.000,hk02388,中银香港
2024-12-19,25.000,25.100,25.200,24.750,16103363.000,hk02388,中银香港
2024-12-20,24.950,24.650,25.100,24.500,19064501.000,hk02388,中银香港
2024-12-23,24.650,24.850,24.850,24.650,8663587.000,hk02388,中银香港
2024-12-24,24.950,25.200,25.300,24.800,4972124.000,hk02388,中银香港
2024-12-27,25.200,24.950,25.200,24.850,7647658.000,hk02388,中银香港
2024-12-30,25.000,25.050,25.300,25.000,6362922.000,hk02388,中银香港
2024-12-31,25.000,24.950,25.150,24.900,4708742.000,hk02388,中银香港
2025-01-02,24.900,24.900,24.900,24.550,9807525.000,hk02388,中银香港
2025-01-03,24.900,24.850,25.150,24.750,4837009.000,hk02388,中银香港
2025-01-06,24.850,24.900,24.900,24.650,4694661.000,hk02388,中银香港
2025-01-07,24.750,24.800,25.050,24.650,5846314.000,hk02388,中银香港
2025-01-08,24.700,24.600,24.850,24.450,7847541.000,hk02388,中银香港
2025-01-09,24.600,24.550,24.850,24.400,7231515.000,hk02388,中银香港
2025-01-10,24.800,24.450,24.900,24.400,4953435.000,hk02388,中银香港
2025-01-13,24.500,24.450,24.550,24.200,6754640.000,hk02388,中银香港
2025-01-14,24.600,24.350,24.600,24.200,9626409.000,hk02388,中银香港
2025-01-15,24.350,24.550,24.700,24.350,7964304.000,hk02388,中银香港
2025-01-16,24.700,24.400,24.900,24.400,10866929.000,hk02388,中银香港
2025-01-17,24.400,24.400,24.600,24.200,12374969.000,hk02388,中银香港
2025-01-20,24.650,24.600,24.800,24.450,11033913.000,hk02388,中银香港
2025-01-21,24.600,24.850,24.850,24.450,9847012.000,hk02388,中银香港
2025-01-22,24.950,24.800,25.100,24.700,12178964.000,hk02388,中银香港
2025-01-23,24.950,24.850,25.100,24.700,8910624.000,hk02388,中银香港
2025-01-24,25.000,25.050,25.200,24.850,11106674.000,hk02388,中银香港
2025-01-27,25.050,25.550,25.550,24.950,10746193.000,hk02388,中银香港
2025-01-28,25.600,25.250,25.700,24.950,6318685.000,hk02388,中银香港
2025-02-03,25.100,25.200,25.200,24.400,18507279.000,hk02388,中银香港
2025-02-04,25.600,25.400,25.700,25.100,9731219.000,hk02388,中银香港
2025-02-05,25.500,25.350,25.550,25.200,11446923.000,hk02388,中银香港
2025-02-06,25.550,25.700,25.700,25.350,10634946.000,hk02388,中银香港
2025-02-07,25.750,25.650,25.750,25.500,7034924.000,hk02388,中银香港
2025-02-10,25.700,25.500,25.800,25.400,8443706.000,hk02388,中银香港
2025-02-11,25.550,25.500,25.650,25.400,6533590.000,hk02388,中银香港
2025-02-12,25.800,26.900,26.900,25.700,36873284.000,hk02388,中银香港
2025-02-13,27.050,26.850,27.100,26.700,18237521.000,hk02388,中银香港
2025-02-14,26.950,26.800,27.050,26.700,13262911.000,hk02388,中银香港
2025-02-17,26.700,27.050,27.100,26.600,12544575.000,hk02388,中银香港
2025-02-18,26.850,26.750,27.000,26.600,14058094.000,hk02388,中银香港
2025-02-19,26.750,26.750,27.100,26.650,12121732.000,hk02388,中银香港
2025-02-20,26.700,27.200,27.200,26.650,13518609.000,hk02388,中银香港
2025-02-21,27.350,27.150,27.500,27.000,15743632.000,hk02388,中银香港
2025-02-24,27.150,27.400,27.900,27.050,21790259.000,hk02388,中银香港
2025-02-25,27.000,27.200,27.300,27.000,14225781.000,hk02388,中银香港
2025-02-26,27.200,27.550,27.600,27.200,10717816.000,hk02388,中银香港
2025-02-27,27.550,27.700,27.850,27.550,13763921.000,hk02388,中银香港
2025-02-28,27.700,27.350,27.700,27.200,17663918.000,hk02388,中银香港
2025-03-03,27.400,28.000,28.350,27.350,25291497.000,hk02388,中银香港
2025-03-04,28.000,28.700,28.750,27.800,24505894.000,hk02388,中银香港
2025-03-05,28.800,29.450,29.650,28.450,39559473.000,hk02388,中银香港
2025-03-06,29.650,29.500,29.850,29.300,25189015.000,hk02388,中银香港
2025-03-07,29.500,29.750,29.950,29.400,30037640.000,hk02388,中银香港
2025-03-10,29.850,29.900,30.100,29.650,23098342.000,hk02388,中银香港
2025-03-11,29.550,29.400,29.900,29.250,14815387.000,hk02388,中银香港
2025-03-12,29.250,29.650,29.750,29.150,18728729.000,hk02388,中银香港
2025-03-13,29.500,29.950,29.950,29.400,17360916.000,hk02388,中银香港
2025-03-14,30.000,29.450,30.000,29.300,12920242.000,hk02388,中银香港
2025-03-17,29.500,30.350,30.450,29.500,18478653.000,hk02388,中银香港
2025-03-18,30.300,30.350,30.500,30.100,12367883.000,hk02388,中银香港
2025-03-19,30.350,30.500,30.650,30.300,10818422.000,hk02388,中银香港
2025-03-20,30.400,30.050,30.500,29.950,8749976.000,hk02388,中银香港
2025-03-21,30.050,29.950,30.150,29.500,22809360.000,hk02388,中银香港
2025-03-24,29.950,29.800,30.000,29.500,10881731.000,hk02388,中银香港
2025-03-25,29.700,29.850,29.950,29.450,9805834.000,hk02388,中银香港
2025-03-26,30.150,29.850,30.250,29.650,12527007.000,hk02388,中银香港
2025-03-27,30.600,31.500,32.250,30.600,44139597.000,hk02388,中银香港
2025-03-28,31.800,31.300,31.850,30.850,16408934.000,hk02388,中银香港
2025-03-31,31.150,31.400,31.650,30.950,15251512.000,hk02388,中银香港
2025-04-01,31.650,31.450,31.750,31.150,11487232.000,hk02388,中银香港
2025-04-02,31.350,31.500,31.650,31.150,10062104.000,hk02388,中银香港
2025-04-03,31.100,30.850,31.250,30.700,15112483.000,hk02388,中银香港
2025-04-07,28.700,28.550,29.500,28.200,51668360.000,hk02388,中银香港
2025-04-08,28.700,28.800,29.150,28.300,34552022.000,hk02388,中银香港
2025-04-09,28.300,28.150,28.600,27.750,30392543.000,hk02388,中银香港
2025-04-10,28.600,28.900,29.300,27.900,18452539.000,hk02388,中银香港
2025-04-11,28.900,29.000,29.200,28.550,11589975.000,hk02388,中银香港
2025-04-14,29.300,29.600,29.650,29.100,14097009.000,hk02388,中银香港
2025-04-15,29.800,29.900,30.150,29.750,9593633.000,hk02388,中银香港
2025-04-16,29.900,29.250,30.050,29.100,18368730.000,hk02388,中银香港
2025-04-17,29.350,29.250,29.400,29.050,17045671.000,hk02388,中银香港
2025-04-22,29.250,29.700,29.850,29.100,17444029.000,hk02388,中银香港
2025-04-23,30.250,30.150,30.500,30.050,18054316.000,hk02388,中银香港
2025-04-24,30.000,30.300,30.350,30.000,15198497.000,hk02388,中银香港
