date,open,high,low,close,volume,code,name
2024-11-29,21.150,20.850,21.450,20.700,3081387.000,hk01997,九龙仓置业
2024-12-02,21.050,21.150,22.050,20.800,4145903.000,hk01997,九龙仓置业
2024-12-03,21.350,21.550,21.550,20.900,2950106.000,hk01997,九龙仓置业
2024-12-04,21.550,21.150,21.950,21.050,2134328.000,hk01997,九龙仓置业
2024-12-05,20.850,21.100,21.150,20.850,1729235.000,hk01997,九龙仓置业
2024-12-06,21.100,21.300,21.500,20.950,2331439.000,hk01997,九龙仓置业
2024-12-09,21.300,21.600,21.600,20.900,3195545.000,hk01997,九龙仓置业
2024-12-10,22.000,21.500,22.650,21.450,4278329.000,hk01997,九龙仓置业
2024-12-11,21.450,21.000,21.800,20.950,2252635.000,hk01997,九龙仓置业
2024-12-12,21.000,21.100,21.350,20.500,2946452.000,hk01997,九龙仓置业
2024-12-13,20.750,20.100,20.950,19.880,7959162.000,hk01997,九龙仓置业
2024-12-16,20.350,20.200,20.350,19.820,4144777.000,hk01997,九龙仓置业
2024-12-17,20.100,19.780,20.100,19.620,2738203.000,hk01997,九龙仓置业
2024-12-18,19.840,19.820,20.050,19.760,1791035.000,hk01997,九龙仓置业
2024-12-19,19.640,19.540,19.680,19.380,4087407.000,hk01997,九龙仓置业
2024-12-20,19.480,19.500,19.740,19.400,5509113.000,hk01997,九龙仓置业
2024-12-23,19.780,19.920,20.050,19.740,3956685.000,hk01997,九龙仓置业
2024-12-24,20.000,19.800,20.150,19.800,1254455.000,hk01997,九龙仓置业
2024-12-27,19.700,20.100,20.150,19.500,3108876.000,hk01997,九龙仓置业
2024-12-30,20.050,19.820,20.050,19.720,1722473.000,hk01997,九龙仓置业
2024-12-31,19.720,19.860,20.100,19.620,2583134.000,hk01997,九龙仓置业
2025-01-02,19.700,19.520,19.960,19.440,2421707.000,hk01997,九龙仓置业
2025-01-03,19.780,19.520,19.980,19.320,4228844.000,hk01997,九龙仓置业
2025-01-06,19.520,19.580,19.900,19.380,1746541.000,hk01997,九龙仓置业
2025-01-07,19.300,19.400,19.900,19.300,1577899.000,hk01997,九龙仓置业
2025-01-08,19.400,19.000,19.460,18.880,3077318.000,hk01997,九龙仓置业
2025-01-09,19.040,18.800,19.160,18.800,1685441.000,hk01997,九龙仓置业
2025-01-10,18.800,18.680,18.820,18.500,2146878.000,hk01997,九龙仓置业
2025-01-13,18.840,18.520,18.840,18.120,2099865.000,hk01997,九龙仓置业
2025-01-14,18.260,18.620,18.800,18.260,1612167.000,hk01997,九龙仓置业
2025-01-15,18.760,18.600,18.900,18.500,1328588.000,hk01997,九龙仓置业
2025-01-16,18.700,18.800,19.200,18.700,1472246.000,hk01997,九龙仓置业
2025-01-17,19.000,19.420,19.560,18.740,3846046.000,hk01997,九龙仓置业
2025-01-20,19.400,19.840,19.980,19.400,3208044.000,hk01997,九龙仓置业
2025-01-21,19.840,19.740,20.150,19.620,2815434.000,hk01997,九龙仓置业
