date,open,high,low,close,volume,code,name
2024-11-29,5.620,5.620,5.680,5.580,29686333.000,hk03328,交通银行
2024-12-02,5.620,5.660,5.680,5.570,25994962.000,hk03328,交通银行
2024-12-03,5.640,5.750,5.760,5.620,23484961.000,hk03328,交通银行
2024-12-04,5.760,5.780,5.780,5.680,26450290.000,hk03328,交通银行
2024-12-05,5.780,5.720,5.780,5.680,23535885.000,hk03328,交通银行
2024-12-06,5.750,5.820,5.840,5.750,21435471.000,hk03328,交通银行
2024-12-09,5.780,5.960,5.960,5.730,27225773.000,hk03328,交通银行
2024-12-10,6.100,5.930,6.100,5.930,21523395.000,hk03328,交通银行
2024-12-11,5.930,5.850,5.990,5.840,19766453.000,hk03328,交通银行
2024-12-12,5.890,5.970,6.000,5.870,19136927.000,hk03328,交通银行
2024-12-13,5.970,5.880,5.970,5.850,26859421.000,hk03328,交通银行
2024-12-16,5.850,5.940,5.960,5.840,17401800.000,hk03328,交通银行
2024-12-17,5.900,5.910,5.980,5.880,28986396.000,hk03328,交通银行
2024-12-18,5.930,6.000,6.040,5.930,27775421.000,hk03328,交通银行
2024-12-19,5.980,5.980,6.020,5.960,21088770.000,hk03328,交通银行
2024-12-20,5.980,5.960,6.030,5.960,25576762.000,hk03328,交通银行
2024-12-23,5.990,6.140,6.160,5.990,30163675.000,hk03328,交通银行
2024-12-24,6.140,6.270,6.340,6.130,24650674.000,hk03328,交通银行
2024-12-27,6.280,6.320,6.360,6.210,39083433.000,hk03328,交通银行
2024-12-30,6.320,6.400,6.460,6.310,33100396.000,hk03328,交通银行
2024-12-31,6.420,6.390,6.470,6.390,12829194.000,hk03328,交通银行
2025-01-02,6.390,6.180,6.440,6.150,37172178.000,hk03328,交通银行
2025-01-03,6.150,6.250,6.280,6.150,30173442.000,hk03328,交通银行
2025-01-06,6.310,6.280,6.360,6.210,37956224.000,hk03328,交通银行
2025-01-07,6.280,6.260,6.300,6.180,36180683.000,hk03328,交通银行
2025-01-08,6.250,6.230,6.320,6.190,28197943.000,hk03328,交通银行
2025-01-09,6.250,6.190,6.250,6.170,23593332.000,hk03328,交通银行
2025-01-10,6.180,6.140,6.240,6.120,17943024.000,hk03328,交通银行
2025-01-13,6.140,6.100,6.190,6.020,20788434.000,hk03328,交通银行
2025-01-14,6.100,6.110,6.180,6.080,25615455.000,hk03328,交通银行
2025-01-15,6.110,6.160,6.210,6.110,37112728.000,hk03328,交通银行
2025-01-16,6.000,6.010,6.020,5.940,41789840.000,hk03328,交通银行
2025-01-17,6.010,5.960,6.020,5.910,23075733.000,hk03328,交通银行
2025-01-20,5.960,6.040,6.050,5.960,13813860.000,hk03328,交通银行
2025-01-21,6.040,6.070,6.120,6.020,12765458.000,hk03328,交通银行
2025-01-22,6.070,6.010,6.090,5.970,17291023.000,hk03328,交通银行
2025-01-23,6.010,6.100,6.130,5.970,24455929.000,hk03328,交通银行
2025-01-24,6.070,6.140,6.160,6.050,25988623.000,hk03328,交通银行
2025-01-27,6.130,6.290,6.310,6.130,28401722.000,hk03328,交通银行
2025-01-28,6.290,6.290,6.300,6.200,10194927.000,hk03328,交通银行
2025-02-03,6.220,6.220,6.280,6.120,12053347.000,hk03328,交通银行
2025-02-04,6.280,6.290,6.360,6.190,27819866.000,hk03328,交通银行
2025-02-05,6.270,6.290,6.310,6.170,33621915.000,hk03328,交通银行
2025-02-06,6.260,6.330,6.340,6.210,19759178.000,hk03328,交通银行
2025-02-07,6.330,6.300,6.330,6.220,24019547.000,hk03328,交通银行
2025-02-10,6.280,6.320,6.360,6.250,26989443.000,hk03328,交通银行
2025-02-11,6.300,6.360,6.390,6.290,30021967.000,hk03328,交通银行
2025-02-12,6.320,6.490,6.500,6.320,38534004.000,hk03328,交通银行
2025-02-13,6.500,6.490,6.560,6.460,26211501.000,hk03328,交通银行
2025-02-14,6.550,6.520,6.570,6.440,28581210.000,hk03328,交通银行
2025-02-17,6.500,6.560,6.590,6.450,59889794.000,hk03328,交通银行
2025-02-18,6.560,6.640,6.650,6.520,47238214.000,hk03328,交通银行
2025-02-19,6.630,6.570,6.630,6.550,23337435.000,hk03328,交通银行
2025-02-20,6.570,6.560,6.620,6.520,22509366.000,hk03328,交通银行
