date,open,high,low,close,volume,code,name
2024-11-29,3.250,3.440,3.540,3.250,106142909.000,hk00968,信义光能
2024-12-02,3.410,3.490,3.500,3.320,79090446.000,hk00968,信义光能
2024-12-03,3.520,3.500,3.650,3.450,76172077.000,hk00968,信义光能
2024-12-04,3.510,3.430,3.560,3.390,80192035.000,hk00968,信义光能
2024-12-05,3.380,3.390,3.410,3.330,36927060.000,hk00968,信义光能
2024-12-06,3.410,3.330,3.430,3.290,99807159.000,hk00968,信义光能
2024-12-09,3.280,3.420,3.420,3.210,103605018.000,hk00968,信义光能
2024-12-10,3.550,3.250,3.580,3.250,89012462.000,hk00968,信义光能
2024-12-11,3.240,3.230,3.280,3.190,81834110.000,hk00968,信义光能
2024-12-12,3.210,3.220,3.270,3.190,58985493.000,hk00968,信义光能
2024-12-13,3.210,3.220,3.280,3.190,93867121.000,hk00968,信义光能
2024-12-16,3.220,3.210,3.230,3.180,51128298.000,hk00968,信义光能
2024-12-17,3.210,3.170,3.240,3.150,68717018.000,hk00968,信义光能
2024-12-18,3.180,3.180,3.230,3.150,46841085.000,hk00968,信义光能
2024-12-19,3.140,3.070,3.150,3.070,84300488.000,hk00968,信义光能
2024-12-20,3.050,2.990,3.100,2.990,104510372.000,hk00968,信义光能
2024-12-23,3.020,3.010,3.080,2.990,46685647.000,hk00968,信义光能
2024-12-24,3.030,3.160,3.170,3.020,47440589.000,hk00968,信义光能
2024-12-27,3.120,3.110,3.160,3.050,55628675.000,hk00968,信义光能
2024-12-30,3.120,3.150,3.190,3.060,40324131.000,hk00968,信义光能
2024-12-31,3.150,3.140,3.180,3.120,25753298.000,hk00968,信义光能
2025-01-02,3.020,2.950,3.040,2.890,115343945.000,hk00968,信义光能
2025-01-03,2.990,2.990,3.080,2.950,57453902.000,hk00968,信义光能
2025-01-06,3.000,3.140,3.140,3.000,62129263.000,hk00968,信义光能
2025-01-07,3.140,3.270,3.320,3.130,87767783.000,hk00968,信义光能
2025-01-08,3.270,3.220,3.270,3.130,66922196.000,hk00968,信义光能
2025-01-09,3.200,3.200,3.280,3.180,35967501.000,hk00968,信义光能
2025-01-10,3.200,3.140,3.240,3.110,29886280.000,hk00968,信义光能
2025-01-13,3.150,3.060,3.150,3.040,28441218.000,hk00968,信义光能
2025-01-14,3.070,3.170,3.190,3.060,24705817.000,hk00968,信义光能
2025-01-15,3.150,3.320,3.380,3.110,83908348.000,hk00968,信义光能
2025-01-16,3.340,3.280,3.420,3.220,82170843.000,hk00968,信义光能
2025-01-17,3.280,3.290,3.340,3.210,32164049.000,hk00968,信义光能
2025-01-20,3.350,3.310,3.380,3.260,34564705.000,hk00968,信义光能
2025-01-21,3.320,3.240,3.340,3.220,36719160.000,hk00968,信义光能
