date,open,high,low,close,volume,code,name
2024-11-29,8.000,8.110,8.190,7.970,6101964.000,hk00868,信义玻璃
2024-12-02,8.180,8.210,8.240,8.040,8052447.000,hk00868,信义玻璃
2024-12-03,8.280,8.300,8.460,8.170,11369443.000,hk00868,信义玻璃
2024-12-04,8.320,8.250,8.370,8.220,8967968.000,hk00868,信义玻璃
2024-12-05,8.230,8.110,8.230,8.010,7390732.000,hk00868,信义玻璃
2024-12-06,8.110,8.000,8.180,7.950,13882348.000,hk00868,信义玻璃
2024-12-09,8.000,8.130,8.130,7.730,18156931.000,hk00868,信义玻璃
2024-12-10,8.450,8.060,8.640,8.060,13908000.000,hk00868,信义玻璃
2024-12-11,8.130,8.040,8.280,8.000,9677986.000,hk00868,信义玻璃
2024-12-12,8.040,8.140,8.250,7.950,7409330.000,hk00868,信义玻璃
2024-12-13,8.040,7.920,8.080,7.900,9928615.000,hk00868,信义玻璃
2024-12-16,8.000,7.710,8.000,7.710,11676282.000,hk00868,信义玻璃
2024-12-17,7.700,7.680,7.810,7.590,7831856.000,hk00868,信义玻璃
2024-12-18,7.680,7.780,7.820,7.660,4783000.000,hk00868,信义玻璃
2024-12-19,7.710,7.750,7.780,7.650,6869000.000,hk00868,信义玻璃
2024-12-20,7.700,7.740,7.850,7.700,24791343.000,hk00868,信义玻璃
2024-12-23,7.710,7.740,7.860,7.710,7085395.000,hk00868,信义玻璃
2024-12-24,7.720,7.840,7.960,7.720,4355201.000,hk00868,信义玻璃
2024-12-27,7.850,7.980,8.020,7.780,9180548.000,hk00868,信义玻璃
2024-12-30,8.020,7.980,8.100,7.860,9831157.000,hk00868,信义玻璃
2024-12-31,7.960,7.890,8.040,7.890,4036327.000,hk00868,信义玻璃
2025-01-02,7.700,7.490,7.810,7.470,15906455.000,hk00868,信义玻璃
2025-01-03,7.490,7.250,7.560,7.170,16405692.000,hk00868,信义玻璃
2025-01-06,7.250,7.270,7.450,7.190,15198225.000,hk00868,信义玻璃
2025-01-07,7.220,7.290,7.370,7.150,9129804.000,hk00868,信义玻璃
2025-01-08,7.290,7.050,7.290,6.980,14394449.000,hk00868,信义玻璃
2025-01-09,7.050,6.980,7.110,6.970,11158199.000,hk00868,信义玻璃
2025-01-10,6.980,6.920,7.060,6.820,8715793.000,hk00868,信义玻璃
2025-01-13,6.900,6.830,6.900,6.730,6823422.000,hk00868,信义玻璃
2025-01-14,6.850,6.900,6.980,6.810,8217629.000,hk00868,信义玻璃
2025-01-15,6.900,6.940,6.980,6.750,14756979.000,hk00868,信义玻璃
2025-01-16,6.950,7.020,7.170,6.950,6093203.000,hk00868,信义玻璃
2025-01-17,7.100,7.170,7.240,7.000,7182024.000,hk00868,信义玻璃
2025-01-20,7.300,7.360,7.470,7.200,11408057.000,hk00868,信义玻璃
2025-01-21,7.470,7.360,7.470,7.320,8565526.000,hk00868,信义玻璃
2025-01-22,7.360,7.210,7.360,7.190,6330357.000,hk00868,信义玻璃
2025-01-23,7.220,7.140,7.380,7.100,7152103.000,hk00868,信义玻璃
2025-01-24,7.140,7.200,7.300,7.110,6944343.000,hk00868,信义玻璃
2025-01-27,7.280,7.240,7.350,7.200,3617963.000,hk00868,信义玻璃
2025-01-28,7.180,7.190,7.240,7.120,1956276.000,hk00868,信义玻璃
2025-02-03,7.160,7.110,7.160,6.860,8842499.000,hk00868,信义玻璃
2025-02-04,7.330,7.190,7.400,7.050,9221558.000,hk00868,信义玻璃
2025-02-05,7.190,7.140,7.280,7.010,8610153.000,hk00868,信义玻璃
2025-02-06,7.140,7.190,7.210,7.050,12631068.000,hk00868,信义玻璃
2025-02-07,7.190,7.430,7.490,7.110,18955534.000,hk00868,信义玻璃
2025-02-10,7.430,7.440,7.460,7.260,9131607.000,hk00868,信义玻璃
2025-02-11,7.440,7.170,7.470,7.150,15613263.000,hk00868,信义玻璃
2025-02-12,7.200,7.320,7.330,7.180,11265203.000,hk00868,信义玻璃
2025-02-13,7.320,7.110,7.360,7.080,14764665.000,hk00868,信义玻璃
2025-02-14,7.250,7.290,7.350,7.170,10866883.000,hk00868,信义玻璃
2025-02-17,7.250,7.430,7.520,7.200,12500966.000,hk00868,信义玻璃
2025-02-18,7.500,7.520,7.690,7.400,15584638.000,hk00868,信义玻璃
2025-02-19,7.520,7.610,7.640,7.320,9971390.000,hk00868,信义玻璃
2025-02-20,7.580,7.440,7.580,7.370,10114902.000,hk00868,信义玻璃
2025-02-21,7.460,7.510,7.580,7.370,9197974.000,hk00868,信义玻璃
2025-02-24,7.470,7.540,7.610,7.390,11899457.000,hk00868,信义玻璃
2025-02-25,7.510,7.580,7.600,7.370,13891200.000,hk00868,信义玻璃
2025-02-26,7.570,7.740,7.830,7.570,16099341.000,hk00868,信义玻璃
2025-02-27,7.740,7.820,7.870,7.600,21189805.000,hk00868,信义玻璃
2025-02-28,7.830,7.420,7.880,7.340,18394345.000,hk00868,信义玻璃
2025-03-03,7.320,7.510,7.690,7.040,26596175.000,hk00868,信义玻璃
2025-03-04,7.420,7.360,7.610,7.340,17436207.000,hk00868,信义玻璃
2025-03-05,7.360,7.510,7.680,7.300,23802392.000,hk00868,信义玻璃
2025-03-06,7.620,7.840,7.900,7.590,25450745.000,hk00868,信义玻璃
2025-03-07,7.840,7.900,8.080,7.730,19612696.000,hk00868,信义玻璃
2025-03-10,7.900,7.640,7.900,7.510,19420135.000,hk00868,信义玻璃
2025-03-11,7.480,7.640,7.680,7.440,14692972.000,hk00868,信义玻璃
2025-03-12,7.600,7.510,7.630,7.460,13696620.000,hk00868,信义玻璃
2025-03-13,7.510,7.570,7.630,7.390,17183857.000,hk00868,信义玻璃
2025-03-14,7.450,7.760,7.790,7.450,15826300.000,hk00868,信义玻璃
2025-03-17,7.790,7.950,8.040,7.790,16595493.000,hk00868,信义玻璃
2025-03-18,8.040,8.290,8.350,8.030,24410526.000,hk00868,信义玻璃
2025-03-19,8.650,8.240,8.650,8.150,26198317.000,hk00868,信义玻璃
2025-03-20,8.310,8.270,8.340,8.170,27802718.000,hk00868,信义玻璃
2025-03-21,8.420,7.910,8.420,7.910,92035719.000,hk00868,信义玻璃
2025-03-24,7.960,7.840,8.070,7.710,40284889.000,hk00868,信义玻璃
2025-03-25,7.840,7.970,8.000,7.660,21051877.000,hk00868,信义玻璃
2025-03-26,8.000,7.980,8.060,7.880,13198607.000,hk00868,信义玻璃
2025-03-27,7.980,8.040,8.150,7.860,16675414.000,hk00868,信义玻璃
2025-03-28,8.020,7.750,8.030,7.660,13919526.000,hk00868,信义玻璃
2025-03-31,7.690,7.670,7.760,7.580,17309844.000,hk00868,信义玻璃
2025-04-01,7.560,7.650,7.680,7.510,18925838.000,hk00868,信义玻璃
2025-04-02,7.610,7.800,7.820,7.580,11970670.000,hk00868,信义玻璃
2025-04-03,7.630,7.730,7.820,7.590,16202707.000,hk00868,信义玻璃
2025-04-07,7.390,6.970,7.400,6.840,42560166.000,hk00868,信义玻璃
2025-04-08,6.890,6.660,7.070,6.510,37407008.000,hk00868,信义玻璃
2025-04-09,6.490,6.840,6.860,6.380,33450205.000,hk00868,信义玻璃
2025-04-10,6.960,7.090,7.230,6.930,20168749.000,hk00868,信义玻璃
2025-04-11,7.090,6.930,7.130,6.910,10139713.000,hk00868,信义玻璃
2025-04-14,6.990,7.090,7.120,6.990,12158383.000,hk00868,信义玻璃
2025-04-15,7.090,7.020,7.090,6.970,7559489.000,hk00868,信义玻璃
2025-04-16,7.010,6.750,7.010,6.710,11489906.000,hk00868,信义玻璃
2025-04-17,6.750,6.890,6.920,6.680,12734386.000,hk00868,信义玻璃
2025-04-22,6.890,6.930,6.970,6.850,7365839.000,hk00868,信义玻璃
2025-04-23,7.090,7.100,7.170,7.020,9763422.000,hk00868,信义玻璃
2025-04-24,7.100,7.070,7.160,7.020,5913703.000,hk00868,信义玻璃
2025-04-25,7.160,7.140,7.250,7.070,6097922.000,hk00868,信义玻璃
2025-04-28,7.140,7.090,7.140,6.950,5010375.000,hk00868,信义玻璃
2025-04-29,7.150,7.130,7.220,7.060,4870198.000,hk00868,信义玻璃
2025-04-30,7.130,7.270,7.280,7.030,9341175.000,hk00868,信义玻璃
2025-05-02,7.260,7.390,7.450,7.250,12341929.000,hk00868,信义玻璃
2025-05-06,7.310,7.440,7.540,7.310,10326870.000,hk00868,信义玻璃
2025-05-07,7.460,7.460,7.650,7.430,7775478.000,hk00868,信义玻璃
2025-05-08,7.460,7.470,7.530,7.320,3829414.000,hk00868,信义玻璃
2025-05-09,7.420,7.470,7.470,7.350,6173418.000,hk00868,信义玻璃
2025-05-12,7.470,7.660,7.710,7.440,8579170.000,hk00868,信义玻璃
2025-05-13,7.660,7.630,7.790,7.590,5370555.000,hk00868,信义玻璃
2025-05-14,7.720,7.630,7.730,7.540,8235048.000,hk00868,信义玻璃
2025-05-15,7.490,7.670,7.720,7.490,5424788.000,hk00868,信义玻璃
2025-05-16,7.670,7.650,7.710,7.610,5275430.000,hk00868,信义玻璃
2025-05-19,7.560,7.490,7.560,7.430,5665940.000,hk00868,信义玻璃
2025-05-20,7.490,7.570,7.600,7.470,4613497.000,hk00868,信义玻璃
2025-05-21,7.510,7.660,7.800,7.500,5246745.000,hk00868,信义玻璃
2025-05-22,7.620,7.460,7.620,7.370,11197743.000,hk00868,信义玻璃
2025-05-23,7.360,7.440,7.570,7.360,7749640.000,hk00868,信义玻璃
2025-05-26,7.350,7.620,7.640,7.350,4293757.000,hk00868,信义玻璃
2025-05-27,7.650,7.580,7.710,7.510,7710276.000,hk00868,信义玻璃
2025-05-28,7.520,7.510,7.600,7.470,7600311.000,hk00868,信义玻璃
2025-05-29,7.520,7.530,7.560,7.460,9276592.000,hk00868,信义玻璃
2025-05-30,7.530,7.480,7.610,7.420,9940407.000,hk00868,信义玻璃
2025-06-02,7.440,7.480,7.480,7.250,6545245.000,hk00868,信义玻璃
2025-06-03,7.380,7.540,7.570,7.380,6871503.000,hk00868,信义玻璃
2025-06-04,7.500,7.690,7.690,7.500,8325303.000,hk00868,信义玻璃
2025-06-05,7.690,7.780,7.800,7.670,5043662.000,hk00868,信义玻璃
2025-06-06,7.730,7.830,7.850,7.720,6882724.000,hk00868,信义玻璃
2025-06-09,7.830,7.880,7.980,7.830,4714471.000,hk00868,信义玻璃
2025-06-10,7.950,7.870,7.970,7.800,15288436.000,hk00868,信义玻璃
2025-06-11,7.890,7.990,8.030,7.890,7437848.000,hk00868,信义玻璃
2025-06-12,7.980,7.950,8.040,7.930,6277287.000,hk00868,信义玻璃
2025-06-13,7.900,7.730,7.900,7.640,9045659.000,hk00868,信义玻璃
2025-06-16,7.670,7.830,7.840,7.670,3437377.000,hk00868,信义玻璃
2025-06-17,7.830,7.860,7.950,7.800,4208692.000,hk00868,信义玻璃
2025-06-18,7.920,7.700,7.920,7.670,6300500.000,hk00868,信义玻璃
2025-06-19,7.720,7.340,7.720,7.280,15795473.000,hk00868,信义玻璃
2025-06-20,7.340,7.060,7.400,6.930,29983586.000,hk00868,信义玻璃
2025-06-23,7.060,7.100,7.140,6.940,7300870.000,hk00868,信义玻璃
2025-06-24,7.170,7.310,7.350,7.110,9929618.000,hk00868,信义玻璃
2025-06-25,7.380,7.420,7.470,7.310,7380758.000,hk00868,信义玻璃
2025-06-26,7.470,7.500,7.600,7.360,10733594.000,hk00868,信义玻璃
2025-06-27,7.500,7.610,7.710,7.500,12213839.000,hk00868,信义玻璃
2025-06-30,7.610,7.540,7.630,7.440,7061192.000,hk00868,信义玻璃
2025-07-02,7.620,8.260,8.270,7.620,30867376.000,hk00868,信义玻璃
2025-07-03,8.190,8.280,8.440,8.180,24963020.000,hk00868,信义玻璃
2025-07-04,8.280,8.330,8.350,8.020,17345511.000,hk00868,信义玻璃
2025-07-07,8.330,8.130,8.330,8.030,9652575.000,hk00868,信义玻璃
2025-07-08,8.180,8.410,8.470,8.040,18433853.000,hk00868,信义玻璃
2025-07-09,8.410,8.170,8.460,8.150,13587258.000,hk00868,信义玻璃
2025-07-10,8.170,8.490,8.580,8.160,22150527.000,hk00868,信义玻璃
2025-07-11,8.540,8.510,8.690,8.410,19468400.000,hk00868,信义玻璃
2025-07-14,8.510,8.580,8.690,8.430,13003796.000,hk00868,信义玻璃
2025-07-15,8.580,8.200,8.610,8.110,19855444.000,hk00868,信义玻璃
2025-07-16,8.250,8.320,8.440,8.120,14476502.000,hk00868,信义玻璃
2025-07-17,8.320,8.160,8.410,8.120,13148653.000,hk00868,信义玻璃
2025-07-18,8.190,8.180,8.340,8.060,15263943.000,hk00868,信义玻璃
2025-07-21,8.110,8.160,8.170,7.980,19573455.000,hk00868,信义玻璃
2025-07-22,8.190,8.750,8.760,8.080,31923224.000,hk00868,信义玻璃
2025-07-23,8.750,8.580,9.110,8.500,28215407.000,hk00868,信义玻璃
2025-07-24,8.580,8.890,9.010,8.350,40614290.000,hk00868,信义玻璃
2025-07-25,8.960,8.830,9.140,8.760,23274930.000,hk00868,信义玻璃
2025-07-28,8.770,8.430,8.770,8.350,35198446.000,hk00868,信义玻璃
2025-07-29,8.400,8.470,8.490,8.160,22077773.000,hk00868,信义玻璃
2025-07-30,8.490,8.540,8.750,8.290,21837349.000,hk00868,信义玻璃
2025-07-31,8.540,8.100,8.540,8.060,21897050.000,hk00868,信义玻璃
2025-08-01,8.100,8.130,8.370,8.010,17513172.000,hk00868,信义玻璃
2025-08-04,8.120,7.820,8.140,7.770,20725893.000,hk00868,信义玻璃
2025-08-05,7.860,7.930,8.030,7.720,21664859.000,hk00868,信义玻璃
2025-08-06,7.930,8.070,8.100,7.800,18690377.000,hk00868,信义玻璃
2025-08-07,8.060,8.280,8.290,8.040,17718765.000,hk00868,信义玻璃
2025-08-08,8.290,8.350,8.560,8.290,15985570.000,hk00868,信义玻璃
2025-08-11,8.380,8.500,8.620,8.310,11795002.000,hk00868,信义玻璃
2025-08-12,8.570,8.630,8.640,8.470,11776750.000,hk00868,信义玻璃
2025-08-13,8.690,8.700,8.720,8.580,10271504.000,hk00868,信义玻璃
2025-08-14,8.650,8.520,8.670,8.470,11159278.000,hk00868,信义玻璃
2025-08-15,8.520,8.790,8.860,8.410,14354530.000,hk00868,信义玻璃
2025-08-18,8.760,8.790,8.980,8.740,10854373.000,hk00868,信义玻璃
2025-08-19,8.780,8.510,8.810,8.460,10115343.000,hk00868,信义玻璃
2025-08-20,8.460,8.500,8.550,8.370,11295688.000,hk00868,信义玻璃
2025-08-21,8.410,8.550,8.570,8.400,7902417.000,hk00868,信义玻璃
2025-08-22,8.590,8.510,8.590,8.300,9876802.000,hk00868,信义玻璃
2025-08-25,8.570,8.710,8.820,8.520,17594368.000,hk00868,信义玻璃
2025-08-26,8.710,8.730,8.880,8.620,12685466.000,hk00868,信义玻璃
2025-08-27,8.730,8.490,8.740,8.400,10263931.000,hk00868,信义玻璃
2025-08-28,8.490,8.430,8.590,8.250,10735935.000,hk00868,信义玻璃
2025-08-29,8.430,8.510,8.610,8.410,6274889.000,hk00868,信义玻璃
2025-09-01,8.500,8.550,8.640,8.440,11418194.000,hk00868,信义玻璃
2025-09-02,8.520,8.360,8.560,8.270,11354000.000,hk00868,信义玻璃
2025-09-03,8.360,8.250,8.440,8.170,17327077.000,hk00868,信义玻璃
2025-09-04,8.340,8.170,8.380,8.100,11578539.000,hk00868,信义玻璃
2025-09-05,8.190,8.550,8.580,8.190,18488886.000,hk00868,信义玻璃
2025-09-08,8.550,8.740,8.750,8.430,12307392.000,hk00868,信义玻璃
2025-09-09,8.720,8.730,8.810,8.600,10267864.000,hk00868,信义玻璃
2025-09-10,8.730,8.580,8.750,8.370,15758790.000,hk00868,信义玻璃
2025-09-11,8.550,8.770,8.860,8.380,14468914.000,hk00868,信义玻璃
2025-09-12,8.790,8.780,8.900,8.660,12399618.000,hk00868,信义玻璃
