date,open,high,low,close,volume,code,name
2024-11-29,2.700,2.700,2.720,2.690,6533889.000,hk06818,光大银行
2024-12-02,2.710,2.740,2.750,2.700,6115000.000,hk06818,光大银行
2024-12-03,2.740,2.770,2.790,2.730,8703669.000,hk06818,光大银行
2024-12-04,2.770,2.780,2.790,2.750,9097713.000,hk06818,光大银行
2024-12-05,2.780,2.770,2.790,2.750,4505633.000,hk06818,光大银行
2024-12-06,2.770,2.790,2.820,2.760,14662584.000,hk06818,光大银行
2024-12-09,2.780,2.850,2.850,2.760,18215490.000,hk06818,光大银行
2024-12-10,2.870,2.840,2.900,2.820,18202281.000,hk06818,光大银行
2024-12-11,2.840,2.820,2.860,2.810,6910975.000,hk06818,光大银行
2024-12-12,2.820,2.840,2.850,2.800,9069764.000,hk06818,光大银行
2024-12-13,2.840,2.790,2.840,2.770,12679756.000,hk06818,光大银行
2024-12-16,2.790,2.790,2.820,2.780,9567000.000,hk06818,光大银行
2024-12-17,2.790,2.760,2.800,2.740,10963632.000,hk06818,光大银行
2024-12-18,2.760,2.810,2.820,2.760,14906467.000,hk06818,光大银行
2024-12-19,2.790,2.790,2.810,2.760,8045410.000,hk06818,光大银行
2024-12-20,2.780,2.800,2.820,2.780,18953844.000,hk06818,光大银行
2024-12-23,2.800,2.890,2.890,2.790,29051285.000,hk06818,光大银行
2024-12-24,2.880,2.940,2.960,2.870,16408000.000,hk06818,光大银行
2024-12-27,2.950,2.970,2.980,2.900,20298000.000,hk06818,光大银行
2024-12-30,2.960,3.030,3.040,2.950,32745620.000,hk06818,光大银行
2024-12-31,3.040,3.020,3.050,3.000,6611482.000,hk06818,光大银行
2025-01-02,3.020,2.950,3.020,2.910,18435000.000,hk06818,光大银行
2025-01-03,2.930,2.960,2.970,2.910,21147737.000,hk06818,光大银行
2025-01-06,2.950,2.970,3.000,2.900,30456883.000,hk06818,光大银行
2025-01-07,2.990,2.950,2.990,2.910,21079947.000,hk06818,光大银行
2025-01-08,2.950,2.940,2.960,2.900,21893971.000,hk06818,光大银行
2025-01-09,2.840,2.830,2.860,2.800,11511010.000,hk06818,光大银行
2025-01-10,2.840,2.800,2.850,2.790,10840926.000,hk06818,光大银行
2025-01-13,2.800,2.770,2.810,2.730,9053069.000,hk06818,光大银行
2025-01-14,2.780,2.810,2.820,2.760,11239600.000,hk06818,光大银行
2025-01-15,2.820,2.820,2.870,2.810,8294000.000,hk06818,光大银行
2025-01-16,2.840,2.870,2.870,2.830,5833062.000,hk06818,光大银行
2025-01-17,2.860,2.860,2.880,2.830,7326000.000,hk06818,光大银行
2025-01-20,2.860,2.910,2.920,2.850,14706568.000,hk06818,光大银行
2025-01-21,2.900,2.940,2.970,2.900,11132952.000,hk06818,光大银行
2025-01-22,2.940,2.940,2.960,2.910,9921482.000,hk06818,光大银行
2025-01-23,2.930,3.060,3.090,2.930,64947590.000,hk06818,光大银行
2025-01-24,3.050,3.060,3.080,3.030,13188000.000,hk06818,光大银行
2025-01-27,3.050,3.110,3.150,3.040,25933358.000,hk06818,光大银行
2025-01-28,3.090,3.040,3.090,3.040,1177000.000,hk06818,光大银行
2025-02-03,3.040,3.040,3.050,2.960,3887232.000,hk06818,光大银行
2025-02-04,3.040,3.030,3.060,2.980,3444086.000,hk06818,光大银行
2025-02-05,3.030,3.040,3.060,3.020,12499456.000,hk06818,光大银行
2025-02-06,3.010,3.040,3.070,3.000,19665550.000,hk06818,光大银行
2025-02-07,3.020,3.020,3.050,2.990,12215247.000,hk06818,光大银行
2025-02-10,3.000,3.000,3.040,2.990,15561482.000,hk06818,光大银行
2025-02-11,3.020,3.000,3.020,2.980,14632788.000,hk06818,光大银行
2025-02-12,3.000,3.050,3.060,3.000,17793510.000,hk06818,光大银行
2025-02-13,3.060,3.020,3.070,3.010,17334120.000,hk06818,光大银行
2025-02-14,3.050,3.030,3.050,2.990,19593000.000,hk06818,光大银行
2025-02-17,3.020,3.090,3.100,3.010,18139525.000,hk06818,光大银行
2025-02-18,3.100,3.170,3.170,3.080,25504824.000,hk06818,光大银行
2025-02-19,3.170,3.130,3.170,3.120,10772000.000,hk06818,光大银行
2025-02-20,3.120,3.170,3.190,3.100,16896452.000,hk06818,光大银行
2025-02-21,3.190,3.180,3.200,3.140,18544236.000,hk06818,光大银行
2025-02-24,3.170,3.160,3.200,3.130,22572532.000,hk06818,光大银行
2025-02-25,3.160,3.080,3.160,3.070,21553554.000,hk06818,光大银行
2025-02-26,3.070,3.170,3.170,3.070,14614775.000,hk06818,光大银行
2025-02-27,3.140,3.160,3.170,3.130,8268855.000,hk06818,光大银行
2025-02-28,3.130,3.140,3.150,3.090,29641852.000,hk06818,光大银行
2025-03-03,3.100,3.130,3.150,3.100,15792034.000,hk06818,光大银行
2025-03-04,3.130,3.100,3.140,3.090,12920948.000,hk06818,光大银行
2025-03-05,3.100,3.180,3.190,3.090,20206000.000,hk06818,光大银行
2025-03-06,3.180,3.160,3.200,3.130,17337350.000,hk06818,光大银行
2025-03-07,3.170,3.130,3.180,3.120,12473000.000,hk06818,光大银行
2025-03-10,3.130,3.080,3.150,3.050,25218000.000,hk06818,光大银行
2025-03-11,3.080,3.140,3.140,3.060,15928885.000,hk06818,光大银行
2025-03-12,3.140,3.150,3.160,3.110,12069000.000,hk06818,光大银行
2025-03-13,3.130,3.170,3.180,3.120,13625000.000,hk06818,光大银行
2025-03-14,3.170,3.210,3.250,3.170,21780000.000,hk06818,光大银行
2025-03-17,3.230,3.250,3.260,3.210,18190002.000,hk06818,光大银行
2025-03-18,3.270,3.280,3.280,3.240,19124940.000,hk06818,光大银行
2025-03-19,3.280,3.300,3.320,3.250,17238425.000,hk06818,光大银行
2025-03-20,3.290,3.290,3.360,3.270,26944678.000,hk06818,光大银行
2025-03-21,3.290,3.280,3.320,3.200,44462115.000,hk06818,光大银行
2025-03-24,3.280,3.250,3.290,3.200,16968247.000,hk06818,光大银行
2025-03-25,3.240,3.230,3.270,3.220,11802264.000,hk06818,光大银行
2025-03-26,3.230,3.200,3.250,3.170,12316000.000,hk06818,光大银行
2025-03-27,3.200,3.220,3.230,3.180,10263015.000,hk06818,光大银行
2025-03-28,3.220,3.180,3.220,3.150,7563110.000,hk06818,光大银行
2025-03-31,3.180,3.170,3.210,3.110,31350640.000,hk06818,光大银行
2025-04-01,3.180,3.200,3.240,3.160,9790000.000,hk06818,光大银行
2025-04-02,3.150,3.250,3.250,3.150,12545000.000,hk06818,光大银行
2025-04-03,3.210,3.220,3.230,3.190,8806174.000,hk06818,光大银行
2025-04-07,3.080,2.850,3.090,2.840,36551710.000,hk06818,光大银行
2025-04-08,2.870,2.930,2.960,2.850,35757878.000,hk06818,光大银行
2025-04-09,2.920,2.920,2.940,2.840,26297484.000,hk06818,光大银行
2025-04-10,2.970,2.950,3.020,2.940,20106597.000,hk06818,光大银行
2025-04-11,2.930,3.040,3.050,2.930,19015053.000,hk06818,光大银行
2025-04-14,3.040,3.140,3.140,3.030,16719000.000,hk06818,光大银行
2025-04-15,3.110,3.170,3.170,3.110,15417000.000,hk06818,光大银行
2025-04-16,3.170,3.130,3.170,3.110,12184900.000,hk06818,光大银行
2025-04-17,3.120,3.170,3.180,3.120,17222045.000,hk06818,光大银行
2025-04-22,3.170,3.230,3.230,3.150,16369713.000,hk06818,光大银行
2025-04-23,3.200,3.210,3.240,3.200,11400608.000,hk06818,光大银行
2025-04-24,3.200,3.230,3.250,3.190,14592010.000,hk06818,光大银行
2025-04-25,3.230,3.260,3.260,3.200,36569252.000,hk06818,光大银行
2025-04-28,3.230,3.400,3.400,3.230,38193000.000,hk06818,光大银行
2025-04-29,3.400,3.420,3.430,3.360,23820011.000,hk06818,光大银行
2025-04-30,3.360,3.370,3.400,3.320,52953000.000,hk06818,光大银行
2025-05-02,3.330,3.260,3.390,3.240,11873000.000,hk06818,光大银行
2025-05-06,3.290,3.320,3.340,3.280,18244000.000,hk06818,光大银行
2025-05-07,3.310,3.370,3.400,3.310,20891000.000,hk06818,光大银行
2025-05-08,3.340,3.370,3.390,3.340,21603499.000,hk06818,光大银行
2025-05-09,3.370,3.420,3.430,3.370,29223452.000,hk06818,光大银行
2025-05-12,3.450,3.440,3.450,3.390,16469700.000,hk06818,光大银行
2025-05-13,3.440,3.480,3.490,3.430,23493000.000,hk06818,光大银行
2025-05-14,3.460,3.570,3.570,3.460,21916000.000,hk06818,光大银行
2025-05-15,3.570,3.540,3.570,3.490,12401761.000,hk06818,光大银行
2025-05-16,3.490,3.550,3.550,3.490,16742136.000,hk06818,光大银行
2025-05-19,3.500,3.570,3.580,3.500,7977922.000,hk06818,光大银行
2025-05-20,3.590,3.620,3.620,3.580,23358189.000,hk06818,光大银行
2025-05-21,3.620,3.670,3.680,3.600,20640512.000,hk06818,光大银行
2025-05-22,3.670,3.680,3.700,3.640,18373423.000,hk06818,光大银行
2025-05-23,3.680,3.680,3.700,3.650,22307000.000,hk06818,光大银行
2025-05-26,3.680,3.640,3.720,3.620,23697522.000,hk06818,光大银行
2025-05-27,3.650,3.650,3.680,3.620,20441409.000,hk06818,光大银行
2025-05-28,3.650,3.650,3.680,3.610,29777719.000,hk06818,光大银行
2025-05-29,3.670,3.640,3.670,3.610,22126000.000,hk06818,光大银行
2025-05-30,3.620,3.630,3.660,3.600,61987590.000,hk06818,光大银行
2025-06-02,3.610,3.570,3.620,3.500,13153973.000,hk06818,光大银行
2025-06-03,3.580,3.700,3.720,3.580,16716743.000,hk06818,光大银行
2025-06-04,3.700,3.770,3.770,3.680,16415674.000,hk06818,光大银行
2025-06-05,3.760,3.780,3.790,3.720,16057558.000,hk06818,光大银行
2025-06-06,3.780,3.710,3.790,3.710,22908867.000,hk06818,光大银行
2025-06-09,3.700,3.760,3.780,3.700,13311145.000,hk06818,光大银行
2025-06-10,3.760,3.810,3.850,3.750,18722614.000,hk06818,光大银行
2025-06-11,3.820,3.890,3.930,3.820,26658720.000,hk06818,光大银行
