date,open,high,low,close,volume,code,name
2024-11-29,3.860,3.880,3.920,3.840,105023041.000,hk01288,农业银行
2024-12-02,3.900,3.970,4.000,3.850,170528000.000,hk01288,农业银行
2024-12-03,3.950,4.050,4.080,3.950,171110462.000,hk01288,农业银行
2024-12-04,4.040,4.080,4.090,4.030,104970515.000,hk01288,农业银行
2024-12-05,4.040,4.090,4.110,4.030,109296758.000,hk01288,农业银行
2024-12-06,4.100,4.120,4.140,4.070,97519011.000,hk01288,农业银行
2024-12-09,4.120,4.190,4.200,4.080,130651834.000,hk01288,农业银行
2024-12-10,4.250,4.180,4.250,4.130,265075034.000,hk01288,农业银行
2024-12-11,4.200,4.120,4.230,4.090,164715746.000,hk01288,农业银行
2024-12-12,4.140,4.130,4.170,4.100,229199431.000,hk01288,农业银行
2024-12-13,4.120,4.090,4.120,4.040,154351421.000,hk01288,农业银行
2024-12-16,4.090,4.190,4.200,4.070,213143135.000,hk01288,农业银行
2024-12-17,4.160,4.180,4.270,4.140,238944695.000,hk01288,农业银行
2024-12-18,4.170,4.200,4.250,4.170,143898410.000,hk01288,农业银行
2024-12-19,4.180,4.190,4.230,4.140,149536796.000,hk01288,农业银行
2024-12-20,4.200,4.180,4.230,4.180,134824784.000,hk01288,农业银行
2024-12-23,4.180,4.300,4.320,4.180,245993306.000,hk01288,农业银行
2024-12-24,4.300,4.390,4.440,4.290,165165780.000,hk01288,农业银行
2024-12-27,4.450,4.410,4.450,4.290,177586084.000,hk01288,农业银行
2024-12-30,4.370,4.420,4.470,4.370,178046689.000,hk01288,农业银行
2024-12-31,4.410,4.430,4.490,4.380,92149997.000,hk01288,农业银行
2025-01-02,4.280,4.190,4.280,4.110,221824439.000,hk01288,农业银行
2025-01-03,4.190,4.250,4.260,4.130,159595130.000,hk01288,农业银行
2025-01-06,4.250,4.240,4.270,4.200,129174145.000,hk01288,农业银行
2025-01-07,4.200,4.260,4.280,4.170,161174169.000,hk01288,农业银行
2025-01-08,4.240,4.260,4.320,4.220,124480843.000,hk01288,农业银行
2025-01-09,4.260,4.260,4.300,4.220,85184536.000,hk01288,农业银行
2025-01-10,4.250,4.210,4.310,4.210,78494662.000,hk01288,农业银行
2025-01-13,4.190,4.170,4.210,4.090,93332795.000,hk01288,农业银行
2025-01-14,4.140,4.190,4.220,4.120,138831775.000,hk01288,农业银行
2025-01-15,4.170,4.210,4.250,4.170,60324188.000,hk01288,农业银行
2025-01-16,4.230,4.240,4.240,4.190,92116205.000,hk01288,农业银行
2025-01-17,4.210,4.180,4.240,4.120,151020457.000,hk01288,农业银行
2025-01-20,4.190,4.170,4.220,4.140,123105506.000,hk01288,农业银行
2025-01-21,4.190,4.230,4.230,4.140,97403637.000,hk01288,农业银行
2025-01-22,4.200,4.150,4.220,4.150,57826363.000,hk01288,农业银行
2025-01-23,4.160,4.230,4.250,4.160,118302523.000,hk01288,农业银行
2025-01-24,4.240,4.220,4.280,4.200,139131013.000,hk01288,农业银行
2025-01-27,4.210,4.340,4.340,4.210,102519307.000,hk01288,农业银行
2025-01-28,4.340,4.280,4.340,4.260,23990000.000,hk01288,农业银行
2025-02-03,4.200,4.200,4.240,4.150,63634700.000,hk01288,农业银行
2025-02-04,4.240,4.290,4.290,4.170,110843072.000,hk01288,农业银行
2025-02-05,4.290,4.290,4.290,4.180,189747147.000,hk01288,农业银行
2025-02-06,4.260,4.280,4.320,4.220,168286346.000,hk01288,农业银行
2025-02-07,4.260,4.210,4.270,4.180,251388624.000,hk01288,农业银行
2025-02-10,4.180,4.300,4.300,4.180,225278641.000,hk01288,农业银行
2025-02-11,4.280,4.320,4.350,4.270,135018962.000,hk01288,农业银行
2025-02-12,4.320,4.360,4.370,4.310,217829863.000,hk01288,农业银行
2025-02-13,4.360,4.410,4.480,4.360,260679764.000,hk01288,农业银行
2025-02-14,4.400,4.460,4.460,4.350,206954559.000,hk01288,农业银行
2025-02-17,4.420,4.560,4.570,4.410,184063398.000,hk01288,农业银行
2025-02-18,4.580,4.570,4.610,4.520,159776711.000,hk01288,农业银行
2025-02-19,4.520,4.540,4.560,4.470,262255261.000,hk01288,农业银行
2025-02-20,4.530,4.580,4.610,4.500,124363741.000,hk01288,农业银行
2025-02-21,4.610,4.590,4.630,4.550,220630670.000,hk01288,农业银行
2025-02-24,4.560,4.620,4.670,4.540,141014705.000,hk01288,农业银行
2025-02-25,4.580,4.580,4.620,4.550,177247012.000,hk01288,农业银行
2025-02-26,4.640,4.700,4.740,4.620,212803284.000,hk01288,农业银行
2025-02-27,4.670,4.780,4.800,4.640,226490110.000,hk01288,农业银行
2025-02-28,4.770,4.630,4.820,4.610,357915251.000,hk01288,农业银行
2025-03-03,4.640,4.700,4.730,4.610,182894892.000,hk01288,农业银行
2025-03-04,4.690,4.670,4.720,4.630,140125186.000,hk01288,农业银行
2025-03-05,4.700,4.750,4.820,4.670,120064297.000,hk01288,农业银行
2025-03-06,4.760,4.750,4.790,4.710,128358560.000,hk01288,农业银行
2025-03-07,4.730,4.730,4.770,4.720,110037619.000,hk01288,农业银行
2025-03-10,4.730,4.720,4.750,4.660,97318735.000,hk01288,农业银行
2025-03-11,4.700,4.770,4.800,4.680,135782261.000,hk01288,农业银行
2025-03-12,4.740,4.880,4.880,4.740,180403350.000,hk01288,农业银行
2025-03-13,4.880,4.900,4.980,4.850,204863573.000,hk01288,农业银行
2025-03-14,4.910,4.960,5.050,4.910,217885082.000,hk01288,农业银行
2025-03-17,5.000,5.020,5.020,4.960,113518883.000,hk01288,农业银行
2025-03-18,5.020,5.060,5.070,5.010,115726288.000,hk01288,农业银行
2025-03-19,5.080,5.050,5.120,5.040,77479806.000,hk01288,农业银行
2025-03-20,5.050,5.020,5.070,4.970,156938714.000,hk01288,农业银行
2025-03-21,5.010,4.930,5.030,4.920,210567626.000,hk01288,农业银行
2025-03-24,4.920,5.050,5.070,4.870,154207960.000,hk01288,农业银行
2025-03-25,4.980,4.990,5.020,4.950,194060524.000,hk01288,农业银行
2025-03-26,4.990,4.880,5.040,4.860,154941833.000,hk01288,农业银行
2025-03-27,4.860,4.780,4.950,4.700,263856747.000,hk01288,农业银行
2025-03-28,4.750,4.700,4.780,4.670,206044246.000,hk01288,农业银行
2025-03-31,4.670,4.680,4.780,4.590,290283109.000,hk01288,农业银行
2025-04-01,4.690,4.690,4.730,4.610,93493666.000,hk01288,农业银行
2025-04-02,4.650,4.710,4.720,4.620,88898112.000,hk01288,农业银行
2025-04-03,4.660,4.610,4.690,4.590,180616374.000,hk01288,农业银行
2025-04-07,4.420,4.190,4.490,4.180,417493203.000,hk01288,农业银行
2025-04-08,4.220,4.180,4.320,4.180,406342011.000,hk01288,农业银行
2025-04-09,4.140,4.250,4.280,4.090,260851744.000,hk01288,农业银行
2025-04-10,4.260,4.340,4.390,4.260,163568941.000,hk01288,农业银行
2025-04-11,4.350,4.430,4.480,4.310,174239961.000,hk01288,农业银行
2025-04-14,4.480,4.510,4.540,4.450,147228888.000,hk01288,农业银行
2025-04-15,4.510,4.530,4.570,4.480,89195987.000,hk01288,农业银行
2025-04-16,4.520,4.480,4.580,4.450,122343174.000,hk01288,农业银行
2025-04-17,4.480,4.510,4.530,4.440,102745240.000,hk01288,农业银行
2025-04-22,4.540,4.620,4.640,4.530,128150936.000,hk01288,农业银行
2025-04-23,4.680,4.680,4.700,4.600,124459189.000,hk01288,农业银行
2025-04-24,4.670,4.750,4.760,4.660,108139484.000,hk01288,农业银行
2025-04-25,4.800,4.710,4.810,4.680,129062298.000,hk01288,农业银行
2025-04-28,4.740,4.840,4.900,4.720,104358027.000,hk01288,农业银行
2025-04-29,4.860,4.830,4.940,4.810,138109145.000,hk01288,农业银行
2025-04-30,4.880,4.740,4.880,4.590,234047337.000,hk01288,农业银行
2025-05-02,4.780,4.760,4.810,4.710,80553781.000,hk01288,农业银行
