date,open,high,low,close,volume,code,name
2024-11-29,109.100,109.600,110.500,108.200,2068978.000,hk00669,创科实业
2024-12-02,111.200,109.900,111.700,109.300,1842577.000,hk00669,创科实业
2024-12-03,111.700,113.800,113.800,110.000,3552042.000,hk00669,创科实业
2024-12-04,113.800,112.700,114.000,110.800,2626942.000,hk00669,创科实业
2024-12-05,111.600,110.900,111.600,108.800,5574326.000,hk00669,创科实业
2024-12-06,107.000,111.100,111.300,107.000,4042776.000,hk00669,创科实业
2024-12-09,111.400,113.500,113.600,110.500,3796199.000,hk00669,创科实业
2024-12-10,115.700,113.200,116.500,112.600,4595366.000,hk00669,创科实业
2024-12-11,113.200,109.100,113.200,107.900,3472932.000,hk00669,创科实业
2024-12-12,107.600,106.600,108.900,106.500,4266148.000,hk00669,创科实业
2024-12-13,106.000,106.800,107.900,105.100,4645857.000,hk00669,创科实业
2024-12-16,105.300,106.400,107.300,105.300,3893038.000,hk00669,创科实业
2024-12-17,105.600,103.800,106.100,103.100,2775638.000,hk00669,创科实业
2024-12-18,102.600,104.900,105.400,102.400,4665566.000,hk00669,创科实业
2024-12-19,104.400,102.600,104.400,102.500,2783981.000,hk00669,创科实业
2024-12-20,100.000,102.500,104.300,98.000,10145312.000,hk00669,创科实业
2024-12-23,102.000,101.800,103.900,101.200,3912929.000,hk00669,创科实业
2024-12-24,101.800,102.700,103.100,100.800,1377344.000,hk00669,创科实业
2024-12-27,103.100,102.700,103.800,102.100,1207825.000,hk00669,创科实业
2024-12-30,102.300,102.500,103.300,101.100,1560381.000,hk00669,创科实业
2024-12-31,100.800,102.500,103.100,100.800,973034.000,hk00669,创科实业
2025-01-02,101.000,100.500,102.100,100.000,1960541.000,hk00669,创科实业
2025-01-03,100.500,101.700,103.400,99.700,1916943.000,hk00669,创科实业
2025-01-06,101.000,100.900,101.700,99.850,2168443.000,hk00669,创科实业
2025-01-07,99.550,101.600,102.300,99.550,3057887.000,hk00669,创科实业
2025-01-08,100.600,96.800,100.900,96.400,4718957.000,hk00669,创科实业
2025-01-09,97.250,99.300,99.900,97.000,2918404.000,hk00669,创科实业
2025-01-10,98.750,98.450,99.550,98.200,3569795.000,hk00669,创科实业
2025-01-13,97.250,97.700,98.050,95.400,2757599.000,hk00669,创科实业
2025-01-14,96.650,97.250,97.600,96.350,5350437.000,hk00669,创科实业
2025-01-15,95.650,100.100,100.700,95.650,4579682.000,hk00669,创科实业
2025-01-16,101.000,102.900,103.100,100.700,4469824.000,hk00669,创科实业
2025-01-17,102.200,105.200,105.800,101.700,3530647.000,hk00669,创科实业
2025-01-20,104.300,103.900,106.600,103.400,2805850.000,hk00669,创科实业
