date,open,high,low,close,volume,code,name
2024-11-29,29.200,29.250,29.650,28.800,4461404.000,hk01209,华润万象生活
2024-12-02,29.300,29.200,29.550,28.750,6522615.000,hk01209,华润万象生活
2024-12-03,29.200,29.700,29.750,28.750,3208625.000,hk01209,华润万象生活
2024-12-04,29.700,29.500,30.150,29.000,2069512.000,hk01209,华润万象生活
2024-12-05,29.500,28.850,29.500,28.750,2092490.000,hk01209,华润万象生活
2024-12-06,28.850,29.200,29.650,28.650,2441265.000,hk01209,华润万象生活
2024-12-09,29.050,31.000,31.050,28.800,7959353.000,hk01209,华润万象生活
2024-12-10,32.700,31.150,35.000,31.150,7731119.000,hk01209,华润万象生活
2024-12-11,31.150,30.700,33.000,30.600,2525792.000,hk01209,华润万象生活
2024-12-12,30.700,31.400,32.350,30.150,11678080.000,hk01209,华润万象生活
2024-12-13,31.150,29.400,31.150,29.300,6708975.000,hk01209,华润万象生活
2024-12-16,29.400,29.150,30.300,28.900,4800544.000,hk01209,华润万象生活
2024-12-17,29.150,28.750,29.350,28.350,5657963.000,hk01209,华润万象生活
2024-12-18,29.550,28.900,29.550,28.800,3697872.000,hk01209,华润万象生活
2024-12-19,28.800,28.350,28.800,28.250,2190540.000,hk01209,华润万象生活
2024-12-20,28.350,28.250,28.700,28.150,1307858.000,hk01209,华润万象生活
2024-12-23,28.250,28.150,28.700,27.950,2511153.000,hk01209,华润万象生活
2024-12-24,28.000,29.000,29.100,28.000,2090380.000,hk01209,华润万象生活
2024-12-27,29.000,28.400,29.500,27.800,2851399.000,hk01209,华润万象生活
2024-12-30,28.400,28.450,28.750,28.150,1475449.000,hk01209,华润万象生活
2024-12-31,28.450,28.900,29.300,28.450,1455383.000,hk01209,华润万象生活
2025-01-02,28.300,27.900,29.000,27.800,1888366.000,hk01209,华润万象生活
2025-01-03,27.900,28.100,28.700,27.850,2595970.000,hk01209,华润万象生活
2025-01-06,28.200,27.450,28.200,27.300,3710260.000,hk01209,华润万象生活
2025-01-07,27.000,27.600,27.800,27.000,4166632.000,hk01209,华润万象生活
2025-01-08,27.550,27.300,27.650,26.750,4412807.000,hk01209,华润万象生活
2025-01-09,26.750,27.600,28.000,26.750,2830600.000,hk01209,华润万象生活
2025-01-10,27.950,27.600,28.250,27.250,3829449.000,hk01209,华润万象生活
