date,open,high,low,close,volume,code,name
2024-11-29,4.070,4.050,4.080,4.040,23240000.000,hk00902,华能国际
2024-12-02,4.040,4.030,4.080,4.010,42881376.000,hk00902,华能国际
2024-12-03,4.050,4.100,4.110,4.010,35121031.000,hk00902,华能国际
2024-12-04,4.110,4.130,4.140,4.070,21797591.000,hk00902,华能国际
2024-12-05,4.130,4.140,4.170,4.100,14058000.000,hk00902,华能国际
2024-12-06,4.150,4.190,4.240,4.140,24239424.000,hk00902,华能国际
2024-12-09,4.190,4.290,4.300,4.180,35042776.000,hk00902,华能国际
2024-12-10,4.330,4.250,4.350,4.230,32984000.000,hk00902,华能国际
2024-12-11,4.230,4.290,4.350,4.230,26679643.000,hk00902,华能国际
2024-12-12,4.300,4.320,4.360,4.280,39295000.000,hk00902,华能国际
2024-12-13,4.320,4.260,4.320,4.240,22618000.000,hk00902,华能国际
2024-12-16,4.260,4.330,4.390,4.240,29548000.000,hk00902,华能国际
2024-12-17,4.320,4.310,4.390,4.290,29206462.000,hk00902,华能国际
2024-12-18,4.330,4.350,4.400,4.320,33321627.000,hk00902,华能国际
2024-12-19,4.330,4.320,4.370,4.300,21731855.000,hk00902,华能国际
2024-12-20,4.360,4.240,4.360,4.220,38948110.000,hk00902,华能国际
2024-12-23,4.240,4.300,4.330,4.210,28224000.000,hk00902,华能国际
2024-12-24,4.270,4.320,4.350,4.210,16138728.000,hk00902,华能国际
2024-12-27,4.270,4.270,4.280,4.180,26915000.000,hk00902,华能国际
2024-12-30,4.250,4.250,4.320,4.220,24688347.000,hk00902,华能国际
2024-12-31,4.230,4.280,4.280,4.220,21660356.000,hk00902,华能国际
2025-01-02,4.260,4.120,4.260,4.070,49954000.000,hk00902,华能国际
2025-01-03,4.100,4.110,4.150,4.060,25374000.000,hk00902,华能国际
2025-01-06,4.090,4.110,4.140,4.090,18247000.000,hk00902,华能国际
2025-01-07,4.110,4.080,4.110,4.040,19560000.000,hk00902,华能国际
2025-01-08,4.050,4.040,4.070,3.990,25677294.000,hk00902,华能国际
2025-01-09,4.040,4.000,4.040,3.980,36628000.000,hk00902,华能国际
2025-01-10,3.990,3.900,4.000,3.890,53113470.000,hk00902,华能国际
2025-01-13,3.910,3.880,3.920,3.860,20498548.000,hk00902,华能国际
2025-01-14,3.900,3.960,3.990,3.880,22079320.000,hk00902,华能国际
2025-01-15,3.990,4.000,4.000,3.950,15950000.000,hk00902,华能国际
2025-01-16,4.010,4.000,4.050,3.970,19104000.000,hk00902,华能国际
2025-01-17,4.010,4.000,4.020,3.980,22027000.000,hk00902,华能国际
2025-01-20,4.010,4.000,4.040,3.970,20066340.000,hk00902,华能国际
2025-01-21,4.000,4.000,4.010,3.940,16535774.000,hk00902,华能国际
2025-01-22,3.990,3.990,4.010,3.960,12913664.000,hk00902,华能国际
2025-01-23,4.000,3.990,4.040,3.960,22342000.000,hk00902,华能国际
2025-01-24,4.000,4.000,4.010,3.950,16928000.000,hk00902,华能国际
2025-01-27,4.010,4.090,4.130,4.000,33343050.000,hk00902,华能国际
2025-01-28,4.050,4.080,4.090,4.050,9340000.000,hk00902,华能国际
2025-02-03,4.090,4.080,4.090,4.010,10570000.000,hk00902,华能国际
2025-02-04,4.030,4.080,4.100,4.030,11946132.000,hk00902,华能国际
2025-02-05,4.090,4.070,4.100,4.040,15557760.000,hk00902,华能国际
2025-02-06,4.050,4.100,4.100,4.040,15021810.000,hk00902,华能国际
2025-02-07,4.100,4.080,4.110,4.060,22730225.000,hk00902,华能国际
2025-02-10,4.080,4.060,4.120,4.030,22675768.000,hk00902,华能国际
2025-02-11,4.080,4.010,4.080,4.000,16133848.000,hk00902,华能国际
2025-02-12,4.020,4.020,4.040,3.980,25447735.000,hk00902,华能国际
2025-02-13,4.000,4.030,4.090,3.980,22611753.000,hk00902,华能国际
2025-02-14,4.040,4.080,4.080,4.010,26926000.000,hk00902,华能国际
2025-02-17,4.090,4.180,4.220,4.070,63720922.000,hk00902,华能国际
2025-02-18,4.200,4.190,4.260,4.160,33287208.000,hk00902,华能国际
2025-02-19,4.190,4.180,4.190,4.130,27207470.000,hk00902,华能国际
2025-02-20,4.190,4.230,4.360,4.150,52563257.000,hk00902,华能国际
2025-02-21,4.270,4.240,4.280,4.170,40387817.000,hk00902,华能国际
2025-02-24,4.280,4.260,4.360,4.230,58551328.000,hk00902,华能国际
