date,open,high,low,close,volume,code,name
2024-11-29,57.950,58.150,58.800,57.750,20513707.000,hk01299,友邦保险
2024-12-02,58.500,57.900,58.750,57.450,26304257.000,hk01299,友邦保险
2024-12-03,58.250,58.150,58.300,57.300,31333324.000,hk01299,友邦保险
2024-12-04,58.000,57.500,58.000,57.350,23594649.000,hk01299,友邦保险
2024-12-05,56.300,56.600,56.800,56.150,31307836.000,hk01299,友邦保险
2024-12-06,56.300,57.550,57.800,56.300,33180222.000,hk01299,友邦保险
2024-12-09,56.600,58.200,58.250,56.300,36598659.000,hk01299,友邦保险
2024-12-10,60.300,59.300,60.500,59.150,56254541.000,hk01299,友邦保险
2024-12-11,59.300,58.150,59.550,57.900,27603336.000,hk01299,友邦保险
2024-12-12,57.350,57.800,58.400,57.050,24705846.000,hk01299,友邦保险
2024-12-13,57.800,56.500,57.800,56.500,35572894.000,hk01299,友邦保险
2024-12-16,55.900,55.100,56.300,54.900,43539137.000,hk01299,友邦保险
2024-12-17,54.550,54.700,55.350,54.550,54671867.000,hk01299,友邦保险
2024-12-18,55.500,55.150,55.600,54.900,29660953.000,hk01299,友邦保险
2024-12-19,54.000,54.600,54.800,54.000,31822602.000,hk01299,友邦保险
2024-12-20,54.600,54.800,55.150,54.300,36365009.000,hk01299,友邦保险
2024-12-23,55.350,55.450,55.900,55.200,18508840.000,hk01299,友邦保险
2024-12-24,55.600,56.700,57.400,55.600,19468449.000,hk01299,友邦保险
2024-12-27,56.400,56.300,57.050,56.200,14636507.000,hk01299,友邦保险
2024-12-30,55.850,56.300,56.600,55.850,10271167.000,hk01299,友邦保险
2024-12-31,56.150,56.300,56.850,56.100,8143898.000,hk01299,友邦保险
2025-01-02,55.850,55.300,56.300,54.800,26642616.000,hk01299,友邦保险
2025-01-03,55.950,55.500,56.050,55.100,17714158.000,hk01299,友邦保险
2025-01-06,56.200,55.250,56.300,54.800,14754824.000,hk01299,友邦保险
2025-01-07,54.450,54.650,55.650,54.150,20032192.000,hk01299,友邦保险
2025-01-08,54.550,53.800,54.900,53.550,28017186.000,hk01299,友邦保险
2025-01-09,52.900,53.050,53.500,52.900,33524185.000,hk01299,友邦保险
2025-01-10,52.500,52.600,53.050,52.200,24837463.000,hk01299,友邦保险
2025-01-13,51.900,52.150,52.350,50.900,29462252.000,hk01299,友邦保险
2025-01-14,52.500,52.750,53.100,51.800,39386079.000,hk01299,友邦保险
2025-01-15,52.150,53.100,53.350,52.050,32555588.000,hk01299,友邦保险
2025-01-16,53.100,54.200,54.650,53.100,26543074.000,hk01299,友邦保险
2025-01-17,54.100,54.400,55.050,53.950,19761394.000,hk01299,友邦保险
2025-01-20,55.050,54.850,55.700,54.800,15923102.000,hk01299,友邦保险
2025-01-21,55.650,55.500,55.900,55.050,16771851.000,hk01299,友邦保险
2025-01-22,55.150,54.700,55.850,54.550,21732245.000,hk01299,友邦保险
2025-01-23,54.850,53.950,55.200,53.850,23322695.000,hk01299,友邦保险
2025-01-24,54.800,54.550,54.950,54.150,26384790.000,hk01299,友邦保险
2025-01-27,53.600,53.750,54.500,53.450,34246725.000,hk01299,友邦保险
2025-01-28,54.550,54.250,54.800,54.000,18665119.000,hk01299,友邦保险
2025-02-03,52.650,53.450,53.600,52.350,52807931.000,hk01299,友邦保险
2025-02-04,54.000,54.050,54.650,52.800,44459188.000,hk01299,友邦保险
2025-02-05,54.150,53.000,54.450,52.700,37197841.000,hk01299,友邦保险
2025-02-06,52.000,53.250,53.300,52.000,31601057.000,hk01299,友邦保险
2025-02-07,53.150,53.100,53.550,52.600,46321289.000,hk01299,友邦保险
2025-02-10,52.350,52.600,53.600,52.200,58895474.000,hk01299,友邦保险
2025-02-11,52.150,51.250,52.500,51.150,41296688.000,hk01299,友邦保险
2025-02-12,51.000,51.700,52.500,50.900,61893691.000,hk01299,友邦保险
2025-02-13,52.450,54.500,55.600,52.250,93713209.000,hk01299,友邦保险
2025-02-14,55.450,56.300,56.500,55.350,62718838.000,hk01299,友邦保险
2025-02-17,55.600,55.250,56.600,55.000,43561249.000,hk01299,友邦保险
2025-02-18,55.250,55.400,56.250,54.950,39777767.000,hk01299,友邦保险
2025-02-19,55.000,55.800,56.000,54.700,28058822.000,hk01299,友邦保险
2025-02-20,55.300,55.050,56.200,55.050,25022248.000,hk01299,友邦保险
2025-02-21,56.050,58.000,58.050,55.450,58085230.000,hk01299,友邦保险
2025-02-24,57.700,58.350,59.400,57.350,51047067.000,hk01299,友邦保险
2025-02-25,56.600,57.400,57.800,56.600,35893220.000,hk01299,友邦保险
2025-02-26,57.700,59.650,60.150,57.550,53480323.000,hk01299,友邦保险
2025-02-27,59.850,60.900,61.450,59.700,65445999.000,hk01299,友邦保险
2025-02-28,60.600,59.400,60.850,58.900,52170467.000,hk01299,友邦保险
2025-03-03,60.000,59.000,60.350,58.700,40702889.000,hk01299,友邦保险
2025-03-04,58.750,59.800,60.250,58.250,39453766.000,hk01299,友邦保险
2025-03-05,60.800,61.150,61.800,59.850,30759314.000,hk01299,友邦保险
2025-03-06,62.100,63.900,64.000,61.900,64100772.000,hk01299,友邦保险
2025-03-07,63.800,63.700,64.400,63.250,48178622.000,hk01299,友邦保险
2025-03-10,62.900,62.800,64.700,62.250,45945700.000,hk01299,友邦保险
2025-03-11,62.800,63.600,63.850,61.600,46867303.000,hk01299,友邦保险
2025-03-12,63.700,63.800,64.700,63.000,44415289.000,hk01299,友邦保险
2025-03-13,63.050,62.800,63.800,62.150,32837899.000,hk01299,友邦保险
2025-03-14,61.500,61.250,62.000,60.150,63054793.000,hk01299,友邦保险
2025-03-17,63.200,62.200,64.000,61.950,53116051.000,hk01299,友邦保险
2025-03-18,63.950,62.450,64.400,61.750,42457521.000,hk01299,友邦保险
2025-03-19,62.500,63.400,63.450,62.250,33731056.000,hk01299,友邦保险
2025-03-20,63.800,62.250,63.800,61.550,57171033.000,hk01299,友邦保险
2025-03-21,62.250,60.500,62.450,59.850,78638667.000,hk01299,友邦保险
2025-03-24,60.000,60.150,60.250,59.150,46454314.000,hk01299,友邦保险
2025-03-25,59.000,58.500,59.700,58.350,44232602.000,hk01299,友邦保险
2025-03-26,59.200,58.900,59.450,58.400,31252393.000,hk01299,友邦保险
2025-03-27,59.350,59.850,60.550,59.050,24109668.000,hk01299,友邦保险
2025-03-28,59.500,59.600,60.850,59.250,24129312.000,hk01299,友邦保险
2025-03-31,59.500,58.600,59.600,58.200,40180054.000,hk01299,友邦保险
2025-04-01,58.300,59.750,60.000,58.300,25532685.000,hk01299,友邦保险
2025-04-02,59.950,60.200,60.400,59.100,22895705.000,hk01299,友邦保险
2025-04-03,59.000,59.650,60.400,58.950,35092196.000,hk01299,友邦保险
2025-04-07,55.050,52.800,55.900,52.450,87726025.000,hk01299,友邦保险
2025-04-08,54.200,53.150,54.500,52.000,55296328.000,hk01299,友邦保险
2025-04-09,50.850,49.950,51.500,49.300,96683156.000,hk01299,友邦保险
2025-04-10,51.050,50.650,51.850,50.050,57666620.000,hk01299,友邦保险
2025-04-11,49.950,50.150,50.650,48.600,59343581.000,hk01299,友邦保险
2025-04-14,51.550,52.200,52.600,51.200,41698417.000,hk01299,友邦保险
2025-04-15,52.300,52.700,52.850,51.950,29925922.000,hk01299,友邦保险
2025-04-16,52.250,52.750,52.900,51.850,30846410.000,hk01299,友邦保险
2025-04-17,53.150,54.250,54.750,53.000,35528600.000,hk01299,友邦保险
2025-04-22,53.900,54.450,54.650,53.600,32268067.000,hk01299,友邦保险
2025-04-23,55.000,55.950,56.250,54.850,41103194.000,hk01299,友邦保险
2025-04-24,56.450,55.600,56.800,55.200,29324987.000,hk01299,友邦保险
2025-04-25,56.300,55.050,56.600,55.050,27719698.000,hk01299,友邦保险
2025-04-28,55.250,54.600,55.400,53.850,28646998.000,hk01299,友邦保险
2025-04-29,54.600,54.550,55.350,54.100,29920696.000,hk01299,友邦保险
2025-04-30,56.700,58.100,58.300,56.200,71622814.000,hk01299,友邦保险
2025-05-02,59.500,59.100,59.550,57.500,38970647.000,hk01299,友邦保险
2025-05-06,61.350,60.000,61.900,59.850,54670969.000,hk01299,友邦保险
2025-05-07,62.550,61.750,62.750,61.550,71043305.000,hk01299,友邦保险
2025-05-08,61.000,61.150,61.750,60.550,33902075.000,hk01299,友邦保险
2025-05-09,61.900,61.550,61.900,60.850,24082496.000,hk01299,友邦保险
2025-05-12,62.000,63.200,64.000,62.000,32561538.000,hk01299,友邦保险
2025-05-13,63.200,62.100,63.250,61.750,33996920.000,hk01299,友邦保险
2025-05-14,62.500,65.300,65.450,62.300,53906297.000,hk01299,友邦保险
2025-05-15,67.900,65.850,67.900,65.650,50013399.000,hk01299,友邦保险
2025-05-16,66.000,66.000,66.300,65.400,30776351.000,hk01299,友邦保险
2025-05-19,65.400,65.600,66.450,64.750,33363308.000,hk01299,友邦保险
2025-05-20,65.150,66.850,67.650,65.000,39447885.000,hk01299,友邦保险
2025-05-21,66.500,65.950,67.350,65.550,34263133.000,hk01299,友邦保险
2025-05-22,65.600,65.350,65.850,64.800,36393549.000,hk01299,友邦保险
2025-05-23,65.000,64.850,65.300,64.350,22771087.000,hk01299,友邦保险
