date,open,high,low,close,volume,code,name
2024-11-29,13.800,13.860,14.020,13.620,70899141.000,hk00175,吉利汽车
2024-12-02,14.000,14.420,14.720,14.000,94141001.000,hk00175,吉利汽车
2024-12-03,14.380,14.460,14.540,14.180,41886799.000,hk00175,吉利汽车
2024-12-04,14.720,14.460,14.840,14.360,50558026.000,hk00175,吉利汽车
2024-12-05,14.200,14.520,14.560,14.140,43559789.000,hk00175,吉利汽车
2024-12-06,14.520,14.740,14.780,14.360,94038494.000,hk00175,吉利汽车
2024-12-09,14.740,15.420,15.500,14.620,116477295.000,hk00175,吉利汽车
2024-12-10,16.200,15.680,16.440,15.580,131012823.000,hk00175,吉利汽车
2024-12-11,15.800,15.840,16.040,15.600,50352178.000,hk00175,吉利汽车
2024-12-12,15.800,16.100,16.400,15.720,65495196.000,hk00175,吉利汽车
2024-12-13,16.020,15.280,16.020,15.180,90090615.000,hk00175,吉利汽车
2024-12-16,15.100,15.180,15.420,15.040,63973219.000,hk00175,吉利汽车
2024-12-17,15.000,15.060,15.320,14.820,45351836.000,hk00175,吉利汽车
2024-12-18,15.200,15.680,15.760,15.120,56159804.000,hk00175,吉利汽车
2024-12-19,15.400,15.480,15.540,15.060,48763242.000,hk00175,吉利汽车
2024-12-20,15.400,15.320,15.660,15.300,47443285.000,hk00175,吉利汽车
2024-12-23,15.320,15.100,15.460,14.920,38464891.000,hk00175,吉利汽车
2024-12-24,15.120,15.340,15.360,15.000,20774194.000,hk00175,吉利汽车
2024-12-27,15.340,14.960,15.480,14.840,62091330.000,hk00175,吉利汽车
2024-12-30,15.000,14.640,15.000,14.360,58249532.000,hk00175,吉利汽车
2024-12-31,14.500,14.820,14.900,14.360,39575286.000,hk00175,吉利汽车
2025-01-02,14.540,14.080,14.800,14.020,71110563.000,hk00175,吉利汽车
2025-01-03,14.100,14.180,14.400,14.020,39291348.000,hk00175,吉利汽车
2025-01-06,14.380,14.200,14.640,13.940,46464234.000,hk00175,吉利汽车
2025-01-07,14.000,13.980,14.360,13.640,66960538.000,hk00175,吉利汽车
2025-01-08,13.960,13.980,13.980,13.680,33974272.000,hk00175,吉利汽车
2025-01-09,13.880,13.960,14.280,13.820,34805769.000,hk00175,吉利汽车
2025-01-10,13.960,13.760,14.180,13.660,31053090.000,hk00175,吉利汽车
2025-01-13,13.740,13.580,13.780,13.300,59569267.000,hk00175,吉利汽车
2025-01-14,13.620,13.960,14.140,13.500,60189035.000,hk00175,吉利汽车
2025-01-15,13.960,13.600,13.960,13.400,46178749.000,hk00175,吉利汽车
2025-01-16,13.840,14.120,14.200,13.700,54106386.000,hk00175,吉利汽车
2025-01-17,14.040,14.280,14.380,13.980,44915070.000,hk00175,吉利汽车
2025-01-20,14.500,14.300,14.640,14.220,46978798.000,hk00175,吉利汽车
2025-01-21,14.560,14.740,14.780,14.280,65213016.000,hk00175,吉利汽车
2025-01-22,14.740,14.220,14.780,14.080,47691249.000,hk00175,吉利汽车
2025-01-23,14.460,14.160,14.560,14.100,33667896.000,hk00175,吉利汽车
2025-01-24,14.300,14.460,14.560,14.180,43475104.000,hk00175,吉利汽车
2025-01-27,14.340,14.460,14.600,14.320,25311008.000,hk00175,吉利汽车
2025-01-28,14.540,14.300,14.540,14.120,11414629.000,hk00175,吉利汽车
2025-02-03,14.020,14.780,14.780,13.920,34092774.000,hk00175,吉利汽车
2025-02-04,15.000,15.940,15.980,14.960,77670552.000,hk00175,吉利汽车
2025-02-05,15.700,15.460,15.700,15.180,58990348.000,hk00175,吉利汽车
2025-02-06,15.560,16.400,16.400,15.400,83323882.000,hk00175,吉利汽车
2025-02-07,16.660,17.720,18.080,16.500,231254536.000,hk00175,吉利汽车
2025-02-10,17.940,17.720,18.300,17.320,159917090.000,hk00175,吉利汽车
2025-02-11,17.300,15.900,17.400,15.700,242391396.000,hk00175,吉利汽车
2025-02-12,16.020,16.980,17.280,15.740,187140893.000,hk00175,吉利汽车
2025-02-13,17.200,16.460,17.360,16.420,105551140.000,hk00175,吉利汽车
2025-02-14,16.700,17.140,17.240,16.480,87371099.000,hk00175,吉利汽车
2025-02-17,17.200,16.880,17.740,16.540,103285892.000,hk00175,吉利汽车
2025-02-18,16.980,17.760,18.060,16.880,127228286.000,hk00175,吉利汽车
2025-02-19,17.680,17.900,18.060,17.320,83489550.000,hk00175,吉利汽车
2025-02-20,17.700,17.360,18.180,17.220,59748957.000,hk00175,吉利汽车
2025-02-21,17.680,17.460,17.720,16.760,131280788.000,hk00175,吉利汽车
2025-02-24,17.580,17.460,17.940,17.200,77245880.000,hk00175,吉利汽车
2025-02-25,17.000,18.000,18.380,16.920,127347653.000,hk00175,吉利汽车
2025-02-26,18.340,17.900,18.420,17.400,95896378.000,hk00175,吉利汽车
2025-02-27,18.400,18.980,19.440,18.140,214535085.000,hk00175,吉利汽车
2025-02-28,19.000,17.540,19.080,17.340,153858929.000,hk00175,吉利汽车
2025-03-03,17.920,17.900,18.540,17.700,108908860.000,hk00175,吉利汽车
2025-03-04,17.000,16.880,17.060,16.100,194576742.000,hk00175,吉利汽车
2025-03-05,17.020,17.380,17.440,16.640,92366599.000,hk00175,吉利汽车
2025-03-06,17.800,17.940,18.180,17.620,83322371.000,hk00175,吉利汽车
2025-03-07,18.000,17.860,18.220,17.420,74206451.000,hk00175,吉利汽车
2025-03-10,17.740,17.160,17.940,16.920,88479636.000,hk00175,吉利汽车
2025-03-11,16.640,17.240,17.320,16.500,69652210.000,hk00175,吉利汽车
2025-03-12,17.500,17.520,17.940,17.240,93148079.000,hk00175,吉利汽车
2025-03-13,17.620,17.140,17.800,16.880,66760277.000,hk00175,吉利汽车
2025-03-14,17.380,17.680,17.800,16.960,75649571.000,hk00175,吉利汽车
2025-03-17,17.640,17.320,17.840,17.200,53534663.000,hk00175,吉利汽车
2025-03-18,17.700,17.980,18.160,17.600,75386724.000,hk00175,吉利汽车
2025-03-19,18.000,17.980,18.340,17.560,70214061.000,hk00175,吉利汽车
2025-03-20,18.180,18.240,18.840,17.560,146346782.000,hk00175,吉利汽车
2025-03-21,18.100,17.200,18.220,17.040,157087408.000,hk00175,吉利汽车
2025-03-24,17.440,17.660,17.800,17.180,71894474.000,hk00175,吉利汽车
2025-03-25,17.340,16.680,17.380,16.580,116339119.000,hk00175,吉利汽车
2025-03-26,16.960,17.180,17.560,16.960,91220584.000,hk00175,吉利汽车
2025-03-27,17.180,17.000,17.400,16.740,61819211.000,hk00175,吉利汽车
2025-03-28,17.040,16.700,17.180,16.540,62015943.000,hk00175,吉利汽车
2025-03-31,16.640,16.640,16.780,16.340,54379429.000,hk00175,吉利汽车
2025-04-01,16.620,16.620,16.860,16.260,52542776.000,hk00175,吉利汽车
2025-04-02,16.880,17.400,17.580,16.780,116797890.000,hk00175,吉利汽车
2025-04-03,16.800,16.980,17.300,16.760,59829530.000,hk00175,吉利汽车
2025-04-07,14.580,13.420,15.440,13.260,219238023.000,hk00175,吉利汽车
2025-04-08,13.720,13.960,14.180,13.580,131579782.000,hk00175,吉利汽车
2025-04-09,13.480,14.320,14.440,12.940,126659177.000,hk00175,吉利汽车
