date,open,high,low,close,volume,code,name
2024-11-29,7.160,7.130,7.330,7.120,6695704.000,hk01929,周大福
2024-12-02,7.100,7.280,7.280,6.920,12380236.000,hk01929,周大福
2024-12-03,7.210,7.190,7.310,7.060,10334586.000,hk01929,周大福
2024-12-04,7.190,7.150,7.280,7.100,6408778.000,hk01929,周大福
2024-12-05,7.100,6.990,7.120,6.950,12919299.000,hk01929,周大福
2024-12-06,7.000,7.040,7.180,6.970,8655143.000,hk01929,周大福
2024-12-09,7.040,7.230,7.230,6.920,11436051.000,hk01929,周大福
2024-12-10,7.380,7.020,7.410,6.980,14101110.000,hk01929,周大福
2024-12-11,7.030,7.050,7.160,6.990,6662094.000,hk01929,周大福
2024-12-12,7.050,7.140,7.250,6.960,12402387.000,hk01929,周大福
2024-12-13,7.060,6.890,7.100,6.890,10561517.000,hk01929,周大福
2024-12-16,6.890,6.680,6.930,6.620,10454906.000,hk01929,周大福
2024-12-17,6.680,6.580,6.720,6.520,7304271.000,hk01929,周大福
2024-12-18,6.600,6.670,6.710,6.600,3612595.000,hk01929,周大福
2024-12-19,6.670,6.600,6.670,6.560,7099835.000,hk01929,周大福
2024-12-20,6.600,6.610,6.750,6.580,13819572.000,hk01929,周大福
2024-12-23,6.680,6.690,6.720,6.650,4424262.000,hk01929,周大福
2024-12-24,6.770,6.740,6.770,6.690,1254200.000,hk01929,周大福
2024-12-27,6.720,6.620,6.760,6.610,9499415.000,hk01929,周大福
2024-12-30,6.700,6.660,6.720,6.480,10324357.000,hk01929,周大福
2024-12-31,6.660,6.730,6.830,6.660,4665082.000,hk01929,周大福
2025-01-02,6.730,6.510,6.730,6.500,6701790.000,hk01929,周大福
2025-01-03,6.500,6.610,6.630,6.480,9641156.000,hk01929,周大福
2025-01-06,6.690,6.650,6.790,6.520,10522823.000,hk01929,周大福
2025-01-07,6.600,6.720,6.840,6.600,8469601.000,hk01929,周大福
2025-01-08,6.720,6.710,6.780,6.680,5724616.000,hk01929,周大福
2025-01-09,6.770,6.660,6.790,6.660,4807076.000,hk01929,周大福
2025-01-10,6.750,6.620,6.760,6.600,5524728.000,hk01929,周大福
2025-01-13,6.620,6.600,6.630,6.430,8165568.000,hk01929,周大福
2025-01-14,6.640,6.790,6.810,6.570,5857178.000,hk01929,周大福
2025-01-15,6.790,6.800,6.830,6.720,4628567.000,hk01929,周大福
2025-01-16,6.800,6.800,6.920,6.710,6004032.000,hk01929,周大福
2025-01-17,6.820,6.770,6.880,6.680,5592100.000,hk01929,周大福
2025-01-20,6.800,6.940,7.050,6.800,9932017.000,hk01929,周大福
2025-01-21,7.020,7.060,7.060,6.920,4965585.000,hk01929,周大福
2025-01-22,7.050,6.760,7.050,6.760,6307369.000,hk01929,周大福
2025-01-23,6.760,6.760,6.860,6.730,7705821.000,hk01929,周大福
2025-01-24,6.760,6.940,6.980,6.760,3737735.000,hk01929,周大福
2025-01-27,6.940,6.780,7.070,6.750,5763197.000,hk01929,周大福
2025-01-28,6.850,7.010,7.010,6.760,2750800.000,hk01929,周大福
2025-02-03,6.930,6.920,6.980,6.670,6098632.000,hk01929,周大福
2025-02-04,7.030,7.030,7.090,6.880,8298570.000,hk01929,周大福
2025-02-05,7.020,7.100,7.110,6.880,17141378.000,hk01929,周大福
2025-02-06,7.100,7.360,7.390,7.090,17581301.000,hk01929,周大福
2025-02-07,7.400,7.490,7.530,7.340,15544673.000,hk01929,周大福
