date,open,high,low,close,volume,code,name
2024-11-29,1.450,1.490,1.520,1.450,289031628.000,hk00020,商汤
2024-12-02,1.490,1.500,1.510,1.470,221054619.000,hk00020,商汤
2024-12-03,1.500,1.500,1.510,1.460,246757357.000,hk00020,商汤
2024-12-04,1.510,1.490,1.530,1.470,292754023.000,hk00020,商汤
2024-12-05,1.490,1.490,1.520,1.480,195240411.000,hk00020,商汤
2024-12-06,1.490,1.710,1.740,1.470,1600549776.000,hk00020,商汤
2024-12-09,1.710,1.850,1.860,1.680,1487537364.000,hk00020,商汤
2024-12-10,1.910,1.600,1.920,1.600,1947475066.000,hk00020,商汤
2024-12-11,1.580,1.580,1.640,1.540,1290424476.000,hk00020,商汤
2024-12-12,1.590,1.560,1.620,1.560,746945652.000,hk00020,商汤
2024-12-13,1.550,1.550,1.560,1.490,833059463.000,hk00020,商汤
2024-12-16,1.540,1.490,1.540,1.480,630988241.000,hk00020,商汤
2024-12-17,1.480,1.480,1.500,1.460,342332759.000,hk00020,商汤
2024-12-18,1.490,1.510,1.530,1.490,279286815.000,hk00020,商汤
2024-12-19,1.480,1.510,1.580,1.480,923643570.000,hk00020,商汤
2024-12-20,1.510,1.500,1.540,1.500,373884317.000,hk00020,商汤
2024-12-23,1.510,1.480,1.520,1.480,230745703.000,hk00020,商汤
2024-12-24,1.480,1.480,1.500,1.470,166095142.000,hk00020,商汤
2024-12-27,1.490,1.530,1.560,1.480,616061168.000,hk00020,商汤
2024-12-30,1.540,1.510,1.550,1.510,315055180.000,hk00020,商汤
2024-12-31,1.510,1.490,1.520,1.490,158486000.000,hk00020,商汤
2025-01-02,1.490,1.410,1.490,1.410,445155342.000,hk00020,商汤
2025-01-03,1.420,1.330,1.430,1.330,675163550.000,hk00020,商汤
2025-01-06,1.340,1.330,1.380,1.320,341436000.000,hk00020,商汤
2025-01-07,1.310,1.330,1.340,1.260,760391069.000,hk00020,商汤
2025-01-08,1.330,1.310,1.340,1.280,249315476.000,hk00020,商汤
2025-01-09,1.300,1.310,1.350,1.300,266372900.000,hk00020,商汤
2025-01-10,1.320,1.280,1.340,1.280,352838828.000,hk00020,商汤
2025-01-13,1.270,1.300,1.300,1.260,220368248.000,hk00020,商汤
2025-01-14,1.300,1.340,1.370,1.300,366713200.000,hk00020,商汤
2025-01-15,1.350,1.330,1.390,1.320,381744275.000,hk00020,商汤
2025-01-16,1.350,1.360,1.390,1.340,290447218.000,hk00020,商汤
2025-01-17,1.360,1.370,1.400,1.360,281968861.000,hk00020,商汤
2025-01-20,1.400,1.410,1.440,1.390,417040078.000,hk00020,商汤
2025-01-21,1.420,1.440,1.450,1.400,376956120.000,hk00020,商汤
2025-01-22,1.420,1.410,1.450,1.390,298788532.000,hk00020,商汤
2025-01-23,1.420,1.430,1.480,1.420,372324884.000,hk00020,商汤
2025-01-24,1.440,1.520,1.540,1.430,804839306.000,hk00020,商汤
2025-01-27,1.550,1.630,1.730,1.550,2139920143.000,hk00020,商汤
2025-01-28,1.640,1.610,1.660,1.590,257742223.000,hk00020,商汤
2025-02-03,1.610,1.690,1.700,1.550,638716105.000,hk00020,商汤
2025-02-04,1.710,1.730,1.740,1.650,647299075.000,hk00020,商汤
2025-02-05,1.710,1.650,1.710,1.590,1032353667.000,hk00020,商汤
2025-02-06,1.640,1.720,1.720,1.630,887731402.000,hk00020,商汤
2025-02-07,1.730,1.730,1.800,1.680,1509148921.000,hk00020,商汤
2025-02-10,1.760,1.770,1.850,1.750,1591363694.000,hk00020,商汤
2025-02-11,1.780,1.710,1.800,1.680,915494813.000,hk00020,商汤
2025-02-12,1.720,1.720,1.740,1.670,882736749.000,hk00020,商汤
2025-02-13,1.740,1.690,1.820,1.670,1927608034.000,hk00020,商汤
2025-02-14,1.720,1.820,1.830,1.710,1838648288.000,hk00020,商汤
2025-02-17,1.870,1.830,1.900,1.780,1368847858.000,hk00020,商汤
2025-02-18,1.840,1.820,1.920,1.770,1720505252.000,hk00020,商汤
2025-02-19,1.840,1.830,1.840,1.770,673482387.000,hk00020,商汤
2025-02-20,1.810,1.730,1.820,1.730,827399866.000,hk00020,商汤
2025-02-21,1.780,1.880,1.900,1.750,1633224268.000,hk00020,商汤
2025-02-24,1.940,1.920,1.980,1.890,1611617329.000,hk00020,商汤
2025-02-25,1.830,1.810,1.880,1.790,1137058698.000,hk00020,商汤
2025-02-26,1.840,1.820,1.860,1.790,727957684.000,hk00020,商汤
2025-02-27,1.830,1.780,1.870,1.740,957369090.000,hk00020,商汤
2025-02-28,1.770,1.640,1.770,1.620,1198561660.000,hk00020,商汤
2025-03-03,1.680,1.640,1.690,1.600,667388128.000,hk00020,商汤
2025-03-04,1.560,1.640,1.660,1.560,529505954.000,hk00020,商汤
2025-03-05,1.660,1.680,1.690,1.630,515118094.000,hk00020,商汤
2025-03-06,1.720,1.780,1.810,1.720,1104182734.000,hk00020,商汤
2025-03-07,1.760,1.750,1.800,1.720,898222015.000,hk00020,商汤
2025-03-10,1.740,1.730,1.760,1.690,599524840.000,hk00020,商汤
2025-03-11,1.680,1.750,1.760,1.670,517239357.000,hk00020,商汤
2025-03-12,1.760,1.710,1.780,1.690,503387034.000,hk00020,商汤
2025-03-13,1.720,1.690,1.740,1.660,397787645.000,hk00020,商汤
2025-03-14,1.710,1.710,1.730,1.670,310258861.000,hk00020,商汤
2025-03-17,1.710,1.680,1.730,1.670,321169169.000,hk00020,商汤
2025-03-18,1.710,1.720,1.730,1.700,308647780.000,hk00020,商汤
2025-03-19,1.720,1.740,1.800,1.680,678186275.000,hk00020,商汤
2025-03-20,1.740,1.680,1.750,1.680,452127885.000,hk00020,商汤
2025-03-21,1.680,1.610,1.690,1.600,735266471.000,hk00020,商汤
2025-03-24,1.620,1.610,1.630,1.580,362160231.000,hk00020,商汤
2025-03-25,1.600,1.570,1.610,1.560,350175186.000,hk00020,商汤
2025-03-26,1.570,1.590,1.600,1.570,242959466.000,hk00020,商汤
2025-03-27,1.550,1.490,1.550,1.450,985940724.000,hk00020,商汤
2025-03-28,1.510,1.500,1.530,1.470,320091816.000,hk00020,商汤
2025-03-31,1.500,1.490,1.500,1.450,369943870.000,hk00020,商汤
2025-04-01,1.490,1.470,1.510,1.460,374798128.000,hk00020,商汤
2025-04-02,1.480,1.530,1.540,1.470,344080342.000,hk00020,商汤
2025-04-03,1.500,1.550,1.600,1.490,546937714.000,hk00020,商汤
2025-04-07,1.400,1.280,1.440,1.250,1237287944.000,hk00020,商汤
2025-04-08,1.310,1.310,1.350,1.250,828976041.000,hk00020,商汤
2025-04-09,1.270,1.360,1.380,1.240,662922528.000,hk00020,商汤
2025-04-10,1.410,1.410,1.450,1.390,641567560.000,hk00020,商汤
2025-04-11,1.410,1.420,1.440,1.390,382694728.000,hk00020,商汤
2025-04-14,1.450,1.470,1.510,1.450,437628000.000,hk00020,商汤
2025-04-15,1.480,1.450,1.490,1.430,231544857.000,hk00020,商汤
2025-04-16,1.440,1.400,1.440,1.390,315298103.000,hk00020,商汤
2025-04-17,1.400,1.400,1.420,1.390,240102001.000,hk00020,商汤
2025-04-22,1.410,1.430,1.430,1.390,204233008.000,hk00020,商汤
2025-04-23,1.470,1.430,1.470,1.430,324412226.000,hk00020,商汤
2025-04-24,1.440,1.430,1.450,1.400,226244525.000,hk00020,商汤
2025-04-25,1.450,1.420,1.470,1.420,268683125.000,hk00020,商汤
2025-04-28,1.430,1.450,1.450,1.400,187992053.000,hk00020,商汤
2025-04-29,1.450,1.460,1.480,1.440,240122178.000,hk00020,商汤
2025-04-30,1.490,1.500,1.530,1.470,381200522.000,hk00020,商汤
2025-05-02,1.500,1.550,1.560,1.480,268775460.000,hk00020,商汤
2025-05-06,1.550,1.530,1.560,1.510,262521128.000,hk00020,商汤
2025-05-07,1.560,1.520,1.580,1.520,289317941.000,hk00020,商汤
2025-05-08,1.520,1.520,1.550,1.510,182541001.000,hk00020,商汤
2025-05-09,1.520,1.490,1.520,1.480,172055304.000,hk00020,商汤
2025-05-12,1.520,1.560,1.580,1.500,480610683.000,hk00020,商汤
2025-05-13,1.570,1.510,1.580,1.500,371665635.000,hk00020,商汤
2025-05-14,1.530,1.490,1.530,1.480,241819502.000,hk00020,商汤
2025-05-15,1.490,1.460,1.510,1.450,282110883.000,hk00020,商汤
2025-05-16,1.440,1.450,1.460,1.440,186752737.000,hk00020,商汤
2025-05-19,1.440,1.430,1.450,1.420,219807011.000,hk00020,商汤
2025-05-20,1.440,1.420,1.450,1.410,203703000.000,hk00020,商汤
2025-05-21,1.430,1.410,1.440,1.410,219171531.000,hk00020,商汤
2025-05-22,1.410,1.400,1.420,1.400,138060977.000,hk00020,商汤
2025-05-23,1.400,1.400,1.420,1.390,222302788.000,hk00020,商汤
2025-05-26,1.400,1.400,1.420,1.370,252060624.000,hk00020,商汤
2025-05-27,1.400,1.390,1.410,1.380,148294192.000,hk00020,商汤
2025-05-28,1.390,1.380,1.400,1.380,106527764.000,hk00020,商汤
2025-05-29,1.380,1.420,1.430,1.370,238865742.000,hk00020,商汤
2025-05-30,1.410,1.400,1.420,1.390,112730610.000,hk00020,商汤
2025-06-02,1.390,1.380,1.390,1.330,270686010.000,hk00020,商汤
2025-06-03,1.380,1.370,1.410,1.360,217449321.000,hk00020,商汤
2025-06-04,1.370,1.360,1.390,1.360,243132396.000,hk00020,商汤
2025-06-05,1.370,1.400,1.420,1.370,320420842.000,hk00020,商汤
2025-06-06,1.400,1.400,1.410,1.360,599406577.000,hk00020,商汤
2025-06-09,1.410,1.470,1.500,1.400,712020625.000,hk00020,商汤
2025-06-10,1.480,1.460,1.480,1.420,426858119.000,hk00020,商汤
2025-06-11,1.460,1.470,1.490,1.450,325140374.000,hk00020,商汤
2025-06-12,1.460,1.470,1.480,1.430,372961467.000,hk00020,商汤
2025-06-13,1.460,1.410,1.470,1.400,475999034.000,hk00020,商汤
2025-06-16,1.410,1.500,1.510,1.400,661122978.000,hk00020,商汤
2025-06-17,1.500,1.470,1.500,1.460,259052677.000,hk00020,商汤
2025-06-18,1.470,1.450,1.470,1.440,154556498.000,hk00020,商汤
2025-06-19,1.450,1.420,1.460,1.400,231622750.000,hk00020,商汤
2025-06-20,1.420,1.410,1.440,1.400,237985368.000,hk00020,商汤
2025-06-23,1.400,1.420,1.420,1.380,188087111.000,hk00020,商汤
2025-06-24,1.430,1.460,1.460,1.430,204665161.000,hk00020,商汤
2025-06-25,1.470,1.470,1.480,1.450,320347121.000,hk00020,商汤
2025-06-26,1.470,1.470,1.490,1.440,420252068.000,hk00020,商汤
2025-06-27,1.480,1.460,1.540,1.460,586000854.000,hk00020,商汤
2025-06-30,1.470,1.490,1.510,1.470,262065063.000,hk00020,商汤
2025-07-02,1.500,1.460,1.500,1.450,300786254.000,hk00020,商汤
2025-07-03,1.470,1.470,1.480,1.450,153809619.000,hk00020,商汤
2025-07-04,1.470,1.510,1.530,1.440,567484908.000,hk00020,商汤
2025-07-07,1.500,1.490,1.510,1.470,219650185.000,hk00020,商汤
2025-07-08,1.490,1.510,1.530,1.490,346822282.000,hk00020,商汤
2025-07-09,1.510,1.500,1.530,1.490,204585294.000,hk00020,商汤
2025-07-10,1.500,1.500,1.510,1.480,160367651.000,hk00020,商汤
2025-07-11,1.500,1.600,1.680,1.490,1788721151.000,hk00020,商汤
2025-07-14,1.610,1.620,1.630,1.580,473480772.000,hk00020,商汤
2025-07-15,1.630,1.660,1.670,1.580,736157386.000,hk00020,商汤
2025-07-16,1.670,1.650,1.710,1.640,927775452.000,hk00020,商汤
2025-07-17,1.660,1.650,1.660,1.630,367353819.000,hk00020,商汤
2025-07-18,1.660,1.660,1.680,1.640,322510830.000,hk00020,商汤
2025-07-21,1.660,1.640,1.670,1.620,357971876.000,hk00020,商汤
2025-07-22,1.640,1.600,1.640,1.580,393564079.000,hk00020,商汤
2025-07-23,1.600,1.600,1.640,1.600,625993629.000,hk00020,商汤
2025-07-24,1.580,1.730,1.750,1.550,1713687674.000,hk00020,商汤
2025-07-25,1.740,1.750,1.780,1.670,1258461688.000,hk00020,商汤
2025-07-28,1.770,1.640,1.780,1.620,1559720198.000,hk00020,商汤
2025-07-29,1.640,1.600,1.640,1.580,787504000.000,hk00020,商汤
2025-07-30,1.590,1.590,1.620,1.570,621643570.000,hk00020,商汤
2025-07-31,1.590,1.600,1.630,1.580,490612264.000,hk00020,商汤
2025-08-01,1.610,1.560,1.620,1.550,421395500.000,hk00020,商汤
2025-08-04,1.550,1.600,1.600,1.530,269424328.000,hk00020,商汤
2025-08-05,1.610,1.610,1.620,1.590,363093661.000,hk00020,商汤
2025-08-06,1.610,1.640,1.640,1.600,401095884.000,hk00020,商汤
2025-08-07,1.650,1.640,1.650,1.610,375902372.000,hk00020,商汤
2025-08-08,1.630,1.620,1.640,1.600,284260706.000,hk00020,商汤
2025-08-11,1.620,1.630,1.630,1.590,239629133.000,hk00020,商汤
2025-08-12,1.630,1.650,1.680,1.600,466926308.000,hk00020,商汤
2025-08-13,1.680,1.680,1.710,1.660,751395873.000,hk00020,商汤
2025-08-14,1.680,1.700,1.740,1.670,803793510.000,hk00020,商汤
2025-08-15,1.700,1.730,1.740,1.680,657797887.000,hk00020,商汤
2025-08-18,1.740,1.820,1.870,1.730,1809788372.000,hk00020,商汤
2025-08-19,1.830,1.790,1.830,1.770,688557566.000,hk00020,商汤
2025-08-20,1.780,1.750,1.780,1.710,650664343.000,hk00020,商汤
2025-08-21,1.760,1.740,1.770,1.710,421860743.000,hk00020,商汤
2025-08-22,1.750,1.840,1.850,1.730,1103865664.000,hk00020,商汤
2025-08-25,1.860,1.890,1.910,1.840,1452669650.000,hk00020,商汤
2025-08-26,1.890,1.910,1.970,1.870,1181195014.000,hk00020,商汤
2025-08-27,1.950,2.080,2.190,1.930,3400974222.000,hk00020,商汤
2025-08-28,2.080,2.090,2.100,2.000,1671718104.000,hk00020,商汤
