date,open,high,low,close,volume,code,name
2024-11-29,76.000,76.900,77.900,75.500,11849151.000,hk02020,安踏体育
2024-12-02,77.000,78.200,78.750,76.300,7840910.000,hk02020,安踏体育
2024-12-03,78.200,77.750,78.300,76.850,9570602.000,hk02020,安踏体育
2024-12-04,77.350,77.800,78.350,76.300,8296048.000,hk02020,安踏体育
2024-12-05,77.000,77.050,77.900,76.250,6037701.000,hk02020,安踏体育
2024-12-06,77.550,79.450,79.900,77.050,16453906.000,hk02020,安踏体育
2024-12-09,79.750,83.750,84.450,79.550,14734805.000,hk02020,安踏体育
2024-12-10,90.000,83.000,90.050,82.900,18232475.000,hk02020,安踏体育
2024-12-11,83.000,82.450,84.850,82.100,6452192.000,hk02020,安踏体育
2024-12-12,82.000,84.500,86.300,81.900,9859947.000,hk02020,安踏体育
2024-12-13,82.900,81.450,83.800,81.200,8199669.000,hk02020,安踏体育
2024-12-16,81.250,81.350,82.950,80.900,4372226.000,hk02020,安踏体育
2024-12-17,80.450,80.700,82.700,79.750,6561917.000,hk02020,安踏体育
2024-12-18,81.350,78.950,81.950,78.100,13495593.000,hk02020,安踏体育
2024-12-19,78.800,79.000,80.500,77.700,11001964.000,hk02020,安踏体育
2024-12-20,79.800,80.400,81.150,79.650,8610936.000,hk02020,安踏体育
2024-12-23,80.600,80.000,81.650,79.750,4357279.000,hk02020,安踏体育
2024-12-24,80.000,80.500,81.150,79.400,2102824.000,hk02020,安踏体育
2024-12-27,80.950,80.000,81.300,79.350,5206081.000,hk02020,安踏体育
2024-12-30,81.250,78.000,81.300,77.050,11958418.000,hk02020,安踏体育
2024-12-31,77.450,77.850,79.000,77.200,3324130.000,hk02020,安踏体育
2025-01-02,77.300,76.150,77.750,75.800,7474610.000,hk02020,安踏体育
2025-01-03,76.150,75.950,77.750,75.250,5813404.000,hk02020,安踏体育
2025-01-06,76.350,75.150,76.450,74.200,7471876.000,hk02020,安踏体育
2025-01-07,74.250,76.600,76.700,74.250,8698214.000,hk02020,安踏体育
2025-01-08,77.000,75.250,77.200,74.750,9683738.000,hk02020,安踏体育
2025-01-09,77.600,78.600,80.050,77.000,16611370.000,hk02020,安踏体育
2025-01-10,80.000,78.100,80.000,77.900,14707331.000,hk02020,安踏体育
2025-01-13,79.050,78.000,79.050,76.350,8066709.000,hk02020,安踏体育
2025-01-14,77.150,78.500,79.700,76.200,7188063.000,hk02020,安踏体育
2025-01-15,78.600,78.250,79.800,77.650,6907964.000,hk02020,安踏体育
2025-01-16,78.600,79.200,80.450,78.000,8500062.000,hk02020,安踏体育
2025-01-17,79.250,78.100,79.300,77.100,5017120.000,hk02020,安踏体育
2025-01-20,79.100,81.050,82.850,79.100,9123863.000,hk02020,安踏体育
2025-01-21,82.700,81.750,83.550,81.250,6063201.000,hk02020,安踏体育
2025-01-22,81.750,80.800,83.200,80.500,5077556.000,hk02020,安踏体育
2025-01-23,81.300,78.500,82.200,77.800,9930998.000,hk02020,安踏体育
2025-01-24,78.700,81.500,82.600,78.550,8300157.000,hk02020,安踏体育
2025-01-27,81.700,82.150,82.900,81.250,4873557.000,hk02020,安踏体育
2025-01-28,82.450,82.550,82.550,80.950,920927.000,hk02020,安踏体育
2025-02-03,79.600,82.350,82.450,78.850,5704799.000,hk02020,安踏体育
2025-02-04,83.000,85.150,85.550,82.650,6319525.000,hk02020,安踏体育
2025-02-05,84.250,82.250,84.250,81.400,7464552.000,hk02020,安踏体育
2025-02-06,82.800,83.850,83.850,82.200,4998770.000,hk02020,安踏体育
2025-02-07,84.300,86.000,87.500,83.700,15439586.000,hk02020,安踏体育
2025-02-10,85.550,86.700,87.350,85.250,9632781.000,hk02020,安踏体育
2025-02-11,86.650,85.300,86.650,84.750,12933469.000,hk02020,安踏体育
2025-02-12,85.500,83.950,85.950,83.050,15181835.000,hk02020,安踏体育
2025-02-13,83.950,84.650,87.550,83.300,12980701.000,hk02020,安踏体育
2025-02-14,85.600,88.150,88.450,85.600,11714013.000,hk02020,安踏体育
2025-02-17,86.050,85.150,88.000,84.250,13768074.000,hk02020,安踏体育
2025-02-18,86.000,84.950,86.100,83.850,10438374.000,hk02020,安踏体育
2025-02-19,84.700,84.250,85.850,83.300,8441045.000,hk02020,安踏体育
2025-02-20,83.400,82.750,84.600,81.800,8733904.000,hk02020,安踏体育
2025-02-21,83.400,83.400,83.800,81.600,8329101.000,hk02020,安踏体育
2025-02-24,83.400,86.600,87.450,82.100,16834037.000,hk02020,安踏体育
2025-02-25,85.200,85.300,86.300,84.500,7667469.000,hk02020,安踏体育
2025-02-26,86.000,86.150,87.950,85.600,17498146.000,hk02020,安踏体育
2025-02-27,85.800,88.650,90.950,85.550,20304449.000,hk02020,安踏体育
2025-02-28,89.800,87.300,91.850,86.400,22803152.000,hk02020,安踏体育
2025-03-03,87.650,90.100,92.450,87.650,25926572.000,hk02020,安踏体育
2025-03-04,88.950,90.300,90.550,87.350,10022041.000,hk02020,安踏体育
2025-03-05,90.800,92.250,92.450,89.800,10789359.000,hk02020,安踏体育
2025-03-06,92.300,95.100,95.350,91.850,17015050.000,hk02020,安踏体育
2025-03-07,95.150,98.200,102.400,94.600,33899118.000,hk02020,安踏体育
2025-03-10,97.550,96.150,97.800,94.550,15856986.000,hk02020,安踏体育
2025-03-11,95.000,97.800,98.350,94.000,11068035.000,hk02020,安踏体育
2025-03-12,98.400,98.150,101.600,96.750,20449024.000,hk02020,安踏体育
2025-03-13,96.650,94.850,97.850,93.600,13003735.000,hk02020,安踏体育
2025-03-14,94.850,99.900,100.000,94.750,18897144.000,hk02020,安踏体育
2025-03-17,100.900,99.150,102.200,98.050,12554058.000,hk02020,安踏体育
2025-03-18,100.900,101.900,102.900,99.250,11738880.000,hk02020,安踏体育
2025-03-19,101.900,97.900,103.800,94.350,28503855.000,hk02020,安踏体育
2025-03-20,97.000,93.150,97.150,92.600,26096448.000,hk02020,安踏体育
2025-03-21,92.500,89.150,92.600,88.650,24788303.000,hk02020,安踏体育
2025-03-24,89.150,89.200,89.550,86.250,17686645.000,hk02020,安踏体育
2025-03-25,87.450,87.200,89.050,86.250,12787362.000,hk02020,安踏体育
2025-03-26,87.400,88.050,88.300,86.400,8745716.000,hk02020,安踏体育
2025-03-27,88.050,89.500,90.550,87.150,9871134.000,hk02020,安踏体育
2025-03-28,90.650,88.300,90.650,87.600,6817294.000,hk02020,安踏体育
2025-03-31,87.450,85.400,88.000,84.700,14939999.000,hk02020,安踏体育
2025-04-01,86.150,86.300,86.750,84.950,11056186.000,hk02020,安踏体育
2025-04-02,85.900,86.200,87.400,84.750,5937144.000,hk02020,安踏体育
2025-04-03,84.300,85.300,85.800,83.650,6402901.000,hk02020,安踏体育
2025-04-07,78.200,75.500,80.750,75.200,26795099.000,hk02020,安踏体育
2025-04-08,75.100,77.050,78.350,75.100,18367017.000,hk02020,安踏体育
2025-04-09,75.900,80.250,81.050,73.550,21930858.000,hk02020,安踏体育
2025-04-10,80.450,81.550,84.250,80.000,17135628.000,hk02020,安踏体育
2025-04-11,82.950,83.850,84.750,82.100,15549238.000,hk02020,安踏体育
2025-04-14,85.000,85.600,86.500,83.700,13265013.000,hk02020,安踏体育
2025-04-15,85.800,87.650,88.700,85.800,12139148.000,hk02020,安踏体育
2025-04-16,88.000,87.400,88.350,86.050,10787439.000,hk02020,安踏体育
2025-04-17,87.000,89.900,90.500,86.300,14981681.000,hk02020,安踏体育
2025-04-22,90.750,89.850,91.000,87.200,12946292.000,hk02020,安踏体育
2025-04-23,91.050,92.050,92.800,90.450,10621795.000,hk02020,安踏体育
2025-04-24,91.850,91.200,92.800,90.000,8704193.000,hk02020,安踏体育
2025-04-25,90.100,92.400,94.000,90.100,12101875.000,hk02020,安踏体育
2025-04-28,92.800,91.450,92.800,90.100,5304550.000,hk02020,安踏体育
2025-04-29,91.450,91.050,92.000,90.550,6380615.000,hk02020,安踏体育
2025-04-30,90.700,91.950,92.300,89.750,5661752.000,hk02020,安踏体育
2025-05-02,90.100,92.900,93.250,89.750,2832627.000,hk02020,安踏体育
2025-05-06,92.350,91.600,92.800,91.050,6035380.000,hk02020,安踏体育
2025-05-07,93.650,93.300,93.900,92.350,8647509.000,hk02020,安踏体育
2025-05-08,91.100,93.600,94.500,91.100,5727393.000,hk02020,安踏体育
2025-05-09,95.300,94.050,95.700,93.250,6024929.000,hk02020,安踏体育
2025-05-12,93.800,94.700,96.350,93.000,9563597.000,hk02020,安踏体育
2025-05-13,93.700,91.300,94.000,90.650,8713326.000,hk02020,安踏体育
