date,open,high,low,close,volume,code,name
2024-11-29,27.850,27.750,28.250,27.250,116296536.000,hk01810,小米集团
2024-12-02,28.250,28.550,28.750,27.900,130374633.000,hk01810,小米集团
2024-12-03,28.850,29.100,29.450,28.550,169130914.000,hk01810,小米集团
2024-12-04,29.400,29.100,29.550,28.850,112163595.000,hk01810,小米集团
2024-12-05,28.950,29.450,29.600,28.800,106667106.000,hk01810,小米集团
2024-12-06,29.500,29.900,29.950,29.250,189456485.000,hk01810,小米集团
2024-12-09,29.950,30.950,31.000,29.450,223798144.000,hk01810,小米集团
2024-12-10,32.150,30.950,32.150,30.800,193229427.000,hk01810,小米集团
2024-12-11,31.450,30.450,31.500,30.200,123085951.000,hk01810,小米集团
2024-12-12,30.650,31.600,31.800,30.450,145098808.000,hk01810,小米集团
2024-12-13,31.400,31.350,32.150,31.050,157878633.000,hk01810,小米集团
2024-12-16,31.500,30.350,31.650,30.050,140659846.000,hk01810,小米集团
2024-12-17,30.550,29.950,30.750,29.600,133233564.000,hk01810,小米集团
2024-12-18,30.450,30.800,30.900,30.050,86680411.000,hk01810,小米集团
2024-12-19,30.200,30.800,31.050,30.000,85886142.000,hk01810,小米集团
2024-12-20,30.700,31.650,32.100,30.700,204413958.000,hk01810,小米集团
2024-12-23,32.000,31.750,32.250,31.450,97720054.000,hk01810,小米集团
2024-12-24,31.850,32.750,32.900,31.550,107767035.000,hk01810,小米集团
2024-12-27,33.500,34.150,34.950,33.350,263910660.000,hk01810,小米集团
2024-12-30,34.650,34.450,34.950,33.700,156035423.000,hk01810,小米集团
2024-12-31,34.450,34.500,34.800,34.050,57271083.000,hk01810,小米集团
2025-01-02,34.800,34.000,34.800,33.400,182385452.000,hk01810,小米集团
2025-01-03,34.450,36.250,36.300,34.000,338723918.000,hk01810,小米集团
2025-01-06,35.900,36.300,36.850,35.650,166161841.000,hk01810,小米集团
2025-01-07,36.050,34.150,36.100,32.750,432841993.000,hk01810,小米集团
2025-01-08,33.700,32.800,34.150,32.200,298899129.000,hk01810,小米集团
2025-01-09,32.700,33.750,34.300,32.650,171639459.000,hk01810,小米集团
2025-01-10,33.750,33.550,34.500,33.400,122895840.000,hk01810,小米集团
2025-01-13,33.200,32.800,33.500,32.300,126426992.000,hk01810,小米集团
2025-01-14,32.750,33.750,34.150,32.750,122182323.000,hk01810,小米集团
2025-01-15,33.750,33.600,34.000,33.350,79201609.000,hk01810,小米集团
2025-01-16,34.100,34.350,34.800,33.550,137814016.000,hk01810,小米集团
2025-01-17,34.400,34.950,35.000,34.100,94838569.000,hk01810,小米集团
2025-01-20,35.650,34.700,35.800,34.300,166721242.000,hk01810,小米集团
2025-01-21,35.000,35.900,36.100,34.750,136275839.000,hk01810,小米集团
2025-01-22,36.000,35.300,36.200,35.200,106122696.000,hk01810,小米集团
2025-01-23,35.700,34.500,35.750,34.250,124771415.000,hk01810,小米集团
2025-01-24,34.750,36.850,37.300,34.500,288470060.000,hk01810,小米集团
2025-01-27,37.650,37.100,37.650,36.550,154106703.000,hk01810,小米集团
2025-01-28,37.850,38.300,38.450,37.550,84927933.000,hk01810,小米集团
2025-02-03,38.900,37.950,39.200,37.200,143592266.000,hk01810,小米集团
2025-02-04,38.700,39.550,40.100,38.500,141166344.000,hk01810,小米集团
2025-02-05,39.950,39.650,39.950,38.700,165406601.000,hk01810,小米集团
2025-02-06,39.800,40.550,40.700,39.400,174418873.000,hk01810,小米集团
2025-02-07,40.700,42.450,43.050,40.550,282921470.000,hk01810,小米集团
2025-02-10,42.700,43.750,43.950,42.150,178623301.000,hk01810,小米集团
2025-02-11,44.000,42.550,44.300,42.250,210014328.000,hk01810,小米集团
2025-02-12,43.900,44.100,44.550,42.650,196220080.000,hk01810,小米集团
2025-02-13,43.900,41.650,44.600,41.200,382423053.000,hk01810,小米集团
2025-02-14,42.400,44.700,44.900,42.050,349956076.000,hk01810,小米集团
2025-02-17,45.000,45.150,45.450,43.550,273310085.000,hk01810,小米集团
2025-02-18,45.150,48.400,48.400,44.700,325734161.000,hk01810,小米集团
2025-02-19,48.000,49.450,49.500,47.000,243337561.000,hk01810,小米集团
2025-02-20,49.450,49.150,50.900,48.000,275542159.000,hk01810,小米集团
2025-02-21,50.050,51.700,51.950,49.700,308362585.000,hk01810,小米集团
2025-02-24,52.200,51.600,52.350,51.050,208345620.000,hk01810,小米集团
2025-02-25,49.800,53.200,53.900,49.800,332349383.000,hk01810,小米集团
2025-02-26,54.250,56.300,56.800,53.100,395453828.000,hk01810,小米集团
2025-02-27,56.600,53.100,58.700,51.400,842011809.000,hk01810,小米集团
2025-02-28,55.750,51.850,55.750,50.650,667093154.000,hk01810,小米集团
2025-03-03,52.900,50.950,53.000,49.550,466253103.000,hk01810,小米集团
2025-03-04,49.050,50.550,51.600,48.650,338725813.000,hk01810,小米集团
2025-03-05,52.000,54.200,54.200,51.300,337625486.000,hk01810,小米集团
2025-03-06,55.300,54.900,56.300,53.850,375438239.000,hk01810,小米集团
2025-03-07,54.600,54.350,55.500,53.100,355629253.000,hk01810,小米集团
2025-03-10,54.000,52.850,54.500,52.350,223961425.000,hk01810,小米集团
2025-03-11,50.850,53.900,54.000,50.700,223343033.000,hk01810,小米集团
2025-03-12,53.850,52.050,54.700,51.500,241938609.000,hk01810,小米集团
2025-03-13,52.050,52.850,53.400,51.600,187000372.000,hk01810,小米集团
2025-03-14,53.000,53.850,54.600,52.550,229901198.000,hk01810,小米集团
2025-03-17,54.350,55.800,55.800,53.300,221496225.000,hk01810,小米集团
2025-03-18,56.750,57.650,57.950,56.150,258147732.000,hk01810,小米集团
2025-03-19,57.000,58.200,59.450,56.400,371387356.000,hk01810,小米集团
2025-03-20,58.000,56.500,58.650,56.100,254323500.000,hk01810,小米集团
2025-03-21,56.600,54.700,56.850,54.050,271392247.000,hk01810,小米集团
2025-03-24,55.250,57.000,57.100,54.900,206959960.000,hk01810,小米集团
2025-03-25,53.850,53.400,55.000,53.250,1341045814.000,hk01810,小米集团
2025-03-26,53.500,53.950,54.300,53.500,180066074.000,hk01810,小米集团
2025-03-27,53.900,51.700,54.050,51.400,359693846.000,hk01810,小米集团
2025-03-28,51.000,51.050,52.150,49.600,369242633.000,hk01810,小米集团
2025-03-31,50.150,49.200,50.700,48.450,342788934.000,hk01810,小米集团
2025-04-01,49.400,46.500,50.000,46.100,590405454.000,hk01810,小米集团
2025-04-02,46.000,44.550,47.500,44.400,635758232.000,hk01810,小米集团
2025-04-03,43.800,45.900,46.600,43.450,449295312.000,hk01810,小米集团
2025-04-07,40.200,36.450,43.250,36.050,1037869822.000,hk01810,小米集团
2025-04-08,38.550,38.900,39.850,37.450,715006887.000,hk01810,小米集团
2025-04-09,37.800,41.900,42.400,36.600,679302084.000,hk01810,小米集团
2025-04-10,44.800,43.050,45.000,42.600,526260423.000,hk01810,小米集团
2025-04-11,42.750,44.250,45.450,42.150,357167818.000,hk01810,小米集团
2025-04-14,45.200,43.200,45.450,42.250,422983277.000,hk01810,小米集团
2025-04-15,43.750,43.100,43.850,42.050,164977321.000,hk01810,小米集团
2025-04-16,42.500,41.250,42.950,40.200,315328932.000,hk01810,小米集团
2025-04-17,41.250,41.950,42.250,40.500,190654146.000,hk01810,小米集团
2025-04-22,42.450,44.400,44.700,42.200,280722543.000,hk01810,小米集团
2025-04-23,46.750,47.450,47.950,45.700,365404799.000,hk01810,小米集团
2025-04-24,48.000,48.200,48.700,46.950,238445758.000,hk01810,小米集团
2025-04-25,48.550,47.700,48.650,47.050,166617135.000,hk01810,小米集团
2025-04-28,48.000,47.500,48.350,47.200,90590615.000,hk01810,小米集团
2025-04-29,47.950,47.450,47.950,47.000,101336853.000,hk01810,小米集团
2025-04-30,47.250,49.950,50.000,46.800,241882505.000,hk01810,小米集团
2025-05-02,50.500,53.100,53.100,50.000,140470309.000,hk01810,小米集团
2025-05-06,53.100,51.550,53.150,51.400,187805038.000,hk01810,小米集团
2025-05-07,52.600,50.100,53.500,50.050,236141700.000,hk01810,小米集团
2025-05-08,49.800,50.800,51.900,49.650,154551212.000,hk01810,小米集团
2025-05-09,51.100,51.350,51.450,50.250,99875196.000,hk01810,小米集团
2025-05-12,51.450,50.600,51.450,48.400,356285408.000,hk01810,小米集团
2025-05-13,50.800,48.650,50.800,48.200,220529075.000,hk01810,小米集团
2025-05-14,49.150,50.400,50.450,48.650,174012139.000,hk01810,小米集团
2025-05-15,50.400,50.150,51.900,49.700,155216057.000,hk01810,小米集团
2025-05-16,50.000,51.000,51.300,49.800,121417523.000,hk01810,小米集团
2025-05-19,50.300,52.350,52.450,49.000,217541110.000,hk01810,小米集团
2025-05-20,53.000,54.800,54.800,52.800,228019851.000,hk01810,小米集团
2025-05-21,54.950,54.450,55.700,53.700,189822108.000,hk01810,小米集团
2025-05-22,54.700,53.200,55.000,52.850,199909799.000,hk01810,小米集团
2025-05-23,53.200,53.000,53.900,51.950,154706274.000,hk01810,小米集团
2025-05-26,52.600,51.300,52.800,51.050,146415432.000,hk01810,小米集团
2025-05-27,51.000,51.550,52.100,50.500,125291611.000,hk01810,小米集团
2025-05-28,52.750,51.750,53.300,51.500,202977342.000,hk01810,小米集团
2025-05-29,51.750,51.700,52.450,51.050,141573959.000,hk01810,小米集团
2025-05-30,51.000,50.950,51.350,49.800,206927837.000,hk01810,小米集团
2025-06-02,50.000,51.600,51.900,49.600,90313999.000,hk01810,小米集团
2025-06-03,52.200,53.200,53.300,51.650,166500674.000,hk01810,小米集团
2025-06-04,53.500,53.450,54.700,52.850,176765410.000,hk01810,小米集团
2025-06-05,54.000,54.250,54.250,53.300,130837735.000,hk01810,小米集团
2025-06-06,54.500,53.100,54.500,52.800,125424396.000,hk01810,小米集团
2025-06-09,53.700,54.150,54.250,52.850,122376420.000,hk01810,小米集团
2025-06-10,54.700,53.450,54.700,52.850,115707297.000,hk01810,小米集团
2025-06-11,53.450,54.100,54.800,53.350,147412093.000,hk01810,小米集团
2025-06-12,53.500,52.200,53.950,52.050,142552461.000,hk01810,小米集团
