date,open,high,low,close,volume,code,name
2024-11-29,45.700,46.450,47.250,45.500,15442589.000,hk09868,小鹏汽车
2024-12-02,47.100,48.800,49.600,47.100,23121528.000,hk09868,小鹏汽车
2024-12-03,48.950,48.750,49.250,47.400,18094440.000,hk09868,小鹏汽车
2024-12-04,49.250,50.000,50.950,49.000,20338580.000,hk09868,小鹏汽车
2024-12-05,49.900,49.950,50.750,49.500,13023939.000,hk09868,小鹏汽车
2024-12-06,49.500,50.050,50.500,48.650,16074507.000,hk09868,小鹏汽车
2024-12-09,49.000,52.450,52.550,48.300,22981454.000,hk09868,小鹏汽车
2024-12-10,55.700,51.500,55.800,51.300,24189055.000,hk09868,小鹏汽车
2024-12-11,51.500,50.700,52.500,50.250,10867888.000,hk09868,小鹏汽车
2024-12-12,50.700,50.800,51.600,49.500,14707240.000,hk09868,小鹏汽车
2024-12-13,50.100,47.800,50.200,47.600,18483851.000,hk09868,小鹏汽车
2024-12-16,48.000,48.000,48.600,47.250,9388917.000,hk09868,小鹏汽车
2024-12-17,47.850,48.150,49.400,47.650,10738499.000,hk09868,小鹏汽车
2024-12-18,50.050,50.100,50.200,49.000,11767509.000,hk09868,小鹏汽车
2024-12-19,48.600,48.500,49.150,48.250,10866871.000,hk09868,小鹏汽车
2024-12-20,49.100,48.600,49.600,48.500,11831301.000,hk09868,小鹏汽车
2024-12-23,49.150,49.000,49.450,48.250,6910363.000,hk09868,小鹏汽车
2024-12-24,49.000,50.100,50.400,49.000,6507216.000,hk09868,小鹏汽车
2024-12-27,51.150,49.350,51.500,48.500,18238061.000,hk09868,小鹏汽车
2024-12-30,49.000,46.500,49.400,46.150,21405373.000,hk09868,小鹏汽车
2024-12-31,46.100,46.650,46.900,45.850,8550909.000,hk09868,小鹏汽车
2025-01-02,46.200,45.000,46.300,44.900,15223870.000,hk09868,小鹏汽车
2025-01-03,45.100,44.700,46.350,44.000,17555608.000,hk09868,小鹏汽车
2025-01-06,45.600,46.200,47.050,45.150,17200737.000,hk09868,小鹏汽车
2025-01-07,45.800,47.450,47.900,45.150,22499179.000,hk09868,小鹏汽车
2025-01-08,49.650,48.550,49.900,47.600,30741520.000,hk09868,小鹏汽车
2025-01-09,47.700,46.800,47.800,46.400,12142501.000,hk09868,小鹏汽车
2025-01-10,47.500,46.600,48.050,46.250,7257056.000,hk09868,小鹏汽车
2025-01-13,47.250,46.650,47.250,45.800,10814135.000,hk09868,小鹏汽车
2025-01-14,46.200,50.600,50.650,45.750,29605172.000,hk09868,小鹏汽车
2025-01-15,49.350,50.100,50.400,48.850,16233842.000,hk09868,小鹏汽车
2025-01-16,51.200,53.600,53.800,50.950,30170666.000,hk09868,小鹏汽车
2025-01-17,53.600,54.200,54.700,53.150,12295810.000,hk09868,小鹏汽车
2025-01-20,54.800,56.350,56.650,54.650,18288153.000,hk09868,小鹏汽车
2025-01-21,57.350,59.700,59.850,55.800,30225267.000,hk09868,小鹏汽车
2025-01-22,58.150,57.850,59.350,57.300,17371182.000,hk09868,小鹏汽车
2025-01-23,57.200,55.750,58.100,55.100,18336928.000,hk09868,小鹏汽车
2025-01-24,55.750,57.200,57.700,55.450,10884315.000,hk09868,小鹏汽车
2025-01-27,57.200,58.150,60.050,57.000,16746907.000,hk09868,小鹏汽车
2025-01-28,59.600,59.000,59.600,57.850,2265404.000,hk09868,小鹏汽车
2025-02-03,57.900,58.450,58.750,55.200,10314978.000,hk09868,小鹏汽车
2025-02-04,61.350,65.700,67.200,60.950,21546180.000,hk09868,小鹏汽车
2025-02-05,65.000,64.850,65.650,62.750,19533103.000,hk09868,小鹏汽车
2025-02-06,65.400,67.300,67.500,64.000,19956572.000,hk09868,小鹏汽车
2025-02-07,67.800,68.450,69.350,65.700,34044749.000,hk09868,小鹏汽车
2025-02-10,66.400,67.750,68.150,64.700,26785118.000,hk09868,小鹏汽车
2025-02-11,65.300,61.650,65.300,61.550,46420378.000,hk09868,小鹏汽车
2025-02-12,61.100,62.350,63.250,60.500,23892992.000,hk09868,小鹏汽车
2025-02-13,62.450,60.600,64.300,60.050,33914311.000,hk09868,小鹏汽车
2025-02-14,62.000,64.200,64.350,62.000,27085407.000,hk09868,小鹏汽车
2025-02-17,65.000,66.550,67.950,64.150,25367878.000,hk09868,小鹏汽车
2025-02-18,67.550,68.350,69.900,66.400,21356846.000,hk09868,小鹏汽车
2025-02-19,69.600,71.100,72.650,67.450,28089172.000,hk09868,小鹏汽车
2025-02-20,70.600,68.150,72.000,67.850,18268381.000,hk09868,小鹏汽车
2025-02-21,69.700,71.900,72.200,68.650,21489135.000,hk09868,小鹏汽车
2025-02-24,71.900,72.250,74.600,70.400,22730525.000,hk09868,小鹏汽车
2025-02-25,70.250,75.450,77.850,69.000,39492032.000,hk09868,小鹏汽车
2025-02-26,75.700,81.700,83.100,75.600,43617595.000,hk09868,小鹏汽车
2025-02-27,88.000,86.750,90.000,83.550,54478640.000,hk09868,小鹏汽车
2025-02-28,86.750,79.800,86.950,79.250,46948283.000,hk09868,小鹏汽车
2025-03-03,83.800,81.350,86.000,80.450,37669292.000,hk09868,小鹏汽车
2025-03-04,78.150,78.900,80.900,75.850,30236122.000,hk09868,小鹏汽车
