date,open,high,low,close,volume,code,name
2024-11-29,4.580,4.560,4.580,4.520,306946648.000,hk01398,工商银行
2024-12-02,4.570,4.610,4.640,4.530,252357215.000,hk01398,工商银行
2024-12-03,4.610,4.720,4.740,4.600,321229219.000,hk01398,工商银行
2024-12-04,4.700,4.730,4.750,4.680,174243325.000,hk01398,工商银行
2024-12-05,4.700,4.680,4.740,4.670,208232805.000,hk01398,工商银行
2024-12-06,4.720,4.750,4.770,4.700,419234215.000,hk01398,工商银行
2024-12-09,4.730,4.820,4.830,4.700,325811590.000,hk01398,工商银行
2024-12-10,4.880,4.820,4.880,4.810,344197912.000,hk01398,工商银行
2024-12-11,4.840,4.790,4.870,4.780,164284563.000,hk01398,工商银行
2024-12-12,4.820,4.840,4.870,4.800,188294947.000,hk01398,工商银行
2024-12-13,4.810,4.780,4.830,4.760,197236819.000,hk01398,工商银行
2024-12-16,4.790,4.860,4.890,4.790,310957879.000,hk01398,工商银行
2024-12-17,4.840,4.850,4.930,4.800,377025753.000,hk01398,工商银行
2024-12-18,4.850,4.860,4.920,4.830,298163184.000,hk01398,工商银行
2024-12-19,4.820,4.820,4.850,4.780,284275221.000,hk01398,工商银行
2024-12-20,4.820,4.840,4.900,4.810,400763653.000,hk01398,工商银行
2024-12-23,4.880,5.080,5.080,4.870,873259229.000,hk01398,工商银行
2024-12-24,5.070,5.150,5.190,5.030,423790658.000,hk01398,工商银行
2024-12-27,5.150,5.160,5.200,5.090,333083324.000,hk01398,工商银行
2024-12-30,5.190,5.170,5.220,5.140,344501702.000,hk01398,工商银行
2024-12-31,5.170,5.210,5.230,5.150,312522826.000,hk01398,工商银行
2025-01-02,5.050,4.850,5.050,4.840,774929300.000,hk01398,工商银行
2025-01-03,4.850,4.890,4.900,4.790,601250620.000,hk01398,工商银行
2025-01-06,4.920,4.890,4.940,4.860,305520227.000,hk01398,工商银行
2025-01-07,4.860,4.910,4.940,4.840,468886095.000,hk01398,工商银行
2025-01-08,4.900,4.940,5.020,4.880,398425139.000,hk01398,工商银行
2025-01-09,4.950,4.880,4.970,4.870,281961026.000,hk01398,工商银行
2025-01-10,4.920,4.870,4.950,4.850,202781568.000,hk01398,工商银行
2025-01-13,4.850,4.850,4.870,4.750,241776144.000,hk01398,工商银行
2025-01-14,4.840,4.880,4.890,4.810,258474174.000,hk01398,工商银行
2025-01-15,4.880,4.930,4.960,4.860,211070324.000,hk01398,工商银行
2025-01-16,4.970,5.000,5.000,4.920,236741633.000,hk01398,工商银行
2025-01-17,5.000,4.920,5.010,4.880,236558283.000,hk01398,工商银行
2025-01-20,4.970,5.000,5.020,4.940,234679485.000,hk01398,工商银行
2025-01-21,5.040,5.030,5.050,4.980,170963949.000,hk01398,工商银行
2025-01-22,5.020,4.980,5.030,4.960,204724907.000,hk01398,工商银行
2025-01-23,5.000,5.110,5.150,5.000,470288239.000,hk01398,工商银行
2025-01-24,5.140,5.250,5.270,5.100,529927786.000,hk01398,工商银行
2025-01-27,5.250,5.340,5.360,5.220,359171628.000,hk01398,工商银行
2025-01-28,5.360,5.290,5.360,5.260,79441598.000,hk01398,工商银行
2025-02-03,5.160,5.280,5.290,5.150,209611678.000,hk01398,工商银行
2025-02-04,5.380,5.390,5.430,5.270,286265154.000,hk01398,工商银行
2025-02-05,5.370,5.360,5.370,5.280,294957148.000,hk01398,工商银行
2025-02-06,5.340,5.390,5.430,5.320,265785504.000,hk01398,工商银行
2025-02-07,5.360,5.380,5.390,5.270,347410280.000,hk01398,工商银行
2025-02-10,5.380,5.430,5.450,5.350,294979890.000,hk01398,工商银行
2025-02-11,5.410,5.460,5.500,5.410,276227130.000,hk01398,工商银行
2025-02-12,5.500,5.600,5.620,5.470,527755161.000,hk01398,工商银行
2025-02-13,5.610,5.630,5.720,5.610,569473142.000,hk01398,工商银行
2025-02-14,5.650,5.700,5.720,5.600,431917469.000,hk01398,工商银行
2025-02-17,5.620,5.740,5.770,5.610,438124456.000,hk01398,工商银行
2025-02-18,5.750,5.690,5.760,5.640,399466428.000,hk01398,工商银行
2025-02-19,5.630,5.600,5.660,5.560,315672571.000,hk01398,工商银行
2025-02-20,5.580,5.600,5.630,5.530,263485746.000,hk01398,工商银行
2025-02-21,5.630,5.590,5.650,5.490,384545642.000,hk01398,工商银行
2025-02-24,5.550,5.570,5.650,5.530,292008654.000,hk01398,工商银行
2025-02-25,5.550,5.520,5.580,5.480,212517048.000,hk01398,工商银行
2025-02-26,5.570,5.590,5.640,5.530,292417420.000,hk01398,工商银行
2025-02-27,5.530,5.590,5.630,5.480,342965758.000,hk01398,工商银行
2025-02-28,5.560,5.500,5.640,5.500,393314116.000,hk01398,工商银行
2025-03-03,5.500,5.520,5.580,5.470,230467328.000,hk01398,工商银行
2025-03-04,5.500,5.480,5.530,5.440,317988746.000,hk01398,工商银行
2025-03-05,5.500,5.620,5.650,5.480,372499633.000,hk01398,工商银行
2025-03-06,5.670,5.660,5.670,5.590,230645923.000,hk01398,工商银行
2025-03-07,5.660,5.610,5.670,5.580,279873141.000,hk01398,工商银行
2025-03-10,5.590,5.560,5.640,5.540,224010871.000,hk01398,工商银行
2025-03-11,5.540,5.560,5.590,5.490,204343493.000,hk01398,工商银行
2025-03-12,5.530,5.530,5.560,5.490,268323575.000,hk01398,工商银行
2025-03-13,5.540,5.550,5.620,5.520,231689550.000,hk01398,工商银行
2025-03-14,5.600,5.650,5.730,5.570,275444556.000,hk01398,工商银行
2025-03-17,5.620,5.650,5.700,5.610,205953287.000,hk01398,工商银行
2025-03-18,5.690,5.690,5.710,5.650,239803531.000,hk01398,工商银行
2025-03-19,5.700,5.670,5.730,5.650,282723243.000,hk01398,工商银行
2025-03-20,5.670,5.610,5.700,5.590,257558656.000,hk01398,工商银行
2025-03-21,5.600,5.570,5.670,5.570,330926781.000,hk01398,工商银行
