date,open,high,low,close,volume,code,name
2024-11-29,9.770,9.750,9.920,9.680,7271600.000,hk00322,康师傅控股
2024-12-02,9.780,9.740,9.810,9.620,7600336.000,hk00322,康师傅控股
2024-12-03,9.810,10.040,10.060,9.650,13243102.000,hk00322,康师傅控股
2024-12-04,10.100,10.000,10.120,9.930,6748323.000,hk00322,康师傅控股
2024-12-05,9.970,9.790,10.000,9.740,3063988.000,hk00322,康师傅控股
2024-12-06,9.820,9.940,10.020,9.730,3625654.000,hk00322,康师傅控股
2024-12-09,9.940,10.300,10.360,9.940,9831268.000,hk00322,康师傅控股
2024-12-10,10.600,10.240,10.640,10.220,7598944.000,hk00322,康师傅控股
2024-12-11,10.300,10.300,10.540,10.220,5642757.000,hk00322,康师傅控股
2024-12-12,10.300,10.560,10.680,10.200,5284030.000,hk00322,康师傅控股
2024-12-13,10.560,10.320,10.600,10.300,3855045.000,hk00322,康师傅控股
2024-12-16,10.420,10.160,10.460,10.120,7922417.000,hk00322,康师傅控股
2024-12-17,10.300,10.080,10.300,10.060,4246147.000,hk00322,康师傅控股
2024-12-18,10.000,10.020,10.140,9.880,4336030.000,hk00322,康师傅控股
2024-12-19,10.160,9.900,10.160,9.880,5873200.000,hk00322,康师傅控股
2024-12-20,9.900,9.930,10.080,9.860,7817949.000,hk00322,康师傅控股
2024-12-23,9.920,10.180,10.200,9.790,7632368.000,hk00322,康师傅控股
2024-12-24,10.220,10.160,10.280,10.080,4082000.000,hk00322,康师傅控股
2024-12-27,10.020,10.160,10.340,10.020,11015641.000,hk00322,康师傅控股
2024-12-30,10.340,10.020,10.480,9.990,6083777.000,hk00322,康师傅控股
2024-12-31,10.040,10.120,10.240,9.930,5359716.000,hk00322,康师傅控股
2025-01-02,10.120,10.040,10.120,9.870,8989000.000,hk00322,康师傅控股
2025-01-03,10.200,9.980,10.200,9.930,8493197.000,hk00322,康师傅控股
2025-01-06,10.080,10.020,10.180,9.940,6661104.000,hk00322,康师傅控股
2025-01-07,9.930,9.940,10.020,9.820,6762496.000,hk00322,康师傅控股
2025-01-08,9.900,9.980,10.000,9.790,6878909.000,hk00322,康师傅控股
2025-01-09,10.120,11.200,11.360,10.080,28929159.000,hk00322,康师傅控股
2025-01-10,11.160,10.960,11.160,10.800,17000760.000,hk00322,康师傅控股
2025-01-13,10.940,10.940,11.000,10.560,13137910.000,hk00322,康师傅控股
2025-01-14,10.760,10.920,11.100,10.700,10174615.000,hk00322,康师傅控股
2025-01-15,10.960,11.100,11.160,10.900,9202284.000,hk00322,康师傅控股
2025-01-16,11.180,10.960,11.200,10.900,8257512.000,hk00322,康师傅控股
2025-01-17,10.980,11.360,11.600,10.980,14027793.000,hk00322,康师傅控股
2025-01-20,11.600,11.620,11.760,11.420,11272962.000,hk00322,康师傅控股
2025-01-21,11.780,11.620,11.780,11.540,4313000.000,hk00322,康师傅控股
2025-01-22,11.700,11.560,11.700,11.520,4767061.000,hk00322,康师傅控股
2025-01-23,11.580,11.280,11.620,11.220,8703461.000,hk00322,康师傅控股
2025-01-24,11.280,11.520,11.620,11.280,5619100.000,hk00322,康师傅控股
2025-01-27,11.360,11.600,11.780,11.360,3380361.000,hk00322,康师傅控股
2025-01-28,11.780,11.860,11.860,11.560,2972275.000,hk00322,康师傅控股
2025-02-03,11.620,11.680,11.800,11.500,6472001.000,hk00322,康师傅控股
2025-02-04,11.620,11.660,11.860,11.520,5487850.000,hk00322,康师傅控股
2025-02-05,11.800,11.660,11.800,11.540,6131695.000,hk00322,康师傅控股
2025-02-06,11.760,11.700,11.760,11.540,3451816.000,hk00322,康师傅控股
2025-02-07,11.640,11.600,11.720,11.440,5676930.000,hk00322,康师傅控股
2025-02-10,11.620,11.480,11.660,11.380,8373013.000,hk00322,康师傅控股
2025-02-11,11.280,11.360,11.520,11.280,6230476.000,hk00322,康师傅控股
2025-02-12,11.400,11.380,11.580,11.340,4558214.000,hk00322,康师傅控股
