date,open,high,low,close,volume,code,name
2024-11-29,47.350,48.200,49.150,47.100,26149598.000,hk01024,快手
2024-12-02,48.250,48.600,48.900,47.700,21154175.000,hk01024,快手
2024-12-03,48.600,48.650,49.500,47.700,30972770.000,hk01024,快手
2024-12-04,48.650,47.300,48.650,46.950,42593097.000,hk01024,快手
2024-12-05,46.850,46.750,47.200,46.350,22707576.000,hk01024,快手
2024-12-06,46.900,47.600,48.000,46.450,66966648.000,hk01024,快手
2024-12-09,46.900,48.450,48.450,45.700,87807322.000,hk01024,快手
2024-12-10,50.100,47.150,50.100,47.150,73358238.000,hk01024,快手
2024-12-11,47.450,46.600,48.200,46.250,42187979.000,hk01024,快手
2024-12-12,46.550,47.750,48.400,46.400,42901499.000,hk01024,快手
2024-12-13,47.250,46.500,47.400,46.250,34492088.000,hk01024,快手
2024-12-16,46.500,45.000,46.550,44.750,36946944.000,hk01024,快手
2024-12-17,44.850,45.200,46.300,44.700,22482278.000,hk01024,快手
2024-12-18,45.800,45.600,46.000,45.400,14453420.000,hk01024,快手
2024-12-19,45.000,45.200,45.550,44.600,23694081.000,hk01024,快手
2024-12-20,45.050,42.750,45.350,42.650,84367587.000,hk01024,快手
2024-12-23,42.900,42.450,43.350,42.050,40404204.000,hk01024,快手
2024-12-24,42.500,43.050,43.200,42.150,15386792.000,hk01024,快手
2024-12-27,43.150,42.250,43.450,41.900,28826147.000,hk01024,快手
2024-12-30,42.350,41.900,42.550,41.600,23349571.000,hk01024,快手
2024-12-31,41.550,41.350,41.800,41.200,17333170.000,hk01024,快手
2025-01-02,41.200,40.550,41.350,40.450,29270907.000,hk01024,快手
2025-01-03,40.550,40.800,41.250,40.200,24754265.000,hk01024,快手
2025-01-06,41.000,40.300,41.150,39.750,32397026.000,hk01024,快手
2025-01-07,40.200,40.650,40.650,39.800,23995447.000,hk01024,快手
2025-01-08,40.700,40.050,40.800,39.850,19945229.000,hk01024,快手
2025-01-09,39.900,40.050,40.550,39.800,17953352.000,hk01024,快手
2025-01-10,40.300,39.350,40.750,39.150,24510361.000,hk01024,快手
2025-01-13,38.600,38.800,38.950,38.150,16426620.000,hk01024,快手
2025-01-14,38.850,40.700,41.350,38.800,35811756.000,hk01024,快手
2025-01-15,40.600,40.200,40.700,40.000,24461374.000,hk01024,快手
2025-01-16,40.950,40.800,42.100,40.350,26695765.000,hk01024,快手
2025-01-17,40.700,40.750,41.350,40.350,15044740.000,hk01024,快手
2025-01-20,41.950,41.400,42.300,41.300,26033180.000,hk01024,快手
2025-01-21,41.800,41.500,42.000,40.900,21259665.000,hk01024,快手
2025-01-22,41.000,40.450,41.200,40.100,23821319.000,hk01024,快手
2025-01-23,40.550,40.100,41.400,39.800,22982801.000,hk01024,快手
2025-01-24,40.200,40.550,41.000,39.900,25046616.000,hk01024,快手
2025-01-27,40.650,42.100,42.850,40.650,56237879.000,hk01024,快手
2025-01-28,42.600,42.100,42.800,41.600,10965580.000,hk01024,快手
2025-02-03,41.400,41.650,41.700,39.350,33069351.000,hk01024,快手
2025-02-04,42.400,44.100,44.150,42.200,51261036.000,hk01024,快手
2025-02-05,44.100,45.400,46.400,43.150,85069542.000,hk01024,快手
2025-02-06,45.200,45.550,45.750,44.200,43989366.000,hk01024,快手
2025-02-07,45.550,46.300,47.150,45.300,61022697.000,hk01024,快手
2025-02-10,46.950,47.650,48.200,46.850,59135811.000,hk01024,快手
2025-02-11,48.100,45.800,48.400,45.500,48419151.000,hk01024,快手
2025-02-12,46.400,46.750,46.850,45.650,41173182.000,hk01024,快手
2025-02-13,47.700,49.700,54.200,47.350,198597810.000,hk01024,快手
2025-02-14,51.350,53.500,53.500,49.950,140250039.000,hk01024,快手
2025-02-17,56.150,53.600,57.550,52.150,127754797.000,hk01024,快手
2025-02-18,53.700,58.750,59.800,53.000,184264567.000,hk01024,快手
2025-02-19,58.200,58.900,59.850,56.800,83936448.000,hk01024,快手
2025-02-20,57.700,54.400,58.350,53.950,115746336.000,hk01024,快手
2025-02-21,56.850,58.400,58.400,53.650,152250900.000,hk01024,快手
2025-02-24,56.900,55.150,57.300,54.500,89601651.000,hk01024,快手
2025-02-25,52.250,53.350,54.350,52.200,72024031.000,hk01024,快手
2025-02-26,53.500,55.450,56.450,53.450,72873716.000,hk01024,快手
2025-02-27,55.250,53.600,55.550,52.750,80168273.000,hk01024,快手
2025-02-28,53.300,50.600,53.300,49.950,84440680.000,hk01024,快手
2025-03-03,50.850,50.750,52.100,49.900,49245571.000,hk01024,快手
2025-03-04,49.400,50.600,51.100,49.150,36668745.000,hk01024,快手
2025-03-05,51.500,52.550,52.750,49.900,50583769.000,hk01024,快手
2025-03-06,55.800,60.800,61.750,55.050,195071767.000,hk01024,快手
2025-03-07,60.800,63.700,65.350,59.750,162826250.000,hk01024,快手
2025-03-10,64.500,63.100,65.700,61.150,94292126.000,hk01024,快手
2025-03-11,61.000,66.350,67.500,60.200,116391050.000,hk01024,快手
2025-03-12,67.500,65.850,68.900,64.050,82546484.000,hk01024,快手
2025-03-13,66.000,63.300,66.500,61.750,73943639.000,hk01024,快手
2025-03-14,64.400,64.900,66.350,62.800,60534096.000,hk01024,快手
2025-03-17,64.900,63.500,65.600,62.800,44838325.000,hk01024,快手
2025-03-18,66.000,66.300,67.500,65.100,53396321.000,hk01024,快手
2025-03-19,65.900,65.700,66.800,64.600,34996748.000,hk01024,快手
2025-03-20,65.250,62.650,65.550,62.200,56017364.000,hk01024,快手
2025-03-21,61.800,59.300,62.400,58.700,79006323.000,hk01024,快手
2025-03-24,59.250,58.900,59.250,56.650,53715705.000,hk01024,快手
2025-03-25,58.000,56.800,58.400,56.400,38472546.000,hk01024,快手
2025-03-26,56.350,55.850,57.100,53.400,93958039.000,hk01024,快手
2025-03-27,56.000,56.600,57.300,54.600,54894023.000,hk01024,快手
2025-03-28,57.550,56.100,58.800,55.650,50859018.000,hk01024,快手
2025-03-31,55.500,54.350,55.800,53.250,48089971.000,hk01024,快手
2025-04-01,55.050,56.150,56.800,54.300,51349491.000,hk01024,快手
2025-04-02,56.150,57.450,58.150,55.700,44077140.000,hk01024,快手
2025-04-03,56.050,56.200,57.100,55.200,40495979.000,hk01024,快手
2025-04-07,49.400,45.550,49.800,45.000,132293806.000,hk01024,快手
2025-04-08,46.300,45.950,47.500,44.200,100513691.000,hk01024,快手
