date,open,high,low,close,volume,code,name
2024-11-29,24.700,24.400,25.050,24.350,2711957.000,hk00012,恒基地产
2024-12-02,24.800,24.450,24.850,24.300,2638586.000,hk00012,恒基地产
2024-12-03,24.300,25.100,25.200,24.100,3702850.000,hk00012,恒基地产
2024-12-04,24.650,24.750,25.050,24.600,2835777.000,hk00012,恒基地产
2024-12-05,24.750,24.750,25.100,24.500,2471234.000,hk00012,恒基地产
2024-12-06,24.750,25.050,25.300,24.650,4122352.000,hk00012,恒基地产
2024-12-09,24.800,25.550,25.700,24.700,4296015.000,hk00012,恒基地产
2024-12-10,26.300,25.500,26.300,25.400,4318129.000,hk00012,恒基地产
2024-12-11,25.550,25.000,25.800,24.900,2451057.000,hk00012,恒基地产
2024-12-12,24.750,25.000,25.400,24.750,1778633.000,hk00012,恒基地产
2024-12-13,24.750,24.600,24.850,24.350,3749027.000,hk00012,恒基地产
2024-12-16,24.500,24.250,24.650,24.050,3165194.000,hk00012,恒基地产
2024-12-17,24.050,23.900,24.200,23.800,3218079.000,hk00012,恒基地产
2024-12-18,23.800,24.100,24.450,23.800,1406723.000,hk00012,恒基地产
2024-12-19,23.950,23.300,23.950,23.100,5009670.000,hk00012,恒基地产
2024-12-20,23.300,23.250,23.450,22.900,6696773.000,hk00012,恒基地产
2024-12-23,23.250,23.150,23.500,22.950,2867402.000,hk00012,恒基地产
2024-12-24,23.000,23.650,23.700,23.000,2054286.000,hk00012,恒基地产
2024-12-27,23.600,23.850,23.950,23.450,2740431.000,hk00012,恒基地产
2024-12-30,23.850,23.700,23.950,23.500,1730100.000,hk00012,恒基地产
2024-12-31,23.700,23.600,23.950,23.600,1897114.000,hk00012,恒基地产
2025-01-02,23.300,23.150,23.550,23.000,2980886.000,hk00012,恒基地产
2025-01-03,23.150,23.250,23.600,23.150,2278237.000,hk00012,恒基地产
2025-01-06,23.200,23.250,23.450,23.150,1537914.000,hk00012,恒基地产
2025-01-07,23.200,22.900,23.200,22.750,2551735.000,hk00012,恒基地产
2025-01-08,22.700,22.400,22.900,22.000,5259991.000,hk00012,恒基地产
2025-01-09,22.350,22.350,22.500,22.300,1955183.000,hk00012,恒基地产
2025-01-10,22.400,22.300,22.550,22.100,2395208.000,hk00012,恒基地产
2025-01-13,22.400,21.900,22.650,21.550,4565047.000,hk00012,恒基地产
2025-01-14,21.900,21.600,22.050,21.600,3295584.000,hk00012,恒基地产
2025-01-15,21.650,21.800,21.850,21.500,2215690.000,hk00012,恒基地产
2025-01-16,22.000,21.850,22.250,21.550,2949231.000,hk00012,恒基地产
2025-01-17,21.900,22.450,22.550,21.700,3040911.000,hk00012,恒基地产
2025-01-20,22.700,22.550,22.950,22.450,2410645.000,hk00012,恒基地产
2025-01-21,22.550,22.350,22.900,22.300,2132638.000,hk00012,恒基地产
2025-01-22,22.250,22.050,22.400,21.950,1600122.000,hk00012,恒基地产
2025-01-23,22.050,21.850,22.400,21.800,2164293.000,hk00012,恒基地产
2025-01-24,22.300,21.900,22.300,21.800,2362955.000,hk00012,恒基地产
2025-01-27,21.900,21.950,22.200,21.800,1834126.000,hk00012,恒基地产
2025-01-28,21.950,21.600,22.000,21.500,2634275.000,hk00012,恒基地产
2025-02-03,21.350,22.050,22.850,21.350,6170821.000,hk00012,恒基地产
2025-02-04,22.200,22.000,22.550,21.650,5261957.000,hk00012,恒基地产
2025-02-05,21.650,21.650,22.050,21.650,4862067.000,hk00012,恒基地产
2025-02-06,21.650,21.750,21.750,21.500,5587437.000,hk00012,恒基地产
2025-02-07,21.650,21.400,21.750,21.300,5685336.000,hk00012,恒基地产
2025-02-10,21.500,21.350,21.650,21.250,3751102.000,hk00012,恒基地产
2025-02-11,21.350,20.900,21.350,20.900,4486396.000,hk00012,恒基地产
2025-02-12,21.050,21.800,21.950,21.050,6633743.000,hk00012,恒基地产
2025-02-13,21.800,21.200,21.800,21.050,6366288.000,hk00012,恒基地产
2025-02-14,21.350,21.300,21.700,21.000,5765020.000,hk00012,恒基地产
2025-02-17,21.150,21.750,21.800,21.150,4624017.000,hk00012,恒基地产
2025-02-18,21.800,21.300,21.800,21.050,7167832.000,hk00012,恒基地产
2025-02-19,21.150,21.200,21.450,21.050,7188384.000,hk00012,恒基地产
2025-02-20,20.800,21.100,21.200,20.800,6568675.000,hk00012,恒基地产
2025-02-21,21.050,20.550,21.150,20.400,10894523.000,hk00012,恒基地产
2025-02-24,20.600,20.900,21.250,20.400,9791237.000,hk00012,恒基地产
2025-02-25,20.700,20.750,20.850,20.550,6819955.000,hk00012,恒基地产
2025-02-26,20.850,21.200,21.300,20.850,6812190.000,hk00012,恒基地产
2025-02-27,21.050,21.350,21.450,21.050,5916085.000,hk00012,恒基地产
2025-02-28,21.350,21.250,21.450,21.050,9397734.000,hk00012,恒基地产
2025-03-03,21.250,21.300,21.800,21.150,6255651.000,hk00012,恒基地产
2025-03-04,21.300,21.650,21.700,21.150,7084293.000,hk00012,恒基地产
2025-03-05,21.500,22.150,22.150,21.500,7658461.000,hk00012,恒基地产
2025-03-06,22.200,22.750,22.850,21.950,9969997.000,hk00012,恒基地产
2025-03-07,22.750,22.650,23.100,22.500,6233158.000,hk00012,恒基地产
2025-03-10,22.650,22.600,22.850,22.450,5344159.000,hk00012,恒基地产
2025-03-11,22.150,23.200,23.300,22.150,7763573.000,hk00012,恒基地产
2025-03-12,22.900,22.850,23.250,22.750,11290632.000,hk00012,恒基地产
2025-03-13,22.850,22.700,23.200,22.550,4912502.000,hk00012,恒基地产
2025-03-14,22.850,22.800,22.950,22.500,5969653.000,hk00012,恒基地产
2025-03-17,22.800,22.950,23.150,22.450,3862105.000,hk00012,恒基地产
2025-03-18,23.300,23.100,23.400,22.650,7247320.000,hk00012,恒基地产
2025-03-19,23.100,23.200,23.200,22.900,6947523.000,hk00012,恒基地产
2025-03-20,23.000,23.000,23.250,22.950,6400217.000,hk00012,恒基地产
2025-03-21,22.950,22.600,23.050,22.150,28537498.000,hk00012,恒基地产
2025-03-24,22.700,22.300,22.800,22.200,6614485.000,hk00012,恒基地产
2025-03-25,22.000,22.450,22.550,22.000,5209849.000,hk00012,恒基地产
2025-03-26,22.700,22.650,22.800,22.500,3042813.000,hk00012,恒基地产
2025-03-27,22.600,22.650,22.750,22.500,2481381.000,hk00012,恒基地产
2025-03-28,22.600,22.400,22.750,22.300,3130966.000,hk00012,恒基地产
2025-03-31,22.400,22.350,22.500,22.150,5059410.000,hk00012,恒基地产
2025-04-01,22.400,22.600,22.800,22.400,4511299.000,hk00012,恒基地产
2025-04-02,22.550,22.650,22.650,22.300,2841358.000,hk00012,恒基地产
2025-04-03,22.300,22.450,22.550,22.300,3168737.000,hk00012,恒基地产
2025-04-07,22.000,20.900,22.150,20.800,11276891.000,hk00012,恒基地产
2025-04-08,20.750,20.450,21.350,20.200,10527031.000,hk00012,恒基地产
2025-04-09,20.000,19.880,20.100,19.600,9412518.000,hk00012,恒基地产
2025-04-10,19.880,20.200,20.550,19.700,5919391.000,hk00012,恒基地产
2025-04-11,20.000,20.250,20.350,19.880,5326683.000,hk00012,恒基地产
2025-04-14,20.500,20.700,20.800,20.350,4932685.000,hk00012,恒基地产
2025-04-15,20.850,20.750,20.900,20.600,4617173.000,hk00012,恒基地产
2025-04-16,20.600,20.550,20.800,20.450,4111082.000,hk00012,恒基地产
2025-04-17,20.600,20.900,21.000,20.600,4477223.000,hk00012,恒基地产
2025-04-22,20.650,21.200,21.250,20.650,4116714.000,hk00012,恒基地产
2025-04-23,21.300,21.550,21.600,21.250,5936087.000,hk00012,恒基地产
2025-04-24,21.200,21.350,21.550,21.200,3551687.000,hk00012,恒基地产
2025-04-25,21.500,21.550,21.900,21.300,4783510.000,hk00012,恒基地产
2025-04-28,21.600,21.650,21.700,21.350,2289531.000,hk00012,恒基地产
2025-04-29,21.650,21.600,21.800,21.500,3332376.000,hk00012,恒基地产
2025-04-30,21.700,22.000,22.200,21.600,6797566.000,hk00012,恒基地产
2025-05-02,21.950,22.200,22.250,21.800,5008258.000,hk00012,恒基地产
2025-05-06,22.200,22.450,22.600,22.200,6414319.000,hk00012,恒基地产
2025-05-07,22.700,22.700,22.800,22.450,4992043.000,hk00012,恒基地产
2025-05-08,22.650,22.650,22.750,22.250,4382610.000,hk00012,恒基地产
2025-05-09,22.850,24.050,24.250,22.850,17252062.000,hk00012,恒基地产
2025-05-12,24.400,24.500,24.800,24.200,8672316.000,hk00012,恒基地产
2025-05-13,24.150,24.300,24.550,24.050,5244158.000,hk00012,恒基地产
2025-05-14,24.300,24.300,24.550,24.100,5815944.000,hk00012,恒基地产
2025-05-15,24.200,24.300,24.350,24.100,3550734.000,hk00012,恒基地产
2025-05-16,24.350,23.950,24.400,23.850,4010657.000,hk00012,恒基地产
2025-05-19,23.900,24.250,24.400,23.900,4480305.000,hk00012,恒基地产
2025-05-20,24.400,24.300,24.500,24.050,5370878.000,hk00012,恒基地产
2025-05-21,24.300,24.750,24.800,24.250,6847036.000,hk00012,恒基地产
2025-05-22,24.750,24.350,24.800,24.350,7287502.000,hk00012,恒基地产
2025-05-23,24.300,24.300,24.450,24.100,3388434.000,hk00012,恒基地产
2025-05-26,24.150,24.300,24.450,24.150,1875632.000,hk00012,恒基地产
2025-05-27,24.300,24.400,24.500,24.300,3858814.000,hk00012,恒基地产
2025-05-28,24.350,24.250,24.600,24.150,3677421.000,hk00012,恒基地产
2025-05-29,24.250,24.350,24.550,24.150,5289607.000,hk00012,恒基地产
2025-05-30,24.350,24.550,24.650,24.300,8767681.000,hk00012,恒基地产
2025-06-02,24.550,24.300,24.650,24.050,6875246.000,hk00012,恒基地产
2025-06-03,24.250,24.850,24.850,24.250,7495396.000,hk00012,恒基地产
2025-06-04,24.850,24.550,24.850,24.400,6703097.000,hk00012,恒基地产
2025-06-05,24.700,24.300,25.150,24.300,21866762.000,hk00012,恒基地产
2025-06-06,24.550,24.700,24.900,24.450,9441142.000,hk00012,恒基地产
2025-06-09,24.550,24.800,24.900,24.550,7985758.000,hk00012,恒基地产
2025-06-10,24.800,25.100,25.250,24.750,8102039.000,hk00012,恒基地产
2025-06-11,25.050,25.050,25.400,24.900,7117237.000,hk00012,恒基地产
2025-06-12,24.900,25.350,25.550,24.850,6786580.000,hk00012,恒基地产
2025-06-13,25.350,25.700,25.800,25.300,9352828.000,hk00012,恒基地产
2025-06-16,25.700,26.900,27.000,25.450,12199067.000,hk00012,恒基地产
2025-06-17,26.900,26.800,27.100,26.500,11691893.000,hk00012,恒基地产
2025-06-18,26.700,26.600,26.900,26.450,13337542.000,hk00012,恒基地产
2025-06-19,26.450,26.700,26.850,26.400,11309596.000,hk00012,恒基地产
2025-06-20,26.950,27.050,27.250,26.700,35413212.000,hk00012,恒基地产
2025-06-23,26.950,27.500,27.650,26.750,11725435.000,hk00012,恒基地产
2025-06-24,27.500,27.500,27.900,27.350,8005007.000,hk00012,恒基地产
2025-06-25,27.600,28.750,28.850,27.500,8656884.000,hk00012,恒基地产
2025-06-26,28.500,28.150,28.500,27.300,8781319.000,hk00012,恒基地产
2025-06-27,27.850,27.600,28.300,27.300,7557527.000,hk00012,恒基地产
2025-06-30,27.600,27.450,28.000,27.300,7439972.000,hk00012,恒基地产
2025-07-02,27.800,28.950,29.100,27.550,11896960.000,hk00012,恒基地产
2025-07-03,29.000,29.050,29.200,28.500,6389195.000,hk00012,恒基地产
2025-07-04,29.050,28.950,29.050,28.350,6496273.000,hk00012,恒基地产
2025-07-07,29.000,28.950,29.400,28.850,6432831.000,hk00012,恒基地产
2025-07-08,28.950,28.350,29.150,28.250,4336165.000,hk00012,恒基地产
2025-07-09,26.950,25.900,26.950,25.200,44730817.000,hk00012,恒基地产
2025-07-10,25.850,25.800,26.050,25.500,12752498.000,hk00012,恒基地产
2025-07-11,26.000,26.000,26.350,25.800,11309781.000,hk00012,恒基地产
2025-07-14,26.150,26.000,26.200,25.800,11312302.000,hk00012,恒基地产
2025-07-15,26.000,26.550,26.600,25.850,16405894.000,hk00012,恒基地产
2025-07-16,26.500,26.350,26.500,26.100,7977119.000,hk00012,恒基地产
2025-07-17,26.350,26.550,26.550,26.250,6475525.000,hk00012,恒基地产
2025-07-18,26.550,26.450,27.000,26.100,9206173.000,hk00012,恒基地产
2025-07-21,26.450,26.550,26.700,26.450,8303557.000,hk00012,恒基地产
2025-07-22,26.550,26.700,26.800,26.450,10518124.000,hk00012,恒基地产
2025-07-23,26.850,27.150,27.150,26.800,15553522.000,hk00012,恒基地产
2025-07-24,27.150,27.200,27.550,26.950,8712059.000,hk00012,恒基地产
2025-07-25,27.000,27.450,27.500,26.900,8258519.000,hk00012,恒基地产
2025-07-28,27.450,27.850,28.050,27.250,9052640.000,hk00012,恒基地产
2025-07-29,27.850,27.900,28.000,27.550,7892761.000,hk00012,恒基地产
2025-07-30,27.900,27.950,27.950,27.500,5516689.000,hk00012,恒基地产
2025-07-31,27.900,27.500,27.950,27.450,5149469.000,hk00012,恒基地产
2025-08-01,27.350,27.350,27.600,27.250,6896251.000,hk00012,恒基地产
2025-08-04,27.440,27.660,27.720,27.260,4466267.000,hk00012,恒基地产
2025-08-05,27.640,27.700,27.920,27.480,2984264.000,hk00012,恒基地产
2025-08-06,27.700,27.460,27.700,27.340,4420614.000,hk00012,恒基地产
2025-08-07,27.280,28.380,28.840,27.280,12653906.000,hk00012,恒基地产
2025-08-08,28.380,28.060,28.560,28.000,4421858.000,hk00012,恒基地产
2025-08-11,27.820,28.480,28.660,27.820,7448061.000,hk00012,恒基地产
2025-08-12,28.600,28.140,28.600,28.040,4027974.000,hk00012,恒基地产
2025-08-13,28.200,28.700,28.820,28.200,5166046.000,hk00012,恒基地产
2025-08-14,28.900,28.940,29.180,28.700,5706107.000,hk00012,恒基地产
2025-08-15,28.680,27.600,28.940,27.320,13058529.000,hk00012,恒基地产
2025-08-18,27.600,26.980,27.960,26.920,11324897.000,hk00012,恒基地产
2025-08-19,27.360,27.120,27.360,27.000,4276432.000,hk00012,恒基地产
2025-08-20,27.100,27.320,27.480,26.800,4045793.000,hk00012,恒基地产
2025-08-21,27.260,27.340,27.660,26.680,5138602.000,hk00012,恒基地产
2025-08-22,27.300,27.180,27.520,26.920,6320309.000,hk00012,恒基地产
2025-08-25,27.600,27.500,27.780,27.440,6124281.000,hk00012,恒基地产
2025-08-26,27.400,27.140,27.660,27.120,7797714.000,hk00012,恒基地产
2025-08-27,27.140,26.980,27.320,26.840,6827459.000,hk00012,恒基地产
2025-08-28,26.980,26.920,27.180,26.880,3458872.000,hk00012,恒基地产
2025-08-29,27.200,26.900,27.200,26.900,3526585.000,hk00012,恒基地产
2025-09-01,27.040,27.180,27.200,26.980,3500936.000,hk00012,恒基地产
2025-09-02,27.180,27.160,27.380,27.040,4584189.000,hk00012,恒基地产
2025-09-03,26.960,26.300,26.960,26.140,10337895.000,hk00012,恒基地产
2025-09-04,26.280,26.040,26.300,25.900,5375367.000,hk00012,恒基地产
2025-09-05,26.200,26.520,26.520,25.760,11561625.000,hk00012,恒基地产
2025-09-08,26.600,26.580,26.700,26.100,3748347.000,hk00012,恒基地产
2025-09-09,26.580,27.040,27.060,26.540,4784132.000,hk00012,恒基地产
2025-09-10,27.000,27.680,27.700,26.960,6942421.000,hk00012,恒基地产
2025-09-11,27.600,27.740,27.860,27.440,6918433.000,hk00012,恒基地产
2025-09-12,28.000,28.160,28.240,27.640,6958462.000,hk00012,恒基地产
2025-09-15,28.100,28.040,28.100,27.760,4838159.000,hk00012,恒基地产
2025-09-16,27.800,28.180,28.220,27.800,6774661.000,hk00012,恒基地产
2025-09-17,28.180,27.960,28.180,27.640,5038427.000,hk00012,恒基地产
2025-09-18,28.000,27.780,28.100,27.660,8923500.000,hk00012,恒基地产
2025-09-19,27.600,28.200,28.300,27.600,17444177.000,hk00012,恒基地产
2025-09-22,28.100,27.700,28.100,27.500,6032708.000,hk00012,恒基地产
2025-09-23,27.680,27.300,27.700,27.300,4085898.000,hk00012,恒基地产
2025-09-24,27.300,27.440,27.600,27.240,3359942.000,hk00012,恒基地产
2025-09-25,27.400,27.040,27.480,26.880,6254181.000,hk00012,恒基地产
2025-09-26,27.000,27.140,27.320,26.760,4210050.000,hk00012,恒基地产
2025-09-29,26.860,27.700,27.840,26.860,7511306.000,hk00012,恒基地产
2025-09-30,27.860,27.440,27.880,27.260,5077030.000,hk00012,恒基地产
2025-10-02,27.640,27.500,27.780,27.400,5077914.000,hk00012,恒基地产
2025-10-03,27.620,27.460,27.780,27.360,2556871.000,hk00012,恒基地产
2025-10-06,27.400,27.160,27.400,27.080,2282660.000,hk00012,恒基地产
2025-10-08,27.160,27.100,27.580,26.920,2811044.000,hk00012,恒基地产
2025-10-09,27.200,27.240,27.240,26.900,6122769.000,hk00012,恒基地产
2025-10-10,27.060,27.340,27.500,27.040,2706526.000,hk00012,恒基地产
2025-10-13,26.880,27.400,27.400,26.760,6269152.000,hk00012,恒基地产
2025-10-14,27.400,27.460,27.800,27.360,5863324.000,hk00012,恒基地产
2025-10-15,27.800,27.300,27.800,27.300,3570873.000,hk00012,恒基地产
2025-10-16,27.120,27.200,27.320,26.860,3954103.000,hk00012,恒基地产
2025-10-17,27.200,27.080,27.260,26.900,3993636.000,hk00012,恒基地产
2025-10-20,27.400,27.600,27.600,27.100,4450064.000,hk00012,恒基地产
2025-10-21,27.580,27.540,27.720,27.400,3022013.000,hk00012,恒基地产
2025-10-22,27.560,27.300,27.700,27.140,4924095.000,hk00012,恒基地产
2025-10-23,27.320,27.560,27.660,27.120,3369047.000,hk00012,恒基地产
2025-10-24,27.560,27.820,27.900,27.520,4221993.000,hk00012,恒基地产
2025-10-27,27.900,28.260,28.560,27.500,7318438.000,hk00012,恒基地产
2025-10-28,28.500,28.220,28.500,28.060,6464204.000,hk00012,恒基地产
2025-10-30,28.500,27.480,28.500,27.340,6741295.000,hk00012,恒基地产
2025-10-31,27.780,27.280,27.780,27.200,3691663.000,hk00012,恒基地产
2025-11-03,27.220,27.660,27.680,27.060,4680377.000,hk00012,恒基地产
2025-11-04,27.780,27.840,27.860,27.580,4645236.000,hk00012,恒基地产
2025-11-05,27.800,28.040,28.100,27.380,6811689.000,hk00012,恒基地产
2025-11-06,28.020,28.240,28.280,28.020,3939061.000,hk00012,恒基地产
2025-11-07,28.260,29.360,29.460,27.840,16450600.000,hk00012,恒基地产
2025-11-10,29.360,29.480,29.900,29.120,6542345.000,hk00012,恒基地产
2025-11-11,29.480,29.520,29.600,29.280,4840109.000,hk00012,恒基地产
