date,open,high,low,close,volume,code,name
2024-11-29,12.000,12.300,12.440,12.000,1720409.000,hk00144,招商局港口
2024-12-02,12.040,12.340,12.460,12.040,4345881.000,hk00144,招商局港口
2024-12-03,12.440,12.560,12.560,12.200,4112239.000,hk00144,招商局港口
2024-12-04,12.600,12.540,12.700,12.440,3111128.000,hk00144,招商局港口
2024-12-05,12.640,12.440,12.640,12.320,2457900.000,hk00144,招商局港口
2024-12-06,12.500,12.800,12.860,12.380,3131452.000,hk00144,招商局港口
2024-12-09,12.860,13.160,13.180,12.840,5532635.000,hk00144,招商局港口
2024-12-10,13.200,13.140,13.340,13.100,4275078.000,hk00144,招商局港口
2024-12-11,13.100,13.240,13.320,13.100,3224784.000,hk00144,招商局港口
2024-12-12,13.300,13.220,13.340,12.920,4419126.000,hk00144,招商局港口
2024-12-13,13.080,13.180,13.300,13.020,4752680.000,hk00144,招商局港口
2024-12-16,13.220,13.160,13.260,13.020,3355822.000,hk00144,招商局港口
2024-12-17,13.060,12.660,13.280,12.600,6983606.000,hk00144,招商局港口
2024-12-18,12.660,12.900,12.960,12.660,4144700.000,hk00144,招商局港口
2024-12-19,12.960,12.740,12.960,12.540,4943059.000,hk00144,招商局港口
2024-12-20,12.860,12.840,12.880,12.600,6556152.000,hk00144,招商局港口
2024-12-23,12.840,13.160,13.180,12.800,3986229.000,hk00144,招商局港口
2024-12-24,13.160,13.200,13.240,13.060,1262570.000,hk00144,招商局港口
2024-12-27,13.160,13.500,13.580,13.160,4317849.000,hk00144,招商局港口
2024-12-30,13.540,13.720,13.760,13.420,5350146.000,hk00144,招商局港口
2024-12-31,13.740,13.840,13.920,13.640,2943914.000,hk00144,招商局港口
2025-01-02,13.840,13.380,13.840,13.240,2690592.000,hk00144,招商局港口
2025-01-03,13.420,13.420,13.520,13.240,1858221.000,hk00144,招商局港口
2025-01-06,13.300,13.640,13.660,13.300,2604889.000,hk00144,招商局港口
2025-01-07,13.680,13.200,13.680,13.000,5356183.000,hk00144,招商局港口
2025-01-08,13.100,13.140,13.220,12.880,3980813.000,hk00144,招商局港口
2025-01-09,12.980,12.920,13.040,12.820,1984743.000,hk00144,招商局港口
2025-01-10,12.840,12.800,12.960,12.740,2681423.000,hk00144,招商局港口
2025-01-13,12.700,12.820,12.940,12.480,4554496.000,hk00144,招商局港口
2025-01-14,12.800,12.920,13.000,12.720,2033861.000,hk00144,招商局港口
2025-01-15,12.900,12.920,13.120,12.860,1385380.000,hk00144,招商局港口
2025-01-16,13.000,12.880,13.020,12.840,2913244.000,hk00144,招商局港口
2025-01-17,12.840,13.100,13.100,12.840,1841001.000,hk00144,招商局港口
2025-01-20,13.120,13.020,13.160,12.980,2481970.000,hk00144,招商局港口
2025-01-21,13.160,13.180,13.220,13.020,2653670.000,hk00144,招商局港口
2025-01-22,13.000,12.880,13.020,12.860,2130750.000,hk00144,招商局港口
2025-01-23,13.000,12.940,13.060,12.880,2622276.000,hk00144,招商局港口
2025-01-24,12.940,13.060,13.080,12.880,2045635.000,hk00144,招商局港口
2025-01-27,12.920,13.220,13.300,12.920,2138679.000,hk00144,招商局港口
2025-01-28,13.160,13.120,13.160,13.020,512290.000,hk00144,招商局港口
2025-02-03,13.120,13.160,13.220,12.860,1984694.000,hk00144,招商局港口
2025-02-04,13.160,12.880,13.160,12.740,2224548.000,hk00144,招商局港口
2025-02-05,12.940,12.840,13.020,12.760,2830254.000,hk00144,招商局港口
2025-02-06,12.900,13.100,13.100,12.800,2705877.000,hk00144,招商局港口
2025-02-07,12.880,12.880,13.060,12.820,2161767.000,hk00144,招商局港口
2025-02-10,12.800,12.780,12.960,12.700,4817699.000,hk00144,招商局港口
2025-02-11,12.700,12.800,12.820,12.600,4260094.000,hk00144,招商局港口
2025-02-12,12.860,13.100,13.140,12.800,3613228.000,hk00144,招商局港口
2025-02-13,13.060,12.760,13.060,12.760,2493863.000,hk00144,招商局港口
2025-02-14,12.800,12.840,12.840,12.620,4803635.000,hk00144,招商局港口
2025-02-17,12.840,13.120,13.300,12.720,5333457.000,hk00144,招商局港口
2025-02-18,13.060,13.320,13.440,12.920,5408414.000,hk00144,招商局港口
2025-02-19,13.160,13.000,13.240,12.900,4614012.000,hk00144,招商局港口
2025-02-20,12.960,12.820,13.080,12.800,3738159.000,hk00144,招商局港口
2025-02-21,12.820,12.740,12.840,12.660,3598426.000,hk00144,招商局港口
2025-02-24,12.860,12.700,12.880,12.680,2583430.000,hk00144,招商局港口
2025-02-25,12.740,12.540,12.740,12.440,5079695.000,hk00144,招商局港口
2025-02-26,12.680,12.820,12.860,12.460,5586379.000,hk00144,招商局港口
2025-02-27,12.820,12.880,12.960,12.760,3106116.000,hk00144,招商局港口
2025-02-28,12.900,12.720,12.920,12.580,6052150.000,hk00144,招商局港口
2025-03-03,12.660,12.780,12.980,12.660,2039347.000,hk00144,招商局港口
2025-03-04,12.900,12.640,12.900,12.540,3426839.000,hk00144,招商局港口
2025-03-05,12.740,12.760,12.880,12.600,5840520.000,hk00144,招商局港口
2025-03-06,12.860,12.700,12.960,12.600,6206344.000,hk00144,招商局港口
2025-03-07,12.780,12.680,12.880,12.600,5478600.000,hk00144,招商局港口
2025-03-10,12.700,12.540,12.720,12.440,4493741.000,hk00144,招商局港口
2025-03-11,12.420,12.540,12.600,12.240,5288342.000,hk00144,招商局港口
2025-03-12,12.540,12.520,12.540,12.380,5173963.000,hk00144,招商局港口
2025-03-13,12.400,12.500,12.540,12.360,2931275.000,hk00144,招商局港口
2025-03-14,12.500,12.540,12.620,12.480,2509182.000,hk00144,招商局港口
2025-03-17,12.600,12.860,12.860,12.540,4789181.000,hk00144,招商局港口
2025-03-18,12.700,13.940,14.240,12.700,27112810.000,hk00144,招商局港口
2025-03-19,14.040,13.440,14.040,13.360,8577582.000,hk00144,招商局港口
