date,open,high,low,close,volume,code,name
2024-11-29,35.100,35.250,35.950,34.850,20956896.000,hk03968,招商银行
2024-12-02,35.750,35.500,36.050,35.200,15055615.000,hk03968,招商银行
2024-12-03,35.450,36.300,36.350,35.250,23917227.000,hk03968,招商银行
2024-12-04,36.400,36.400,36.800,35.900,19412984.000,hk03968,招商银行
2024-12-05,36.000,36.400,36.650,35.800,9067252.000,hk03968,招商银行
2024-12-06,36.550,37.000,37.450,36.550,17791109.000,hk03968,招商银行
2024-12-09,36.700,38.400,38.600,36.700,26259321.000,hk03968,招商银行
2024-12-10,39.500,38.450,39.550,38.450,27816354.000,hk03968,招商银行
2024-12-11,38.450,38.300,39.000,38.200,11243900.000,hk03968,招商银行
2024-12-12,38.800,39.200,39.550,38.200,23089446.000,hk03968,招商银行
2024-12-13,39.000,37.700,39.100,37.550,21733233.000,hk03968,招商银行
2024-12-16,37.700,37.450,38.100,37.250,15499483.000,hk03968,招商银行
2024-12-17,37.100,37.250,37.800,37.000,18292056.000,hk03968,招商银行
2024-12-18,37.450,38.200,38.500,37.450,14078022.000,hk03968,招商银行
2024-12-19,37.550,38.500,38.850,37.400,26028186.000,hk03968,招商银行
2024-12-20,38.200,38.500,38.850,38.200,16222124.000,hk03968,招商银行
2024-12-23,38.600,39.100,39.300,38.600,16057232.000,hk03968,招商银行
2024-12-24,39.100,39.700,40.050,39.100,16228428.000,hk03968,招商银行
2024-12-27,39.400,39.650,40.100,39.000,16373056.000,hk03968,招商银行
2024-12-30,39.600,39.650,40.050,39.150,15722092.000,hk03968,招商银行
2024-12-31,39.350,40.000,40.350,39.350,11042822.000,hk03968,招商银行
2025-01-02,39.400,38.300,39.750,38.100,18757903.000,hk03968,招商银行
2025-01-03,38.300,38.350,38.600,38.000,15426385.000,hk03968,招商银行
2025-01-06,38.700,38.350,39.050,38.150,13649766.000,hk03968,招商银行
2025-01-07,38.150,38.450,38.650,37.700,15388565.000,hk03968,招商银行
2025-01-08,38.000,38.550,39.000,38.000,13395978.000,hk03968,招商银行
2025-01-09,38.350,38.300,38.800,38.150,8711672.000,hk03968,招商银行
2025-01-10,38.700,38.050,39.150,38.050,11640266.000,hk03968,招商银行
2025-01-13,37.550,38.250,38.450,37.550,14037833.000,hk03968,招商银行
2025-01-14,38.000,39.900,40.300,38.000,37735595.000,hk03968,招商银行
2025-01-15,40.450,41.200,41.700,40.300,28038801.000,hk03968,招商银行
2025-01-16,41.600,41.800,41.900,41.300,18565476.000,hk03968,招商银行
2025-01-17,41.650,41.200,42.150,40.950,20417100.000,hk03968,招商银行
2025-01-20,42.000,41.300,42.000,41.050,17878001.000,hk03968,招商银行
2025-01-21,41.900,41.950,42.400,41.100,17926323.000,hk03968,招商银行
2025-01-22,41.300,41.000,41.550,40.800,16490797.000,hk03968,招商银行
2025-01-23,41.000,41.200,41.950,40.900,15701816.000,hk03968,招商银行
2025-01-24,41.200,42.750,42.750,40.950,32198197.000,hk03968,招商银行
2025-01-27,42.700,42.950,43.200,42.300,22119658.000,hk03968,招商银行
2025-01-28,43.050,42.650,43.200,42.350,2993730.000,hk03968,招商银行
