date,open,high,low,close,volume,code,name
2024-11-29,504.000,508.500,517.500,500.500,1438958.000,hk09961,携程集团
2024-12-02,508.500,510.500,511.500,505.000,1346995.000,hk09961,携程集团
2024-12-03,515.000,516.500,520.000,509.000,1853569.000,hk09961,携程集团
2024-12-04,530.000,529.500,535.000,525.000,1830008.000,hk09961,携程集团
2024-12-05,525.000,512.000,525.000,509.000,1514738.000,hk09961,携程集团
2024-12-06,527.500,542.000,543.000,525.000,2420491.000,hk09961,携程集团
2024-12-09,547.500,577.500,578.000,544.000,3759405.000,hk09961,携程集团
2024-12-10,597.500,564.500,598.000,563.000,3408382.000,hk09961,携程集团
2024-12-11,564.500,561.500,573.500,557.500,2622272.000,hk09961,携程集团
2024-12-12,562.000,586.000,592.500,562.000,2664544.000,hk09961,携程集团
2024-12-13,581.500,569.000,581.500,566.000,2207845.000,hk09961,携程集团
2024-12-16,570.000,562.000,574.000,554.500,1704418.000,hk09961,携程集团
2024-12-17,562.000,561.000,571.500,556.500,1812528.000,hk09961,携程集团
2024-12-18,578.000,571.500,579.000,571.500,1535148.000,hk09961,携程集团
2024-12-19,560.000,555.500,560.000,551.000,2070835.000,hk09961,携程集团
2024-12-20,560.000,555.000,566.000,554.000,4313992.000,hk09961,携程集团
2024-12-23,558.500,560.500,565.000,553.500,1325405.000,hk09961,携程集团
2024-12-24,563.500,561.000,564.500,556.000,819523.000,hk09961,携程集团
2024-12-27,558.500,559.000,565.000,554.000,1178319.000,hk09961,携程集团
2024-12-30,548.500,535.500,550.500,531.500,1623371.000,hk09961,携程集团
2024-12-31,535.500,540.000,543.500,532.000,702086.000,hk09961,携程集团
2025-01-02,526.000,520.000,531.000,518.000,1722917.000,hk09961,携程集团
2025-01-03,516.500,516.500,520.000,504.500,1879514.000,hk09961,携程集团
2025-01-06,525.000,520.500,525.000,515.500,1343182.000,hk09961,携程集团
2025-01-07,512.000,507.500,517.000,501.500,1963101.000,hk09961,携程集团
2025-01-08,506.500,510.500,512.500,503.000,1711915.000,hk09961,携程集团
2025-01-09,506.500,504.500,509.500,502.500,721024.000,hk09961,携程集团
2025-01-10,504.000,498.000,508.000,493.600,1067277.000,hk09961,携程集团
2025-01-13,493.000,496.400,500.500,486.200,1135901.000,hk09961,携程集团
2025-01-14,496.400,504.500,512.000,492.800,2205667.000,hk09961,携程集团
2025-01-15,504.000,506.000,506.000,498.000,1777187.000,hk09961,携程集团
2025-01-16,509.500,511.500,514.500,506.000,1490424.000,hk09961,携程集团
2025-01-17,511.500,513.000,515.000,508.000,1260507.000,hk09961,携程集团
2025-01-20,523.000,531.000,535.000,520.500,1998475.000,hk09961,携程集团
2025-01-21,542.000,539.000,545.000,527.000,2083070.000,hk09961,携程集团
2025-01-22,536.500,523.000,540.500,522.000,1549199.000,hk09961,携程集团
2025-01-23,521.000,514.000,526.000,510.000,1110832.000,hk09961,携程集团
2025-01-24,528.500,541.000,543.500,524.500,1694106.000,hk09961,携程集团
2025-01-27,554.000,550.500,559.000,546.500,1754215.000,hk09961,携程集团
2025-01-28,549.000,548.000,550.000,540.500,742529.000,hk09961,携程集团
2025-02-03,539.000,552.500,552.500,528.500,1763830.000,hk09961,携程集团
2025-02-04,561.500,570.500,578.000,556.000,1841474.000,hk09961,携程集团
2025-02-05,565.500,534.000,566.000,532.000,2615749.000,hk09961,携程集团
2025-02-06,533.000,542.500,542.500,529.000,1806838.000,hk09961,携程集团
2025-02-07,536.500,532.500,541.000,532.000,1696511.000,hk09961,携程集团
2025-02-10,537.500,545.000,545.000,530.500,2211117.000,hk09961,携程集团
2025-02-11,536.500,518.500,536.500,517.000,1928148.000,hk09961,携程集团
2025-02-12,518.500,524.000,527.000,515.500,2679984.000,hk09961,携程集团
2025-02-13,529.500,531.000,543.500,524.500,3400954.000,hk09961,携程集团
2025-02-14,540.500,556.000,556.000,537.500,2336347.000,hk09961,携程集团
2025-02-17,541.500,536.500,559.000,530.000,3175111.000,hk09961,携程集团
2025-02-18,534.000,530.500,536.000,519.500,3260779.000,hk09961,携程集团
2025-02-19,519.500,528.500,529.000,515.500,1950084.000,hk09961,携程集团
2025-02-20,521.000,512.000,527.500,511.000,1929950.000,hk09961,携程集团
2025-02-21,515.500,512.500,518.000,499.200,4157334.000,hk09961,携程集团
2025-02-24,522.000,524.500,542.000,512.000,4022630.000,hk09961,携程集团
2025-02-25,507.500,462.000,510.000,459.400,9917902.000,hk09961,携程集团
2025-02-26,463.200,476.200,487.600,463.000,10232363.000,hk09961,携程集团
