date,open,high,low,close,volume,code,name
2024-11-29,6.800,6.430,6.920,6.370,17043764.000,hk00017,新世界发展
2024-12-02,6.360,6.610,6.870,6.360,22280339.000,hk00017,新世界发展
2024-12-03,6.610,6.560,6.610,6.450,9368689.000,hk00017,新世界发展
2024-12-04,6.540,6.410,6.560,6.360,17440753.000,hk00017,新世界发展
2024-12-05,6.400,6.370,6.410,6.230,13522908.000,hk00017,新世界发展
2024-12-06,6.400,6.480,6.500,6.230,26293098.000,hk00017,新世界发展
2024-12-09,6.480,6.670,6.670,6.300,27678999.000,hk00017,新世界发展
2024-12-10,6.880,6.700,7.090,6.700,17321614.000,hk00017,新世界发展
2024-12-11,6.720,6.570,6.760,6.550,8290369.000,hk00017,新世界发展
2024-12-12,6.570,6.390,6.590,6.370,12366771.000,hk00017,新世界发展
2024-12-13,6.350,6.090,6.370,5.970,30606658.000,hk00017,新世界发展
2024-12-16,6.080,5.720,6.080,5.670,37734467.000,hk00017,新世界发展
2024-12-17,5.680,5.650,5.740,5.580,13612766.000,hk00017,新世界发展
2024-12-18,5.640,5.270,5.640,5.270,38947674.000,hk00017,新世界发展
2024-12-19,5.230,5.180,5.260,5.050,28465267.000,hk00017,新世界发展
2024-12-20,5.120,5.200,5.260,5.120,17232762.000,hk00017,新世界发展
2024-12-23,5.200,5.240,5.310,5.180,9041850.000,hk00017,新世界发展
2024-12-24,5.300,5.380,5.410,5.280,8798978.000,hk00017,新世界发展
2024-12-27,5.380,5.250,5.450,5.210,9881583.000,hk00017,新世界发展
2024-12-30,5.260,5.220,5.260,4.990,17758511.000,hk00017,新世界发展
2024-12-31,5.220,5.160,5.220,5.100,5717568.000,hk00017,新世界发展
2025-01-02,5.150,5.040,5.150,4.960,16038186.000,hk00017,新世界发展
2025-01-03,5.060,4.950,5.130,4.950,6604944.000,hk00017,新世界发展
2025-01-06,4.950,4.930,5.020,4.910,10683427.000,hk00017,新世界发展
2025-01-07,4.910,4.910,4.950,4.830,10694823.000,hk00017,新世界发展
2025-01-08,4.860,4.780,4.860,4.710,10375456.000,hk00017,新世界发展
2025-01-09,4.740,4.660,4.800,4.610,12894959.000,hk00017,新世界发展
2025-01-10,4.660,4.440,4.660,4.400,20836312.000,hk00017,新世界发展
2025-01-13,4.410,4.210,4.410,4.180,20470081.000,hk00017,新世界发展
2025-01-14,4.210,4.180,4.310,4.130,17263181.000,hk00017,新世界发展
2025-01-15,4.190,4.300,4.380,4.170,14191683.000,hk00017,新世界发展
2025-01-16,4.390,4.370,4.800,4.270,31465611.000,hk00017,新世界发展
2025-01-17,4.440,4.400,4.550,4.330,14013991.000,hk00017,新世界发展
2025-01-20,4.480,4.250,4.530,4.180,25993731.000,hk00017,新世界发展
2025-01-21,4.250,4.300,4.420,4.210,18170854.000,hk00017,新世界发展
2025-01-22,4.310,4.040,4.320,4.010,24706107.000,hk00017,新世界发展
2025-01-23,4.060,4.060,4.170,4.040,18807932.000,hk00017,新世界发展
2025-01-24,4.130,4.170,4.260,4.120,15433563.000,hk00017,新世界发展
2025-01-27,4.230,4.190,4.390,4.130,34293791.000,hk00017,新世界发展
2025-01-28,4.210,4.170,4.250,4.140,6028156.000,hk00017,新世界发展
2025-02-03,4.140,4.130,4.260,4.030,12312338.000,hk00017,新世界发展
2025-02-04,4.150,4.180,4.270,4.060,10660521.000,hk00017,新世界发展
2025-02-05,4.180,4.080,4.200,4.030,11994122.000,hk00017,新世界发展
2025-02-06,4.080,4.100,4.140,4.050,8606422.000,hk00017,新世界发展
2025-02-07,4.110,4.290,4.300,4.040,38557232.000,hk00017,新世界发展
2025-02-10,4.340,4.310,4.420,4.260,27093746.000,hk00017,新世界发展
2025-02-11,4.340,4.080,4.350,4.070,24913332.000,hk00017,新世界发展
2025-02-12,4.120,4.340,4.350,4.060,32510464.000,hk00017,新世界发展
2025-02-13,4.350,4.150,4.360,4.120,25756065.000,hk00017,新世界发展
2025-02-14,4.180,4.290,4.290,4.160,21885271.000,hk00017,新世界发展
2025-02-17,4.360,4.260,4.450,4.220,20136163.000,hk00017,新世界发展
2025-02-18,4.260,4.180,4.260,4.140,18086161.000,hk00017,新世界发展
2025-02-19,4.180,4.320,4.320,4.130,17768648.000,hk00017,新世界发展
2025-02-20,4.290,4.160,4.310,4.160,16087022.000,hk00017,新世界发展
2025-02-21,4.200,4.430,4.550,4.160,38408184.000,hk00017,新世界发展
2025-02-24,4.460,4.730,4.860,4.290,61374646.000,hk00017,新世界发展
2025-02-25,4.600,4.490,4.670,4.470,30289470.000,hk00017,新世界发展
2025-02-26,4.500,4.780,4.840,4.500,45191902.000,hk00017,新世界发展
2025-02-27,4.780,4.780,4.800,4.660,32153291.000,hk00017,新世界发展
2025-02-28,4.790,4.820,4.920,4.680,53473509.000,hk00017,新世界发展
2025-03-03,4.860,5.360,5.620,4.860,107171272.000,hk00017,新世界发展
2025-03-04,5.250,5.360,5.420,5.180,45647114.000,hk00017,新世界发展
2025-03-05,5.390,5.140,5.510,5.120,33936619.000,hk00017,新世界发展
2025-03-06,5.250,5.430,5.480,5.190,38538192.000,hk00017,新世界发展
2025-03-07,5.430,5.300,5.470,5.250,18202136.000,hk00017,新世界发展
2025-03-10,5.340,5.450,5.600,5.300,21619779.000,hk00017,新世界发展
2025-03-11,5.300,5.360,5.390,5.250,14314564.000,hk00017,新世界发展
2025-03-12,5.320,5.180,5.380,5.130,18499081.000,hk00017,新世界发展
2025-03-13,5.250,5.240,5.370,5.150,20806020.000,hk00017,新世界发展
2025-03-14,5.330,5.320,5.430,5.230,17427520.000,hk00017,新世界发展
2025-03-17,5.490,5.480,5.660,5.380,29890501.000,hk00017,新世界发展
2025-03-18,5.550,5.900,6.030,5.480,47403118.000,hk00017,新世界发展
2025-03-19,6.000,5.900,6.000,5.780,18775754.000,hk00017,新世界发展
2025-03-20,5.900,5.690,5.950,5.620,16497689.000,hk00017,新世界发展
2025-03-21,5.610,5.560,5.610,5.340,66534092.000,hk00017,新世界发展
2025-03-24,5.560,5.500,5.570,5.350,9928566.000,hk00017,新世界发展
2025-03-25,5.500,5.310,5.500,5.310,10183701.000,hk00017,新世界发展
2025-03-26,5.310,5.350,5.420,5.310,8113831.000,hk00017,新世界发展
2025-03-27,5.350,5.260,5.360,5.230,6797958.000,hk00017,新世界发展
2025-03-28,5.270,5.160,5.320,5.110,12889592.000,hk00017,新世界发展
2025-03-31,5.140,4.930,5.140,4.910,17110474.000,hk00017,新世界发展
2025-04-01,5.050,4.990,5.060,4.960,10053984.000,hk00017,新世界发展
2025-04-02,4.980,4.960,5.020,4.910,8127433.000,hk00017,新世界发展
2025-04-03,4.880,4.930,4.990,4.800,10053970.000,hk00017,新世界发展
2025-04-07,4.510,4.260,4.570,4.200,34266863.000,hk00017,新世界发展
2025-04-08,4.250,4.350,4.430,4.250,12586288.000,hk00017,新世界发展
2025-04-09,4.230,4.370,4.430,4.140,19612991.000,hk00017,新世界发展
2025-04-10,4.470,4.550,4.630,4.420,14143140.000,hk00017,新世界发展
2025-04-11,4.550,4.480,4.590,4.460,11170022.000,hk00017,新世界发展
2025-04-14,4.530,4.630,4.630,4.510,7890700.000,hk00017,新世界发展
2025-04-15,4.630,4.520,4.650,4.520,5225348.000,hk00017,新世界发展
2025-04-16,4.500,4.480,4.570,4.420,5119997.000,hk00017,新世界发展
2025-04-17,4.440,4.580,4.690,4.440,10320372.000,hk00017,新世界发展
2025-04-22,4.590,4.580,4.640,4.550,8566186.000,hk00017,新世界发展
2025-04-23,4.610,4.670,4.690,4.600,8139128.000,hk00017,新世界发展
2025-04-24,4.640,4.610,4.660,4.500,9128034.000,hk00017,新世界发展
2025-04-25,4.610,4.800,5.300,4.580,31303668.000,hk00017,新世界发展
2025-04-28,4.820,4.660,4.820,4.630,6113039.000,hk00017,新世界发展
2025-04-29,4.640,4.660,4.720,4.620,5355605.000,hk00017,新世界发展
2025-04-30,4.660,4.760,4.800,4.650,5910668.000,hk00017,新世界发展
2025-05-02,4.760,4.820,4.850,4.750,4000655.000,hk00017,新世界发展
2025-05-06,4.830,4.830,4.890,4.770,4356529.000,hk00017,新世界发展
2025-05-07,4.890,4.900,5.040,4.890,10963167.000,hk00017,新世界发展
2025-05-08,4.950,4.820,4.950,4.780,6467874.000,hk00017,新世界发展
2025-05-09,4.820,4.810,4.820,4.720,6099418.000,hk00017,新世界发展
2025-05-12,4.810,5.100,5.150,4.810,14758924.000,hk00017,新世界发展
2025-05-13,5.100,5.040,5.190,5.030,7958012.000,hk00017,新世界发展
2025-05-14,5.050,5.040,5.100,4.940,6644172.000,hk00017,新世界发展
2025-05-15,5.070,4.900,5.070,4.870,9093084.000,hk00017,新世界发展
2025-05-16,4.900,4.730,4.900,4.720,7767315.000,hk00017,新世界发展
2025-05-19,4.700,4.500,4.710,4.480,15105032.000,hk00017,新世界发展
2025-05-20,4.510,4.560,4.590,4.460,10618083.000,hk00017,新世界发展
2025-05-21,4.560,4.510,4.590,4.500,5889519.000,hk00017,新世界发展
2025-05-22,4.500,4.420,4.500,4.390,9281600.000,hk00017,新世界发展
2025-05-23,4.460,4.720,4.810,4.460,23123254.000,hk00017,新世界发展
2025-05-26,4.730,4.600,4.730,4.580,6104445.000,hk00017,新世界发展
2025-05-27,4.600,4.560,4.610,4.540,4754446.000,hk00017,新世界发展
2025-05-28,4.580,4.550,4.650,4.520,3482200.000,hk00017,新世界发展
