date,open,high,low,close,volume,code,name
2024-11-29,77.000,77.250,78.200,76.700,2100184.000,hk00016,新鸿基地产
2024-12-02,77.050,77.000,78.600,76.600,2674743.000,hk00016,新鸿基地产
2024-12-03,77.000,78.250,78.300,76.800,3609911.000,hk00016,新鸿基地产
2024-12-04,77.050,77.900,78.250,77.000,2929946.000,hk00016,新鸿基地产
2024-12-05,77.800,77.350,77.800,76.950,1790070.000,hk00016,新鸿基地产
2024-12-06,77.400,77.550,78.100,77.050,3877657.000,hk00016,新鸿基地产
2024-12-09,77.350,77.900,77.900,76.100,3510088.000,hk00016,新鸿基地产
2024-12-10,80.500,78.500,80.700,78.400,5285451.000,hk00016,新鸿基地产
2024-12-11,78.650,76.500,79.350,76.250,2834453.000,hk00016,新鸿基地产
2024-12-12,76.350,76.750,77.750,75.500,2685239.000,hk00016,新鸿基地产
2024-12-13,76.200,75.500,76.500,75.100,3401356.000,hk00016,新鸿基地产
2024-12-16,75.000,74.850,75.400,74.400,2784973.000,hk00016,新鸿基地产
2024-12-17,74.100,74.000,74.750,73.500,2739004.000,hk00016,新鸿基地产
2024-12-18,73.800,73.950,74.200,73.450,2113925.000,hk00016,新鸿基地产
2024-12-19,72.900,72.300,73.000,71.800,6634060.000,hk00016,新鸿基地产
2024-12-20,71.700,72.600,73.650,71.700,5914380.000,hk00016,新鸿基地产
2024-12-23,72.850,73.050,73.900,72.850,1810594.000,hk00016,新鸿基地产
2024-12-24,73.250,74.500,75.400,73.250,2684339.000,hk00016,新鸿基地产
2024-12-27,73.900,74.400,75.350,73.900,2086379.000,hk00016,新鸿基地产
2024-12-30,74.700,74.450,75.000,73.750,3263700.000,hk00016,新鸿基地产
2024-12-31,74.150,74.650,75.400,74.150,2239500.000,hk00016,新鸿基地产
2025-01-02,74.450,73.800,74.850,73.500,3042914.000,hk00016,新鸿基地产
2025-01-03,74.650,74.000,74.950,73.500,1837755.000,hk00016,新鸿基地产
2025-01-06,73.900,73.650,74.250,73.300,1419571.000,hk00016,新鸿基地产
2025-01-07,73.000,73.200,74.400,72.800,2486070.000,hk00016,新鸿基地产
2025-01-08,72.550,71.700,72.950,71.100,3726254.000,hk00016,新鸿基地产
2025-01-09,71.600,71.200,71.800,71.100,2109057.000,hk00016,新鸿基地产
2025-01-10,71.700,71.200,72.000,70.850,1871834.000,hk00016,新鸿基地产
2025-01-13,70.500,70.100,71.000,69.150,3252364.000,hk00016,新鸿基地产
2025-01-14,70.100,70.100,70.700,69.850,3516570.000,hk00016,新鸿基地产
2025-01-15,69.800,70.850,71.050,69.800,3280745.000,hk00016,新鸿基地产
2025-01-16,70.750,70.200,71.650,70.050,4128534.000,hk00016,新鸿基地产
2025-01-17,69.850,69.900,70.450,69.600,3166117.000,hk00016,新鸿基地产
2025-01-20,70.000,71.250,72.150,70.000,3210059.000,hk00016,新鸿基地产
2025-01-21,71.250,71.400,72.150,70.750,3079456.000,hk00016,新鸿基地产
2025-01-22,71.400,70.700,71.500,70.500,2558601.000,hk00016,新鸿基地产
2025-01-23,70.050,69.450,70.750,69.350,3921941.000,hk00016,新鸿基地产
2025-01-24,69.800,69.700,70.150,69.300,2632611.000,hk00016,新鸿基地产
2025-01-27,70.100,70.050,70.550,69.600,2492924.000,hk00016,新鸿基地产
2025-01-28,70.150,69.800,71.450,69.000,1852033.000,hk00016,新鸿基地产
2025-02-03,68.100,70.500,70.600,68.100,3104744.000,hk00016,新鸿基地产
2025-02-04,71.650,71.150,71.650,69.750,3589806.000,hk00016,新鸿基地产
2025-02-05,70.000,69.750,70.550,69.550,3696511.000,hk00016,新鸿基地产
