date,open,high,low,close,volume,code,name
2024-11-29,15.620,15.960,16.240,15.480,16453873.000,hk02331,李宁
2024-12-02,16.000,16.320,16.500,15.820,21877957.000,hk02331,李宁
2024-12-03,16.240,16.440,16.460,15.960,15340282.000,hk02331,李宁
2024-12-04,16.480,16.420,16.600,16.260,9774111.000,hk02331,李宁
2024-12-05,16.180,16.060,16.260,15.940,18534313.000,hk02331,李宁
2024-12-06,16.080,16.600,16.760,16.040,22039353.000,hk02331,李宁
2024-12-09,16.520,17.440,17.500,16.380,32724624.000,hk02331,李宁
2024-12-10,18.200,17.500,18.480,17.340,43973404.000,hk02331,李宁
2024-12-11,17.500,17.180,17.900,17.080,13882049.000,hk02331,李宁
2024-12-12,17.140,17.640,17.960,16.820,21315593.000,hk02331,李宁
2024-12-13,17.300,17.000,17.660,16.960,17186732.000,hk02331,李宁
2024-12-16,17.120,16.720,17.240,16.520,13965521.000,hk02331,李宁
2024-12-17,16.560,16.860,17.240,16.520,16770582.000,hk02331,李宁
2024-12-18,16.920,16.880,17.240,16.840,11303835.000,hk02331,李宁
2024-12-19,16.680,16.700,17.020,16.580,10348630.000,hk02331,李宁
2024-12-20,16.540,16.740,17.020,16.540,11740639.000,hk02331,李宁
2024-12-23,16.920,16.560,17.060,16.240,16177176.000,hk02331,李宁
2024-12-24,16.600,16.780,16.840,16.360,11719000.000,hk02331,李宁
2024-12-27,16.820,16.560,16.840,16.200,18159000.000,hk02331,李宁
2024-12-30,16.680,16.300,16.780,16.000,19199509.000,hk02331,李宁
2024-12-31,16.340,16.460,16.760,16.260,12042799.000,hk02331,李宁
2025-01-02,16.460,15.880,16.520,15.740,20789521.000,hk02331,李宁
2025-01-03,15.880,15.740,16.120,15.580,15379711.000,hk02331,李宁
2025-01-06,15.780,15.800,16.000,15.640,15003257.000,hk02331,李宁
2025-01-07,15.640,16.260,16.340,15.640,25467787.000,hk02331,李宁
2025-01-08,16.340,16.380,16.480,16.040,20593469.000,hk02331,李宁
2025-01-09,16.380,15.560,16.680,15.460,42031707.000,hk02331,李宁
2025-01-10,15.620,14.820,15.700,14.720,43904074.000,hk02331,李宁
2025-01-13,14.600,14.660,14.780,14.320,23099350.000,hk02331,李宁
2025-01-14,14.660,15.000,15.320,14.500,24461373.000,hk02331,李宁
2025-01-15,14.980,15.160,15.460,14.980,16965630.000,hk02331,李宁
2025-01-16,15.340,15.480,15.860,15.340,18838500.000,hk02331,李宁
2025-01-17,15.480,15.340,15.580,15.220,15723678.000,hk02331,李宁
2025-01-20,15.600,15.560,15.960,15.500,16339896.000,hk02331,李宁
2025-01-21,15.880,15.740,15.900,15.600,12011620.000,hk02331,李宁
2025-01-22,15.680,15.580,15.720,15.400,14987454.000,hk02331,李宁
2025-01-23,15.700,15.540,15.940,15.400,16282843.000,hk02331,李宁
2025-01-24,15.540,15.820,15.980,15.480,17004048.000,hk02331,李宁
2025-01-27,15.740,15.780,15.920,15.640,13829985.000,hk02331,李宁
2025-01-28,15.940,16.020,16.040,15.640,6028855.000,hk02331,李宁
2025-02-03,15.480,15.560,15.580,14.800,22788531.000,hk02331,李宁
2025-02-04,15.700,16.440,16.660,15.620,26215530.000,hk02331,李宁
2025-02-05,16.340,16.200,16.340,15.820,18512168.000,hk02331,李宁
2025-02-06,16.200,16.220,16.240,15.940,10016692.000,hk02331,李宁
2025-02-07,16.240,16.260,16.340,15.880,27443249.000,hk02331,李宁
2025-02-10,16.260,16.060,16.260,15.900,24608009.000,hk02331,李宁
2025-02-11,16.040,15.620,16.040,15.480,27101884.000,hk02331,李宁
2025-02-12,15.760,15.860,15.980,15.600,26595651.000,hk02331,李宁
2025-02-13,15.860,16.040,16.620,15.680,41336181.000,hk02331,李宁
2025-02-14,16.320,16.800,16.800,16.140,32429504.000,hk02331,李宁
2025-02-17,16.700,16.420,16.860,16.220,27672040.000,hk02331,李宁
2025-02-18,16.500,16.260,16.560,16.000,23858300.000,hk02331,李宁
2025-02-19,16.060,16.480,16.480,15.800,23233725.000,hk02331,李宁
2025-02-20,16.360,16.420,16.780,16.200,18861269.000,hk02331,李宁
2025-02-21,16.680,16.560,16.700,16.200,28645795.000,hk02331,李宁
2025-02-24,16.400,17.060,17.300,16.080,49796542.000,hk02331,李宁
2025-02-25,16.840,16.680,16.840,16.460,25000362.000,hk02331,李宁
2025-02-26,16.820,17.200,17.380,16.820,39329309.000,hk02331,李宁
2025-02-27,17.200,17.660,17.940,16.860,55507560.000,hk02331,李宁
2025-02-28,17.560,17.080,18.120,16.940,56225885.000,hk02331,李宁
2025-03-03,17.120,17.240,17.720,17.060,31450474.000,hk02331,李宁
2025-03-04,17.120,17.000,17.120,16.640,20331365.000,hk02331,李宁
2025-03-05,17.120,17.340,17.560,16.860,21749250.000,hk02331,李宁
2025-03-06,17.700,17.780,17.980,17.440,26783191.000,hk02331,李宁
2025-03-07,17.640,18.660,19.280,17.560,94137894.000,hk02331,李宁
2025-03-10,18.700,17.820,18.700,17.520,37435078.000,hk02331,李宁
2025-03-11,17.360,18.220,18.320,17.180,26471298.000,hk02331,李宁
2025-03-12,18.200,17.740,18.440,17.500,26105181.000,hk02331,李宁
2025-03-13,17.760,17.240,17.920,17.020,22859358.000,hk02331,李宁
2025-03-14,17.480,18.340,18.460,17.320,43630798.000,hk02331,李宁
2025-03-17,18.800,18.980,19.540,18.800,54246154.000,hk02331,李宁
2025-03-18,19.300,19.160,19.340,18.600,31976416.000,hk02331,李宁
2025-03-19,19.160,18.920,19.260,18.840,25585925.000,hk02331,李宁
2025-03-20,18.920,18.020,18.920,17.860,44991373.000,hk02331,李宁
2025-03-21,17.940,17.380,17.960,17.120,42306932.000,hk02331,李宁
2025-03-24,17.380,17.020,17.380,16.800,36014708.000,hk02331,李宁
2025-03-25,16.860,16.980,17.340,16.720,25844923.000,hk02331,李宁
2025-03-26,17.160,17.160,17.340,16.940,17856279.000,hk02331,李宁
2025-03-27,17.000,17.100,17.460,16.840,17946126.000,hk02331,李宁
2025-03-28,17.700,17.160,18.240,16.980,69078021.000,hk02331,李宁
2025-03-31,16.800,15.920,16.820,15.560,87503331.000,hk02331,李宁
2025-04-01,15.940,15.780,16.080,15.620,34510760.000,hk02331,李宁
2025-04-02,15.640,15.620,15.760,15.420,37868185.000,hk02331,李宁
2025-04-03,15.220,15.540,15.620,15.160,31841720.000,hk02331,李宁
2025-04-07,14.320,13.960,14.860,13.800,87026235.000,hk02331,李宁
2025-04-08,13.960,14.280,14.480,13.960,54015635.000,hk02331,李宁
2025-04-09,13.800,14.520,14.720,13.500,66421592.000,hk02331,李宁
2025-04-10,14.700,14.900,15.260,14.560,49609208.000,hk02331,李宁
2025-04-11,14.900,15.260,15.620,14.840,39643182.000,hk02331,李宁
2025-04-14,15.440,15.480,15.720,15.260,24126322.000,hk02331,李宁
2025-04-15,15.400,15.380,15.600,15.280,18025591.000,hk02331,李宁
2025-04-16,15.260,14.900,15.300,14.640,29484587.000,hk02331,李宁
2025-04-17,14.720,14.940,15.060,14.620,25822342.000,hk02331,李宁
2025-04-22,14.880,14.880,14.900,14.600,24903540.000,hk02331,李宁
2025-04-23,15.180,15.080,15.280,14.960,33783231.000,hk02331,李宁
2025-04-24,15.020,15.020,15.340,14.860,15385311.000,hk02331,李宁
2025-04-25,15.160,15.100,15.380,14.940,15541502.000,hk02331,李宁
2025-04-28,15.100,15.000,15.100,14.860,10647792.000,hk02331,李宁
2025-04-29,14.780,14.620,14.800,14.460,32036955.000,hk02331,李宁
2025-04-30,14.500,14.700,14.700,14.480,16480727.000,hk02331,李宁
2025-05-02,14.640,15.240,15.400,14.620,17738500.000,hk02331,李宁
2025-05-06,15.240,15.200,15.300,15.040,13563361.000,hk02331,李宁
2025-05-07,15.440,15.320,15.560,15.200,16000346.000,hk02331,李宁
2025-05-08,15.320,15.280,15.460,15.100,11390007.000,hk02331,李宁
2025-05-09,15.280,15.380,15.480,15.220,11293448.000,hk02331,李宁
2025-05-12,15.580,15.640,15.880,15.400,26000731.000,hk02331,李宁
