date,open,high,low,close,volume,code,name
2023-08-17,26.950,27.200,28.200,26.550,2403490.000,hk00973,欧舒丹
2023-08-18,26.800,26.900,27.050,26.600,1308905.000,hk00973,欧舒丹
2023-08-21,26.900,27.100,27.250,26.550,1447118.000,hk00973,欧舒丹
2023-08-22,26.850,26.800,27.050,26.550,705180.000,hk00973,欧舒丹
2023-08-23,26.550,26.800,27.000,26.500,981884.000,hk00973,欧舒丹
2023-08-24,26.900,27.050,27.700,26.900,1622483.000,hk00973,欧舒丹
2023-08-25,27.000,27.250,27.500,26.900,700226.000,hk00973,欧舒丹
2023-08-28,27.500,27.600,27.650,27.000,370348.000,hk00973,欧舒丹
2023-08-29,27.500,27.600,27.700,27.200,452009.000,hk00973,欧舒丹
2023-08-30,27.450,27.500,27.750,27.250,525500.000,hk00973,欧舒丹
2023-08-31,27.400,27.800,27.800,27.100,866750.000,hk00973,欧舒丹
2023-09-01,27.800,27.800,27.800,27.800,0.000,hk00973,欧舒丹
2023-09-05,19.900,23.000,23.300,19.700,11321769.000,hk00973,欧舒丹
2023-09-06,23.000,23.650,24.000,22.650,2382235.000,hk00973,欧舒丹
2023-09-07,23.600,23.250,23.800,22.950,400798.000,hk00973,欧舒丹
2023-09-08,23.250,23.250,23.250,23.250,0.000,hk00973,欧舒丹
2023-09-11,23.200,24.250,24.400,22.750,1129769.000,hk00973,欧舒丹
2023-09-12,24.250,25.000,25.300,24.250,689000.000,hk00973,欧舒丹
2023-09-13,25.000,23.850,25.100,23.350,1356979.000,hk00973,欧舒丹
2023-09-14,23.850,24.300,24.550,23.450,547633.000,hk00973,欧舒丹
2023-09-15,24.300,24.700,25.000,24.300,821172.000,hk00973,欧舒丹
2023-09-18,24.750,24.550,24.950,24.150,133346.000,hk00973,欧舒丹
2023-09-19,24.650,24.450,24.750,24.000,211028.000,hk00973,欧舒丹
2023-09-20,24.250,23.900,24.250,23.800,565334.000,hk00973,欧舒丹
2023-09-21,24.350,24.400,24.700,24.050,1014767.000,hk00973,欧舒丹
2023-09-22,24.300,23.550,24.300,23.250,741147.000,hk00973,欧舒丹
2023-09-25,23.550,23.150,23.650,23.050,562250.000,hk00973,欧舒丹
2023-09-26,23.000,23.100,23.150,22.250,484750.000,hk00973,欧舒丹
2023-09-27,23.250,23.000,23.250,22.650,587250.000,hk00973,欧舒丹
2023-09-28,23.500,22.800,23.500,22.650,515326.000,hk00973,欧舒丹
2023-09-29,22.900,23.400,23.500,22.850,833538.000,hk00973,欧舒丹
2023-10-03,22.700,22.700,23.200,22.400,497270.000,hk00973,欧舒丹
2023-10-04,22.500,22.300,22.850,21.950,238780.000,hk00973,欧舒丹
2023-10-05,21.800,22.300,22.500,21.800,464940.000,hk00973,欧舒丹
2023-10-06,22.000,22.500,22.700,21.650,507024.000,hk00973,欧舒丹
2023-10-09,22.500,22.850,23.000,22.500,372000.000,hk00973,欧舒丹
2023-10-10,22.250,22.250,23.400,22.250,161475.000,hk00973,欧舒丹
2023-10-11,21.900,22.000,22.750,21.900,438033.000,hk00973,欧舒丹
2023-10-12,22.200,22.250,22.500,21.800,83387.000,hk00973,欧舒丹
2023-10-13,21.950,21.700,22.250,21.700,140077.000,hk00973,欧舒丹
2023-10-16,21.650,21.050,21.800,20.600,536909.000,hk00973,欧舒丹
2023-10-17,20.700,20.900,21.200,20.500,371133.000,hk00973,欧舒丹
2023-10-18,20.800,20.550,21.000,20.250,404873.000,hk00973,欧舒丹
2023-10-19,20.050,20.100,20.500,20.050,133088.000,hk00973,欧舒丹
2023-10-20,20.000,20.450,20.700,20.000,291722.000,hk00973,欧舒丹
2023-10-24,20.550,21.200,21.900,20.550,2293750.000,hk00973,欧舒丹
2023-10-25,21.800,20.650,22.350,20.150,1303670.000,hk00973,欧舒丹
2023-10-26,20.800,20.300,20.800,20.050,537982.000,hk00973,欧舒丹
2023-10-27,20.300,20.350,20.550,20.050,253451.000,hk00973,欧舒丹
2023-10-30,20.250,20.100,20.300,19.820,815155.000,hk00973,欧舒丹
2023-10-31,20.100,20.100,20.400,19.900,1129208.000,hk00973,欧舒丹
2023-11-01,20.000,20.050,20.200,19.740,429000.000,hk00973,欧舒丹
