date,open,high,low,close,volume,code,name
2024-11-29,250.400,253.600,254.800,249.600,3901688.000,hk01211,比亚迪股份
2024-12-02,256.000,259.800,264.000,254.000,5375396.000,hk01211,比亚迪股份
2024-12-03,265.000,262.400,265.000,259.800,4848475.000,hk01211,比亚迪股份
2024-12-04,262.400,260.400,263.600,258.400,3234313.000,hk01211,比亚迪股份
2024-12-05,257.200,255.800,258.000,252.600,5435978.000,hk01211,比亚迪股份
2024-12-06,256.000,266.000,267.000,255.800,6795425.000,hk01211,比亚迪股份
2024-12-09,265.000,273.800,274.600,263.800,5431958.000,hk01211,比亚迪股份
2024-12-10,286.800,272.400,286.800,271.600,10819880.000,hk01211,比亚迪股份
2024-12-11,273.200,273.400,277.600,270.800,5596001.000,hk01211,比亚迪股份
2024-12-12,272.400,280.000,281.400,271.800,6605842.000,hk01211,比亚迪股份
2024-12-13,280.000,268.600,280.000,268.000,4923231.000,hk01211,比亚迪股份
2024-12-16,265.600,262.200,269.800,261.800,5307686.000,hk01211,比亚迪股份
2024-12-17,261.600,266.600,272.200,261.600,5076851.000,hk01211,比亚迪股份
2024-12-18,271.200,269.800,271.600,267.600,3296969.000,hk01211,比亚迪股份
2024-12-19,266.200,268.600,269.800,263.200,3221116.000,hk01211,比亚迪股份
2024-12-20,267.000,267.000,270.600,266.000,4787603.000,hk01211,比亚迪股份
2024-12-23,267.000,269.600,271.400,263.400,4747863.000,hk01211,比亚迪股份
2024-12-24,266.200,273.800,277.800,266.200,3278418.000,hk01211,比亚迪股份
2024-12-27,273.800,273.600,277.400,272.400,2779849.000,hk01211,比亚迪股份
2024-12-30,273.000,268.200,274.600,265.600,4677178.000,hk01211,比亚迪股份
2024-12-31,266.000,266.600,270.000,264.200,2563603.000,hk01211,比亚迪股份
2025-01-02,264.600,258.200,264.800,255.000,5548787.000,hk01211,比亚迪股份
2025-01-03,258.200,258.000,260.000,251.400,4903035.000,hk01211,比亚迪股份
2025-01-06,260.600,256.600,260.600,254.400,4783657.000,hk01211,比亚迪股份
2025-01-07,257.000,259.200,261.800,254.600,4978442.000,hk01211,比亚迪股份
2025-01-08,259.600,254.400,259.600,250.600,6000217.000,hk01211,比亚迪股份
2025-01-09,256.400,255.800,257.800,253.400,3796588.000,hk01211,比亚迪股份
2025-01-10,255.800,251.400,257.200,250.000,5070705.000,hk01211,比亚迪股份
2025-01-13,249.200,249.200,250.000,245.400,4908390.000,hk01211,比亚迪股份
2025-01-14,250.200,257.000,260.000,249.000,5720080.000,hk01211,比亚迪股份
2025-01-15,256.600,258.800,259.000,255.400,3318117.000,hk01211,比亚迪股份
2025-01-16,260.800,261.000,263.000,257.400,3695401.000,hk01211,比亚迪股份
2025-01-17,263.000,263.800,264.600,260.000,3674298.000,hk01211,比亚迪股份
2025-01-20,269.000,275.000,278.400,266.800,11406291.000,hk01211,比亚迪股份
2025-01-21,279.000,279.600,282.000,276.800,6253518.000,hk01211,比亚迪股份
2025-01-22,276.200,276.600,279.200,272.800,5666931.000,hk01211,比亚迪股份
2025-01-23,276.400,270.600,278.600,269.000,5210302.000,hk01211,比亚迪股份
2025-01-24,274.200,274.400,276.000,269.600,3492834.000,hk01211,比亚迪股份
2025-01-27,274.600,274.800,275.800,272.800,2904713.000,hk01211,比亚迪股份
2025-01-28,276.000,273.000,277.000,270.200,1972170.000,hk01211,比亚迪股份
2025-02-03,271.600,274.600,275.000,266.000,5126771.000,hk01211,比亚迪股份
2025-02-04,277.400,286.200,286.600,276.200,7244305.000,hk01211,比亚迪股份
2025-02-05,286.600,283.200,286.600,277.600,7225683.000,hk01211,比亚迪股份
2025-02-06,284.000,315.800,316.400,279.000,18715618.000,hk01211,比亚迪股份
2025-02-07,316.400,330.000,332.400,316.000,27970204.000,hk01211,比亚迪股份
2025-02-10,330.000,330.200,332.000,325.000,13000822.000,hk01211,比亚迪股份
2025-02-11,343.600,327.800,345.000,326.000,18643090.000,hk01211,比亚迪股份
2025-02-12,330.000,352.000,354.200,327.400,23076285.000,hk01211,比亚迪股份
2025-02-13,350.000,339.000,354.200,338.200,18678175.000,hk01211,比亚迪股份
2025-02-14,345.800,364.200,366.400,345.000,17852086.000,hk01211,比亚迪股份
2025-02-17,366.000,355.200,372.400,345.800,18300634.000,hk01211,比亚迪股份
2025-02-18,364.000,365.600,371.600,359.400,15599309.000,hk01211,比亚迪股份
2025-02-19,365.600,368.200,369.800,361.800,8668059.000,hk01211,比亚迪股份
