date,open,high,low,close,volume,code,name
2024-11-29,5.730,5.780,5.910,5.660,18646729.000,hk03993,洛阳钼业
2024-12-02,5.860,5.850,5.930,5.800,13038000.000,hk03993,洛阳钼业
2024-12-03,5.930,5.850,5.930,5.760,15801867.000,hk03993,洛阳钼业
2024-12-04,5.900,5.860,5.950,5.840,12854727.000,hk03993,洛阳钼业
2024-12-05,5.860,5.760,5.860,5.690,17856853.000,hk03993,洛阳钼业
2024-12-06,5.760,5.780,5.840,5.680,17752432.000,hk03993,洛阳钼业
2024-12-09,5.800,5.920,5.950,5.680,24485394.000,hk03993,洛阳钼业
2024-12-10,6.160,5.760,6.160,5.760,29264176.000,hk03993,洛阳钼业
2024-12-11,5.820,5.840,6.000,5.720,20281038.000,hk03993,洛阳钼业
2024-12-12,5.840,5.870,5.950,5.780,23255360.000,hk03993,洛阳钼业
2024-12-13,5.870,5.610,5.870,5.560,36725472.000,hk03993,洛阳钼业
2024-12-16,5.510,5.480,5.670,5.480,29586854.000,hk03993,洛阳钼业
2024-12-17,5.480,5.430,5.520,5.370,45914667.000,hk03993,洛阳钼业
2024-12-18,5.460,5.350,5.460,5.350,42547709.000,hk03993,洛阳钼业
2024-12-19,5.260,5.490,5.500,5.210,29919170.000,hk03993,洛阳钼业
2024-12-20,5.490,5.310,5.490,5.300,26436203.000,hk03993,洛阳钼业
2024-12-23,5.340,5.360,5.400,5.290,17775596.000,hk03993,洛阳钼业
2024-12-24,5.360,5.340,5.420,5.260,20223529.000,hk03993,洛阳钼业
2024-12-27,5.330,5.300,5.340,5.170,41379552.000,hk03993,洛阳钼业
2024-12-30,5.300,5.250,5.360,5.190,23824516.000,hk03993,洛阳钼业
2024-12-31,5.270,5.250,5.330,5.150,14698470.000,hk03993,洛阳钼业
2025-01-02,5.240,5.270,5.360,5.190,22428803.000,hk03993,洛阳钼业
2025-01-03,5.300,5.420,5.580,5.300,27101060.000,hk03993,洛阳钼业
2025-01-06,5.420,5.470,5.520,5.360,17350085.000,hk03993,洛阳钼业
2025-01-07,5.530,5.710,5.730,5.430,41975985.000,hk03993,洛阳钼业
2025-01-08,5.710,5.520,5.710,5.480,22143636.000,hk03993,洛阳钼业
2025-01-09,5.590,5.500,5.590,5.470,13166348.000,hk03993,洛阳钼业
2025-01-10,5.500,5.730,5.770,5.500,35014497.000,hk03993,洛阳钼业
2025-01-13,5.670,5.690,5.780,5.600,26294171.000,hk03993,洛阳钼业
2025-01-14,5.610,5.710,5.750,5.560,23154458.000,hk03993,洛阳钼业
2025-01-15,5.710,5.540,5.710,5.500,19167356.000,hk03993,洛阳钼业
2025-01-16,5.550,5.660,5.770,5.550,32574000.000,hk03993,洛阳钼业
2025-01-17,5.710,5.830,5.870,5.630,27424487.000,hk03993,洛阳钼业
2025-01-20,5.880,5.740,5.900,5.710,23323939.000,hk03993,洛阳钼业
2025-01-21,5.850,5.720,5.850,5.700,15699125.000,hk03993,洛阳钼业
2025-01-22,5.740,5.770,5.810,5.610,28902909.000,hk03993,洛阳钼业
2025-01-23,5.940,5.810,6.030,5.760,50397155.000,hk03993,洛阳钼业
2025-01-24,5.910,6.030,6.080,5.850,43217607.000,hk03993,洛阳钼业
2025-01-27,6.050,6.050,6.120,5.970,29020805.000,hk03993,洛阳钼业
2025-01-28,6.060,5.720,6.080,5.680,25654082.000,hk03993,洛阳钼业
2025-02-03,5.670,5.690,5.750,5.590,24854285.000,hk03993,洛阳钼业
2025-02-04,5.760,6.020,6.080,5.740,34699390.000,hk03993,洛阳钼业
2025-02-05,6.050,5.940,6.050,5.830,36321204.000,hk03993,洛阳钼业
2025-02-06,6.000,5.920,6.000,5.840,32442520.000,hk03993,洛阳钼业
2025-02-07,5.950,5.980,6.010,5.800,25220969.000,hk03993,洛阳钼业
2025-02-10,6.040,6.280,6.330,6.010,65624758.000,hk03993,洛阳钼业
2025-02-11,6.380,6.120,6.400,6.110,37882817.000,hk03993,洛阳钼业
2025-02-12,6.150,5.940,6.160,5.860,54732351.000,hk03993,洛阳钼业
2025-02-13,5.970,5.810,6.000,5.790,41565220.000,hk03993,洛阳钼业
2025-02-14,5.910,6.000,6.000,5.820,26416000.000,hk03993,洛阳钼业
2025-02-17,5.960,5.780,5.960,5.720,43540871.000,hk03993,洛阳钼业
2025-02-18,5.820,5.700,5.820,5.610,53546165.000,hk03993,洛阳钼业
2025-02-19,5.640,5.710,5.720,5.630,24139038.000,hk03993,洛阳钼业
2025-02-20,5.710,5.640,5.710,5.570,31379386.000,hk03993,洛阳钼业
2025-02-21,5.670,5.650,5.700,5.580,31629808.000,hk03993,洛阳钼业
2025-02-24,5.600,5.640,5.650,5.520,30885487.000,hk03993,洛阳钼业
2025-02-25,5.580,5.480,5.620,5.450,31889989.000,hk03993,洛阳钼业
2025-02-26,5.510,5.540,5.570,5.460,41673214.000,hk03993,洛阳钼业
2025-02-27,5.550,5.510,5.550,5.380,36384294.000,hk03993,洛阳钼业
2025-02-28,5.480,5.210,5.480,5.200,64126512.000,hk03993,洛阳钼业
2025-03-03,5.230,5.250,5.350,5.210,39591482.000,hk03993,洛阳钼业
2025-03-04,5.220,5.330,5.360,5.160,27036665.000,hk03993,洛阳钼业
2025-03-05,5.330,5.510,5.530,5.320,39687531.000,hk03993,洛阳钼业
2025-03-06,5.640,5.770,5.800,5.640,68064454.000,hk03993,洛阳钼业
2025-03-07,5.780,5.910,6.020,5.720,76280645.000,hk03993,洛阳钼业
2025-03-10,6.030,6.400,6.550,6.000,236837171.000,hk03993,洛阳钼业
2025-03-11,6.240,6.210,6.290,6.040,104333691.000,hk03993,洛阳钼业
2025-03-12,6.360,6.290,6.500,6.220,81467393.000,hk03993,洛阳钼业
2025-03-13,6.340,6.330,6.540,6.240,73648592.000,hk03993,洛阳钼业
2025-03-14,6.520,6.350,6.670,6.270,91955708.000,hk03993,洛阳钼业
2025-03-17,6.300,6.280,6.500,6.220,68683000.000,hk03993,洛阳钼业
2025-03-18,6.360,6.500,6.720,6.200,90716619.000,hk03993,洛阳钼业
2025-03-19,6.540,6.510,6.580,6.430,36620253.000,hk03993,洛阳钼业
2025-03-20,6.610,6.530,6.790,6.480,77818281.000,hk03993,洛阳钼业
2025-03-21,6.600,6.150,6.660,6.130,84933687.000,hk03993,洛阳钼业
2025-03-24,6.250,6.720,6.830,6.240,193924555.000,hk03993,洛阳钼业
2025-03-25,6.750,6.840,7.000,6.710,95243487.000,hk03993,洛阳钼业
