date,open,high,low,close,volume,code,name
2024-11-29,20.250,20.300,20.800,20.150,2956217.000,hk00914,海螺水泥
2024-12-02,20.300,20.700,20.800,20.150,2974860.000,hk00914,海螺水泥
2024-12-03,20.700,20.850,20.900,20.500,4682364.000,hk00914,海螺水泥
2024-12-04,20.800,20.400,20.900,20.300,5202213.000,hk00914,海螺水泥
2024-12-05,20.400,20.700,20.800,20.400,3691869.000,hk00914,海螺水泥
2024-12-06,20.650,20.900,21.050,20.650,2702650.000,hk00914,海螺水泥
2024-12-09,21.000,21.750,21.900,20.750,7171369.000,hk00914,海螺水泥
2024-12-10,22.000,21.000,22.650,20.800,16712063.000,hk00914,海螺水泥
2024-12-11,22.250,21.050,22.250,20.800,8365048.000,hk00914,海螺水泥
2024-12-12,20.800,21.650,21.900,20.800,6150176.000,hk00914,海螺水泥
2024-12-13,21.400,21.050,21.400,20.900,5636022.000,hk00914,海螺水泥
2024-12-16,21.050,20.450,21.100,20.050,4858861.000,hk00914,海螺水泥
2024-12-17,20.150,19.880,20.250,19.700,5720433.000,hk00914,海螺水泥
2024-12-18,19.980,19.860,20.100,19.720,6604481.000,hk00914,海螺水泥
2024-12-19,19.800,19.520,19.800,19.420,4964151.000,hk00914,海螺水泥
2024-12-20,19.520,19.440,19.680,19.300,4536644.000,hk00914,海螺水泥
2024-12-23,19.440,19.580,19.800,19.300,4381224.000,hk00914,海螺水泥
2024-12-24,19.500,19.820,20.000,19.480,2577898.000,hk00914,海螺水泥
2024-12-27,19.940,19.800,19.940,19.540,4548624.000,hk00914,海螺水泥
2024-12-30,19.640,19.680,19.820,19.420,4043234.000,hk00914,海螺水泥
2024-12-31,19.660,19.880,19.900,19.500,2122173.000,hk00914,海螺水泥
2025-01-02,19.880,19.140,19.880,18.880,5450657.000,hk00914,海螺水泥
2025-01-03,19.280,19.060,19.460,18.960,3700014.000,hk00914,海螺水泥
2025-01-06,19.220,19.140,19.520,18.980,4194483.000,hk00914,海螺水泥
2025-01-07,19.280,19.180,19.480,18.900,3707000.000,hk00914,海螺水泥
2025-01-08,18.820,19.260,19.400,18.820,3859584.000,hk00914,海螺水泥
2025-01-09,19.400,19.780,20.000,19.340,9512834.000,hk00914,海螺水泥
2025-01-10,19.800,19.620,19.840,19.480,5034756.000,hk00914,海螺水泥
2025-01-13,19.380,19.540,19.660,19.260,3182496.000,hk00914,海螺水泥
2025-01-14,19.480,19.480,19.720,19.380,3821681.000,hk00914,海螺水泥
2025-01-15,19.460,20.250,20.300,19.440,8508694.000,hk00914,海螺水泥
2025-01-16,19.920,20.600,20.700,19.920,4636000.000,hk00914,海螺水泥
2025-01-17,20.550,21.100,21.150,20.450,7801822.000,hk00914,海螺水泥
2025-01-20,21.100,20.950,21.250,20.750,4725639.000,hk00914,海螺水泥
2025-01-21,20.950,21.000,21.250,20.750,3361679.000,hk00914,海螺水泥
2025-01-22,20.950,20.650,20.950,20.400,5262066.000,hk00914,海螺水泥
2025-01-23,20.700,20.650,21.050,20.350,5780953.000,hk00914,海螺水泥
2025-01-24,20.250,20.450,20.700,20.250,4531000.000,hk00914,海螺水泥
2025-01-27,20.300,20.950,21.000,20.300,2744237.000,hk00914,海螺水泥
2025-01-28,21.000,20.950,21.050,20.750,807067.000,hk00914,海螺水泥
2025-02-03,21.000,20.800,21.200,20.300,2517895.000,hk00914,海螺水泥
2025-02-04,20.400,20.900,21.000,20.400,2567537.000,hk00914,海螺水泥
2025-02-05,20.850,20.650,20.950,20.400,4283696.000,hk00914,海螺水泥
2025-02-06,20.600,20.950,20.950,20.450,4917332.000,hk00914,海螺水泥
2025-02-07,20.850,21.050,21.100,20.750,5938634.000,hk00914,海螺水泥
2025-02-10,21.050,21.350,21.450,21.000,5887153.000,hk00914,海螺水泥
2025-02-11,21.350,20.950,21.350,20.900,3278511.000,hk00914,海螺水泥
2025-02-12,21.000,21.150,21.250,20.700,8452926.000,hk00914,海螺水泥
2025-02-13,21.150,21.000,21.450,20.800,5090511.000,hk00914,海螺水泥
2025-02-14,21.200,21.200,21.250,20.900,4928625.000,hk00914,海螺水泥
2025-02-17,21.100,20.800,21.250,20.550,7007995.000,hk00914,海螺水泥
2025-02-18,20.750,20.850,20.850,20.500,8220696.000,hk00914,海螺水泥
2025-02-19,20.700,20.750,20.950,20.650,6459600.000,hk00914,海螺水泥
2025-02-20,20.600,20.000,20.700,19.960,9254580.000,hk00914,海螺水泥
2025-02-21,20.150,19.500,20.150,19.400,10963622.000,hk00914,海螺水泥
2025-02-24,19.500,19.320,19.700,19.200,8273126.000,hk00914,海螺水泥
2025-02-25,19.100,19.460,19.500,19.080,7456373.000,hk00914,海螺水泥
2025-02-26,19.320,19.940,20.000,19.320,8257802.000,hk00914,海螺水泥
2025-02-27,20.100,20.750,21.000,20.000,14438630.000,hk00914,海螺水泥
2025-02-28,20.700,21.250,21.250,20.500,23991884.000,hk00914,海螺水泥
2025-03-03,21.300,21.150,21.700,21.000,9104021.000,hk00914,海螺水泥
2025-03-04,21.150,21.350,21.400,20.600,8544399.000,hk00914,海螺水泥
