date,open,high,low,close,volume,code,name
2024-11-29,27.200,27.250,27.350,27.050,2559130.000,hk00066,港铁公司
2024-12-02,27.500,27.350,27.650,27.250,3699482.000,hk00066,港铁公司
2024-12-03,27.200,27.550,27.550,27.050,2633534.000,hk00066,港铁公司
2024-12-04,27.400,27.500,27.650,27.400,1807574.000,hk00066,港铁公司
2024-12-05,27.500,27.300,27.500,27.100,1763364.000,hk00066,港铁公司
2024-12-06,27.300,27.550,27.650,27.150,2951958.000,hk00066,港铁公司
2024-12-09,27.550,27.800,27.800,27.250,3137472.000,hk00066,港铁公司
2024-12-10,27.850,27.950,28.500,27.850,3567981.000,hk00066,港铁公司
2024-12-11,28.150,28.050,28.500,27.950,3668918.000,hk00066,港铁公司
2024-12-12,28.050,28.100,28.300,28.000,1851857.000,hk00066,港铁公司
2024-12-13,28.050,27.700,28.050,27.600,2802826.000,hk00066,港铁公司
2024-12-16,27.700,27.600,27.900,27.400,2130837.000,hk00066,港铁公司
2024-12-17,27.350,27.100,27.600,27.100,2832784.000,hk00066,港铁公司
2024-12-18,27.150,27.450,27.600,27.100,2220011.000,hk00066,港铁公司
2024-12-19,27.100,26.700,27.300,26.600,5281030.000,hk00066,港铁公司
2024-12-20,26.700,26.600,26.900,26.600,3767018.000,hk00066,港铁公司
2024-12-23,26.800,27.000,27.150,26.750,2116662.000,hk00066,港铁公司
2024-12-24,27.050,27.200,27.300,27.050,730914.000,hk00066,港铁公司
2024-12-27,27.000,27.200,27.250,26.950,1762397.000,hk00066,港铁公司
2024-12-30,27.200,27.000,27.400,26.850,2457552.000,hk00066,港铁公司
2024-12-31,27.000,27.100,27.200,26.950,1183114.000,hk00066,港铁公司
2025-01-02,27.100,26.550,27.100,26.450,4428883.000,hk00066,港铁公司
2025-01-03,26.550,26.450,26.700,26.300,4021897.000,hk00066,港铁公司
2025-01-06,26.450,26.050,26.450,25.600,7055394.000,hk00066,港铁公司
2025-01-07,25.600,25.750,25.950,25.350,8056119.000,hk00066,港铁公司
2025-01-08,25.600,25.300,25.700,25.000,8757116.000,hk00066,港铁公司
2025-01-09,25.200,25.250,25.400,25.150,2604105.000,hk00066,港铁公司
2025-01-10,25.400,25.200,25.650,25.150,2584392.000,hk00066,港铁公司
2025-01-13,25.050,24.150,25.050,24.000,11434020.000,hk00066,港铁公司
2025-01-14,24.150,24.200,24.350,23.800,7377018.000,hk00066,港铁公司
2025-01-15,24.400,23.950,24.400,23.900,4752195.000,hk00066,港铁公司
2025-01-16,24.200,24.150,24.400,24.000,4209581.000,hk00066,港铁公司
2025-01-17,24.100,24.300,24.350,23.950,4912577.000,hk00066,港铁公司
2025-01-20,24.350,24.200,24.500,24.200,3808396.000,hk00066,港铁公司
2025-01-21,24.350,24.150,24.400,24.100,3054145.000,hk00066,港铁公司
2025-01-22,24.150,24.000,24.300,23.900,3298572.000,hk00066,港铁公司
2025-01-23,24.000,23.950,24.200,23.950,2195267.000,hk00066,港铁公司
2025-01-24,23.950,24.150,24.200,23.950,3392330.000,hk00066,港铁公司
2025-01-27,24.150,24.200,24.400,24.000,2996975.000,hk00066,港铁公司
2025-01-28,24.250,24.350,24.400,24.050,1544313.000,hk00066,港铁公司
2025-02-03,24.050,24.450,24.500,23.950,4195788.000,hk00066,港铁公司
2025-02-04,24.500,24.650,24.850,24.250,4895960.000,hk00066,港铁公司
2025-02-05,24.650,24.350,24.750,24.250,4392741.000,hk00066,港铁公司
2025-02-06,24.400,24.450,24.600,24.250,3321645.000,hk00066,港铁公司
2025-02-07,24.400,24.300,24.500,24.200,4198000.000,hk00066,港铁公司
2025-02-10,24.300,24.600,24.600,24.200,3024378.000,hk00066,港铁公司
2025-02-11,24.600,24.300,24.650,24.300,3322515.000,hk00066,港铁公司
2025-02-12,24.500,24.700,24.950,24.500,5563405.000,hk00066,港铁公司
2025-02-13,24.700,24.700,25.100,24.600,5801540.000,hk00066,港铁公司
2025-02-14,24.800,25.050,25.050,24.700,6036656.000,hk00066,港铁公司
2025-02-17,24.700,25.100,25.250,24.700,4595696.000,hk00066,港铁公司
2025-02-18,25.150,24.950,25.150,24.800,6378671.000,hk00066,港铁公司
2025-02-19,24.800,24.950,24.950,24.650,5409162.000,hk00066,港铁公司
2025-02-20,24.950,24.950,25.150,24.800,3901107.000,hk00066,港铁公司
2025-02-21,24.900,25.100,25.150,24.850,4995549.000,hk00066,港铁公司
2025-02-24,24.900,25.550,25.700,24.900,7225590.000,hk00066,港铁公司
2025-02-25,25.500,25.650,25.700,25.250,3953756.000,hk00066,港铁公司
2025-02-26,25.650,25.750,25.900,25.550,4564135.000,hk00066,港铁公司
2025-02-27,25.750,25.950,26.050,25.600,5387635.000,hk00066,港铁公司
