date,open,high,low,close,volume,code,name
2024-11-29,58.600,59.500,60.550,58.600,4488948.000,hk02313,申洲国际
2024-12-02,60.000,59.350,60.050,58.200,3486800.000,hk02313,申洲国际
2024-12-03,60.000,59.650,60.000,58.150,3113102.000,hk02313,申洲国际
2024-12-04,59.550,57.850,59.850,57.650,6012404.000,hk02313,申洲国际
2024-12-05,57.050,58.100,58.150,56.600,2265525.000,hk02313,申洲国际
2024-12-06,58.000,59.250,59.650,57.400,3290102.000,hk02313,申洲国际
2024-12-09,59.250,61.950,62.300,58.400,6154038.000,hk02313,申洲国际
2024-12-10,65.950,60.900,66.000,60.800,3980187.000,hk02313,申洲国际
2024-12-11,60.900,59.850,62.000,59.300,3565057.000,hk02313,申洲国际
2024-12-12,60.300,61.400,62.450,58.300,5990374.000,hk02313,申洲国际
2024-12-13,60.150,59.500,61.100,59.300,3126574.000,hk02313,申洲国际
2024-12-16,59.000,59.350,60.450,59.000,3906254.000,hk02313,申洲国际
2024-12-17,59.350,58.000,59.350,57.850,5667929.000,hk02313,申洲国际
2024-12-18,58.850,59.550,60.000,58.100,4719714.000,hk02313,申洲国际
2024-12-19,58.300,59.700,60.250,58.300,3164717.000,hk02313,申洲国际
2024-12-20,59.700,60.450,61.450,59.350,5432468.000,hk02313,申洲国际
2024-12-23,60.450,60.200,61.700,60.050,2360567.000,hk02313,申洲国际
2024-12-24,60.000,60.600,60.700,59.700,1197414.000,hk02313,申洲国际
2024-12-27,60.850,62.500,62.850,60.700,4860193.000,hk02313,申洲国际
2024-12-30,62.500,62.000,62.700,60.050,6066580.000,hk02313,申洲国际
2024-12-31,61.400,62.000,63.100,61.400,2140334.000,hk02313,申洲国际
2025-01-02,61.000,61.550,62.700,60.550,3837208.000,hk02313,申洲国际
2025-01-03,61.550,62.200,63.150,61.300,4755444.000,hk02313,申洲国际
2025-01-06,64.000,61.200,64.000,60.950,6013310.000,hk02313,申洲国际
2025-01-07,60.350,61.550,62.350,60.250,3632810.000,hk02313,申洲国际
2025-01-08,60.850,60.800,61.250,60.350,4078952.000,hk02313,申洲国际
2025-01-09,60.800,60.800,61.400,60.250,2523900.000,hk02313,申洲国际
2025-01-10,61.500,59.250,61.800,58.800,5309742.000,hk02313,申洲国际
2025-01-13,58.500,58.750,58.950,56.000,9156926.000,hk02313,申洲国际
2025-01-14,58.150,58.200,60.150,56.700,5498123.000,hk02313,申洲国际
2025-01-15,57.500,57.050,58.450,57.000,4469446.000,hk02313,申洲国际
2025-01-16,57.450,58.700,59.250,57.450,4080430.000,hk02313,申洲国际
2025-01-17,58.550,57.250,58.600,56.800,3763614.000,hk02313,申洲国际
2025-01-20,57.000,58.650,59.000,57.000,5843077.000,hk02313,申洲国际
2025-01-21,59.800,59.150,59.800,57.800,4464253.000,hk02313,申洲国际
2025-01-22,59.150,57.650,59.150,57.200,4586467.000,hk02313,申洲国际
2025-01-23,57.650,56.800,58.000,56.500,4890160.000,hk02313,申洲国际
2025-01-24,56.800,57.900,58.300,56.300,4182027.000,hk02313,申洲国际
2025-01-27,57.750,58.650,59.150,57.750,2578924.000,hk02313,申洲国际
2025-01-28,59.400,58.650,59.400,57.850,327085.000,hk02313,申洲国际
2025-02-03,56.450,57.850,57.850,55.050,5625005.000,hk02313,申洲国际
2025-02-04,58.950,62.900,62.900,58.750,8562573.000,hk02313,申洲国际
2025-02-05,62.700,58.800,62.700,58.600,3923371.000,hk02313,申洲国际
2025-02-06,58.800,59.100,59.500,58.300,3526950.000,hk02313,申洲国际
2025-02-07,59.050,59.800,60.300,58.650,5846557.000,hk02313,申洲国际
2025-02-10,59.450,59.450,60.350,58.950,5640763.000,hk02313,申洲国际
2025-02-11,59.800,58.450,59.800,58.250,4058005.000,hk02313,申洲国际
2025-02-12,58.550,58.500,59.850,58.100,4593896.000,hk02313,申洲国际
2025-02-13,59.000,59.300,62.150,58.150,7907193.000,hk02313,申洲国际
2025-02-14,59.300,60.950,60.950,59.200,3527139.000,hk02313,申洲国际
2025-02-17,59.000,59.750,60.600,58.550,5912921.000,hk02313,申洲国际
2025-02-18,59.700,58.000,60.250,57.850,5568015.000,hk02313,申洲国际
2025-02-19,57.600,58.900,58.950,56.700,4522967.000,hk02313,申洲国际
2025-02-20,58.050,57.800,58.900,57.300,4272730.000,hk02313,申洲国际
