date,open,high,low,close,volume,code,name
2024-11-29,51.000,51.000,51.150,50.600,1681721.000,hk00006,电能实业
2024-12-02,51.100,50.950,51.200,50.400,1545405.000,hk00006,电能实业
2024-12-03,50.900,51.800,51.800,50.550,3042602.000,hk00006,电能实业
2024-12-04,51.600,51.200,51.600,50.800,1914524.000,hk00006,电能实业
2024-12-05,51.200,51.450,51.650,50.800,2262583.000,hk00006,电能实业
2024-12-06,51.000,51.600,51.850,51.000,2218971.000,hk00006,电能实业
2024-12-09,51.900,51.650,51.900,51.100,3299344.000,hk00006,电能实业
2024-12-10,52.200,51.950,52.300,51.450,2703050.000,hk00006,电能实业
2024-12-11,52.400,52.400,52.650,51.700,3634824.000,hk00006,电能实业
2024-12-12,51.950,51.650,52.600,51.550,3106797.000,hk00006,电能实业
2024-12-13,51.600,50.950,51.600,50.800,2981654.000,hk00006,电能实业
2024-12-16,51.000,51.050,51.200,50.750,3951808.000,hk00006,电能实业
2024-12-17,51.050,50.750,51.150,50.200,3310142.000,hk00006,电能实业
2024-12-18,50.750,51.450,51.800,50.750,2452970.000,hk00006,电能实业
2024-12-19,51.400,50.650,51.400,50.650,3130093.000,hk00006,电能实业
2024-12-20,50.600,51.750,52.350,50.550,6334265.000,hk00006,电能实业
2024-12-23,51.750,52.700,52.850,51.650,3857879.000,hk00006,电能实业
2024-12-24,52.500,53.800,53.950,52.400,2722542.000,hk00006,电能实业
2024-12-27,53.800,53.700,54.200,53.450,2893146.000,hk00006,电能实业
2024-12-30,53.500,54.200,54.350,53.100,3311635.000,hk00006,电能实业
2024-12-31,53.750,54.200,54.500,53.750,2207453.000,hk00006,电能实业
2025-01-02,54.200,53.150,54.200,52.850,2637062.000,hk00006,电能实业
2025-01-03,53.150,53.150,53.650,52.950,1956326.000,hk00006,电能实业
2025-01-06,52.950,53.750,53.950,52.950,1847493.000,hk00006,电能实业
2025-01-07,53.750,52.850,53.800,52.700,2240189.000,hk00006,电能实业
2025-01-08,52.850,52.250,53.500,52.250,2524040.000,hk00006,电能实业
2025-01-09,52.250,52.450,52.600,51.950,2408336.000,hk00006,电能实业
2025-01-10,52.000,52.550,53.100,52.000,1997377.000,hk00006,电能实业
2025-01-13,52.600,51.300,52.600,50.800,3319626.000,hk00006,电能实业
2025-01-14,51.450,51.200,51.800,51.100,2724554.000,hk00006,电能实业
2025-01-15,51.200,51.000,51.800,50.800,2081471.000,hk00006,电能实业
2025-01-16,51.100,51.150,51.800,51.050,1966607.000,hk00006,电能实业
2025-01-17,51.150,51.850,52.300,51.150,3091410.000,hk00006,电能实业
2025-01-20,52.000,52.400,52.750,51.750,1833395.000,hk00006,电能实业
