date,open,high,low,close,volume,code,name
2024-11-29,7.370,7.400,7.510,7.350,6546772.000,hk01876,百威亚太
2024-12-02,7.490,7.470,7.590,7.410,7194100.000,hk01876,百威亚太
2024-12-03,7.460,7.510,7.520,7.400,3720670.000,hk01876,百威亚太
2024-12-04,7.510,7.370,7.520,7.330,12456510.000,hk01876,百威亚太
2024-12-05,7.390,7.350,7.400,7.290,5924500.000,hk01876,百威亚太
2024-12-06,7.350,7.460,7.500,7.330,9018961.000,hk01876,百威亚太
2024-12-09,7.460,7.660,7.660,7.320,18771041.000,hk01876,百威亚太
2024-12-10,7.900,7.560,8.090,7.500,29866578.000,hk01876,百威亚太
2024-12-11,7.570,7.380,7.830,7.360,21771333.000,hk01876,百威亚太
2024-12-12,7.390,7.770,7.880,7.360,45671677.000,hk01876,百威亚太
2024-12-13,7.720,7.300,7.720,7.280,39400525.000,hk01876,百威亚太
2024-12-16,7.320,7.330,7.470,7.320,19473500.000,hk01876,百威亚太
2024-12-17,7.300,7.220,7.340,7.130,24483392.000,hk01876,百威亚太
2024-12-18,7.340,7.340,7.390,7.290,14179141.000,hk01876,百威亚太
2024-12-19,7.340,7.380,7.440,7.200,16012594.000,hk01876,百威亚太
2024-12-20,7.360,7.420,7.500,7.360,17808181.000,hk01876,百威亚太
2024-12-23,7.420,7.350,7.450,7.300,7130733.000,hk01876,百威亚太
2024-12-24,7.310,7.310,7.410,7.310,6965771.000,hk01876,百威亚太
2024-12-27,7.310,7.420,7.480,7.270,12617803.000,hk01876,百威亚太
2024-12-30,7.440,7.400,7.470,7.330,8188333.000,hk01876,百威亚太
2024-12-31,7.400,7.490,7.580,7.400,7804335.000,hk01876,百威亚太
2025-01-02,7.430,7.230,7.480,7.170,21726100.000,hk01876,百威亚太
2025-01-03,7.260,7.220,7.320,7.170,16242732.000,hk01876,百威亚太
2025-01-06,7.220,7.010,7.220,7.000,29054064.000,hk01876,百威亚太
2025-01-07,7.010,7.100,7.180,6.980,15563500.000,hk01876,百威亚太
2025-01-08,7.130,7.000,7.130,6.930,13125421.000,hk01876,百威亚太
2025-01-09,7.000,6.950,7.050,6.940,9735190.000,hk01876,百威亚太
2025-01-10,7.050,6.940,7.060,6.860,10531115.000,hk01876,百威亚太
2025-01-13,6.910,6.980,6.990,6.840,11701257.000,hk01876,百威亚太
2025-01-14,6.990,7.010,7.080,6.880,21622948.000,hk01876,百威亚太
2025-01-15,7.040,6.970,7.070,6.950,10723805.000,hk01876,百威亚太
2025-01-16,7.100,7.060,7.220,6.960,16451639.000,hk01876,百威亚太
2025-01-17,7.110,7.190,7.300,7.020,15325000.000,hk01876,百威亚太
2025-01-20,7.200,7.140,7.290,7.140,14655774.000,hk01876,百威亚太
2025-01-21,7.260,7.070,7.260,7.030,19084866.000,hk01876,百威亚太
2025-01-22,7.070,6.950,7.070,6.930,10837749.000,hk01876,百威亚太
2025-01-23,7.000,6.990,7.080,6.930,12022926.000,hk01876,百威亚太
2025-01-24,7.020,7.110,7.150,6.980,9545253.000,hk01876,百威亚太
2025-01-27,7.130,7.170,7.260,7.130,10455671.000,hk01876,百威亚太
2025-01-28,7.170,7.100,7.170,7.040,7766180.000,hk01876,百威亚太
2025-02-03,6.950,7.280,7.320,6.950,13519625.000,hk01876,百威亚太
2025-02-04,7.410,7.410,7.580,7.260,15998700.000,hk01876,百威亚太
2025-02-05,7.350,7.220,7.360,7.200,9834555.000,hk01876,百威亚太
2025-02-06,7.220,7.290,7.380,7.220,10339300.000,hk01876,百威亚太
2025-02-07,7.330,7.410,7.480,7.250,12904453.000,hk01876,百威亚太
2025-02-10,7.400,7.400,7.440,7.270,8870488.000,hk01876,百威亚太
2025-02-11,7.420,7.240,7.430,7.190,15191906.000,hk01876,百威亚太
2025-02-12,7.310,7.380,7.500,7.270,18881900.000,hk01876,百威亚太
2025-02-13,7.440,7.470,7.630,7.360,35773685.000,hk01876,百威亚太
2025-02-14,7.520,7.610,7.640,7.480,30401906.000,hk01876,百威亚太
2025-02-17,7.610,7.650,7.700,7.500,25196153.000,hk01876,百威亚太
2025-02-18,7.680,7.920,7.950,7.610,46207128.000,hk01876,百威亚太
2025-02-19,7.890,8.230,8.280,7.830,40733781.000,hk01876,百威亚太
2025-02-20,8.230,7.850,8.250,7.830,26704169.000,hk01876,百威亚太
2025-02-21,7.910,7.930,7.950,7.750,16590158.000,hk01876,百威亚太
2025-02-24,7.900,8.120,8.160,7.750,21290368.000,hk01876,百威亚太
2025-02-25,8.060,7.840,8.060,7.790,21339718.000,hk01876,百威亚太
2025-02-26,8.010,8.660,8.900,8.010,67932698.000,hk01876,百威亚太
2025-02-27,8.800,8.910,9.030,8.670,46839379.000,hk01876,百威亚太
2025-02-28,8.810,8.330,8.830,8.250,40220539.000,hk01876,百威亚太
2025-03-03,8.330,8.220,8.400,8.160,32597360.000,hk01876,百威亚太
2025-03-04,8.280,8.590,8.770,8.220,25800600.000,hk01876,百威亚太
2025-03-05,8.590,8.650,8.810,8.460,23780649.000,hk01876,百威亚太
2025-03-06,8.840,8.770,8.840,8.650,22754099.000,hk01876,百威亚太
2025-03-07,8.810,8.820,8.980,8.690,25416493.000,hk01876,百威亚太
2025-03-10,8.920,8.740,8.920,8.600,19246846.000,hk01876,百威亚太
2025-03-11,8.740,8.850,8.870,8.600,17755237.000,hk01876,百威亚太
