date,open,high,low,close,volume,code,name
2024-11-29,80.000,81.300,81.850,80.000,5942182.000,hk09888,百度集团
2024-12-02,82.400,82.900,83.450,81.750,5353498.000,hk09888,百度集团
2024-12-03,83.550,84.150,84.550,82.550,6184445.000,hk09888,百度集团
2024-12-04,83.950,83.650,84.300,82.800,5086161.000,hk09888,百度集团
2024-12-05,83.050,83.850,83.950,82.200,6892898.000,hk09888,百度集团
2024-12-06,83.850,84.950,85.450,83.050,8190066.000,hk09888,百度集团
2024-12-09,84.200,87.100,87.150,83.100,11485880.000,hk09888,百度集团
2024-12-10,90.150,85.550,90.200,85.350,16555996.000,hk09888,百度集团
2024-12-11,86.700,85.500,87.650,85.350,8289828.000,hk09888,百度集团
2024-12-12,87.250,87.600,89.100,86.500,8112981.000,hk09888,百度集团
2024-12-13,87.700,86.850,88.350,86.850,11272825.000,hk09888,百度集团
2024-12-16,87.600,87.200,88.000,86.700,7688968.000,hk09888,百度集团
2024-12-17,85.350,86.250,87.400,85.300,7684018.000,hk09888,百度集团
2024-12-18,87.050,87.750,88.250,87.050,5913967.000,hk09888,百度集团
2024-12-19,86.250,84.100,86.600,81.750,16602057.000,hk09888,百度集团
2024-12-20,82.650,81.950,82.900,81.250,16235775.000,hk09888,百度集团
2024-12-23,82.950,84.550,85.300,82.950,9231553.000,hk09888,百度集团
2024-12-24,84.950,85.650,86.500,84.800,4425648.000,hk09888,百度集团
2024-12-27,85.600,85.000,85.850,83.600,6571138.000,hk09888,百度集团
2024-12-30,84.050,83.800,85.000,83.450,8384996.000,hk09888,百度集团
2024-12-31,82.550,82.700,83.000,81.800,5223124.000,hk09888,百度集团
2025-01-02,81.500,80.800,82.350,80.200,9971885.000,hk09888,百度集团
2025-01-03,80.800,81.050,81.800,80.350,6856772.000,hk09888,百度集团
2025-01-06,81.500,80.750,81.850,80.300,4711696.000,hk09888,百度集团
2025-01-07,80.300,80.450,81.250,79.500,8407835.000,hk09888,百度集团
2025-01-08,79.900,79.850,80.550,78.900,4364119.000,hk09888,百度集团
2025-01-09,79.650,78.850,79.950,78.850,3886965.000,hk09888,百度集团
2025-01-10,78.900,77.700,79.400,77.300,5415352.000,hk09888,百度集团
2025-01-13,76.000,75.900,76.450,74.300,8584614.000,hk09888,百度集团
2025-01-14,76.000,77.550,77.950,75.500,9041148.000,hk09888,百度集团
2025-01-15,76.600,78.500,78.500,76.600,5969113.000,hk09888,百度集团
2025-01-16,79.500,79.100,80.500,78.100,7519739.000,hk09888,百度集团
2025-01-17,78.850,78.650,79.200,77.850,3404284.000,hk09888,百度集团
2025-01-20,80.400,80.800,82.300,80.300,6829887.000,hk09888,百度集团
2025-01-21,81.300,81.750,82.200,80.600,5659856.000,hk09888,百度集团
2025-01-22,81.400,80.150,81.700,79.600,7237960.000,hk09888,百度集团
2025-01-23,80.650,79.800,81.150,79.400,5781226.000,hk09888,百度集团
2025-01-24,79.900,81.550,81.950,79.750,6394920.000,hk09888,百度集团
2025-01-27,83.950,84.750,85.750,83.950,11700469.000,hk09888,百度集团
2025-01-28,86.400,87.800,88.600,86.400,12992966.000,hk09888,百度集团
2025-02-03,85.900,84.450,85.900,80.300,18350466.000,hk09888,百度集团
2025-02-04,85.550,87.350,88.000,84.500,13972070.000,hk09888,百度集团
2025-02-05,89.350,87.800,89.400,86.650,18330833.000,hk09888,百度集团
2025-02-06,86.200,86.650,86.700,85.050,12184565.000,hk09888,百度集团
2025-02-07,85.500,86.250,86.800,85.300,14492035.000,hk09888,百度集团
2025-02-10,86.700,89.450,89.600,86.700,18041542.000,hk09888,百度集团
2025-02-11,91.100,88.750,92.200,88.750,11339412.000,hk09888,百度集团
2025-02-12,88.450,88.900,89.050,85.100,26625584.000,hk09888,百度集团
2025-02-13,91.000,94.000,99.600,90.850,46646171.000,hk09888,百度集团
2025-02-14,94.450,96.550,96.700,93.550,27036137.000,hk09888,百度集团
2025-02-17,97.000,89.850,97.150,88.100,40441848.000,hk09888,百度集团
2025-02-18,90.050,90.200,91.950,88.850,26888029.000,hk09888,百度集团
2025-02-19,88.650,88.350,88.650,83.650,18488188.000,hk09888,百度集团
2025-02-20,86.400,85.500,86.950,85.250,17227243.000,hk09888,百度集团
2025-02-21,88.300,89.500,89.500,86.400,18990437.000,hk09888,百度集团
2025-02-24,89.000,89.500,91.300,86.900,17193197.000,hk09888,百度集团
2025-02-25,85.350,86.000,87.300,85.050,16802850.000,hk09888,百度集团
2025-02-26,87.200,88.850,89.800,87.150,13153850.000,hk09888,百度集团
2025-02-27,87.400,87.750,88.550,86.500,15592278.000,hk09888,百度集团
2025-02-28,86.600,83.500,86.600,83.200,23627254.000,hk09888,百度集团
2025-03-03,84.100,83.300,85.150,82.800,9287956.000,hk09888,百度集团
2025-03-04,82.000,84.750,85.500,81.400,13227436.000,hk09888,百度集团
2025-03-05,85.700,87.500,87.850,85.100,14453429.000,hk09888,百度集团
2025-03-06,89.500,91.150,91.800,88.600,20181566.000,hk09888,百度集团
2025-03-07,91.050,90.800,92.950,90.450,22857267.000,hk09888,百度集团
2025-03-10,91.900,92.000,94.800,91.650,23185620.000,hk09888,百度集团
2025-03-11,90.000,92.250,92.450,88.800,11393322.000,hk09888,百度集团
2025-03-12,92.000,90.050,92.450,89.550,11306370.000,hk09888,百度集团
2025-03-13,90.300,89.450,90.950,88.650,7814519.000,hk09888,百度集团
