date,open,high,low,close,volume,code,name
2024-11-29,5.100,5.070,5.130,5.040,78520412.000,hk01093,石药集团
2024-12-02,5.090,5.080,5.120,5.050,36603380.000,hk01093,石药集团
2024-12-03,5.060,5.070,5.110,5.020,69402314.000,hk01093,石药集团
2024-12-04,5.070,4.990,5.080,4.980,75912669.000,hk01093,石药集团
2024-12-05,4.990,4.920,4.990,4.900,59430243.000,hk01093,石药集团
2024-12-06,4.820,5.000,5.060,4.810,101413229.000,hk01093,石药集团
2024-12-09,5.040,5.150,5.150,4.920,117280823.000,hk01093,石药集团
2024-12-10,5.290,5.060,5.330,5.060,85967485.000,hk01093,石药集团
2024-12-11,5.130,5.020,5.150,4.980,60349911.000,hk01093,石药集团
2024-12-12,4.990,5.010,5.070,4.960,59778344.000,hk01093,石药集团
2024-12-13,4.990,4.800,5.130,4.780,169231608.000,hk01093,石药集团
2024-12-16,4.790,4.630,4.800,4.610,167672987.000,hk01093,石药集团
2024-12-17,4.600,4.630,4.700,4.590,102324108.000,hk01093,石药集团
2024-12-18,4.630,4.750,4.760,4.630,61298374.000,hk01093,石药集团
2024-12-19,4.690,4.780,4.800,4.680,53306030.000,hk01093,石药集团
2024-12-20,4.760,4.810,4.850,4.750,95376143.000,hk01093,石药集团
2024-12-23,4.810,4.800,4.880,4.740,44075878.000,hk01093,石药集团
2024-12-24,4.800,4.800,4.840,4.740,30547040.000,hk01093,石药集团
2024-12-27,4.800,4.780,4.820,4.730,44281504.000,hk01093,石药集团
2024-12-30,4.780,4.750,4.840,4.740,44947603.000,hk01093,石药集团
2024-12-31,4.740,4.780,4.790,4.730,16751714.000,hk01093,石药集团
2025-01-02,4.720,4.630,4.730,4.610,52382001.000,hk01093,石药集团
2025-01-03,4.650,4.590,4.730,4.560,69632195.000,hk01093,石药集团
2025-01-06,4.700,4.560,4.740,4.540,77840000.000,hk01093,石药集团
2025-01-07,4.510,4.510,4.560,4.450,76665183.000,hk01093,石药集团
2025-01-08,4.520,4.420,4.520,4.380,80350187.000,hk01093,石药集团
2025-01-09,4.410,4.460,4.480,4.410,61128363.000,hk01093,石药集团
2025-01-10,4.470,4.370,4.490,4.360,55697952.000,hk01093,石药集团
2025-01-13,4.350,4.350,4.370,4.270,62276150.000,hk01093,石药集团
2025-01-14,4.350,4.370,4.420,4.350,60450714.000,hk01093,石药集团
2025-01-15,4.360,4.340,4.400,4.330,46784303.000,hk01093,石药集团
2025-01-16,4.390,4.400,4.470,4.340,37944555.000,hk01093,石药集团
