date,open,high,low,close,volume,code,name
2024-11-29,4.910,4.880,4.920,4.850,6660882.000,hk00270,粤海投资
2024-12-02,4.880,4.890,4.950,4.860,5204000.000,hk00270,粤海投资
2024-12-03,4.920,4.980,5.020,4.880,8505570.000,hk00270,粤海投资
2024-12-04,4.990,5.000,5.050,4.960,6546437.000,hk00270,粤海投资
2024-12-05,5.000,4.960,5.000,4.950,2886697.000,hk00270,粤海投资
2024-12-06,4.950,5.060,5.150,4.950,11002379.000,hk00270,粤海投资
2024-12-09,5.130,5.220,5.220,5.070,8995162.000,hk00270,粤海投资
2024-12-10,5.500,5.650,5.770,5.460,84179014.000,hk00270,粤海投资
2024-12-11,5.610,5.970,6.000,5.580,48723272.000,hk00270,粤海投资
2024-12-12,6.030,6.200,6.260,6.010,67301546.000,hk00270,粤海投资
2024-12-13,6.200,6.400,6.490,6.150,62263676.000,hk00270,粤海投资
2024-12-16,6.550,6.440,6.560,6.300,56962360.000,hk00270,粤海投资
2024-12-17,6.440,6.310,6.480,6.230,37960229.000,hk00270,粤海投资
2024-12-18,6.230,6.430,6.460,6.230,51533951.000,hk00270,粤海投资
2024-12-19,6.320,6.400,6.420,6.320,19262671.000,hk00270,粤海投资
2024-12-20,6.340,6.360,6.440,6.320,54419269.000,hk00270,粤海投资
2024-12-23,6.330,6.460,6.480,6.260,24582063.000,hk00270,粤海投资
2024-12-24,6.380,6.520,6.570,6.380,11581429.000,hk00270,粤海投资
2024-12-27,6.460,6.510,6.540,6.410,11408051.000,hk00270,粤海投资
2024-12-30,6.490,6.550,6.550,6.450,11206820.000,hk00270,粤海投资
2024-12-31,6.530,6.710,6.880,6.530,21392301.000,hk00270,粤海投资
2025-01-02,6.720,6.610,6.830,6.580,26651233.000,hk00270,粤海投资
2025-01-03,6.610,6.430,6.650,6.350,27442673.000,hk00270,粤海投资
2025-01-06,6.390,6.190,6.390,6.100,51295786.000,hk00270,粤海投资
2025-01-07,6.190,6.100,6.190,5.950,34892303.000,hk00270,粤海投资
2025-01-08,6.060,6.010,6.110,5.880,20690627.000,hk00270,粤海投资
2025-01-09,6.090,5.890,6.090,5.810,40104019.000,hk00270,粤海投资
2025-01-10,5.900,6.010,6.070,5.860,47542719.000,hk00270,粤海投资
2025-01-13,6.000,6.090,6.120,5.870,26261023.000,hk00270,粤海投资
2025-01-14,6.140,6.050,6.220,5.980,32270003.000,hk00270,粤海投资
2025-01-15,5.940,6.000,6.090,5.930,10706884.000,hk00270,粤海投资
2025-01-16,6.000,6.000,6.090,5.960,13020165.000,hk00270,粤海投资
2025-01-17,5.970,5.890,6.000,5.750,31234000.000,hk00270,粤海投资
2025-01-20,5.890,5.730,5.910,5.700,23393332.000,hk00270,粤海投资
2025-01-21,5.730,5.890,5.890,5.670,12443121.000,hk00270,粤海投资
2025-01-22,5.880,5.880,5.930,5.830,9109514.000,hk00270,粤海投资
2025-01-23,5.800,5.900,5.940,5.800,10725740.000,hk00270,粤海投资
2025-01-24,5.900,5.940,5.990,5.810,16843200.000,hk00270,粤海投资
2025-01-27,5.940,5.900,6.050,5.860,11544640.000,hk00270,粤海投资
2025-01-28,5.860,5.880,5.920,5.780,2918000.000,hk00270,粤海投资
2025-02-03,5.850,5.940,5.960,5.760,9727297.000,hk00270,粤海投资
2025-02-04,5.980,5.970,6.040,5.880,12929422.000,hk00270,粤海投资
2025-02-05,5.970,5.900,6.010,5.850,12309229.000,hk00270,粤海投资
2025-02-06,5.910,5.840,5.960,5.770,19822070.000,hk00270,粤海投资
2025-02-07,5.840,5.800,5.840,5.640,24312864.000,hk00270,粤海投资
2025-02-10,5.800,5.830,5.830,5.720,11347496.000,hk00270,粤海投资
2025-02-11,5.850,5.770,5.890,5.720,14586749.000,hk00270,粤海投资
2025-02-12,5.740,5.770,5.820,5.680,18732058.000,hk00270,粤海投资
2025-02-13,5.760,5.680,5.770,5.640,24311877.000,hk00270,粤海投资
2025-02-14,5.680,5.810,5.810,5.650,18436867.000,hk00270,粤海投资
2025-02-17,5.780,6.080,6.180,5.780,46077778.000,hk00270,粤海投资
2025-02-18,6.110,6.150,6.160,6.040,17142013.000,hk00270,粤海投资
2025-02-19,6.150,5.990,6.150,5.960,10048905.000,hk00270,粤海投资
