date,open,high,low,close,volume,code,name
2024-11-29,132.400,134.400,135.600,132.400,3458274.000,hk09999,网易
2024-12-02,135.100,138.100,138.700,134.600,6092539.000,hk09999,网易
2024-12-03,138.100,139.100,139.900,135.700,5836963.000,hk09999,网易
2024-12-04,139.600,141.700,142.100,138.800,6827010.000,hk09999,网易
2024-12-05,140.500,142.100,143.100,139.700,6727783.000,hk09999,网易
2024-12-06,141.600,142.300,142.700,139.900,5758265.000,hk09999,网易
2024-12-09,142.200,150.900,151.200,140.900,12525092.000,hk09999,网易
2024-12-10,159.000,151.200,159.700,150.900,14370044.000,hk09999,网易
2024-12-11,152.000,149.800,153.600,149.400,6366906.000,hk09999,网易
2024-12-12,151.000,151.500,154.200,149.200,6945322.000,hk09999,网易
2024-12-13,150.500,147.100,151.200,146.600,7378025.000,hk09999,网易
2024-12-16,147.100,145.700,148.800,144.800,5296101.000,hk09999,网易
2024-12-17,144.500,144.600,147.100,144.100,3777327.000,hk09999,网易
2024-12-18,144.600,145.600,146.300,143.400,4252220.000,hk09999,网易
2024-12-19,143.000,143.800,144.600,141.800,4319579.000,hk09999,网易
2024-12-20,142.700,142.900,144.200,142.400,4283960.000,hk09999,网易
2024-12-23,143.500,144.200,146.000,143.500,2013964.000,hk09999,网易
2024-12-24,142.900,142.400,143.900,141.400,1273577.000,hk09999,网易
2024-12-27,142.800,141.900,143.600,140.700,1789290.000,hk09999,网易
2024-12-30,142.700,140.200,142.700,140.100,2936608.000,hk09999,网易
2024-12-31,139.000,138.400,140.600,138.400,1694756.000,hk09999,网易
2025-01-02,135.900,137.400,140.200,135.800,4352311.000,hk09999,网易
2025-01-03,137.900,136.500,138.700,134.400,6064677.000,hk09999,网易
2025-01-06,137.000,137.300,138.600,136.200,2287004.000,hk09999,网易
2025-01-07,135.800,137.500,137.500,134.400,6301309.000,hk09999,网易
2025-01-08,138.900,141.600,141.900,137.400,7802045.000,hk09999,网易
2025-01-09,147.900,144.700,148.600,142.700,10528621.000,hk09999,网易
2025-01-10,146.300,146.700,148.000,144.700,10957653.000,hk09999,网易
2025-01-13,146.700,148.600,152.000,145.900,15067325.000,hk09999,网易
2025-01-14,147.500,148.800,150.300,145.200,11499450.000,hk09999,网易
2025-01-15,149.000,154.800,155.400,148.500,13579043.000,hk09999,网易
2025-01-16,161.500,157.000,161.500,156.200,10867855.000,hk09999,网易
2025-01-17,156.300,153.800,156.300,151.900,7544319.000,hk09999,网易
2025-01-20,154.700,155.700,157.700,152.800,6933630.000,hk09999,网易
2025-01-21,156.500,157.400,158.700,154.000,4465066.000,hk09999,网易
2025-01-22,156.200,154.800,156.700,153.300,5641743.000,hk09999,网易
2025-01-23,157.900,156.600,158.500,153.300,6658593.000,hk09999,网易
2025-01-24,157.000,158.400,160.200,155.200,6535204.000,hk09999,网易
2025-01-27,160.600,158.300,161.200,157.700,4516011.000,hk09999,网易
2025-01-28,160.300,161.000,162.300,159.100,3836508.000,hk09999,网易
2025-02-03,157.800,160.500,161.100,154.700,7030524.000,hk09999,网易
2025-02-04,162.500,158.800,163.800,155.500,7858380.000,hk09999,网易
2025-02-05,158.800,158.600,159.900,156.700,6679182.000,hk09999,网易
2025-02-06,158.300,161.000,161.000,157.400,4654063.000,hk09999,网易
